emji_visage_riant_aux_larmes;690;6865;170;544;50;470;523
aller;83;479;438;1275;154;919;1259
emji_visage_souriant_avec_yeux_en_forme_de_coeur;2605;98;7;48;8;35;135
emji_coeur_rouge;2554;73;29;71;51;88;241
suisse;138;366;401;2279;29;404;447
voir;108;390;346;832;132;1083;1376
emji_applaudissements;1341;75;63;118;15;107;164
parler;79;229;308;557;49;996;507
emji_se_rouler_par_terre_de_rire;98;1086;34;106;4;74;68
gens;36;127;204;540;69;567;886
monde;61;96;225;566;35;394;885
femme;124;80;98;178;24;1043;556
emji_visage_qui_pleure;513;120;85;188;48;145;404
enfant;78;83;234;258;31;197;1179
beau;757;158;46;205;51;212;501
époque;289;262;30;165;22;148;944
prendre;24;174;156;626;65;384;422
pays;33;44;444;691;13;254;290
vie;141;96;60;345;41;181;957
penser;50;209;100;311;55;615;496
comprendre;79;137;120;301;41;779;347
homme;114;73;74;97;34;909;395
temps;73;121;81;349;32;230;829
aimer;207;472;59;159;90;223;400
chose;37;110;118;278;34;404;707
passer;37;137;165;445;24;241;635
mettre;20;123;153;542;36;351;418
petit;138;235;64;290;87;177;605
année;91;185;73;443;28;131;654
vrai;124;165;134;301;33;458;361
emji_feu;856;42;32;47;6;24;90
emji_mains_levées;899;43;22;52;4;51;68
grand;138;122;78;471;42;230;424
vraiment;94;112;87;283;34;348;544
jour;42;107;85;283;55;119;653
emji_visage_souriant_avec_une_goutte_de_sueur;74;856;22;80;19;73;98
venir;25;152;132;338;61;262;377
trouver;32;118;76;318;38;424;334
emji_visage_souriant_avec_coeurs;722;22;1;14;13;17;53
tellement;364;171;50;140;28;191;339
donner;25;60;102;277;80;316;417
vivre;41;63;80;299;38;154;593
rester;30;79;98;392;50;269;343
payer;5;22;67;976;6;48;69
problème;6;45;87;411;35;334;236
français;41;248;31;306;6;287;198
connaître;32;167;80;161;19;276;432
emji_mains_en_prière;665;24;14;28;17;48;102
changer;40;91;48;213;14;183;556
souvenir;553;123;21;98;4;39;237
france;12;176;53;573;12;111;158
fois;23;134;105;297;11;217;303
commentaire;23;110;44;61;19;754;98
seul;12;68;135;286;43;238;313
arrêter;5;40;220;302;33;215;252
demander;9;62;154;263;20;248;300
droit;5;18;360;199;12;213;149
question;9;46;66;167;11;596;118
emji_visage_faisant_un_clin_d_oeil;54;269;44;160;26;203;200
devenir;32;59;53;343;41;179;259
travail;22;28;50;482;8;129;218
emji_visage_avec_bouche_ouverte;232;123;32;68;15;69;124
raison;110;40;78;154;41;377;155
cas;8;52;90;278;14;322;174
jeune;61;69;20;111;8;147;501
sentir;21;68;46;163;22;385;208
emji_visage_qui_pleure_à_chaudes_larmes;61;391;5;15;9;17;25
police;16;7;334;130;6;167;135
exister;25;70;71;158;26;290;200
accord;44;30;196;202;19;205;131
humain;29;9;94;107;131;216;216
arriver;19;65;53;183;13;164;310
utiliser;0;147;99;208;10;202;111
laisser;10;25;81;176;56;157;295
besoin;11;41;64;251;44;164;200
état;3;12;291;260;11;91;78
adorer;387;147;10;40;27;53;119
animal;51;15;16;59;434;54;82
regarder;29;81;36;146;17;190;248
guerre;4;12;492;67;2;37;80
ca;16;86;47;116;18;140;281
coup;7;95;81;183;13;138;221
magnifique;583;14;6;38;7;27;72
argent;2;15;49;536;3;43;58
travailler;8;27;14;350;7;81;199
partir;8;45;74;310;8;131;134
moment;52;43;72;117;10;105;330
vidéo;36;95;43;41;13;185;290
etc;4;40;61;292;18;111;122
riche;9;12;11;551;2;34;34
plutôt;7;70;49;206;22;208;150
place;9;30;66;317;13;123;133
premier;21;87;69;160;9;202;134
mot;23;108;63;31;6;341;82
rendre;11;21;102;182;29;193;144
appeler;7;203;80;104;15;129;133
meilleur;128;81;24;164;16;78;160
jouer;109;77;24;81;5;43;313
école;34;57;18;71;3;40;412
niveau;6;25;15;196;11;213;169
part;8;48;67;201;16;180;145
genre;16;50;35;86;11;320;130
politique;5;5;119;231;2;171;78
palestinien;5;3;572;9;0;12;7
emji_drapeau_suisse;266;32;22;97;2;38;39
sûr;12;62;52;122;14;212;156
israël;1;1;561;10;0;12;7
importer;2;43;58;130;31;254;95
dernier;78;61;68;114;5;83;216
continuer;21;17;154;186;14;101;128
emji_pouce_vers_le_haut;348;32;8;24;6;38;42
famille;41;35;66;111;15;50;287
lire;5;37;36;59;6;386;69
apprendre;12;31;19;46;9;106;344
emji_visage_en_pleine_réflexion;6;85;40;88;13;194;60
exemple;19;19;48;243;15;141;106
compte;6;24;50;174;5;244;82
genève;11;88;30;360;3;17;47
sujet;6;16;27;102;9;384;38
manquer;37;60;18;117;13;125;216
pauvre;9;62;37;153;89;67;153
cause;3;19;95;175;26;143;102
perdre;16;35;48;173;18;90;185
partie;10;55;62;208;13;110;109
histoire;21;35;84;70;5;195;157
sortir;7;57;55;109;13;113;225
fin;21;71;65;92;6;104;218
société;8;6;27;161;7;227;127
entendre;29;110;39;47;8;187;150
idée;18;61;26;113;16;243;97
cher;13;38;12;384;12;36;53
oublier;13;68;68;141;10;90;172
rts;34;29;81;95;4;266;44
manger;5;105;6;72;219;28;84
respect;96;5;46;31;8;87;270
emji_visage_souriant_avec_yeux_rieurs;169;68;12;68;8;76;122
paix;100;11;298;11;6;29;57
permettre;6;18;49;247;5;107;106
malheureusement;10;17;45;95;26;108;248
écrire;7;36;31;50;2;344;56
gros;11;81;26;201;14;99;101
parent;12;50;8;61;10;28;341
revenir;17;45;24;248;11;62;111
finir;11;43;49;129;23;56;223
super;92;93;16;93;17;61;157
côté;5;71;48;128;11;130;142
social;5;4;28;228;2;142;109
emji_visage_roulant_des_yeux;4;163;34;86;6;86;86
population;0;2;123;222;12;95;71
peuple;7;4;262;120;1;69;46
heure;33;50;32;123;12;50;186
gauche;5;26;66;177;5;167;56
espérer;38;37;46;78;15;75;234
palestine;18;1;297;29;1;48;46
mort;7;42;154;77;26;80;105
pareil;29;125;15;91;13;114;128
nom;11;68;51;48;2;167;137
dieu;68;56;16;10;6;101;233
commencer;5;35;85;134;2;108;133
attendre;11;55;62;104;14;104;160
tuer;5;25;217;43;59;61;79
servir;5;73;64;183;4;108;60
faux;2;28;55;107;6;283;18
hamas;1;4;430;4;0;9;2
lieu;0;20;64;174;13;126;98
tête;13;136;22;70;10;110;121
moyen;2;27;74;230;8;62;82
emji_visage_avec_des_étoiles_à_la_place_des_yeux;322;13;0;13;0;5;18
simple;21;25;33;106;8;108;180
violence;2;3;118;40;4;170;107
triste;25;19;25;45;10;54;296
aider;2;7;51;172;12;94;121
simplement;14;12;37;157;6;166;83
classe;35;37;4;172;5;62;128
système;1;8;18;324;3;63;40
prix;4;14;50;336;3;17;17
chat;34;49;4;14;249;21;43
manifestation;0;3;349;29;1;29;24
accent;84;300;1;12;0;24;15
vieux;21;128;23;52;10;80;141
droite;0;8;72;122;1;208;24
public;1;17;60;267;1;57;41
fille;28;78;8;16;3;30;281
montrer;7;19;63;87;2;182;92
ville;9;15;38;271;16;22;57
pire;5;56;50;98;7;40;165
entreprise;0;5;19;369;1;9;8
emji_visage_souriant_aux_yeux_rieurs;55;243;3;29;6;27;46
impôt;0;3;10;385;1;10;5
salaire;0;3;2;365;1;19;20
loi;2;7;101;151;8;96;57
nouveau;9;17;46;164;4;74;118
emji_visage_boudeur;7;39;62;43;14;29;54
créer;7;11;45;178;19;105;64
