"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"8";"***";"";""
"**";"classe";"1";"**";"";""
"****";"427";"2750";"15.53";"****";""
"38";" 41";" 92.68";"188.900";"emji_ballon_de_football";"5.527100e-43"
"21";" 21";"100.00";"115.125";"match";"7.388852e-27"
"54";"108";" 50.00";"101.851";"monde";"5.987371e-24"
"21";" 28";" 75.00";" 76.283";"festival";"2.458158e-18"
"16";" 18";" 88.89";" 74.345";"joueur";"6.559789e-18"
"16";" 19";" 84.21";" 68.810";"football";"1.083949e-16"
"12";" 12";"100.00";" 65.569";"championnat";"5.610046e-16"
"12";" 13";" 92.31";" 58.707";"nati";"1.829814e-14"
"15";" 19";" 78.95";" 58.669";"battre";"1.865835e-14"
"14";" 17";" 82.35";" 58.239";"emji_notes_de_musique";"2.320838e-14"
"20";" 31";" 64.52";" 57.368";"artiste";"3.614797e-14"
"10";" 10";"100.00";" 54.601";"paléo";"1.476334e-13"
"11";" 12";" 91.67";" 53.271";"emji_trophée";"2.906230e-13"
"12";" 14";" 85.71";" 52.850";"emji_skieur";"3.599859e-13"
"16";" 23";" 69.57";" 51.637";"titre";"6.676994e-13"
" 9";"  9";"100.00";" 49.123";"épisode";"2.403684e-12"
"16";" 25";" 64.00";" 45.195";"champion";"1.783692e-11"
"27";" 57";" 47.37";" 44.992";"mondial";"1.978238e-11"
"13";" 18";" 72.22";" 44.402";"victoire";"2.674275e-11"
" 8";"  8";"100.00";" 43.649";"mémoire";"3.928321e-11"
" 8";"  8";"100.00";" 43.649";"canada";"3.928321e-11"
"12";" 16";" 75.00";" 43.399";"emblématique";"4.464514e-11"
"18";" 31";" 58.06";" 43.253";"remporter";"4.810993e-11"
"19";" 34";" 55.88";" 42.743";"histoire";"6.241992e-11"
" 9";" 10";" 90.00";" 42.439";"prestigieux";"7.292207e-11"
"10";" 12";" 83.33";" 42.248";"dédier";"8.040351e-11"
"14";" 21";" 66.67";" 42.194";"chanson";"8.266467e-11"
"11";" 15";" 73.33";" 38.424";"projection";"5.693030e-10"
" 7";"  7";"100.00";" 38.179";"marco";"6.453834e-10"
" 7";"  7";"100.00";" 38.179";"foot";"6.453834e-10"
" 9";" 11";" 81.82";" 37.002";"but";"1.179855e-09"
" 9";" 11";" 81.82";" 37.002";"emji_étincelles";"1.179855e-09"
"16";" 29";" 55.17";" 35.121";"célèbre";"3.097962e-09"
"10";" 14";" 71.43";" 33.526";"comédien";"7.033167e-09"
"16";" 30";" 53.33";" 33.052";"meilleur";"8.973213e-09"
" 6";"  6";"100.00";" 32.713";"harry";"1.068171e-08"
" 6";"  6";"100.00";" 32.713";"odermatt";"1.068171e-08"
" 6";"  6";"100.00";" 32.713";"collection";"1.068171e-08"
" 6";"  6";"100.00";" 32.713";"mélodie";"1.068171e-08"
" 6";"  6";"100.00";" 32.713";"louis";"1.068171e-08"
" 6";"  6";"100.00";" 32.713";"genèse";"1.068171e-08"
" 6";"  6";"100.00";" 32.713";"canne";"1.068171e-08"
" 9";" 12";" 75.00";" 32.502";"scène";"1.190955e-08"
"13";" 22";" 59.09";" 32.088";"the";"1.473171e-08"
" 7";"  8";" 87.50";" 31.687";"super";"1.811420e-08"
" 7";"  8";" 87.50";" 31.687";"studio";"1.811420e-08"
" 7";"  8";" 87.50";" 31.687";"of";"1.811420e-08"
" 7";"  8";" 87.50";" 31.687";"apparition";"1.811420e-08"
"11";" 17";" 64.71";" 31.542";"oeuvre";"1.952199e-08"
"10";" 15";" 66.67";" 30.072";"musical";"4.162428e-08"
" 9";" 13";" 69.23";" 28.721";"transformer";"8.360627e-08"
"19";" 42";" 45.24";" 28.705";"équipe";"8.430475e-08"
" 5";"  5";"100.00";" 27.251";"potter";"1.786871e-07"
" 5";"  5";"100.00";" 27.251";"roman";"1.786871e-07"
" 5";"  5";"100.00";" 27.251";"nostalgique";"1.786871e-07"
" 5";"  5";"100.00";" 27.251";"mexique";"1.786871e-07"
" 5";"  5";"100.00";" 27.251";"fier";"1.786871e-07"
"18";" 40";" 45.00";" 26.881";"couper";"2.163276e-07"
" 7";"  9";" 77.78";" 26.677";"propre";"2.404422e-07"
" 7";"  9";" 77.78";" 26.677";"album";"2.404422e-07"
" 7";"  9";" 77.78";" 26.677";"écran";"2.404422e-07"
" 7";"  9";" 77.78";" 26.677";"compétition";"2.404422e-07"
" 7";"  9";" 77.78";" 26.677";"awards";"2.404422e-07"
" 6";"  7";" 85.71";" 26.358";"pluie";"2.836925e-07"
" 6";"  7";" 85.71";" 26.358";"supporter";"2.836925e-07"
" 6";"  7";" 85.71";" 26.358";"exploit";"2.836925e-07"
" 6";"  7";" 85.71";" 26.358";"emji_appareil_photo_avec_flash";"2.836925e-07"
"13";" 25";" 52.00";" 25.588";"cinéma";"4.227290e-07"
"23";" 59";" 38.98";" 25.291";"connaître";"4.931080e-07"
"24";" 63";" 38.10";" 25.037";"devenir";"5.624671e-07"
"10";" 17";" 58.82";" 24.447";"rôle";"7.637028e-07"
" 8";" 12";" 66.67";" 24.031";"version";"9.477499e-07"
" 8";" 12";" 66.67";" 24.031";"allemand";"9.477499e-07"
"11";" 20";" 55.00";" 23.932";"acteur";"9.978869e-07"
" 9";" 15";" 60.00";" 22.743";"val";"1.852042e-06"
" 4";"  4";"100.00";" 21.793";"luc";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"werner";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"vision";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"vibrant";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"tournoi";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"taylor";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"régie";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"régaler";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"récit";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"qualification";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"nidwaldien";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"marquant";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"jazz";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"hockey";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"exemplaire";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"emji_mage_homme";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"défaite";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"contemporain";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"concert";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"canard";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"avisé";"3.037342e-06"
" 4";"  4";"100.00";" 21.793";"absinthe";"3.037342e-06"
" 6";"  8";" 75.00";" 21.636";"affronter";"3.295876e-06"
" 6";"  8";" 75.00";" 21.636";"thomas";"3.295876e-06"
" 8";" 13";" 61.54";" 21.082";"amateur";"4.399905e-06"
" 8";" 13";" 61.54";" 21.082";"série";"4.399905e-06"
" 8";" 13";" 61.54";" 21.082";"situer";"4.399905e-06"
" 8";" 13";" 61.54";" 21.082";"plonger";"4.399905e-06"
" 5";"  6";" 83.33";" 21.078";"info";"4.410091e-06"
" 5";"  6";" 83.33";" 21.078";"pop";"4.410091e-06"
" 5";"  6";" 83.33";" 21.078";"conquérir";"4.410091e-06"
" 5";"  6";" 83.33";" 21.078";"capturer";"4.410091e-06"
" 5";"  6";" 83.33";" 21.078";"bleu";"4.410091e-06"
"11";" 22";" 50.00";" 20.093";"fan";"7.375579e-06"
"96";"421";" 22.80";" 20.062";"!";"7.498187e-06"
