"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
".";1;1;1;0,013;0,813;1;0,156;0,024
",";0,398;0,637;1;0,136;1;0,631;0,046;0,001
"suisse";0,001;1;1;0,809;1;0,101;0,608;0,002
"!";0;1;0;1;0;0,027;1;1
"?";1;1;0;1;0;0,001;1;1
"emji_drapeau_suisse";0,914;0;1;0;1;1;1;0,295
":";1;1;1;1;0,007;0;1;1
"année";1;1;0;1;1;0,532;1;0,272
"premier";0,017;0;1;1;1;1;1;0,113
"émission";1;1;0,206;1;0,555;0;1;1
"genève";1;1;1;0;1;0,978;1;0,99
"petit";1;1;0;1;0;0,168;1;1
"jeune";1;1;1;1;0,143;0;1;0,265
"grand";0,3;0,083;1;0,785;0,529;0,018;1;1
"retrouver";0,504;1;0,03;1;0,579;0;1;1
"monde";0;1;1;1;0,501;1;1;0,558
"rts";0,011;0,161;1;1;1;1;0,123;1
"jour";0,516;0,363;0,005;0,003;1;1;1;1
"femme";1;1;1;1;1;0,954;1;0
"vie";1;1;1;1;0,001;0;1;1
"enfant";1;1;1;1;0,003;0;0,906;0,022
"miracle";1;1;1;1;0,155;0;1;1
"archive";0,01;1;0,903;1;0,194;0,509;1;1
"annoncer";1;0;1;0;1;1;0,345;1
"samedi";1;0,266;1;0;1;1;1;1
"mettre";1;0;1;1;1;1;0,126;1
"lausanne";1;1;1;0;1;0;1;1
"aller";0,778;1;0,025;0,328;1;0,523;1;1
"pays";1;0;1;1;1;1;0,928;1
"conseil";1;0;1;1;1;1;1;1
"dernier";0,548;0,143;1;0;1;1;1;0,197
"prendre";1;0,711;0,01;1;0,406;1;0,804;1
"heure";1;1;0,002;0,017;1;1;0,856;1
"public";0,046;0,003;1;0,75;1;0,746;0,629;1
"nouveau";0,142;0,313;1;0,007;1;1;0,002;1
"homme";1;1;1;0,172;1;0;1;0
"fin";1;0;0,006;0,33;1;1;1;1
"passer";1;1;1;0,156;0,005;0,062;1;0,308
"temps";1;1;0,712;1;0;1;1;1
"novembre";0;0,003;1;0,006;1;1;1;1
"noël";1;1;0;0,775;1;1;1;1
"fédéral";1;0;1;1;1;1;1;0
"canton";1;0,024;1;0;1;1;0,028;1
"face";0,375;0,078;1;0,261;1;1;0,091;0,265
"franc";1;0,003;1;0;1;1;0;1
"décembre";0,427;0,205;1;0;1;1;0,142;1
"devenir";0;0,017;1;1;1;1;1;1
"partir";1;0,001;1;1;0;1;0,836;1
"ville";0,465;1;1;0;0,321;0,815;1;1
"notamment";0,91;1;1;1;1;1;0;0,438
"mondial";0;1;1;1;1;1;1;0,011
"jeudi";1;0;1;0;1;1;1;1
"romand";0,004;1;1;1;1;0;1;1
"fête";1;1;0;1;1;0,71;1;1
"connaître";0;1;1;1;0,192;1;1;0,857
"travail";1;0,206;1;1;1;0,569;0;0,939
"national";1;0;1;1;1;1;1;0,646
"lundi";1;0;1;0;1;1;1;1
"lancer";1;0,162;0,085;0,965;1;1;0,014;1
"dimanche";0,446;0,001;1;0;1;1;1;1
"vaudois";0,583;0,003;1;0,965;0,681;0,71;1;1
"révéler";1;1;1;1;1;1;0;0
"permettre";1;1;1;1;1;0,745;0;0,752
"voir";0,583;1;1;0,965;0,006;1;0,758;1
"viser";1;0;1;1;1;1;0;0,038
"rester";1;1;1;1;1;1;0,008;0,001
"rencontre";1;0,749;0,472;1;0;0,346;1;1
"près_de";1;1;1;0;1;1;0,018;0,272
"place";0,068;0,294;1;1;1;0,467;0,812;0,473
"diffuser";0,281;1;1;1;1;0,002;0,48;1
"santé";1;0,661;1;1;1;1;1;0
"projet";1;0,003;1;0,009;1;1;0,005;1
"prix";0,095;0,617;1;1;1;1;0;1
"nombreux";0,826;1;0,509;0,689;0,003;1;1;1
"service";1;0;1;0,001;1;0,988;0,92;1
"mort";1;0,008;1;0,107;1;1;1;0,669
"mois";0,725;0,234;1;0,001;1;1;0,199;0,748
"lien";0,198;1;1;1;1;0,001;0,867;1
"état";1;0;1;1;1;1;1;0,708
"suivre";1;1;0,012;1;0,751;0,894;0,14;1
"semaine";1;0,075;0,027;0,107;1;1;1;1
"nouvelle";0,08;1;1;0,201;1;1;0,004;1
"français";0,272;0;1;1;1;0,199;1;1
"vendredi";1;0,205;1;0;1;1;1;0,87
"bio";0,016;1;0,229;1;1;0,017;1;1
"beau";0,526;1;0;1;1;1;1;1
"américain";0,907;0;1;1;1;1;1;1
"question";1;1;0,698;1;0,023;0;1;1
"président";1;0;1;1;1;1;1;1
"aimer";1;1;0,703;1;0;0,022;1;1
"proposer";0,624;1;0;1;1;1;1;1
"offrir";0,674;1;0,003;1;1;1;0;1
"mardi";1;0;1;0;1;1;1;0,87
"journée";1;1;0;0,491;1;0,309;1;1
"fois";0,324;0,605;1;0,847;1;1;0,135;1
"atteindre";1;1;1;0,415;1;1;0,101;0
"âge";0,574;0,946;1;1;0;0,623;1;1
"présenter";1;0,652;0,343;0,107;1;0,046;1;0,344
"début";1;1;1;0,186;0;0,947;1;1
"clip";0,394;1;0,387;1;1;1;0,232;1
"équipe";0;1;1;1;0,679;0,988;1;1
"social";1;0,605;1;1;1;1;0;0,04
"ski";0,303;1;0;1;1;1;0,356;1
"prévoir";1;0;1;0;1;1;0,734;1
"jeu";1;1;1;1;0;1;1;1
"initiative";1;0;1;1;1;1;0,828;1
"couper";0;0,469;1;1;1;0,507;1;1
"animal";0,783;1;1;1;0,002;1;0,875;0,006
"retour";0,287;1;0,502;0,079;1;1;1;0,994
"rendre";0,067;0,158;1;1;1;1;0,312;1
"famille";1;0,896;1;0,453;0,082;0,584;1;0,591
"découvrir";0,001;1;1;1;0,811;0;1;1
"droit";1;0;1;1;1;1;0,782;0,475
"police";1;1;1;0;1;1;1;1
"occasion";0,021;1;0,326;1;1;0,057;1;1
"gaza";1;0,007;1;0,97;1;1;0,038;1
"amour";1;1;1;1;0;0,396;1;1
"étude";1;1;1;1;1;1;0;0
"école";1;0,959;1;1;0,022;0,001;1;0,738
"octobre";0,015;1;1;0;1;1;1;1
"nuit";1;1;0,056;0;1;1;1;1
"matin";1;1;1;0;0,243;1;1;1
"international";1;0,108;1;0,494;1;1;0,108;0,33
"emji_drapeau_états_unis";1;0;1;1;1;1;1;1
"emji_ballon_de_football";0;1;1;1;1;1;1;1
"histoire";0;1;1;1;1;1;1;1
"enquête";1;0,234;1;0,379;1;1;0;0
"victime";1;0,538;1;0,217;1;1;1;0
"saison";0,849;1;0;0,537;1;1;1;1
"mercredi";1;0;1;0,074;1;1;1;1
"ligne";1;1;1;0;1;1;0,319;0
"créer";0;0,383;1;1;1;1;0,06;1
"unir";0,731;0;1;1;1;1;1;0,296
"souligner";1;1;1;1;1;1;0;0,002
"revenir";0,024;1;1;1;1;0,292;0,001;1
"partie";1;0,001;1;0,451;1;1;0,949;0,103
"marquer";1;0;1;0,626;1;1;1;0,826
"emji_drapeau_france";1;0;1;0,009;1;1;1;1
"trouver";1;1;0;1;1;0,002;1;0,783
"tour";0,137;0,016;1;1;1;0,011;1;1
"demander";1;0;1;1;1;1;0;1
"attendre";1;0,905;1;0,217;0,346;1;1;0,33
"armée";1;1;1;1;0,477;0;1;0,938
"ancien";0,514;0;1;1;1;1;0,639;1
"suite";1;0;1;0;1;1;1;1
"sortir";1;0,108;0,215;1;0,647;1;1;1
"soir";0,462;0,009;0,767;0,004;1;1;1;1
"partager";1;1;1;1;0,346;0,001;0,032;1
"ouvrir";1;0,959;0,825;0,246;1;1;0,01;1
"groupe";0,275;0,012;1;1;1;1;1;0
"train";1;1;1;0;1;1;1;1
"souvenir";1;1;0,84;1;0;0,918;1;1
"publier";1;1;1;0,164;1;1;0,497;0
"prochain";1;0,028;1;0;1;1;1;1
"jean";0;1;1;1;1;0;1;1
"voiture";1;1;1;1;0,032;0;1;1
"télévision";0,004;1;1;1;1;0;1;1
"trump";1;0;1;1;1;1;1;1
"saint";0,112;1;0,533;0,032;1;1;1;1
"population";1;0,012;1;1;1;0,966;1;0
"france";0,048;0,003;1;0,14;1;1;1;1
"eau";1;1;0,261;0,006;0,194;0,966;1;1
"également";1;0,68;1;0,694;1;1;0,162;0,002
"valoir";0,554;0,68;0,261;1;0,433;0,966;1;1
"sécurité";1;1;1;0,159;1;1;0,523;0
"réseau";1;0,794;1;1;1;1;0;0,004
"rapport";1;1;1;1;1;1;0,039;0
"raconter";0,09;1;1;1;1;0;1;1
"neige";0,164;1;0;0,22;1;1;1;1
"haut";0,926;1;1;1;0,787;0;1;1
"art";0,235;1;0,084;1;0,163;1;1;0,47
"vivre";1;1;1;1;0;1;1;1
"venir";0,862;1;0;1;0,727;1;1;1
"vacance";1;1;0,517;1;0;0,662;1;1
