"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"9";"***";"";""
"**";"classe";"1";"**";"";""
"****";"71";"1196";"5.94";"****";""
"44";" 46";" 95.65";"689.572";"samedi";"5.537609e-152"
"41";" 41";"100.00";"672.709";"18h45";"2.573262e-148"
"42";" 43";" 97.67";"672.233";"clip";"3.265387e-148"
"52";" 68";" 76.47";"642.364";"rts";"1.022868e-141"
"43";" 49";" 87.76";"612.519";"diffuser";"3.167777e-135"
"52";" 79";" 65.82";"543.265";"archive";"3.673437e-120"
"51";" 96";" 53.12";"416.231";"retrouver";" 1.613722e-92"
"33";" 47";" 70.21";"361.962";"bio";" 1.053113e-80"
"49";"110";" 44.55";"323.387";"émission";" 2.649354e-72"
"42";" 84";" 50.00";"314.135";"miracle";" 2.744778e-70"
"30";" 45";" 66.67";"308.837";"lien";" 3.913440e-69"
"14";" 16";" 87.50";"193.203";"complet";" 6.357929e-44"
"11";" 14";" 78.57";"133.840";"automne";" 5.923118e-31"
" 6";"  6";"100.00";" 95.550";"info";" 1.442197e-22"
"42";"216";" 19.44";" 86.137";"suisse";" 1.678577e-20"
" 3";"  3";"100.00";" 47.655";"play";" 5.082902e-12"
" 5";"  8";" 62.50";" 46.146";"entier";" 1.097883e-11"
" 5";"  9";" 55.56";" 39.983";"document";" 2.562207e-10"
" 3";"  6";" 50.00";" 20.967";"dossier";" 4.671507e-06"
" 2";"  3";" 66.67";" 19.864";"inscription";" 8.313886e-06"
" 3";"  8";" 37.50";" 14.369";"humour";" 1.502525e-04"
" 2";"  4";" 50.00";" 13.955";"site";" 1.872536e-04"
" 4";" 14";" 28.57";" 12.997";"compte";" 3.119401e-04"
" 2";"  5";" 40.00";" 10.433";"revoir";" 1.237652e-03"
" 2";"  5";" 40.00";" 10.433";"amoureux";" 1.237652e-03"
" 2";"  6";" 33.33";"  8.106";"décembre";" 4.412691e-03"
" 3";" 12";" 25.00";"  7.889";"spécial";" 4.973756e-03"
" 4";" 20";" 20.00";"  7.204";"découvrir";" 7.272698e-03"
" 2";"  7";" 28.57";"  6.460";"fils";" 1.103053e-02"
" 2";"  8";" 25.00";"  5.242";"émotion";" 2.205303e-02"
" 1";"  3";" 33.33";"  4.043";"immense";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"jurer";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"inventer";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"imier";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"écrivain";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"visionner";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"tatouage";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"tabou";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"sympa";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"parcours";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"htag_sécurité";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"htag_santé";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"htag_mobilité";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"gars";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"canular";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"association";" 4.436423e-02"
" 1";"  3";" 33.33";"  4.043";"album";" 4.436423e-02"
" 2";" 11";" 18.18";"  2.981";"époque";" 8.423350e-02"
" 2";" 11";" 18.18";"  2.981";"image";" 8.423350e-02"
" 1";"  4";" 25.00";"  2.612";"juillet";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"évolution";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"peau";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"hardy";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"compter";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"coin";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"avril";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"tournage";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"touchant";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"intégralité";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"interprète";" 1.060577e-01"
" 1";"  4";" 25.00";"  2.612";"enfance";" 1.060577e-01"
" 4";" 32";" 12.50";"  2.537";"souvenir";" 1.112322e-01"
" 2";" 12";" 16.67";"  2.499";"projection";" 1.138926e-01"
"*****";"*";"*";"*";"*";"*"
"39";" 46";"84.78";"532.603";"1";"7.667153e-118"
"37";" 43";"86.05";"512.620";"htag_miraclesuisse";"1.706440e-113"
"36";" 42";"85.71";"496.124";"htag_madeinswitzerland";"6.625621e-110"
"42";" 57";"73.68";"491.953";"plein";"5.356246e-109"
"34";" 38";"89.47";"490.476";"htag_suissitude";"1.122589e-108"
"45";" 73";"61.64";"432.067";"autres";" 5.767333e-96"
"41";" 72";"56.94";"356.965";"tous";" 1.289794e-79"
"29";" 68";"42.65";"174.007";"htag_suisse";" 9.866406e-40"
"22";" 47";"46.81";"146.357";"notre";" 1.084673e-33"
"52";"237";"21.94";"135.580";"sur";" 2.465491e-31"
"19";" 40";"47.50";"128.029";"cet";" 1.105879e-29"
"57";"292";"19.52";"127.661";"dans";" 1.331465e-29"
"42";"188";"22.34";"107.492";"ce";" 3.472260e-25"
"49";"334";"14.67";" 63.309";"d";" 1.766551e-15"
"54";"462";"11.69";" 44.601";"l";" 2.415667e-11"
"57";"530";"10.75";" 39.570";"et";" 3.165215e-10"
" 5";" 10";"50.00";" 35.064";"via";" 3.191058e-09"
"50";"462";"10.82";" 32.184";"à";" 1.402118e-08"
"48";"487";" 9.86";" 22.605";"les";" 1.990175e-06"
"52";"582";" 8.93";" 18.250";"le";" 1.936790e-05"
" 2";"  4";"50.00";" 13.955";"htag_jura";" 1.872536e-04"
" 4";" 14";"28.57";" 12.997";"toutes";" 3.119401e-04"
" 2";"  6";"33.33";"  8.106";"htag_swissfood";" 4.412691e-03"
" 2";"  6";"33.33";"  8.106";"htag_sport";" 4.412691e-03"
"58";"792";" 7.32";"  8.075";"htag_rtsarchives";" 4.488125e-03"
" 7";" 45";"15.56";"  7.748";"toujours";" 5.377249e-03"
" 4";" 22";"18.18";"  6.018";"tard";" 1.415753e-02"
" 2";"  8";"25.00";"  5.242";"parmi";" 2.205303e-02"
" 8";" 68";"11.76";"  4.386";"nous";" 3.623730e-02"
" 1";"  3";"33.33";"  4.043";"htag_recette";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"laquelle";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"htag_temoignage";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"htag_rts";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"htag_newyork";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"htag_nendaz";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"htag_famille";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"htag_chanteur";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"htag_catlover";" 4.436423e-02"
" 1";"  3";"33.33";"  4.043";"55";" 4.436423e-02"
" 2";" 10";"20.00";"  3.572";"htag_christmas";" 5.876844e-02"
" 1";"  4";"25.00";"  2.612";"htag_television";" 1.060577e-01"
" 1";"  4";"25.00";"  2.612";"htag_babibouchettes";" 1.060577e-01"
" 1";"  4";"25.00";"  2.612";"htag_ecolo";" 1.060577e-01"
" 1";"  4";"25.00";"  2.612";"e";" 1.060577e-01"
"*";"*";"*";"*";"*";"*"
"5";" 9";" 55.56";"39.983";"*postReposts_9";"2.562207e-10"
"2";" 2";"100.00";"31.743";"*a_0993";"1.759622e-08"
"2";" 2";"100.00";"31.743";"*a_0920";"1.759622e-08"
"2";" 2";"100.00";"31.743";"*postDate_29-8-2025";"1.759622e-08"
"2";" 3";" 66.67";"19.864";"*postDate_19-12-2025";"8.313886e-06"
"2";" 3";" 66.67";"19.864";"*a_0964";"8.313886e-06"
"2";" 3";" 66.67";"19.864";"*postLikes_857";"8.313886e-06"
"2";" 3";" 66.67";"19.864";"*postDate_7-11-2025";"8.313886e-06"
"2";" 3";" 66.67";"19.864";"*a_0955";"8.313886e-06"
"2";" 3";" 66.67";"19.864";"*postDate_24-10-2025";"8.313886e-06"
"1";" 1";"100.00";"15.858";"*a_0977";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postDate_26-11-2025";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*a_0950";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postReposts_43";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postDate_15-10-2025";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*a_0934";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*a_0706";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postLikes_718";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postDate_15-9-2024";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*a_0666";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postDate_11-7-2024";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postDate_27-11-2023";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*a_0531";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postLikes_119";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*a_0521";"6.826538e-05"
"1";" 1";"100.00";"15.858";"*postDate_10-11-2023";"6.826538e-05"
"2";" 4";" 50.00";"13.955";"*postLikes_320";"1.872536e-04"
"2";" 4";" 50.00";"13.955";"*postReposts_30";"1.872536e-04"
"2";" 4";" 50.00";"13.955";"*postComments_54";"1.872536e-04"
"2";" 4";" 50.00";"13.955";"*postReposts_16";"1.872536e-04"
"2";" 4";" 50.00";"13.955";"*postReposts_4900";"1.872536e-04"
"2";" 4";" 50.00";"13.955";"*a_0928";"1.872536e-04"
"2";" 4";" 50.00";"13.955";"*postDate_12-9-2025";"1.872536e-04"
"2";" 4";" 50.00";"13.955";"*postLikes_3700";"1.872536e-04"
"2";" 5";" 40.00";"10.433";"*postComments_56";"1.237652e-03"
"2";" 6";" 33.33";" 8.106";"*postReposts_11";"4.412691e-03"
"1";" 2";" 50.00";" 6.966";"*a_0988";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_10200";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postReposts_167";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postReposts_20";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0957";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_27-10-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_22-9-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0931";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_195100";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postComments_880";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_17-9-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0921";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_109300";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postComments_1500";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_31-8-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0919";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postComments_240";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postReposts_218";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_27-8-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0914";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_912";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_19-8-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0907";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_834";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_10-8-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0894";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_20-7-2025";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0731";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_573";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_25-10-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0723";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_781";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_12-10-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0718";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0717";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_241";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_3-10-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0713";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_27-9-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0701";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_6-9-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0692";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_23-8-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0662";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_3-7-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0650";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_881";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0646";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_6-6-2024";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0534";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_914";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_1-12-2023";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0529";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_24-11-2023";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0525";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_561";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_17-11-2023";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0524";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_15-11-2023";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0499";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_277";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_6-10-2023";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0491";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_22-9-2023";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0406";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_21-4-2023";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0338";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_24-12-2022";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0333";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_516";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_16-12-2022";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0262";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_17-8-2022";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0248";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_27-7-2022";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0240";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postLikes_624";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_13-7-2022";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0232";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_29-6-2022";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*a_0032";"8.308510e-03"
"1";" 2";" 50.00";" 6.966";"*postDate_8-8-2021";"8.308510e-03"
"7";"48";" 14.58";" 6.696";"*postLikes_1300";"9.664175e-03"
"5";"30";" 16.67";" 6.345";"*postComments_21";"1.177220e-02"
"3";"16";" 18.75";" 4.768";"*postLikes_2600";"2.898924e-02"
"3";"16";" 18.75";" 4.768";"*postLikes_2000";"2.898924e-02"
"2";" 9";" 22.22";" 4.307";"*postComments_47";"3.795229e-02"
"1";" 3";" 33.33";" 4.043";"*postLikes_2700";"4.436423e-02"
"1";" 3";" 33.33";" 4.043";"*postReposts_19";"4.436423e-02"
