"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
",";-0,0633916213144899;-0,148891194903781;0,00467823272749116;-0,0507705971104226;0,0351497600607155;-0,0600842139043708;-0,0827413468868356;0,0258030396565663;0,00539856499478496;-0,312409290817121;-0,73377193459117;0,0230554659806262;-0,250209821246572;0,173226546115331;-0,296109584609695;-0,407769433344044;0,127163640129068;0,0266054381711388;0,126792558993268;0,59310667640622;0,000550082693393667;0,0608670622334288;0,0263079899969426;0,0663642298972665;0,115559599489161;0,0100201826344721;0,000431617655872221;0,000250517346389435;0,00138201295573942;1,36438749208065e-06;0,000160693616934656;7,70227132614292e-05;0,000225058205093277;0,000426794934375715;4,15064722905481e-05;1,8168988600541e-06;0,0623410458408287;0,107772303775333;0,000724083109506095
".";-0,0821833061652887;-0,0816758794636712;0,00226449890412195;-0,0193078572142763;0,0208517982457387;0,0124687212906746;-0,0778969510750645;-0,0151605009997931;0,0159248877184641;-0,567868085808171;-0,564361881894253;0,0156471760263834;-0,133412932977859;0,144081216830712;0,0861560482559599;-0,538250340139918;-0,104755638150289;0,11003737775171;0,408038927163262;0,341732869272409;0,000246781669151344;0,0168550593969838;0,0177269613852618;0,00547219365972983;0,196112874977014;0,00662316136500451;0,00719117111121003;0,000481388008701939;0,000475461865256659;3,65487291389999e-07;2,65702846838103e-05;3,09895363875105e-05;1,10808196270439e-05;0,000432482929087702;1,63815562532643e-05;1,80751041575397e-05;0,0712734942001117;0,0778852109801504;0,000432352577181719
"suisse";0,106116641539196;0,0851900012831582;0,733269883955548;0,157663568902404;0,0439034416203778;-0,387650780565165;-0,122931783212134;-0,213377974739388;0,149279789762973;0,11745956079194;0,0942960499827784;0,811649871896506;0,174516393353119;0,0485963266004738;-0,429087179592078;-0,136072090616756;-0,236186170538621;0,16523646325723;0,0189751935755009;0,0103695809299528;0,721740716705293;0,0313479884804475;0,00219194294026479;0,147531171573784;0,0136231767760369;0,0365950419040142;0,0176251871146698;0,000170437376913354;0,000109843685983771;0,00813814728259715;0,000376236178525309;2,91739329701505e-05;0,00227446455878412;0,000228731622789311;0,000689123445527411;0,000337287213828503;0,0151355374976738;0,466350642824238;0,00329172092198186
"emji_drapeau_suisse";0,379810083188988;0,44009409381422;0,468247773247003;0,62999527440997;0,0855795395842145;0,0124041691180503;0,234797381742333;-0,010527827881054;0,0288403139354431;0,376504083313062;0,43626336081385;0,464171980768669;0,62451157507912;0,0848346253237196;0,0122961988892956;0,232753623165967;-0,0104361899830385;0,0285892777504854;0,176969676802132;0,201475244715441;0,214265183254525;0,364391477939258;0,00606343406152107;0,000109972596430778;0,036181218127265;6,48555697685488e-05;0,000478936933664343;0,0020760078305161;0,0027873216455032;0,00315534933930775;0,00571176841515435;0,000105398856283326;2,21427401960999e-06;0,000793382298228939;1,59504727344449e-06;1,19700502593896e-05;0,0143911668010669;0,546561771049269;0,00429906994236232
"premier";0,439291718713309;-0,194324557828241;-0,429108737499451;0,258820465775192;-0,328813269077393;-0,0821608838727183;0,588069035148837;0,203470128074072;-0,150194797328232;0,437867913770173;-0,193694725181227;-0,427717937000448;0,257981593010564;-0,327747540000478;-0,0818945891359702;0,5861630224391;0,202810653374706;-0,149707995310895;0,270257623642854;0,044842728689767;0,205419148377579;0,070209664959352;0,102184137009032;0,00550789142343165;0,259095191501796;0,0276552180886149;0,0148283963075645;0,00101749663178822;0,000199105072321011;0,000970871300220934;0,000353202831576666;0,000570066627586117;3,5592390130478e-05;0,00182340680842226;0,000218287197231607;0,000118942407870469;0,00527262576763228;0,511547810328811;0,00137974683899492
"année";0,050412280656702;-0,86383942480547;0,250343647593778;0,0514579929294746;0,333131788727504;-0,836155684721602;0,449095194306029;-0,334934491831819;-0,670412315910827;0,0326258349125888;-0,559059857986055;0,162017476920558;0,0333025992948607;0,215596330925251;-0,541143486777025;0,290645562521631;-0,216763004860881;-0,433877643648426;0,00164834003381149;0,410397675058086;0,0323803512191289;0,00128530901085025;0,0485757102844922;0,264199294240793;0,0699812569806274;0,0347054526450699;0,136826610527157;1,43457119119111e-05;0,00421226277639044;0,000353771274241098;1,49470366792393e-05;0,000626443010243257;0,00394660541823676;0,0011384821607182;0,000633241198281505;0,00253707544647153;0,00564481111593574;0,751683699816653;0,00318947850604024
"genève";0,118379303950579;-0,200398023276067;0,417758142315048;0,536010532962892;-0,01851716762592;0,0923831386309053;-1,20009421397101;0,430036989430026;0,755633454599001;0,0717645473145211;-0,121486382696893;0,25325561960316;0,324943228843077;-0,0112255783559602;0,056005010184123;-0,727527660040649;0,260699369273444;0,458084234281729;0,00913537164836376;0,0221986343057066;0,0906272475790079;0,140168057398346;0,000150846994787764;0,0032414798463219;0,502268737416549;0,0575029507832529;0,174706674027647;5,47646271968789e-05;0,000156940646807033;0,000682022053510499;0,00112278142554254;1,33997805991219e-06;3,33529304080216e-05;0,00562832614053854;0,000722703565133461;0,0022313665911346;0,00390794615718628;0,749781745332298;0,00219694050833778
":";-0,281440987430918;-0,305781272906785;0,293743554434318;-0,131897300491713;-0,147463970428337;0,880941391604527;0,257200500221402;-0,569179727675542;0,0363341002863069;-0,232474057187746;-0,252579461767708;0,242636143709725;-0,108948951811598;-0,121807231446357;0,727669488798932;0,212451087323816;-0,470150143266635;0,030012457620081;0,0882451517019217;0,0883288680447285;0,0765750240028549;0,01450493299667;0,0163493653455624;0,503724922156669;0,0394267144701184;0,172154690134854;0,000690331146625774;0,0003144580287817;0,000371201535827282;0,000342550564443227;6,9065285288014e-05;8,63296225275924e-05;0,00308093139807057;0,000262622308051915;0,00128613584724245;5,24103206943651e-06;0,00396997704857019;0,573540524867284;0,00130591892280643
"annoncer";0,121184835825954;-0,0999169694553488;-1,00542279710392;0,52923961302201;-0,0885472810814722;-0,172201121647232;0,417727253632354;0,81113826283052;-0,204905033103081;0,0811958016668561;-0,066945986927783;-0,673649549207891;0,354599107720833;-0,0593281116719621;-0,115377538986477;0,279884021838227;0,543475766289563;-0,137289689052128;0,00987293323637398;0,00569105631220593;0,541354045808963;0,140923064741824;0,00355723857869933;0,0116146155320225;0,0627575631093902;0,210980962248731;0,0132485204317845;4,09936976327368e-05;2,78675662385305e-05;0,00282174648236044;0,000781853207594188;2,1886231896995e-05;8,27737226813107e-05;0,000487086572124888;0,00183658195299591;0,000117199507883746;0,00279139011227591;0,73832465196467;0,00152165176641919
"!";4,14484115319694;1,44671857756514;0,892200970764262;-0,395437385097214;-0,761222704221979;0,00204690869608895;-0,0584657994881375;0,367837682300208;0,107856100437864;0,905450949445001;0,316039303128834;0,194903540622095;-0,0863842889385894;-0,166291009667586;0,000447152340415132;-0,012772000590605;0,0803550646141122;0,0235614357547997;0,851810925162866;0,0879954616601524;0,0314403298697025;0,00580243955547837;0,0193893736462486;1,21034062151206e-07;9,06696661106667e-05;0,00319995379798598;0,000270725607397425;0,0639403567467339;0,00778981940080178;0,00296267938303837;0,000581988929467858;0,0021566652394629;1,55939527701429e-08;1,27222245882529e-05;0,000503583749841779;4,32960923081547e-05;0,00372185348303455;2,71868242033105;0,0275090903887492
