"";"V1"
"1";7
"2";1
"3";1
"4";6
"5";2
"6";7
"7";2
"8";4
"9";0
"10";5
"11";7
"12";5
"13";9
"14";10
"15";0
"16";2
"17";2
"18";6
"19";9
"20";0
"21";0
"22";3
"23";3
"24";7
"25";8
"26";0
"27";9
"28";0
"29";1
"30";5
"31";0
"32";0
"33";10
"34";4
"35";0
"36";0
"37";2
"38";2
"39";0
"40";1
"41";2
"42";0
"43";0
"44";1
"45";0
"46";9
"47";9
"48";0
"49";9
"50";0
"51";10
"52";4
"53";0
"54";7
"55";3
"56";0
"57";4
"58";1
"59";9
"60";9
"61";0
"62";0
"63";10
"64";10
"65";0
"66";0
"67";0
"68";7
"69";0
"70";9
"71";0
"72";0
"73";0
"74";2
"75";4
"76";9
"77";10
"78";0
"79";9
"80";9
"81";9
"82";6
"83";9
"84";7
"85";0
"86";0
"87";0
"88";0
"89";7
"90";10
"91";4
"92";2
"93";0
"94";3
"95";0
"96";0
"97";0
"98";5
"99";3
"100";2
"101";0
"102";2
"103";2
"104";4
"105";4
"106";9
"107";9
"108";1
"109";6
"110";3
"111";9
"112";0
"113";0
"114";2
"115";4
"116";5
"117";2
"118";2
"119";2
"120";5
"121";7
"122";2
"123";0
"124";2
"125";2
"126";9
"127";0
"128";0
"129";0
"130";9
"131";7
"132";0
"133";7
"134";9
"135";10
"136";0
"137";4
"138";0
"139";8
"140";10
"141";10
"142";1
"143";10
"144";3
"145";2
"146";6
"147";6
"148";1
"149";0
"150";0
"151";6
"152";5
"153";5
"154";5
"155";2
"156";7
"157";6
"158";8
"159";0
"160";0
"161";2
"162";4
"163";3
"164";3
"165";1
"166";0
"167";0
"168";0
"169";7
"170";9
"171";9
"172";4
"173";6
"174";0
"175";1
"176";6
"177";6
"178";0
"179";0
"180";8
"181";8
"182";1
"183";7
"184";0
"185";1
"186";0
"187";0
"188";0
"189";3
"190";3
"191";0
"192";1
"193";0
"194";7
"195";7
"196";7
"197";0
"198";10
"199";9
"200";10
"201";4
"202";5
"203";1
"204";0
"205";5
"206";5
"207";3
"208";6
"209";7
"210";0
"211";1
"212";9
"213";9
"214";0
"215";0
"216";3
"217";6
"218";10
"219";10
"220";0
"221";7
"222";2
"223";2
"224";9
"225";1
"226";7
"227";0
"228";0
"229";0
"230";5
"231";0
"232";6
"233";0
"234";4
"235";5
"236";7
"237";6
"238";8
"239";2
"240";1
"241";0
"242";0
"243";7
"244";0
"245";6
"246";0
"247";4
"248";0
"249";2
"250";0
"251";6
"252";0
"253";10
"254";10
"255";10
"256";10
"257";9
"258";10
"259";0
"260";1
"261";10
"262";5
"263";7
"264";0
"265";9
"266";9
"267";3
"268";6
"269";8
"270";0
"271";2
"272";0
"273";0
"274";7
"275";10
"276";0
"277";0
"278";2
"279";0
"280";6
"281";0
"282";3
"283";3
"284";0
"285";0
"286";1
"287";1
"288";6
"289";5
"290";6
"291";0
"292";0
"293";9
"294";0
"295";4
"296";10
"297";4
"298";0
"299";0
"300";6
"301";10
"302";2
"303";1
"304";3
"305";5
"306";5
"307";1
"308";2
"309";2
"310";6
"311";5
"312";5
"313";1
"314";6
"315";8
"316";6
"317";0
"318";9
"319";6
"320";0
"321";6
"322";6
"323";0
"324";0
"325";10
"326";8
"327";1
"328";0
"329";3
"330";2
"331";2
"332";7
"333";1
"334";2
"335";9
"336";0
"337";6
"338";9
"339";9
"340";0
"341";0
"342";9
"343";7
"344";2
"345";7
"346";6
"347";6
"348";7
"349";0
"350";0
"351";7
"352";7
"353";7
"354";5
"355";5
"356";0
"357";4
"358";0
"359";7
"360";6
"361";0
"362";0
"363";9
"364";9
"365";0
"366";8
"367";8
"368";8
"369";0
"370";3
"371";0
"372";0
"373";5
"374";1
"375";10
"376";0
"377";0
"378";7
"379";4
"380";4
"381";4
"382";8
"383";10
"384";7
"385";7
"386";7
"387";7
"388";0
"389";0
"390";0
"391";0
"392";7
"393";7
"394";0
"395";3
"396";0
"397";0
"398";1
"399";1
"400";7
"401";7
"402";7
"403";0
"404";7
"405";7
"406";0
"407";2
"408";0
"409";0
"410";0
"411";7
"412";7
"413";0
"414";2
"415";7
"416";2
"417";0
"418";4
"419";3
"420";2
"421";1
"422";2
"423";0
"424";3
"425";0
"426";0
"427";8
"428";10
"429";10
"430";6
"431";1
"432";6
"433";6
"434";6
"435";2
"436";5
"437";10
"438";6
"439";0
"440";0
"441";10
"442";2
"443";2
"444";0
"445";0
"446";0
"447";10
"448";4
"449";3
"450";2
"451";3
"452";6
"453";0
"454";10
"455";9
"456";8
"457";6
"458";9
"459";6
"460";1
"461";7
"462";0
"463";0
"464";0
"465";8
"466";5
"467";4
"468";3
"469";10
"470";0
"471";0
"472";9
"473";0
"474";6
"475";1
"476";9
"477";7
"478";1
"479";0
"480";0
"481";0
"482";7
"483";7
"484";7
"485";7
"486";7
"487";4
"488";6
"489";5
"490";9
"491";0
"492";3
"493";3
"494";2
"495";6
"496";0
"497";7
"498";3
"499";0
"500";4
"501";1
"502";9
"503";3
"504";0
"505";0
"506";6
"507";5
"508";6
"509";6
"510";7
"511";1
"512";0
"513";0
"514";0
"515";7
"516";6
"517";6
"518";4
"519";5
"520";0
"521";6
"522";0
"523";0
"524";2
"525";5
"526";0
"527";0
"528";0
"529";7
"530";8
"531";7
"532";3
"533";0
"534";7
"535";7
"536";3
"537";4
"538";0
"539";0
"540";9
"541";9
"542";0
"543";4
"544";4
"545";0
"546";0
"547";4
"548";9
"549";1
"550";10
"551";7
"552";7
"553";7
"554";7
"555";7
"556";2
"557";7
"558";7
"559";7
"560";7
"561";7
"562";7
"563";7
"564";3
"565";5
"566";5
"567";10
"568";8
"569";9
"570";2
"571";4
"572";0
"573";4
"574";7
"575";9
"576";0
"577";6
"578";0
"579";8
"580";9
"581";3
"582";1
"583";0
"584";0
"585";3
"586";7
"587";5
"588";0
"589";4
"590";1
"591";3
"592";5
"593";0
"594";9
"595";2
"596";3
"597";2
"598";4
"599";2
"600";0
"601";2
"602";0
"603";5
"604";3
"605";5
"606";0
"607";0
"608";5
"609";1
"610";8
"611";2
"612";2
"613";1
"614";4
"615";8
"616";0
"617";5
"618";0
"619";0
"620";8
"621";0
"622";7
"623";1
"624";4
"625";0
"626";0
"627";6
"628";6
"629";4
"630";10
"631";0
"632";3
"633";3
"634";0
"635";7
"636";9
"637";10
"638";0
"639";0
"640";0
"641";0
"642";1
"643";8
"644";0
"645";7
"646";7
"647";0
"648";9
"649";0
"650";8
"651";8
"652";0
"653";6
"654";3
"655";2
"656";7
"657";0
"658";1
"659";2
"660";3
"661";4
"662";5
"663";4
"664";0
"665";9
"666";9
"667";5
"668";2
"669";2
"670";8
"671";2
"672";0
"673";3
"674";0
"675";0
"676";10
"677";0
"678";6
"679";2
"680";0
"681";0
"682";5
"683";10
"684";10
"685";9
"686";1
"687";0
"688";9
"689";3
"690";3
"691";7
"692";7
"693";9
"694";3
"695";0
"696";8
"697";3
"698";2
"699";6
"700";6
"701";9
"702";9
"703";9
"704";8
"705";7
"706";1
"707";1
"708";6
"709";0
"710";9
"711";0
"712";7
"713";3
"714";6
"715";2
"716";2
"717";0
"718";0
"719";4
"720";0
"721";6
"722";6
"723";7
"724";8
"725";0
"726";6
"727";6
"728";7
"729";5
"730";0
"731";1
"732";0
"733";8
"734";7
"735";6
"736";0
"737";6
"738";2
"739";0
"740";2
"741";8
"742";5
"743";2
"744";0
"745";9
"746";9
"747";2
"748";6
"749";8
"750";4
"751";3
"752";1
"753";1
"754";3
"755";3
"756";3
"757";6
"758";0
"759";6
"760";6
"761";6
"762";10
"763";10
"764";8
"765";0
"766";0
"767";5
"768";10
"769";0
"770";0
"771";10
"772";2
"773";0
"774";6
"775";2
"776";0
"777";4
"778";5
"779";0
"780";4
"781";6
"782";6
"783";6
"784";3
"785";0
"786";8
"787";5
"788";5
"789";5
"790";0
"791";5
"792";4
"793";4
"794";0
"795";4
"796";3
"797";0
"798";2
"799";6
"800";10
"801";9
"802";0
"803";5
"804";7
"805";2
"806";0
"807";7
"808";10
"809";1
"810";8
"811";4
