"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"10";"***";"";""
"**";"classe";"1";"**";"";""
"****";"91";"1182";"7.7";"****";""
"49";" 60";" 81.67";"486.666";"!";"7.574189e-108"
"29";" 35";" 82.86";"286.712";"emji_ballon_de_football";" 2.588826e-64"
"28";" 51";" 54.90";"167.123";"monde";" 3.144879e-38"
"11";" 11";"100.00";"133.118";"match";" 8.519666e-31"
"16";" 25";" 64.00";"113.927";"couper";" 1.351713e-26"
"12";" 15";" 80.00";"111.763";"battre";" 4.027093e-26"
"11";" 13";" 84.62";"109.435";"emji_skieur";" 1.303299e-25"
" 9";" 11";" 81.82";" 85.839";"victoire";" 1.951822e-20"
" 7";"  7";"100.00";" 84.423";"marco";" 3.994646e-20"
" 7";"  7";"100.00";" 84.423";"champion";" 3.994646e-20"
"13";" 24";" 54.17";" 74.438";"saison";" 6.257586e-18"
" 8";" 10";" 80.00";" 74.191";"football";" 7.092346e-18"
"11";" 18";" 61.11";" 73.382";"remporter";" 1.068473e-17"
" 6";"  6";"100.00";" 72.301";"odermatt";" 1.847466e-17"
" 6";"  6";"100.00";" 72.301";"nati";" 1.847466e-17"
" 7";"  9";" 77.78";" 62.677";"course";" 2.435806e-15"
" 7";"  9";" 77.78";" 62.677";"but";" 2.435806e-15"
" 6";"  7";" 85.71";" 60.313";"canada";" 8.092845e-15"
" 5";"  5";"100.00";" 60.200";"val";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"seconde";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"mexique";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"lara";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"gut";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"genou";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"emji_tennis";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"championnat";" 8.570496e-15"
" 5";"  5";"100.00";" 60.200";"behrami";" 8.570496e-15"
" 8";" 12";" 66.67";" 59.322";"joueur";" 1.339041e-14"
"11";" 24";" 45.83";" 50.133";"équipe";" 1.436553e-12"
" 4";"  4";"100.00";" 48.119";"régaler";" 4.011447e-12"
" 4";"  4";"100.00";" 48.119";"qualification";" 4.011447e-12"
" 4";"  4";"100.00";" 48.119";"nidwaldien";" 4.011447e-12"
" 4";"  4";"100.00";" 48.119";"fêter";" 4.011447e-12"
" 4";"  4";"100.00";" 48.119";"escalade";" 4.011447e-12"
" 4";"  4";"100.00";" 48.119";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";" 4.011447e-12"
" 4";"  4";"100.00";" 48.119";"défaite";" 4.011447e-12"
" 4";"  4";"100.00";" 48.119";"disputer";" 4.011447e-12"
"14";" 41";" 34.15";" 41.808";"mondial";" 1.007143e-10"
" 5";"  7";" 71.43";" 40.247";"super";" 2.238258e-10"
" 7";" 13";" 53.85";" 39.392";"week_end";" 3.467079e-10"
" 4";"  5";" 80.00";" 36.938";"suède";" 1.219604e-09"
" 4";"  5";" 80.00";" 36.938";"supporter";" 1.219604e-09"
" 3";"  3";"100.00";" 36.059";"tournoi";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"descente";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"épreuve";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"xhaka";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"top";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"tessinoise";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"tchèque";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"sölden";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"slalom";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"mountain";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"meillard";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"loïc";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"league";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"granit";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"décrocher";" 1.914766e-09"
" 3";"  3";"100.00";" 36.059";"copper";" 1.914766e-09"
" 6";" 11";" 54.55";" 34.291";"final";" 4.745944e-09"
" 5";"  8";" 62.50";" 34.040";"beau";" 5.399390e-09"
" 7";" 15";" 46.67";" 32.465";"emji_ski";" 1.213390e-08"
" 4";"  6";" 66.67";" 29.509";"légende";" 5.564531e-08"
"37";"232";" 15.95";" 27.644";"emji_drapeau_suisse";" 1.458196e-07"
" 3";"  4";" 75.00";" 25.583";"podium";" 4.238219e-07"
" 3";"  4";" 75.00";" 25.583";"norvégien";" 4.238219e-07"
" 3";"  4";" 75.00";" 25.583";"capitaine";" 4.238219e-07"
" 5";" 11";" 45.45";" 22.273";"carrière";" 2.364513e-06"
" 5";" 12";" 41.67";" 19.684";"billet";" 9.135347e-06"
" 5";" 12";" 41.67";" 19.684";"deuxième";" 9.135347e-06"
" 5";" 13";" 38.46";" 17.505";"organiser";" 2.865375e-05"
" 5";" 14";" 35.71";" 15.648";"géant";" 7.628091e-05"
" 3";"  6";" 50.00";" 15.186";"inscrire";" 9.743769e-05"
" 3";"  6";" 50.00";" 15.186";"penser";" 9.743769e-05"
" 3";"  6";" 50.00";" 15.186";"blessure";" 9.743769e-05"
" 4";" 10";" 40.00";" 14.808";"minute";" 1.190313e-04"
" 4";" 10";" 40.00";" 14.808";"imposer";" 1.190313e-04"
" 2";"  3";" 66.67";" 14.717";"sydney";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"sembler";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"score";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"stade";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"fifa";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"von";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"serbe";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"saut";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"rêve";" 1.249036e-04"
" 2";"  3";" 66.67";" 14.717";"helvétique";" 1.249036e-04"
" 6";" 21";" 28.57";" 13.108";"record";" 2.940821e-04"
" 5";" 16";" 31.25";" 12.660";"ski";" 3.735650e-04"
" 3";"  7";" 42.86";" 12.249";"parcours";" 4.654918e-04"
" 6";" 22";" 27.27";" 12.087";"unir";" 5.078392e-04"
" 7";" 30";" 23.33";" 10.588";"?";" 1.138089e-03"
" 2";"  4";" 50.00";" 10.107";"pluie";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"sportif";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"affrontement";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"réussir";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"ciel";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"cap";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"lucerne";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"exploit";" 1.477375e-03"
" 2";"  4";" 50.00";" 10.107";"assister";" 1.477375e-03"
" 3";"  8";" 37.50";" 10.066";"éviter";" 1.509958e-03"
" 8";" 38";" 21.05";"  9.853";"face";" 1.695840e-03"
" 3";"  9";" 33.33";"  8.387";"gauche";" 3.780168e-03"
" 3";"  9";" 33.33";"  8.387";"fan";" 3.780168e-03"
" 4";" 15";" 26.67";"  7.692";"saint";" 5.546413e-03"
" 2";"  5";" 40.00";"  7.373";"qualifié";" 6.622758e-03"
" 2";"  5";" 40.00";"  7.373";"blesser";" 6.622758e-03"
" 2";"  5";" 40.00";"  7.373";"terminer";" 6.622758e-03"
" 2";"  5";" 40.00";"  7.373";"autriche";" 6.622758e-03"
" 2";"  5";" 40.00";"  7.373";"incroyable";" 6.622758e-03"
" 2";"  5";" 40.00";"  7.373";"compétition";" 6.622758e-03"
" 3";" 10";" 30.00";"  7.059";"emji_étincelles";" 7.888851e-03"
" 3";" 10";" 30.00";"  7.059";"meilleur";" 7.888851e-03"
" 8";" 45";" 17.78";"  6.688";"dernier";" 9.708609e-03"
" 6";" 30";" 20.00";"  6.555";"dimanche";" 1.046109e-02"
"28";"244";" 11.48";"  6.171";"suisse";" 1.298420e-02"
" 3";" 11";" 27.27";"  5.987";"chute";" 1.441529e-02"
" 2";"  6";" 33.33";"  5.577";"bernois";" 1.820056e-02"
" 2";"  6";" 33.33";"  5.577";"venir";" 1.820056e-02"
" 2";"  6";" 33.33";"  5.577";"tarif";" 1.820056e-02"
" 2";"  6";" 33.33";"  5.577";"féminin";" 1.820056e-02"
" 3";" 12";" 25.00";"  5.107";"tour";" 2.383474e-02"
" 8";" 50";" 16.00";"  5.063";"grand";" 2.444484e-02"
" 5";" 26";" 19.23";"  4.975";"état";" 2.571374e-02"
" 4";" 19";" 21.05";"  4.846";"titre";" 2.771255e-02"
" 4";" 20";" 20.00";"  4.332";"samedi";" 3.739886e-02"
" 2";"  7";" 28.57";"  4.317";"unique";" 3.772941e-02"
" 2";"  7";" 28.57";"  4.317";"nom";" 3.772941e-02"
" 2";"  7";" 28.57";"  4.317";"étape";" 3.772941e-02"
" 2";"  7";" 28.57";"  4.317";"swiss";" 3.772941e-02"
" 2";"  7";" 28.57";"  4.317";"skieur";" 3.772941e-02"
" 5";" 28";" 17.86";"  4.165";"fin";" 4.127491e-02"
" 3";" 14";" 21.43";"  3.758";"histoire";" 5.254444e-02"
"11";" 85";" 12.94";"  3.542";"premier";" 5.983214e-02"
" 4";" 22";" 18.18";"  3.467";"soir";" 6.261427e-02"
" 2";"  8";" 25.00";"  3.393";"domicile";" 6.548117e-02"
" 2";"  8";" 25.00";"  3.393";"brésilien";" 6.548117e-02"
" 2";"  8";" 25.00";"  3.393";"allemand";" 6.548117e-02"
" 2";"  8";" 25.00";"  3.393";"écrire";" 6.548117e-02"
" 2";"  8";" 25.00";"  3.393";"gall";" 6.548117e-02"
" 6";" 39";" 15.38";"  3.353";"jour";" 6.709862e-02"
" 3";" 15";" 20.00";"  3.235";"seulement";" 7.207169e-02"
" 1";"  3";" 33.33";"  2.781";"ukrainien";" 9.537218e-02"
" 1";"  3";" 33.33";"  2.781";"dérouler";" 9.537218e-02"
" 1";"  3";" 33.33";"  2.781";"interrompre";" 9.537218e-02"
