"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10"
"emji_visage_riant_aux_larmes";-260,457;-62,696;-107,623;-405,181;-104,175;-550,643;-471,375;-14,445;11512,748;-662,983
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-116,737;-25,793;-69,285;-322,495;-66,966;-226,786;-346,212;-62,503;-436,65;7085,841
"emji_coeur_rouge";-57,467;-35,081;-67,736;-313,036;-59,933;-163,714;-304,012;-73,233;-520,807;6630,641
"emji_applaudissements";-38,552;-7,486;-29,384;-107,907;-28,316;-71,2;-90,413;-20,388;-213,963;2523,023
"voir";6,815;-6,206;0,963;45,534;0,627;34,461;386,374;-3,709;-150,331;-278,483
"emji_se_rouler_par_terre_de_rire";-32,436;-6,456;-3,655;-63,309;-13,784;-65,257;-62,148;-0,634;1513,622;-106,588
"époque";-35,253;1,721;-0,281;-1,489;-15,111;247,206;189,071;-32,696;-155,553;-19,058
"aller";8,356;-9,152;1,174;386,733;2,718;10,796;10,233;0,832;-63,341;-308,664
"beau";-8,115;-9,737;-20,585;-29,005;-18,807;3,919;-14,916;-30,17;-179,96;829,902
"aimer";10,894;-5,946;-12,599;-23,278;-0,561;410,641;-87,337;-20,969;20,117;-31,493
"suisse";-18,839;-7,343;-7,737;57,413;-7,417;-13,813;-13,009;-7,013;331,391;-130,531
"femme";-36,783;-29,591;-9,123;-43,351;-0,027;2620,327;-29,391;-12,635;-206,222;-73,011
"emji_visage_qui_pleure";1,454;0,097;-5,708;-4,901;-4,284;39,117;-0,285;-9,987;-83,935;76,337
"parler";-5,585;-13,383;24,327;-36,495;0;-25,111;1029,806;-5,742;-24,746;-144,448
"emji_visage_souriant_avec_coeurs";-18,646;-1,856;-20,326;-96,668;-18,903;-60,048;-84,771;-19,342;-136,909;1894,719
"enfant";-29,939;24,196;-19,37;-34,524;-7,029;64,612;1025,39;-20,702;-182,242;-100,71
"homme";-10,857;-25,517;-13,924;-89,313;32,038;2208,299;-20,062;-19,736;-194,356;-53,642
"vie";0;-11,132;-16,046;-24,406;0,018;1502,53;-27,789;-11,787;-167,965;-30,449
"souvenir";-35,461;84,465;-9,934;1,698;-20,688;-53,4;-52,02;-24,822;-96,073;677,719
"petit";29,144;0,043;-0,734;1,511;-9,18;87,986;0,345;6,93;-39,109;-35,034
"gens";9,229;-15,581;6,234;-0,723;1,466;318,212;120,054;0,826;-160,72;-175,298
"emji_feu";-30,54;-11,157;-19,146;-51,114;-14,122;-51,481;-67,209;-20,066;-114,868;1599,452
"année";-4,328;27,088;-6,451;214,636;0,181;0,477;22,575;-5,456;-71,411;-75,297
"emji_visage_souriant_avec_une_goutte_de_sueur";-6,449;-1,612;-1,952;-25,867;-12,489;-28,733;-28,608;0,191;791,564;-99,893
"temps";-6,328;1,27;-10,234;216,558;0,255;27,157;46,307;-8,742;-116,586;-91,723
"tellement";-2,911;0,196;-9,164;-29,376;-2,97;18,318;-0,754;-4,841;-56,623;177,353
"emji_mains_levées";-32,246;-12,015;-18,185;-67,006;-8,645;-35,16;-76,834;-15,29;-109,571;1573,611
"penser";1,619;-9,513;0,023;-10,248;9,352;55,107;184,73;-0,747;-15,582;-139,37
"monde";-0,726;-2,346;-0,176;2,652;28,521;295,304;68,716;-6,924;-141,537;-121,971
"emji_mains_en_prière";-12,823;-11,622;-12,278;-54,294;-11,118;-17,713;-57,924;-18,578;-120,991;1280,72
"comprendre";0,045;-6,063;0;-58,331;6,711;86,312;349,665;-2,035;-71,679;-72,404
"vrai";-0,51;-3,813;-0,012;-5,325;-0,05;401,566;-5,469;-3,112;-40,952;-15,24
"chose";-0,9;-2,855;-1,262;-10,095;12,985;209,962;193,948;-3,725;-74,807;-138,875
"grand";-1,781;-3,399;-13,182;2,275;-1,154;358,732;-7,296;-2,52;-57,195;-8,514
"passer";-4,542;5,694;-3,485;290,209;8,145;8,809;4,964;-1,895;-79,178;-112,863
"français";-30,327;-7,395;7,403;-2,244;-5,04;-21,246;12,51;674,648;18,187;-83,824
"prendre";16,019;-1,017;-0,372;94,653;2,29;20,485;1,114;64,354;-61,146;-133,48
"connaître";-12,43;58,04;22,991;-2,222;-0,067;125,896;35,959;2,016;-40,503;-106,427
"jour";2,584;18,509;-7,362;397,244;0,387;-0,201;-1,095;6,542;-91,539;-104,881
"adorer";-2,169;7,346;-12,015;-25,454;-6,937;-20,242;-15,83;-1,849;-2,508;264,486
"vraiment";0,123;-0,429;-6,438;-0,968;-1,591;6,483;264,213;-1,786;-66,251;-28,177
"emji_visage_faisant_un_clin_d_oeil";-3,165;-0,469;0,479;3,204;-5,902;-0,624;9,24;-0,038;43,171;-63,328
"changer";-2,404;-0,154;113,16;16,81;8,789;33,866;35,688;-7,218;-63,319;-89,111
"vivre";-0,025;-2,341;-8,54;-2,382;-0,021;844,649;-4,927;-0,485;-88,387;-80,164
"trouver";2,887;-0,272;-0,004;2,673;-0,756;158,276;16,097;4,428;-50,043;-93,742
"jeune";-20,093;-2,052;0,656;-0,634;-11,455;37,528;415,526;-10,22;-88,093;-54,564
"venir";28,695;-3,862;3,998;109,998;-2,187;0,012;-0,521;2,382;-3,443;-107,723
"emji_visage_avec_bouche_ouverte";1,517;2,366;-2,756;0,727;0,996;-1,274;4,852;0,068;0,012;-9,381
"mettre";5,767;3,499;0;221,661;-0,334;0,286;9,948;0,318;-66,109;-118,299
"magnifique";-21,668;-9,822;-15,589;-57,379;-16,005;-22,67;-60,706;-18,383;-122,461;1416,262
"donner";101,364;-0,156;-0,005;6,981;17,927;25,019;13,242;-5,209;-62,008;-72,672
"vidéo";-6,105;-0,508;-0,14;8,967;-3,051;-23,348;413,148;-12,885;-28,018;-53,325
"france";-0,885;0,325;7,389;10,636;0,055;-0,225;-2,798;357,365;0,779;-119,982
"emji_visage_qui_pleure_à_chaudes_larmes";-1,976;-4,839;-0,193;-21,666;-4,648;-6,069;-20,972;-6,362;358,001;-19,529
"emji_pouce_vers_le_haut";-10,333;-3,634;-7,905;-24,994;-6,544;-32,416;-36,124;-8,395;-42,308;729,448
"raison";7,795;-10,867;0,061;-12,268;231,411;2,499;10,589;-9,7;-73,499;3,451
"animal";4664,322;-11,859;-13,537;-65,863;-10,007;-24,283;-51,645;-14,128;-102,246;-44,367
"exister";10,393;0,354;3,106;-0,18;202,58;12,857;21,822;0,238;-58,435;-68,544
"rester";11,288;-5,609;5,168;18,811;7,324;71,076;1,077;1,592;-47,323;-75,412
"jouer";-21,228;3221,419;-8,392;-6,698;-7,153;-17,908;-18,378;-7,403;-58,453;0,913
"devenir";3,658;-4,107;-0,934;9,902;-1,733;139,224;10,284;-6,074;-47,032;-47,938
"seul";33,484;26,552;-0,853;-0,215;11,751;4,435;105,416;-2,585;-44,153;-92,932
"fois";-1,186;-0,187;-5,131;63,719;0,566;0,742;9,256;96,515;-24,145;-73,235
"commentaire";-3,706;-3,822;6,298;-48,669;-0,012;-13,446;880,125;-12,217;-27,125;-86,68
"accent";-26,933;-9,289;-12,86;-55,565;-6,156;-43,269;-40,58;-11,419;788,982;-2,389
"emji_visage_souriant_avec_yeux_rieurs";-9,014;0,326;-7,666;2,485;-2,846;-0,926;-7,92;-3,028;-23,23;115,05
"demander";-0,929;-0,69;0,706;22,132;15,487;88,172;11,204;-1,093;-38,936;-89,521
"question";-2,629;-2,169;0,27;-16,134;6,015;-15,891;879,27;-0,246;-88,494;-90,294
"dieu";-6,168;-2,787;-6,687;-41,73;3738,595;-7,023;-20,184;-7,177;-50,659;-6,803
"mot";-10,84;-6,751;755,482;-18,537;-0,28;-5,125;10,923;-0,781;6,721;-58,679
"appeler";-0,349;-0,534;1976,642;-12,91;0;-9,85;-14,551;1,22;0,131;-93,001
"chat";3060,252;-7,533;-7,077;-47,365;-7,323;-16,475;-46,542;-3,298;-52,398;-32,814
"école";-16,596;379,461;-9,675;-2,573;-0,199;4,429;90,211;0,008;-49,113;-31,206
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";-16,056;-2,653;-8,658;-23,832;-8,864;-33,996;-36,394;-9,036;-54,411;813,647
"regarder";-1,245;-0,113;0,225;111,04;3,542;-0,044;20,512;-8,581;-33,995;-43,573
