*rts_i;2124;3494;4868;1867;630;6813;3935;1169;7354;7657
*i_0501;2;6;11;2;0;0;1;1;10;23
*postLikes_5000;11;44;13;11;2;51;11;2;30;44
*postComments_64;4;22;11;4;0;6;50;4;19;60
*postReposts_21;15;42;23;15;4;30;63;10;79;70
*postDate_18-11-2025;48;88;78;21;7;350;62;179;229;309
*commentDate_18-11-2025;33;74;59;14;10;291;59;151;184;211
*commentLikes_136;0;0;0;0;0;4;0;0;1;2
*lang_fr;2124;3494;4868;1867;630;6813;3935;1169;7354;7657
-*goran___gnv;0;0;0;1;0;2;0;0;0;2
*commentDate_19-11-2025;43;88;25;11;7;530;96;38;165;234
*commentLikes_1;436;716;792;251;112;1148;639;188;1287;1205
-*laviedesf77;2;4;17;2;0;3;0;0;9;19
*commentLikes_211;0;1;2;1;1;0;0;1;0;1
-*wabisabi_and_kimchi;1;0;2;0;0;3;4;2;7;4
*commentLikes_4;62;115;267;109;33;306;190;46;352;353
-*technicyan_;0;2;4;1;0;3;1;1;3;9
*commentLikes_0;886;1564;1267;372;239;2052;1109;366;2355;2382
-*mlhg_64;0;0;1;0;0;0;0;1;0;2
-*neko_sousou;0;0;1;0;0;0;0;0;0;0
*commentDate_20-11-2025;30;107;15;12;3;131;138;19;145;99
-*arthurito_lex;0;6;27;0;1;24;7;5;6;39
*commentLikes_3;118;172;360;142;32;412;292;73;469;524
-*emeraudeperle;1;3;6;6;1;3;1;1;7;5
-*richard_meulien;0;1;1;1;0;2;0;0;1;1
*commentLikes_2;178;301;464;180;65;606;447;98;726;782
-*naimeninou;0;0;0;0;0;0;0;0;0;1
*commentLikes_12;21;23;83;21;4;77;47;14;81;85
-*volik680;0;1;0;0;0;2;0;0;3;0
*commentLikes_9;19;32;101;42;8;109;70;22;113;127
-*ganesh_clement;30;22;25;22;0;16;38;1;30;24
*commentLikes_11;13;25;64;26;1;79;55;15;89;98
-*celhadon_images;0;1;1;1;0;0;0;0;0;1
-*greg__marc;0;0;0;0;0;0;0;0;0;1
