"";"X";"V1"
"1";1;7
"2";2;7
"3";3;7
"4";4;7
"5";5;1
"6";6;2
"7";7;7
"8";8;1
"9";9;7
"10";10;7
"11";11;7
"12";12;7
"13";13;7
"14";14;1
"15";15;7
"16";16;7
"17";17;7
"18";18;7
"19";19;1
"20";20;7
"21";21;6
"22";22;7
"23";23;7
"24";24;1
"25";25;7
"26";26;7
"27";27;7
"28";28;1
"29";29;1
"30";30;5
"31";31;7
"32";32;7
"33";33;7
"34";34;7
"35";35;7
"36";36;1
"37";37;1
"38";38;7
"39";39;0
"40";40;7
"41";41;7
"42";42;7
"43";43;5
"44";44;2
"45";45;7
"46";46;1
"47";47;5
"48";48;0
"49";49;7
"50";50;1
"51";51;7
"52";52;7
"53";53;7
"54";54;7
"55";55;1
"56";56;1
"57";57;5
"58";58;7
"59";59;7
"60";60;7
"61";61;7
"62";62;1
"63";63;4
"64";64;7
"65";65;7
"66";66;7
"67";67;3
"68";68;7
"69";69;7
"70";70;1
"71";71;7
"72";72;4
"73";73;1
"74";74;5
"75";75;7
"76";76;7
"77";77;7
"78";78;1
"79";79;7
"80";80;4
"81";81;1
"82";82;7
"83";83;7
"84";84;7
"85";85;6
"86";86;7
"87";87;7
"88";88;1
"89";89;1
"90";90;1
"91";91;1
"92";92;7
"93";93;7
"94";94;7
"95";95;7
"96";96;7
"97";97;7
"98";98;1
"99";99;7
"100";100;7
"101";101;7
"102";102;7
"103";103;7
"104";104;7
"105";105;7
"106";106;7
"107";107;7
"108";108;7
"109";109;7
"110";110;7
"111";111;1
"112";112;7
"113";113;7
"114";114;7
"115";115;7
"116";116;7
"117";117;1
"118";118;7
"119";119;1
"120";120;1
"121";121;7
"122";122;7
"123";123;7
"124";124;6
"125";125;7
"126";126;1
"127";127;1
"128";128;1
"129";129;1
"130";130;1
"131";131;1
"132";132;7
"133";133;1
"134";134;1
"135";135;1
"136";136;1
"137";137;1
"138";138;1
"139";139;1
"140";140;1
"141";141;7
"142";142;1
"143";143;7
"144";144;1
"145";145;7
"146";146;7
"147";147;7
"148";148;1
"149";149;2
"150";150;1
"151";151;1
"152";152;1
"153";153;1
"154";154;4
"155";155;6
"156";156;1
"157";157;6
"158";158;1
"159";159;1
"160";160;6
"161";161;4
"162";162;6
"163";163;6
"164";164;3
"165";165;4
"166";166;3
"167";167;1
"168";168;1
"169";169;1
"170";170;7
"171";171;6
"172";172;7
"173";173;1
"174";174;1
"175";175;1
"176";176;7
"177";177;7
"178";178;1
"179";179;6
"180";180;4
"181";181;5
"182";182;1
"183";183;1
"184";184;7
"185";185;7
"186";186;7
"187";187;1
"188";188;1
"189";189;7
"190";190;1
"191";191;1
"192";192;0
"193";193;1
"194";194;0
"195";195;1
"196";196;7
"197";197;6
"198";198;7
"199";199;4
"200";200;4
"201";201;7
"202";202;1
"203";203;1
"204";204;5
"205";205;4
"206";206;1
"207";207;7
"208";208;5
"209";209;5
"210";210;6
"211";211;5
"212";212;5
"213";213;6
"214";214;6
"215";215;5
"216";216;1
"217";217;7
"218";218;4
"219";219;1
"220";220;7
"221";221;7
"222";222;7
"223";223;7
"224";224;7
"225";225;7
"226";226;1
"227";227;1
"228";228;6
"229";229;1
"230";230;7
"231";231;1
"232";232;1
"233";233;1
"234";234;1
"235";235;7
"236";236;7
"237";237;7
"238";238;7
"239";239;1
"240";240;1
"241";241;7
"242";242;1
"243";243;1
"244";244;1
"245";245;1
"246";246;7
"247";247;7
"248";248;7
"249";249;7
"250";250;7
"251";251;7
"252";252;7
"253";253;6
"254";254;6
"255";255;7
"256";256;6
"257";257;7
"258";258;4
"259";259;1
"260";260;7
"261";261;7
"262";262;5
"263";263;4
"264";264;1
"265";265;1
"266";266;1
"267";267;1
"268";268;6
"269";269;1
"270";270;1
"271";271;1
"272";272;1
"273";273;4
"274";274;1
"275";275;6
"276";276;6
"277";277;5
"278";278;5
"279";279;1
"280";280;1
"281";281;1
"282";282;1
"283";283;6
"284";284;1
"285";285;7
"286";286;7
"287";287;7
"288";288;7
"289";289;7
"290";290;1
"291";291;1
"292";292;7
"293";293;1
"294";294;7
"295";295;1
"296";296;7
"297";297;7
"298";298;7
"299";299;7
"300";300;7
"301";301;7
"302";302;6
"303";303;4
"304";304;7
"305";305;4
"306";306;1
"307";307;7
"308";308;5
"309";309;7
"310";310;1
"311";311;7
"312";312;1
"313";313;1
"314";314;1
"315";315;7
"316";316;1
"317";317;7
"318";318;7
"319";319;7
"320";320;5
"321";321;5
"322";322;5
"323";323;7
"324";324;7
"325";325;7
"326";326;6
"327";327;7
"328";328;7
"329";329;7
"330";330;7
"331";331;1
"332";332;1
"333";333;1
"334";334;7
"335";335;2
"336";336;1
"337";337;1
"338";338;1
"339";339;4
"340";340;7
"341";341;7
"342";342;1
"343";343;7
"344";344;6
"345";345;4
"346";346;1
"347";347;1
"348";348;7
"349";349;6
"350";350;1
"351";351;7
"352";352;7
"353";353;7
"354";354;0
"355";355;4
"356";356;7
"357";357;6
"358";358;7
"359";359;7
"360";360;7
"361";361;7
"362";362;7
"363";363;7
"364";364;7
"365";365;6
"366";366;7
"367";367;7
"368";368;1
"369";369;0
"370";370;7
"371";371;7
"372";372;6
"373";373;7
"374";374;4
"375";375;7
"376";376;0
"377";377;7
"378";378;7
"379";379;7
"380";380;7
"381";381;1
"382";382;0
"383";383;7
"384";384;7
"385";385;7
"386";386;7
"387";387;1
"388";388;7
"389";389;1
"390";390;1
"391";391;0
"392";392;7
"393";393;7
"394";394;0
"395";395;0
"396";396;1
"397";397;7
"398";398;2
"399";399;7
"400";400;7
"401";401;7
"402";402;7
"403";403;1
"404";404;7
"405";405;7
"406";406;7
"407";407;6
"408";408;6
"409";409;1
"410";410;4
"411";411;4
"412";412;7
"413";413;1
"414";414;7
"415";415;1
"416";416;7
"417";417;7
"418";418;4
"419";419;7
"420";420;7
"421";421;7
"422";422;6
"423";423;7
"424";424;1
"425";425;1
"426";426;1
"427";427;1
"428";428;7
"429";429;7
"430";430;1
"431";431;1
"432";432;5
"433";433;5
"434";434;4
"435";435;6
"436";436;1
"437";437;7
"438";438;6
"439";439;7
"440";440;7
"441";441;7
"442";442;7
"443";443;7
"444";444;7
"445";445;7
"446";446;7
"447";447;7
"448";448;7
"449";449;6
"450";450;7
"451";451;4
"452";452;7
"453";453;7
"454";454;7
"455";455;4
"456";456;0
"457";457;7
"458";458;7
"459";459;7
"460";460;7
"461";461;7
"462";462;7
"463";463;7
"464";464;1
"465";465;7
"466";466;0
"467";467;4
"468";468;7
"469";469;4
"470";470;1
"471";471;7
"472";472;6
"473";473;5
"474";474;0
"475";475;5
"476";476;5
"477";477;7
"478";478;7
"479";479;7
"480";480;7
"481";481;7
"482";482;7
"483";483;7
"484";484;7
"485";485;7
"486";486;4
"487";487;1
"488";488;1
"489";489;1
"490";490;1
