"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"user_utilisateurice";1;1;0;1;1;1;0
"emji_visage_riant_aux_larmes";1;1;1;0;1;1;0
"aller";1;1;1;0;0;0,564;0
"voir";1;1;1;1;1;0;0
"suisse";1;1;1;0;0;1;1
"parler";1;1;0;1;0,022;0;0,084
"emji_coeur_rouge";0;1;1;1;1;1;1
"gens";1;1;1;1;0;0;1
"monde";1;1;0,141;1;0;0;1
"femme";1;1;1;1;1;0;1
"enfant";1;1;0;1;0;0;1
"emji_applaudissements";0;1;1;1;1;1;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1;1
"prendre";1;0,21;1;0;0;0;1
"beau";0;1;1;1;1;1;1
"époque";0;1;1;0,942;1;1;1
"pays";1;1;0;1;0;0,006;1
"penser";1;1;1;1;1;0;0
"vie";1;1;1;1;0;0;1
"homme";1;1;1;1;1;0;1
"comprendre";1;1;1;1;1;0;0
"emji_se_rouler_par_terre_de_rire";1;1;1;0,397;1;1;0
"temps";1;1;1;1;0,634;1;0
"aimer";0;0,228;1;1;1;1;1
"chose";1;0,933;1;1;1;0;0,215
"passer";1;1;0,846;0,202;0,001;0,026;0
"mettre";1;0,125;1;0,324;0;0;1
"année";1;1;1;0,849;0;1;0
"petit";0,001;0;1;0,246;1;1;0
"vrai";1;1;1;1;1;0;1
"grand";0,682;0,862;1;1;0;0,103;1
"vraiment";1;1;1;1;1;0,606;0
"emji_visage_qui_pleure";0;1;1;1;1;1;1
"jour";1;0;1;0;1;1;0,001
"trouver";1;1;1;1;0;0;0,001
"venir";1;0,084;0,067;0;0,486;0,89;0
"donner";1;0;1;1;0;0;1
"vivre";1;1;1;1;0;0;1
"rester";1;0,073;1;1;0;0;1
"payer";1;1;1;1;0;1;1
"tellement";0;1;1;1;1;1;1
"problème";1;1;1;1;0;0;1
"français";1;1;1;0,01;1;1;0
"connaître";1;1;1;1;1;1;0
"changer";1;1;1;1;0,938;1;0
"souvenir";0;1;1;1;1;1;1
"france";1;1;1;0,001;0;1;0
"fois";1;1;0,295;0,366;0,001;0;1
"commentaire";1;1;1;1;1;1;0
"emji_visage_souriant_avec_une_goutte_de_sueur";1;1;1;1;1;1;0
"arrêter";1;1;0;1;0;0;1
"seul";1;0,212;0,003;1;0;0;1
"demander";1;1;0,466;1;0;0;1
"droit";1;1;0;1;1;0;1
"question";1;1;1;1;1;0;1
"devenir";1;0,044;1;0,255;0;0,002;1
"travail";1;1;1;1;0;0;1
"cas";1;1;1;1;0;0;1
"jeune";1;1;1;1;1;0,556;0
"raison";1;1;1;1;1;0;1
"sentir";1;1;1;1;1;0;1
"emji_visage_faisant_un_clin_d_oeil";1;1;1;0;1;1;0
"emji_feu";0;1;1;1;1;1;1
"police";1;1;0,094;1;1;0;1
"exister";1;0,117;0,109;1;1;0;0,845
"humain";1;0;0,015;1;1;0;1
"accord";1;1;0;1;0,006;0;1
"arriver";1;1;1;1;0,073;1;0
"utiliser";1;0,601;0;0,175;0;0;1
"laisser";1;0;0,751;0,401;0,005;0;1
"besoin";1;0,064;1;1;0;0;1
"état";1;1;0;1;0;0;1
"animal";1;0;1;1;1;0,253;1
"regarder";1;1;1;1;1;1;0
"guerre";1;1;0;1;0,852;1;1
"coup";1;1;1;0,36;0,965;1;0
"emji_mains_en_prière";0;1;1;1;1;1;1
"travailler";1;1;1;0,014;0;1;1
"argent";1;1;1;1;0;1;1
"ca";1;0,99;1;1;1;1;0
"partir";1;1;1;0,921;0;0;1
"moment";1;1;0,57;1;0,981;0;1
"etc";1;0,001;0,362;0,169;0;0;1
"riche";1;1;1;1;0;1;1
"place";1;1;1;0;0;0;1
"vidéo";1;1;1;1;1;1;0
"plutôt";1;0,217;1;0,272;0,068;0;1
"premier";1;1;0,906;0,367;0,089;1;0
"mot";1;1;0,21;1;1;1;0
"rendre";1;1;0;1;0,004;0;1
"appeler";1;1;0,023;1;1;1;0
"école";1;1;1;1;1;1;0
"niveau";1;1;1;1;0;0;1
"meilleur";0;0,099;1;1;0;1;1
"jouer";0;1;1;1;1;1;1
"part";1;1;0,906;1;0;0;1
"magnifique";0;1;1;1;1;1;1
"genre";1;1;1;1;1;0;0,065
"adorer";0;1;1;1;1;1;1
"politique";1;1;0,011;1;0;0;1
"palestinien";1;1;0;1;1;1;1
"israël";1;1;0;1;1;1;1
"sûr";1;1;1;1;0,522;0,037;0
"continuer";1;0,789;0;1;0;0;1
"famille";1;1;0,003;1;0,001;0;1
"lire";1;1;1;1;1;1;0
"emji_mains_levées";0;1;1;1;1;1;1
"importer";1;0,034;1;0,096;0,327;0;1
"apprendre";1;1;1;1;1;1;0
"dernier";0,04;1;0,18;1;1;1;0
"exemple";1;1;1;1;0;0;1
"sujet";1;0,941;1;1;1;0;1
"compte";1;1;0,916;1;0;0;1
"genève";1;1;1;0;0,459;1;1
"cause";1;1;0;1;0,002;0;1
"perdre";1;1;1;1;0;0;1
"partie";1;1;0,229;1;0;0;1
"manquer";1;1;1;1;0,814;0;1
"société";1;1;1;1;0;0;1
"histoire";1;1;0;1;1;0;1
"sortir";1;1;1;0,709;0,851;0,354;0
"entendre";1;1;1;1;1;1;0
"pauvre";1;0;1;1;0;1;0
"idée";1;0,724;1;1;0,382;0;1
"fin";1;1;0,018;1;0,956;1;0
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1;1
"cher";1;0;1;0;0;1;1
"oublier";1;1;0;0,182;0;0,055;1
"rts";1;1;0,023;1;1;0;1
"manger";1;0;1;1;1;1;1
"permettre";1;1;1;0,823;0;0;1
"écrire";1;1;1;1;1;1;0
"emji_visage_en_pleine_réflexion";1;0,03;1;0,07;1;1;0
"parent";1;1;1;1;0,6;1;0
"malheureusement";1;0,002;0,491;1;1;0;1
"gros";1;1;1;1;0;1;0
"côté";1;0,945;0,428;0;1;0,007;0,016
"paix";0;1;0;1;1;0,003;1
"finir";1;1;0,305;1;0;1;0
"social";1;1;1;1;0;0;1
"population";1;1;0;1;0;0;1
"revenir";1;1;1;1;0;1;1
"peuple";1;1;0;1;0;0;1
"heure";1;0,721;1;0;1;1;1
"respect";0,437;1;1;1;1;0;1
"espérer";1;1;1;1;1;0;0,062
