"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"mass";"chi.distance";"inertie"
"classe 1";2,64416144867118;0,223868813022195;0,0891996932421641;0,0434003081796376;0,0111577144037515;0,0197806190212862;0,00607489624689864;0,00286423993475598;-0,0106430315515952;0,995691963719842;0,0843005929784356;0,0335892567271685;0,0163429272063347;0,00420157648500612;0,00744863873830264;0,00228757793004984;0,00107856526182817;-0,00400776623941238;0,995818172183645;0,00361165166209576;0,000446212791645914;9,63640969656821e-05;5,61086953013889e-06;1,68216805038596e-05;1,35867540094468e-06;2,6952082901061e-07;3,53851940302605e-06;0,868280872654021;0,00622402730445423;0,000988123021526603;0,000233921382929162;1,54609002351815e-05;4,85919192528828e-05;4,58312841638128e-06;1,01883319690546e-06;1,4067437531898e-05;0,124189333418433;2,3760297719762;0,701113052310145
"classe 2";-0,134943121483111;-2,95834152585773;0,328895592864236;-0,297932214387153;-0,247243157965611;0,191549516192609;-0,00672521388556031;0,253490878936316;-0,0910705037981901;-0,0446416961806069;-0,978674438121266;0,10880478360376;-0,0985615217056566;-0,0817926384044407;0,0633681451224094;-0,00222482592464972;0,0838595007856425;-0,0301278176826703;0,00398653188858675;0,96940423382179;0,0093244029224276;0,00697998014894017;0,00423465351719442;0,00242460709294086;2,55940971259854e-06;0,00324479935013791;0,000398231848341671;0,00179629301616032;0,863320983601035;0,0106706723689849;0,00875609785641202;0,00603009621359292;0,00361941011915348;4,46157172784209e-06;0,0063387022494164;0,000818146648435408;0,0986451363550941;1,91649223281869;0,36231791161155
"classe 3";-0,345796677295871;-0,362188856621671;0,438163995872424;0,0707889459705677;4,44434664926433;-5,46377417995161;1,9662987916394;-0,353339807060765;-0,0773980791193084;-0,0470352096753941;-0,0492648713299102;0,0595989978250553;0,00962870130061124;0,604519332438302;-0,7431817048755;0,267455652473204;-0,0480612249999917;-0,0105276745523341;0,00722336774861011;0,0040094316744246;0,00456649152803535;0,000108731281254808;0,377563083610894;0,544338548607758;0,0603713645141226;0,00173961307224341;7,93679625479675e-05;0,00217212362630398;0,00238293982984055;0,00348751661021609;9,1027748172404e-05;0,358805225150648;0,54228599759287;0,0702331152481095;0,00226792162866206;0,000108818634651004;0,0181653139305229;3,64842048666805;0,241797985963964
"classe 4";-0,364997139218195;1,16405793610143;0,489965737044656;-7,39661148246057;-0,818475417290815;-0,482211225752688;0,254775715658207;-0,304363715322981;0,0168836764816664;-0,0481350484535502;0,153513491302972;0,0646156420396631;-0,975449431913184;-0,107938801804639;-0,0635929935400832;0,0335992809265953;-0,0401388411316183;0,00222658343914649;0,00637887978375064;0,0328268524266307;0,00452593282775791;0,940928517239399;0,0101496801319365;0,00336066825252917;0,000803369667169553;0,00102310612221625;2,99354859724949e-06;0,0022773752912167;0,023163536990983;0,00410380867944605;0,935236177156013;0,0114516209218033;0,00397493760731381;0,00110961353005273;0,00158358520989682;4,87292499687134e-06;0,0170944716882785;4,0979927383926;0,28707677072619
"classe 5";-0,459758132300481;0,560892460780259;1,42673474584654;0,881098813163681;-3,34904905996633;-2,12787157280757;0,81019047634238;-0,0746940648615764;0,0606400061503878;-0,103460165916308;0,12621859838165;0,321060581974376;0,198275186438678;-0,753642289419072;-0,478838612097422;0,182318561037245;-0,016808534315368;0,0136459252304964;0,0323282809301976;0,0243443134349279;0,122580512496082;0,0426479857267192;0,54280316330038;0,209025904351322;0,0259496743765563;0,000196818262687122;0,000123347121193491;0,0101880884904383;0,0151632771756355;0,0981115969088611;0,0374182180283205;0,540601053592436;0,218235146286688;0,03163793550106;0,000268909445765168;0,000177236164087348;0,0481985384067144;2,29293660143043;0,253406623632395
"classe 6";-0,341371690284598;-0,304259764227573;0,684055144910238;0,267668776533536;0,429849696515756;0,718408298120919;-0,236241962246131;-4,81355121517203;9,92787351504395;-0,0307506717438466;-0,0274076392416198;0,0616195068732481;0,0241115327296112;0,0387207471882869;0,0647140298457506;-0,0212806135948079;-0,433603422757599;0,894300225425924;0,00422783872057832;0,00169928807586944;0,00668431363708076;0,000933650543836905;0,00212115416910785;0,00565186267452191;0,000523373058219843;0,193893850003641;0,784264669117178;0,000937992604118216;0,000745132416983655;0,00376640169243226;0,00057668656881324;0,00148722835824262;0,00415419701361394;0,000449219387661906;0,186498611569567;0,793335484395539;0,00804904599302889;4,70784579669905;0,178397542535052
"classe 7";-0,422285537721857;0,419884435705444;0,347317936431245;0,123519120091223;0,31367937906264;-0,273543571094073;-1,86372816255732;1,00262582113899;0,318349312237567;-0,184409034302599;0,183360490451211;0,151671226058999;0,0539399046834805;0,13698151181223;-0,119454495309683;-0,813876583398714;0,437839430733417;0,139020837789842;0,116845276327905;0,0584484301413023;0,0311217746002427;0,00359081178760131;0,0204007560248955;0,014799167389527;0,588298515693708;0,151930842865333;0,0145644251694451;0,0285602384370976;0,0282363765976859;0,0193198538454054;0,00244353065102837;0,0157587349760805;0,0119840175740056;0,556307030197946;0,16100048439269;0,0162314472429681;0,160158286085079;1,10778265476316;0,196543431530446
"classe 8";-0,438478821061911;0,367899246808761;0,506385864024596;0,203471652006806;0,343956475415578;0,681864457795747;0,339930550213351;-0,660753906517744;-0,521418786691274;-0,307546423528318;0,258042332126278;0,355176017461678;0,142713800207139;0,241249015419449;0,478255653986417;0,238425255552692;-0,463448839535181;-0,365720019541683;0,258224735478062;0,0919756678854609;0,135604758939315;0,0199725694867879;0,0502785978382374;0,188487354664618;0,0401157453818404;0,135253810946699;0,0800867593789857;0,0633966125593832;0,0446299713164536;0,0845535716804886;0,0136513824142636;0,0390099856279132;0,153308034986407;0,0381021256381756;0,143962138468135;0,0896483209080175;0,329737856400764;0,77375529404106;0,197413149515374
"classe 9";-0,446051331437032;0,652082253128215;-0,100539761000079;0,0880195353912484;0,331144977831751;1,22613637617171;2,95023862728204;3,7437667281787;1,69078722248804;-0,0845474476447139;0,12359987802029;-0,0190569550638506;0,0166837907113257;0,0627673559135923;0,232409800763685;0,559207266742018;0,709617703471409;0,320482720477741;0,0283460139802048;0,0306507871806586;0,000567034128802254;0,000396466028602328;0,00494349662329846;0,0646525092180013;0,320531325824013;0,460584491754868;0,0893278752615748;0,00690035589795398;0,014747098199945;0,000350572227188196;0,000268695228544026;0,00380310360303931;0,0521410010221728;0,301867321001941;0,486093004741455;0,099147033602957;0,0346818144748086;2,37570643623915;0,195743504410279
"classe 10";-0,310102515534887;0,092781923521342;-2,19296189137981;0,0906705045396107;-0,378178209717872;-0,252239201491389;0,0420331939711954;-0,272777930680447;-0,0565199811246968;-0,135883320900741;0,0406559613548834;-0,960930432619898;0,0397307620782647;-0,165713299487827;-0,110528288688277;0,0184184574414665;-0,119528121290332;-0,0247663993283761;0,0462372138489572;0,00209422035403577;0,910446504346568;0,00141983756714665;0,0217595375151044;0,00923404013823765;0,000219583516247658;0,0082521853208069;0,000336877392811768;0,0154900474233064;0,00138665656698132;0,77464788296545;0,00132426296550414;0,0230374906560093;0,0102486658785223;0,000284594794909407;0,0119856234612152;0,000514572040816519;0,161080203247276;1,29319314446658;0,269382237713145
