user_utilisateurice;194;434;2192;3571;3001;194;596;4507
emji_visage_riant_aux_larmes;38;54;166;2132;233;15;35;233
aller;3;16;384;330;1192;53;122;904
emji_applaudissements;27;872;63;76;83;8;22;140
suisse;2;44;334;146;1313;26;89;756
voir;0;3;301;143;602;39;110;1100
parler;1;2;303;70;323;27;113;610
pays;0;10;349;69;453;19;47;415
gens;0;0;195;56;437;17;36;670
monde;0;6;195;57;392;34;59;611
emji_coeur_rouge;25;670;30;21;40;3;9;84
emji_feu;23;535;28;19;26;4;7;52
emji_visage_qui_pleure;17;189;80;66;119;9;24;149
prendre;0;4;132;51;478;20;54;399
enfant;0;2;234;45;298;31;118;279
emji_se_rouler_par_terre_de_rire;3;3;14;448;41;4;1;35
mettre;4;3;135;53;363;32;52;410
payer;0;1;57;27;809;1;38;65
femme;0;3;86;24;83;12;593;133
comprendre;0;1;116;61;201;20;49;525
penser;1;0;103;55;231;14;54;504
passer;0;1;153;47;313;10;32;376
problème;0;0;72;35;276;22;56;422
chose;0;3;92;34;174;14;41;525
temps;0;5;71;40;261;22;38;387
emji_visage_souriant_avec_yeux_en_forme_de_coeur;11;405;3;22;35;4;2;39
vraiment;1;5;83;71;186;14;30;420
droit;0;0;345;18;123;6;53;184
grand;2;19;69;44;366;15;34;250
rester;0;5;82;28;313;11;58;282
arrêter;0;1;200;47;241;12;25;234
vie;0;5;54;34;291;16;42;332
police;2;11;288;42;97;8;24;249
vrai;0;1;107;48;189;14;37;366
donner;0;0;94;25;183;14;37;393
venir;0;0;123;39;265;21;31;238
travail;0;6;56;18;341;35;44;200
homme;1;5;70;19;33;3;463;74
jour;0;2;87;31;307;19;37;189
trouver;0;2;78;31;239;12;49;296
état;0;0;262;12;202;3;9;138
vivre;0;1;67;23;210;8;26;290
fois;0;2;96;33;195;11;25;263
commentaire;0;2;37;119;36;5;27;420
emji_mains_levées;7;292;25;27;34;3;6;59
demander;0;0;141;37;183;11;40;209
seul;1;1;122;15;179;5;53;247
année;0;2;68;36;344;6;25;146
cas;1;1;80;21;191;10;66;248
israël;1;0;566;0;6;0;1;14
palestinien;0;2;569;2;6;0;2;19
riche;0;1;9;20;464;0;5;67
france;0;1;40;57;325;7;7;139
question;2;0;57;18;115;6;24;365
guerre;0;2;428;10;49;1;14;69
petit;0;3;59;42;248;7;22;193
argent;0;0;42;22;426;5;12;72
politique;1;0;102;9;95;1;20;315
accord;0;8;127;57;130;2;25;180
partir;2;2;50;20;233;6;16;194
laisser;0;0;79;17;170;42;28;197
sentir;0;5;46;24;104;11;31;305
devenir;0;0;46;17;243;12;27;174
palestine;3;12;295;14;27;0;3;83
besoin;0;4;48;15;207;6;20;211
hamas;6;0;437;2;2;0;2;15
place;3;1;62;7;172;9;27;168
travailler;0;1;14;16;307;8;23;84
emji_drapeau_suisse;11;162;24;27;61;2;3;51
français;2;1;21;38;189;2;15;146
connaître;0;0;58;29;87;12;17;267
peuple;0;3;242;7;89;1;5;116
continuer;1;4;149;28;150;7;16;117
changer;2;1;46;8;156;12;15;234
raison;0;0;74;24;103;8;26;231
manifestation;2;0;334;4;23;0;5;66
etc;2;0;47;6;208;12;29;108
arriver;0;2;47;28;178;5;10;167
humain;0;2;89;11;71;3;11;255
plutôt;0;0;51;18;119;11;25;215
rendre;0;2;102;30;121;7;25;144
utiliser;0;0;92;14;139;1;18;156
gauche;0;0;45;37;68;1;11;254
beau;0;17;22;42;76;9;17;239
sujet;0;1;25;16;34;5;25;309
population;4;0;115;4;154;3;19;122
paix;2;12;308;8;14;1;7;45
part;4;0;60;17;139;9;16;172
moment;1;5;67;21;90;12;14;202
exemple;0;1;40;7;161;8;20;169
cause;2;1;102;15;124;5;26;137
aimer;0;14;38;39;70;19;19;210
impôt;0;0;6;5;352;0;3;23
emji_visage_souriant_avec_une_goutte_de_sueur;4;3;11;235;47;4;6;48
coup;0;1;62;30;149;8;25;126
tellement;0;12;32;51;67;17;11;209
emji_mains_en_prière;6;178;22;16;21;4;2;44
lire;1;2;33;44;30;2;17;261
ca;2;0;43;29;101;10;15;178
genre;0;0;33;25;57;10;35;240
gaza;3;2;347;3;14;0;1;23
entreprise;0;0;15;3;311;1;3;36
droite;1;0;39;18;47;1;7;266
compte;0;0;52;25;119;1;15;177
violence;3;0;125;3;24;1;74;138
importer;0;0;46;25;72;3;14;212
emji_visage_qui_pleure_à_chaudes_larmes;2;17;10;151;7;0;0;4
emji_visage_boudeur;2;6;31;11;27;1;2;36
social;1;0;18;5;143;3;32;182
manifester;0;1;285;5;35;1;1;43
société;0;0;27;6;107;4;31;206
permettre;0;0;48;6;155;4;8;151
niveau;0;1;12;14;95;8;19;147
rts;2;5;76;29;29;2;2;228
famille;0;11;79;11;97;3;30;144
article;2;1;43;20;46;2;10;239
emji_visage_avec_bouche_ouverte;7;18;13;7;20;2;3;20
système;0;0;13;4;226;4;11;103
idée;0;5;18;38;87;4;20;197
exister;2;3;68;18;86;6;20;157
salaire;0;0;1;8;290;1;22;27
sûr;1;2;38;34;87;8;14;182
armée;2;0;142;12;58;8;61;73
aider;0;1;40;14;142;1;8;149
tuer;5;0;212;10;45;1;26;52
loi;0;0;100;12;86;1;21;133
trump;4;8;117;35;66;1;7;111
public;0;0;56;5;186;4;3;103
regarder;0;0;32;32;96;4;17;168
otage;1;2;310;0;7;0;0;5
moyen;1;0;73;10;167;0;10;89
commencer;0;1;78;8;96;8;21;139
cher;1;1;10;18;274;2;5;34
sortir;1;0;45;21;89;6;13;179
partie;0;2;54;10;105;1;17;159
soutenir;0;0;183;9;47;1;20;86
faux;0;0;50;20;50;1;19;204
genève;0;2;21;24;241;5;1;34
premier;0;2;59;17;107;3;7;144
lieu;0;0;54;9;125;4;11;145
histoire;0;4;74;17;34;5;7;201
génocide;0;0;316;1;6;0;1;21
défendre;1;0;141;15;55;2;14;106
israélien;2;0;318;0;6;0;0;8
perdre;1;2;42;12;132;4;15;111
prix;0;0;40;15;243;0;4;22
finir;0;3;45;21;145;5;13;98
attendre;0;4;62;22;71;0;18;145
emji_visage_faisant_un_clin_d_oeil;1;2;19;47;74;4;8;146
écrire;0;1;27;32;20;3;10;182
servir;1;1;55;8;114;1;31;115
mort;0;1;173;22;45;1;9;60
emji_visage_en_pleine_réflexion;2;0;39;49;61;3;7;85
gouvernement;0;1;179;5;58;0;6;65
montrer;0;0;56;10;36;3;16;191
jeune;0;2;21;10;63;22;49;137
nouveau;0;4;33;13;133;6;22;94
gros;1;0;14;27;149;5;13;93
côté;0;0;46;20;93;2;17;133
simplement;0;2;33;4;111;4;18;134
service;0;1;19;5;120;5;96;51
revenir;0;0;20;14;185;2;16;62
meilleur;0;19;13;19;92;7;12;97
oublier;0;1;66;14;122;2;13;90
espérer;0;4;42;41;54;3;8;151
europe;2;0;69;9;73;2;5;78
assurance;0;0;4;8;269;0;0;4
réalité;0;0;31;7;49;0;23;189
agir;1;0;86;9;66;0;10;123
ville;0;6;32;11;167;3;5;46
créer;0;0;45;5;132;5;10;88
pauvre;0;1;31;38;151;3;2;58
manquer;0;3;21;19;76;15;15;141
rapport;0;0;35;50;53;3;28;116
animal;1;8;13;13;58;13;9;150
justice;1;6;142;10;29;1;11;82
fin;1;1;59;11;78;6;11;118
respecter;0;0;138;2;63;5;9;59
justement;0;0;32;8;64;7;17;155
emji_visage_roulant_des_yeux;1;0;19;151;35;2;6;33
situation;1;0;60;1;46;1;22;150
santé;0;1;9;5;199;0;7;52
protéger;0;0;90;8;66;2;26;84
seulement;0;0;42;15;122;2;13;80
normal;2;1;17;11;151;11;7;58
frontalier;0;0;4;15;205;0;1;25
appeler;0;2;61;24;55;5;6;113
mot;0;0;63;23;17;1;13;137
extrême;0;0;41;12;20;1;5;175
augmenter;0;0;7;4;206;1;6;30
école;0;0;14;1;76;82;5;70
essayer;0;0;34;11;59;8;3;147
dernier;0;0;59;17;62;2;12;106
heure;0;1;25;11;131;4;8;58
mois;0;0;11;8;187;1;12;28
chercher;0;0;40;9;83;0;10;120
policier;0;1;95;8;26;1;11;105
malheureusement;0;2;42;2;62;6;20;127
the;153;4;8;8;5;0;0;11
gagner;1;1;12;8;169;2;12;29
terroriste;2;0;234;0;1;0;1;6
honte;0;0;55;12;35;4;9;61
solution;0;0;37;6;88;1;6;108
argument;2;1;18;17;27;1;22;159
triste;2;5;26;16;30;4;6;159
liberté;0;1;54;8;30;3;13;126
emji_drapeau_territoires_palestiniens;2;42;40;3;3;0;0;11
pire;0;0;53;19;86;4;7;58
civil;0;0;189;1;14;2;22;15
canton;0;0;7;5;193;0;2;22
étranger;0;0;21;4;89;0;8;108
expliquer;0;0;35;14;63;6;13;114
exactement;0;6;29;66;51;0;11;84
manière;1;0;38;3;60;5;13;123
simple;3;0;26;8;78;2;10;108
aide;0;0;75;6;80;3;8;71
apprendre;0;0;16;13;18;23;12;110
ouvrir;0;0;32;6;64;1;4;125
international;1;1;185;3;26;0;0;17
bas;0;0;24;19;120;3;15;49
acheter;0;1;16;10;174;2;2;24
étude;0;0;3;3;73;2;11;133
super;1;12;10;53;81;12;3;56
possible;1;2;31;8;81;1;8;104
voter;1;5;13;8;46;0;13;137
israel;6;5;197;1;2;0;0;4
avis;0;0;24;15;20;1;7;160
propre;0;0;29;8;60;8;12;112
respect;1;15;71;5;25;18;15;72
initiative;0;6;8;7;64;0;19;118
façon;0;1;24;11;69;8;16;97
terre;0;1;95;13;45;1;7;56
interdire;0;0;35;10;106;15;8;40
sécurité;0;0;52;4;80;2;15;71
mauvais;0;0;19;9;56;4;14;114
choix;0;3;15;4;66;5;32;94
