"";"banalfreq";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";151;-0,737;0,737
"emji_trinquer";17;0,3049;-0,3049
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";37;-1,6519;1,6519
"emji_visage_qui_pleure";1495;0,3753;-0,3753
"emji_cotillons";37;0,5775;-0,5775
"emji_papillon";14;1,7202;-1,7202
"emji_fondue";22;0,3383;-0,3383
"emji_visage_qui_vomit";96;-0,4604;0,4604
"emji_pouce_vers_le_haut_peau_moyennement_claire";33;1,4719;-1,4719
"emji_abeille";12;1,3356;-1,3356
"emji_applaudissements_peau_moyennement_claire";40;-1,1831;1,1831
"emji_singe_ne_rien_voir";111;0,8674;-0,8674
"emji_visage_festif";83;-0,9783;0,9783
"emji_pouce_vers_le_haut_peau_claire";93;0,2828;-0,2828
"emji_visage_avec_un_doigt_sur_la_bouche";36;-0,2515;0,2515
"emji_visage_qui_rougit";126;1,9077;-1,9077
"emji_visage_pensif";125;0,9808;-0,9808
"emji_visage_bleu_et_froid";31;-0,4073;0,4073
"emji_ok_peau_moyennement_claire";24;0,7226;-0,7226
"emji_feuille_morte";10;-1,6037;1,6037
"emji_jeune_pousse";14;0,4496;-0,4496
"emji_ok_peau_claire";29;0,5129;-0,5129
"emji_bouteille_de_champagne";10;-0,3195;0,3195
"emji_chat_qui_pleure_de_joie";41;-1,0549;1,0549
"emji_cent_points";32;1,0323;-1,0323
"emji_index_pointant_vers_le_haut_peau_claire";11;-0,4551;0,4551
"emji_note_de_musique";13;1,5257;-1,5257
"emji_visage_souriant_avec_une_larme";140;-0,3919;0,3919
"emji_explosion";28;0,2886;-0,2886
"emji_index_pointant_vers_le_haut";27;-0,3793;0,3793
"emji_visage_anxieux_avec_goutte_de_sueur";26;0,6739;-0,6739
"emji_feuille";22;0,3383;-0,3383
"emji_visage_avec_un_monocle";96;-1,6741;1,6741
"emji_visage_sans_expression";46;-1,1817;1,1817
"emji_v_de_la_victoire";40;-0,2767;0,2767
"emji_visage_confus";27;0,5445;-0,5445
"emji_symbole_de_paix";11;-0,4551;0,4551
"emji_visage_qui_regarde_entre_ses_doigts";100;1,4424;-1,4424
"emji_visage_rouge_et_chaud";22;1,5095;-1,5095
"emji_visage_sans_bouche";12;0,2637;-0,2637
"emji_visage_endormi";33;-0,591;0,591
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";31;-0,4073;0,4073
"emji_applaudissements_peau_claire";72;-1,2195;1,2195
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";18;0,3845;-0,3845
"emji_visage_qui_fond";77;0,566;-0,566
"emji_visage_qui_tire_la_langue";14;-0,6142;0,6142
"emji_visage_aux_yeux_en_spirales";48;0,5193;-0,5193
"emji_croix_latine";14;-0,3618;0,3618
"emji_tas_de_crotte";71;-0,5012;0,5012
"emji_visage_neutre";38;0,4807;-0,4807
"emji_bout_des_doigts_joints";10;0,2833;-0,2833
"emji_visage_avec_bouche_en_diagonale";15;-0,2774;0,2774
"emji_cornes_avec_les_doigts";31;0,9247;-0,9247
"emji_point_d_exclamation_rouge";12;-0,3418;0,3418
"emji_hibiscus";12;1,3356;-1,3356
"emji_pouce_vers_le_bas";24;-0,9176;0,9176
"emji_ogre";13;-0,4699;0,4699
"emji_ampoule";10;0,2833;-0,2833
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";19;-0,5103;0,5103
"emji_visage_souriant_avec_des_cornes";13;-0,4699;0,4699
"emji_confettis";11;-0,232;0,232
"emji_soleil_avec_visage";19;1,0654;-1,0654
"emji_pouce_vers_le_bas_peau_claire";10;-0,6051;0,6051
"emji_visage_qui_fait_un_salut_militaire";58;0,5548;-0,5548
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";14;0,2477;-0,2477
"emji_symbole_d_avertissement";37;-1,6519;1,6519
"emji_double_point_d_exclamation";16;-0,3801;0,3801
"emji_argent_dans_les_yeux_et_la_bouche";10;-1,0231;1,0231
"emji_empreintes_d_animaux";11;-0,232;0,232
"emji_croix";15;-0,7727;0,7727
"emji_arc_en_ciel";14;0,2477;-0,2477
"emji_billet_avec_des_ailes";16;-1,8828;1,8828
"emji_chat";14;1,1595;-1,1595
