"";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";-0,737;0,737
"emji_visage_riant_aux_larmes";193,2749;-193,2749
"vide_aucun_emji";-269,2309;269,2309
"emji_visage_souriant_avec_une_goutte_de_sueur";17,7711;-17,7711
"emji_visage_avec_lunettes_de_soleil";4,8615;-4,8615
"emji_ok";6,0283;-6,0283
"emji_trinquer";0,3049;-0,3049
"emji_applaudissements";4,1918;-4,1918
"emji_feu";6,4347;-6,4347
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";-1,6519;1,6519
"emji_se_rouler_par_terre_de_rire";19,9575;-19,9575
"emji_drapeau_suisse";-3,1202;3,1202
"emji_visage_envoyant_un_bisou";2,9547;-2,9547
"emji_visage_qui_hurle_de_peur";2,6515;-2,6515
"emji_soleil";5,5622;-5,5622
"emji_visage_rieur";10,4327;-10,4327
"emji_pouce_vers_le_haut";15,1653;-15,1653
"emji_visage_souriant_aux_yeux_rieurs";12,4742;-12,4742
"emji_visage_avec_bouche_ouverte";4,5706;-4,5706
"emji_visage_souriant_avec_yeux_rieurs";23,8078;-23,8078
"emji_visage_qui_pleure";0,3753;-0,3753
"emji_visage_avec_une_main_sur_la_bouche";5,4386;-5,4386
"emji_visage_souriant";7,6064;-7,6064
"emji_couronne";2,0492;-2,0492
"emji_visage_de_clown";-8,3217;8,3217
"emji_visage_de_geek";-2,2431;2,2431
"emji_cotillons";0,5775;-0,5775
"emji_papillon";1,7202;-1,7202
"emji_notes_de_musique";17,2738;-17,2738
"emji_visage_roulant_des_yeux";-2,7083;2,7083
"emji_fondue";0,3383;-0,3383
"emji_visage_qui_vomit";-0,4604;0,4604
"emji_miam";3,7493;-3,7493
"emji_pouce_vers_le_haut_peau_moyennement_claire";1,4719;-1,4719
"emji_visage_boudeur";-9,2036;9,2036
"emji_abeille";1,3356;-1,3356
"emji_yeux";-3,1804;3,1804
"emji_homme_avec_la_paume_sur_le_visage";-3,9632;3,9632
"emji_applaudissements_peau_moyennement_claire";-1,1831;1,1831
"emji_singe_ne_rien_voir";0,8674;-0,8674
"emji_visage_festif";-0,9783;0,9783
"emji_visage_souriant_avec_de_grands_yeux";2,2298;-2,2298
"emji_pouce_vers_le_haut_peau_claire";0,2828;-0,2828
"emji_visage_avec_des_symboles_dans_la_bouche";-3,1954;3,1954
"emji_visage_implorant";4,164;-4,164
"emji_visage_avec_un_doigt_sur_la_bouche";-0,2515;0,2515
"emji_signe_de_la_main";3,4143;-3,4143
"emji_visage_qui_rougit";1,9077;-1,9077
"emji_visage_pensif";0,9808;-0,9808
"emji_visage_bleu_et_froid";-0,4073;0,4073
"emji_ok_peau_moyennement_claire";0,7226;-0,7226
"emji_drapeau_france";2,3046;-2,3046
"emji_feuille_morte";-1,6037;1,6037
"emji_jeune_pousse";0,4496;-0,4496
"emji_ok_peau_claire";0,5129;-0,5129
"emji_bouteille_de_champagne";-0,3195;0,3195
"emji_chat_qui_pleure_de_joie";-1,0549;1,0549
"emji_cent_points";1,0323;-1,0323
"emji_rose";12,4574;-12,4574
"emji_index_pointant_vers_le_haut_peau_claire";-0,4551;0,4551
"emji_note_de_musique";1,5257;-1,5257
"emji_visage_souriant_avec_une_larme";-0,3919;0,3919
"emji_explosion";0,2886;-0,2886
"emji_index_pointant_vers_le_haut";-0,3793;0,3793
"emji_partition";8,6725;-8,6725
"emji_flocon";2,5547;-2,5547
"emji_nuage_avec_neige";2,5469;-2,5469
"emji_visage_anxieux_avec_goutte_de_sueur";0,6739;-0,6739
"emji_feuille";0,3383;-0,3383
"emji_visage_avec_un_monocle";-1,6741;1,6741
"emji_personne_avec_la_paume_sur_le_visage";-4,9179;4,9179
"emji_visage_sans_expression";-1,1817;1,1817
"emji_fleur_de_cerisier";6,1132;-6,1132
"emji_v_de_la_victoire";-0,2767;0,2767
"emji_visage_confus";0,5445;-0,5445
"emji_symbole_de_paix";-0,4551;0,4551
"emji_visage_retenant_ses_larmes";19,735;-19,735
"emji_points_d_exclamation_et_d_interrogation";-2,398;2,398
"emji_visage_qui_regarde_entre_ses_doigts";1,4424;-1,4424
"emji_visage_rouge_et_chaud";1,5095;-1,5095
"emji_visage_sans_bouche";0,2637;-0,2637
"emji_visage_endormi";-0,591;0,591
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";-0,4073;0,4073
"emji_colombe";-5,6343;5,6343
"emji_applaudissements_peau_claire";-1,2195;1,2195
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";0,3845;-0,3845
"emji_visage_qui_fond";0,566;-0,566
"emji_visage_qui_tire_la_langue";-0,6142;0,6142
"emji_visage_aux_yeux_en_spirales";0,5193;-0,5193
"emji_croix_latine";-0,3618;0,3618
"emji_verre_de_vin";2,2553;-2,2553
"emji_tas_de_crotte";-0,5012;0,5012
"emji_visage_neutre";0,4807;-0,4807
"emji_bout_des_doigts_joints";0,2833;-0,2833
"emji_visage_avec_bouche_en_diagonale";-0,2774;0,2774
"emji_cornes_avec_les_doigts";0,9247;-0,9247
"emji_point_d_exclamation_rouge";-0,3418;0,3418
"emji_sac_plein_d_argent";-5,4133;5,4133
"emji_hibiscus";1,3356;-1,3356
"emji_pouce_vers_le_bas";-0,9176;0,9176
"emji_ogre";-0,4699;0,4699
"emji_visage_expirant";-3,0389;3,0389
"emji_ampoule";0,2833;-0,2833
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";-0,5103;0,5103
"emji_visage_souriant_avec_des_cornes";-0,4699;0,4699
"emji_confettis";-0,232;0,232
"emji_soleil_avec_visage";1,0654;-1,0654
"emji_pouce_vers_le_bas_peau_claire";-0,6051;0,6051
"emji_visage_qui_fait_un_salut_militaire";0,5548;-0,5548
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";0,2477;-0,2477
"emji_pop_corn";-3,3258;3,3258
"emji_symbole_d_avertissement";-1,6519;1,6519
"emji_femme_avec_la_paume_sur_le_visage";-3,7266;3,7266
"emji_point_d_interrogation_rouge";-2,1569;2,1569
"emji_double_point_d_exclamation";-0,3801;0,3801
"emji_argent_dans_les_yeux_et_la_bouche";-1,0231;1,0231
"emji_empreintes_d_animaux";-0,232;0,232
"emji_croix";-0,7727;0,7727
"emji_arc_en_ciel";0,2477;-0,2477
"emji_drapeau_italie";5,162;-5,162
"emji_billet_avec_des_ailes";-1,8828;1,8828
"emji_renard";19,5173;-19,5173
"emji_index_pointant_vers_l_utilisateur";-3,0809;3,0809
"emji_chat";1,1595;-1,1595
"emji_visage_avec_des_valises_sous_les_yeux";-4,5887;4,5887
