"";"X.rts_a";"X.rts_i"
"emji_visage_avec_un_sourire_malin";-0,7116;0,7116
"emji_visage_riant_aux_larmes";218,5311;-218,5311
"vide_aucun_emji";-148,7387;148,7387
"emji_visage_souriant_avec_yeux_rieurs";34,7342;-34,7342
"emji_se_rouler_par_terre_de_rire";34,734;-34,734
"emji_feu";-0,3418;0,3418
"emji_visage_souriant_avec_une_goutte_de_sueur";19,3822;-19,3822
"emji_yeux";-3,5415;3,5415
"emji_applaudissements";-3,7592;3,7592
"emji_visage_avec_lunettes_de_soleil";4,5137;-4,5137
"emji_ok";6,2432;-6,2432
"emji_trinquer";0,3944;-0,3944
"emji_ok_peau_claire";0,7912;-0,7912
"emji_homme_avec_la_paume_sur_le_visage";-4,4286;4,4286
"emji_visage_qui_hurle_de_peur";0,5395;-0,5395
"emji_applaudissements_peau_claire";-3,9702;3,9702
"emji_drapeau_suisse";-9,2573;9,2573
"emji_homme_avec_la_paume_sur_le_visage_peau_claire";-1,6412;1,6412
"emji_drapeau_albanie";1,9672;-1,9672
"emji_ballon_de_football";-0,538;0,538
"emji_visage_souriant_aux_yeux_rieurs";19,4054;-19,4054
"emji_visage_envoyant_un_bisou";6,8256;-6,8256
"emji_visage_avec_bouche_ouverte";1,0283;-1,0283
"emji_visage_festif";-10,4039;10,4039
"emji_visage_avec_un_doigt_sur_la_bouche";-0,2805;0,2805
"emji_soleil";3,4246;-3,4246
"emji_visage_rieur";14,3292;-14,3292
"emji_pouce_vers_le_haut";30,0399;-30,0399
"emji_pouce_vers_le_haut_peau_moyennement_claire";2,0899;-2,0899
"emji_drapeau_italie";13,5768;-13,5768
"emji_cornes_avec_les_doigts";0,5422;-0,5422
"emji_v_de_la_victoire_peau_moyennement_claire";-0,9738;0,9738
"emji_visage_avec_masque";1,6353;-1,6353
"emji_visage_qui_pleure";-11,3528;11,3528
"emji_visage_avec_une_main_sur_la_bouche";5,6231;-5,6231
"emji_visage_souriant";18,0989;-18,0989
"emji_couronne";1,7726;-1,7726
"emji_feuille";-0,4599;0,4599
"emji_visage_de_clown";-11,9867;11,9867
"emji_visage_de_geek";-2,748;2,748
"emji_cotillons";-2,5624;2,5624
"emji_papillon";3,2453;-3,2453
"emji_notes_de_musique";18,7229;-18,7229
"emji_visage_roulant_des_yeux";-7,9032;7,9032
"emji_fondue";1,3193;-1,3193
"emji_visage_souriant_avec_une_larme";0,5649;-0,5649
"emji_miam";2,3922;-2,3922
"emji_visage_souriant_avec_de_grands_yeux";6,2131;-6,2131
"emji_visage_qui_vomit";0,9816;-0,9816
"emji_drapeau_australie";2,9442;-2,9442
"emji_visage_qui_bave";-0,711;0,711
"emji_drapeau_belgique";1,5603;-1,5603
"emji_cerveau";-0,6133;0,6133
"emji_visage_qui_rougit";-0,8862;0,8862
"emji_visage_boudeur";-44,362;44,362
"emji_singe_ne_rien_voir";0,6863;-0,6863
"emji_colombe";-34,1184;34,1184
"emji_visage_implorant";5,8096;-5,8096
"emji_abeille";2,8864;-2,8864
"emji_chat_qui_sourit_avec_des_yeux_rieurs";-0,5839;0,5839
"emji_cent_points";0,4837;-0,4837
"emji_visage_endormi";-1,877;1,877
"emji_applaudissements_peau_moyennement_claire";-0,4702;0,4702
"emji_explosion";0,7292;-0,7292
"emji_pouce_vers_le_haut_peau_claire";0,7269;-0,7269
"emji_ok_peau_moyennement_claire";1,532;-1,532
"emji_visage_avec_des_symboles_dans_la_bouche";-32,8641;32,8641
"emji_applaudissements_peau_mate";-6,0215;6,0215
"emji_moai";1,3102;-1,3102
"emji_signe_de_la_main";2,4031;-2,4031
"emji_tulipe";0,3381;-0,3381
"emji_nuage_avec_neige";2,9168;-2,9168
"emji_flocon";1,0802;-1,0802
"emji_part_de_fromage";-3,4025;3,4025
"emji_femme_avec_la_paume_sur_le_visage_peau_claire";-4,4899;4,4899
"emji_visage_pensif";0,281;-0,281
"emji_visage_bleu_et_froid";-0,3116;0,3116
"emji_drapeau_france";-0,7773;0,7773
"emji_feuille_morte";-1,2019;1,2019
"emji_jeune_pousse";0,5153;-0,5153
"emji_bonhomme_de_neige";-0,2415;0,2415
"emji_bombe";0,3765;-0,3765
"emji_bouteille_de_champagne";-2,8178;2,8178
"emji_verre_de_vin";2,7;-2,7
"emji_dans_le_mille";-0,9738;0,9738
"emji_chat_qui_pleure_de_joie";0,5571;-0,5571
"emji_rose";31,9457;-31,9457
"emji_personne_avec_la_paume_sur_le_visage_peau_claire";0,2746;-0,2746
"emji_index_pointant_vers_le_haut_peau_claire";-0,2727;0,2727
"emji_note_de_musique";5,2427;-5,2427
"emji_index_pointant_vers_le_haut";-0,4181;0,4181
"emji_partition";11,0906;-11,0906
"emji_symbole_de_paix";0,37;-0,37
"emji_pouce_vers_le_bas_peau_claire";-2,1717;2,1717
"emji_haute_tension";-0,6071;0,6071
"emji_visage_anxieux_avec_goutte_de_sueur";-2,7202;2,7202
"emji_bourgeon";0,8124;-0,8124
"emji_visage_avec_un_monocle";-2,6429;2,6429
"emji_skieur";-1,8722;1,8722
"emji_personne_avec_la_paume_sur_le_visage";-4,8658;4,8658
"emji_visage_sans_expression";-2,9126;2,9126
"emji_fleur_de_cerisier";6,0949;-6,0949
"emji_v_de_la_victoire";-2,239;2,239
"emji_ampoule";-0,3523;0,3523
"emji_visage_confus";0,2863;-0,2863
"emji_visage_retenant_ses_larmes";38,6486;-38,6486
"emji_sac_plein_d_argent";-7,7849;7,7849
"emji_points_d_exclamation_et_d_interrogation";-0,9946;0,9946
"emji_cornes_avec_les_doigts_peau_claire";-0,8109;0,8109
"emji_visage_qui_regarde_entre_ses_doigts";2,0631;-2,0631
"emji_visage_rouge_et_chaud";0,7574;-0,7574
"emji_bouquet";1,4262;-1,4262
"emji_visage_sans_bouche";-0,5791;0,5791
"emji_femme_avec_la_paume_sur_le_visage_peau_moyennement_claire";-2,7202;2,7202
"emji_visage_avec_yeux_ouverts_et_main_sur_la_bouche";-0,2693;0,2693
"emji_casque_de_secouriste";-1,49;1,49
"emji_visage_qui_tire_la_langue";-0,7454;0,7454
"emji_singe_ne_rien_entendre";0,5506;-0,5506
"emji_visage_qui_fond";0,3861;-0,3861
"emji_ballon_gonflable";2,5462;-2,5462
"emji_confettis";-0,3386;0,3386
"emji_visage_aux_yeux_en_spirales";-0,2752;0,2752
"emji_croix_latine";-2,1758;2,1758
"emji_tas_de_crotte";0,2928;-0,2928
"emji_visage_avec_bouche_en_diagonale";0,4053;-0,4053
"emji_pouce_vers_le_bas";1,6398;-1,6398
"emji_poing_de_face";0,7136;-0,7136
"emji_visage_neutre";0,3395;-0,3395
"emji_bout_des_doigts_joints";-0,4202;0,4202
"emji_femme_avec_la_paume_sur_le_visage";-3,9734;3,9734
"emji_aigle";-3,142;3,142
"emji_singe_ne_rien_dire";0,2552;-0,2552
"emji_v_de_la_victoire_peau_claire";-0,244;0,244
"emji_point_d_exclamation_rouge";-2,5697;2,5697
"emji_vague";0,6346;-0,6346
"emji_parapluie_avec_gouttes_de_pluie";0,6735;-0,6735
"emji_vent_avec_visage";0,6735;-0,6735
"emji_drapeau_kosovo";2,1471;-2,1471
"emji_visage_qui_fait_un_salut_militaire";0,5266;-0,5266
"emji_hibiscus";6,6703;-6,6703
"emji_visage_somnolent";-10,2038;10,2038
"emji_visage_souriant_avec_des_cornes";-0,5101;0,5101
"emji_ogre";-0,8109;0,8109
"emji_escargot";1,7532;-1,7532
"emji_lotus";1,9486;-1,9486
"emji_visage_expirant";-3,6913;3,6913
"emji_chat";1,7027;-1,7027
"emji_boisson_chaude";-0,5791;0,5791
"emji_danseuse";0,6735;-0,6735
"emji_bougie";-3,564;3,564
"emji_cadeau";0,2552;-0,2552
"emji_chat_qui_pleure";-0,4169;0,4169
"emji_chouette";2,2647;-2,2647
"emji_double_point_d_exclamation";-0,6016;0,6016
"emji_coche";-0,9693;0,9693
"emji_drapeau_territoires_palestiniens";-92,579;92,579
"emji_soleil_avec_visage";0,3367;-0,3367
"emji_haut_parleur";2,7177;-2,7177
"emji_homme_avec_la_paume_sur_le_visage_peau_moyennement_claire";-1,9129;1,9129
"emji_visage_inquiet";1,1141;-1,1141
"emji_bout_des_doigts_joints_peau_claire";-0,2368;0,2368
"emji_drapeau_ukraine";-0,5839;0,5839
"emji_goutte_de_sang";-0,5839;0,5839
"emji_index_pointant_vers_l_utilisateur";-3,2753;3,2753
"emji_femme_qui_court";-0,3523;0,3523
"emji_pop_corn";-7,9484;7,9484
"emji_canard";1,0685;-1,0685
"emji_croix";-0,3291;0,3291
"emji_symbole_d_avertissement";-4,407;4,407
"emji_drapeau_turquie";5,4358;-5,4358
"emji_drapeau_argentine";0,735;-0,735
"emji_drapeau_mexique";4,0767;-4,0767
"emji_drapeau_congo_kinshasa";-1,8633;1,8633
"emji_drapeau_portugal";-1,4072;1,4072
"emji_drapeau_chili";0,4516;-0,4516
"emji_paume_contre_paume_doigts_vers_le_haut";-0,6169;0,6169
"emji_drapeau_venezuela";-2,5259;2,5259
"emji_drapeau_pologne";1,7532;-1,7532
"emji_drapeau_maroc";2,7485;-2,7485
"emji_ciseaux";0,9515;-0,9515
"emji_bout_des_doigts_joints_peau_moyennement_claire";-1,49;1,49
"emji_danseur";1,5603;-1,5603
"emji_visage_de_menteur";-1,704;1,704
"emji_point_d_interrogation_rouge";-2,9512;2,9512
"emji_argent_dans_les_yeux_et_la_bouche";-2,2443;2,2443
"emji_empreintes_d_animaux";0,5445;-0,5445
"emji_arc_en_ciel";0,2746;-0,2746
"emji_billet_en_dollars";-0,7904;0,7904
"emji_robot";-5,973;5,973
"emji_billet_avec_des_ailes";-1,7982;1,7982
"emji_porte_documents";-2,7179;2,7179
"emji_renard";74,0455;-74,0455
"emji_rat";-0,752;0,752
"emji_requin";-5,973;5,973
"emji_pizza";8,2565;-8,2565
"emji_cheval";-2,3451;2,3451
"emji_visage_avec_des_valises_sous_les_yeux";-6,6496;6,6496
"emji_drapeau_soudan";-3,9113;3,9113
"emji_drapeau_de_pirate";-4,6937;4,6937
"emji_ninja_peau_mate";-9,3881;9,3881
"emji_paume_contre_paume_doigts_vers_le_haut_peau_mate";-3,9113;3,9113
"emji_drapeau_cap_vert";-25,4328;25,4328
"emji_drapeau_r";-3,9113;3,9113
"emji_langue";-5,8672;5,8672
