"";"";"";"";"vous";""
"1";"vous";"0.146562752239";"0.115910091462205";"2.09220459384618";"6"
"2";"et";"0.0813555611721892";"0.000546349466656415";"2.0819142450086";"7"
"3";"des";"0.28015569960778";"0.00485035859352459";"2.07792925697837";"8"
"4";"que";"0.176572533230628";"-0.0633731223259319";"1.94426477929674";"10"
"5";"pas";"0.210445074073782";"-0.0716621666183966";"1.87988131330765";"14"
"6";"avoir";"-0.0382227182556002";"-0.00148582249622467";"1.81249190985731";"15"
"7";"être";"-0.0789704026945272";"0.0245693350515047";"1.78620428743691";"16"
"8";"votre";"0.138099353150171";"0.12395332476503";"1.68296145600682";"18"
"9";"du";"0.145068768302424";"-0.0563117372992933";"1.55617555375138";"25"
"10";"le";"0.0604206438440689";"-0.0555514582061428";"1.49499750391089";"28"
"11";"tu";"0.129574280954158";"-0.0463675827240657";"1.49407806766225";"29"
"12";"qui";"0.316060099182727";"-0.0269291968183888";"1.47688621481374";"31"
"13";"faire";"0.090912750825287";"-0.0610548510125319";"1.45290291516111";"34"
"14";"je";"-0.293874887320426";"-0.10196291264158";"1.44908530579958";"35"
"15";"on";"0.0138442684270351";"-0.157472919304584";"1.40896257533864";"36"
"16";"sur";"0.282756327685242";"-0.158348651473303";"1.37189163950845";"40"
"17";"tout";"0.0170885011129569";"-0.0448008037697339";"1.36397669205139";"41"
"18";"ton";"0.0824902266877373";"-0.00735402307124552";"1.34968759803273";"42"
"19";"si";"0.127304971309165";"-0.134386669011546";"1.33903727041452";"43"
"20";"mais";"0.0746791824942201";"-0.117838747050502";"1.31086033261039";"44"
"21";"après";"0.145457623986824";"-0.526577842741715";"1.30333517109414";"46"
"22";"moins";"0.214290670221857";"-0.385348859836089";"1.26795407196032";"49"
"23";"aux";"0.268431487822268";"-0.203772059516502";"1.2414073565322";"51"
"24";"ce";"0.0461058392470672";"0.0525973187522788";"1.22855588477761";"52"
"25";"aujourd_hui";"-0.234640182915519";"-0.11427099711867";"1.22839309182586";"53"
"26";"dans";"0.0925975527773549";"-0.212306031370608";"1.22469471110504";"54"
"27";"au";"0.0941984618721314";"-0.125884884272367";"1.17127340148681";"55"
"28";"déjà";"0.13259238264556";"-0.176344342136726";"1.1682835140349";"56"
"29";"bien";"-0.226893457591287";"-0.00596900506434109";"1.14539620073351";"58"
"30";"même";"0.0691751936657566";"-0.0677634398825573";"1.13711898163733";"59"
"31";"ou";"0.261538685806206";"-0.217775561610179";"1.13275796481713";"60"
"32";"depuis";"0.397993040841374";"0.213283876354461";"1.12467334583289";"61"
"33";"un";"0.0627292876187412";"-0.0492175075784416";"1.09157593374056";"65"
"34";"pouvoir";"0.233985148693926";"-0.144473017955032";"1.08741439560772";"66"
"35";"dire";"-0.0751345597257327";"0.0243270462666383";"1.07236177971675";"68"
"36";"leur";"0.332120019546015";"-0.0834660970972186";"1.0675949269464";"71"
"37";"s";"0.169256220569571";"0.0233608526422299";"1.05244142528252";"72"
"38";"vos";"0.204779371732731";"-0.00560295311726751";"1.03953721778299";"73"
"39";"nos";"-0.0502714158979374";"-0.288171069024289";"1.03813628125453";"75"
"40";"nous";"-0.0723921290884165";"-0.0968384538344873";"1.03564852980872";"76"
"41";"100";"0.438245060067749";"-0.335569996374078";"1.03183550616414";"77"
"42";"une";"0.00221479299627801";"-0.0690133510604437";"1.02926062609627";"78"
"43";"quelque";"0.279051452787983";"-0.0305246407154519";"1.02814171116028";"79"
"44";"falloir";"0.276945595438956";"-0.194077719359439";"1.02226511488784";"81"
"45";"rien";"0.22847259977839";"0.0256381685115336";"1.01995620640312";"82"
"46";"sa";"-0.165171044697021";"0.0754275318103313";"1.01919497738929";"83"
"47";"entre";"0.363577400973939";"-0.0929779696046367";"1.00819613528282";"86"
"48";"toi";"-0.214408757655305";"0.142500808344411";"1.00439686878909";"87"
"49";"2";"0.215141825182223";"-0.139633389741425";"1.00268410350797";"89"
"50";"elles";"-0.101872414849806";"-0.0943245256020838";"0.99972631607471";"90"
"51";"pourquoi";"0.38361449356439";"0.221890562835793";"0.998226786631801";"91"
"52";"vouloir";"0.226107801552217";"-0.0572837700427072";"0.994542163061842";"93"
"53";"savoir";"0.0420409192918297";"-0.0832025347015871";"0.993774055472584";"94"
"54";"t";"0.0534266976249672";"0.0353695484349968";"0.993239819447817";"95"
"55";"y";"0.0556868581280464";"-0.125006925980334";"0.993090783646916";"96"
"56";"où";"0.10454759408743";"-0.10755526964081";"0.989759260282168";"97"
"57";"autre";"0.0922982951235274";"-0.0137565961355586";"0.988280366565538";"98"
"58";"combien";"0.508191997456665";"-0.422102911693925";"0.974585122892003";"101"
"59";"avec";"-0.140710415725647";"-0.0499101768751085";"0.974092158319793";"102"
"60";"devoir";"0.259987743126503";"-0.0837900820935835";"0.969455998482545";"104"
"61";"selon";"0.601916630590039";"-0.232884974971811";"0.966550946794219";"106"
"62";"peu";"-0.0044363662985355";"-0.147426540598523";"0.96617721086273";"107"
"63";"car";"0.408286790229242";"-0.191859447671974";"0.96577366777106";"108"
"64";"te";"0.0744091383245391";"-0.199714514952323";"0.957501034391835";"110"
"65";"juste";"0.146166208428987";"-0.181711471522782";"0.955568154697077";"111"
"66";"là";"0.0269540734662273";"0.0367651624450826";"0.949517301180509";"113"
"67";"comme";"-0.0154093689632299";"0.0231483441254705";"0.946566392322676";"115"
"68";"autres";"0.344274764707366";"-0.133538404096658";"0.946167434947957";"116"
"69";"ni";"0.518579491973974";"0.266927956460651";"0.940481145928978";"119"
"70";"aucune";"0.53815150161415";"0.150724834787714";"0.931639883647855";"122"
"71";"0";"0.414815787424354";"-0.542090587334836";"0.930851140332319";"123"
"72";"sous";"0.410030254676201";"0.186422666029801";"0.929720761103949";"124"
"73";"mieux";"-0.115391424685774";"-0.258681768054745";"0.92824645310427";"125"
"74";"tes";"0.148164437223521";"-0.208583099886558";"0.92632962341884";"126"
"75";"quand";"0.0416355561872351";"-0.138867146780459";"0.925744944507614";"128"
