"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"emji_visage_riant_aux_larmes";1,106;-169,758;-84,207;-1,85;80,127;-42,613;-5,133;463,57
"aller";-1,557;-0,963;106,62;-0,729;-10,447;530,562;-9,866;-746,679
"voir";-4,282;-27,961;-22,525;-2,119;0,014;420,445;103,726;-375,143
"suisse";-24,582;-1,217;2035,971;-39,83;-37,051;-166,497;-9,469;-463,63
"parler";-10,706;11,654;-20,64;-6,662;-3,212;0,165;705,465;-297,251
"emji_coeur_rouge";-22,457;-154,472;-476,326;-22,167;-99,774;-442,552;-271,244;5183,379
"gens";0,017;-13,866;-0,653;-2,68;-10,176;542,796;6,218;-382,87
"monde";-8,179;-0,315;14,588;-7,048;-23,204;598,605;-43,985;-324,169
"femme";-5,542;-74,399;-292,586;-22,714;-38,433;2403,388;-94,714;-158,278
"enfant";-16,418;8,48;-110,004;-13,469;-36,352;1022,317;-80,709;-113,057
"emji_applaudissements";-3,356;-48,8;-185,839;-19,496;-43,914;-192,175;-107,61;2078,632
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";-19,167;-159,828;-399,855;-27,587;-89,519;-415,382;-238,365;4714,793
"prendre";61,268;-11,579;99,039;5,449;0;40,588;4,353;-331,398
"beau";-18,83;-137,092;-235,749;-19,824;-50,157;-156,036;-130,441;2591,454
"époque";-9,498;-116,682;-131,452;-12,673;-7,711;-0,368;-70,506;863,434
"pays";-6,216;373,457;260,73;-16,767;-17,483;-5,726;-12,3;-382,445
"penser";-4,911;-40,887;-32,188;-0,246;-4,762;555,165;9,662;-196,68
"vie";-4,53;-80,449;-2,852;-6,416;-57,934;715,939;-113,089;-21,726
"homme";-11,624;-56,385;-308,082;-2,808;-30,707;1835,949;-69,678;-80,25
"comprendre";-2,865;-22,997;-56,7;-1,578;-13,333;58,595;567,926;-183,066
"emji_se_rouler_par_terre_de_rire";7,067;-28,643;-12,116;-0,147;68,763;-7,997;-4,516;43,325
"temps";-6,724;-50,11;-4,658;-1,038;-14,531;496,586;-17,234;-75,702
"aimer";-0,065;-68,506;-151,793;-0,594;-17,188;-4,247;-26,995;698,948
"chose";-4,48;-21,762;-43,07;-0,601;-6,331;723,315;2,316;-259,27
"passer";-0,019;-0,282;14,93;-13,956;-11,345;209,172;-5,602;-163,768
"mettre";-0,455;-1,703;147,043;-0,381;0,006;23,916;3,612;-289,084
"année";-5,663;-54,094;138,305;-0,496;-14,207;-0,216;-17,71;0,066
"petit";9,893;-31,606;-0,219;17,963;-0,003;0,101;-16,668;26,581
"vrai";-7,222;-12,042;-7,575;-6,867;-7,53;136,453;0,559;-16,938
"grand";-3,549;-39,517;119,84;-2,243;-7,343;1,304;-25,324;-1,084
"vraiment";-5,34;-24,017;-10,712;-0,423;-2,443;273,982;-0,133;-62,227
"emji_visage_qui_pleure";-4,64;-6,14;-15,293;1,134;-14,325;4,383;-31,238;104,559
"jour";12,927;-20,3;2,543;4,272;-10,679;354,273;-47,992;-128,606
"trouver";4,486;-25,995;0,469;-0,722;-8,508;92,811;31,215;-100,223
"venir";-2,344;-1,132;4,038;6,184;3,546;89,211;1,166;-164,457
"donner";-9,707;-4,766;-3,88;26,283;-14,404;167,17;28,524;-155,634
"vivre";-1,179;-16,504;0,25;-0,134;-30,313;411,935;-49,336;-76,709
"rester";-0,316;-5,018;50,748;-0,016;-7,263;120,446;-0,743;-194,996
"payer";-13,833;-30,508;2525,698;-16,361;-54,266;-134,897;-133,271;-334,538
