"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"8";"***";"";""
"**";"classe";"1";"**";"";""
"****";"1004";"77684";"1.29";"****";""
"280";" 333";" 84.08";"17969.272";"bidet";" 0.000000e+00"
"202";" 257";" 78.60";"12079.670";"laver";" 0.000000e+00"
"146";" 220";" 66.36";" 7322.841";"toilette";" 0.000000e+00"
"125";" 175";" 71.43";" 6763.146";"douche";" 0.000000e+00"
" 81";" 120";" 67.50";" 4129.671";"bain";" 0.000000e+00"
" 48";"  49";" 97.96";" 3591.467";"douchette";" 0.000000e+00"
" 72";" 110";" 65.45";" 3554.782";"hygiène";" 0.000000e+00"
" 45";"  53";" 84.91";" 2906.496";"wc";" 0.000000e+00"
" 61";" 107";" 57.01";" 2607.379";"salle";" 0.000000e+00"
" 39";"  48";" 81.25";" 2407.001";"intime";" 0.000000e+00"
" 43";"  61";" 70.49";" 2291.516";"fesse";" 0.000000e+00"
" 26";"  31";" 83.87";" 1657.742";"caca";" 0.000000e+00"
" 46";" 101";" 45.54";" 1552.395";"cul";" 0.000000e+00"
" 52";" 138";" 37.68";" 1434.937";"papier";"5.378729e-314"
" 24";"  33";" 72.73";" 1320.584";"japonais";"3.801578e-289"
" 17";"  17";"100.00";" 1298.651";"lingette";"2.220436e-284"
" 22";"  29";" 75.86";" 1264.538";"hygiénique";"5.751501e-277"
" 17";"  19";" 89.47";" 1158.404";"savon";"6.691309e-254"
" 59";" 225";" 26.22";" 1099.328";"pratique";"4.622647e-241"
" 14";"  15";" 93.33";"  996.287";"rincer";"1.151852e-218"
" 13";"  13";"100.00";"  993.035";"douchettes";"5.865098e-218"
" 19";"  28";" 67.86";"  972.860";"pq";"1.424462e-213"
" 43";" 163";" 26.38";"  805.893";"italie";"2.823151e-177"
" 16";"  24";" 66.67";"  804.278";"emji_drapeau_italie";"6.337712e-177"
" 28";"  72";" 38.89";"  798.503";"nettoyer";"1.141437e-175"
" 51";" 239";" 21.34";"  755.197";"pied";"2.973943e-166"
" 28";"  80";" 35.00";"  713.247";"bouteille";"3.935995e-157"
" 15";"  25";" 60.00";"  675.640";"xd";"5.929385e-149"
" 12";"  17";" 70.59";"  640.037";"tiroir";"3.279401e-141"
" 59";" 373";" 15.82";"  619.863";"eau";"8.010206e-137"
" 29";" 107";" 27.10";"  559.524";"installer";"1.066950e-123"
"  7";"   7";"100.00";"  534.670";"crado";"2.722954e-118"
" 12";"  21";" 57.14";"  513.615";"pipi";"1.037069e-113"
"  9";"  12";" 75.00";"  511.117";"baignoire";"3.624612e-113"
" 11";"  18";" 61.11";"  505.003";"lavabo";"7.750429e-112"
"  8";"  10";" 80.00";"  485.665";"emji_pêche";"1.250723e-107"
"  7";"   8";" 87.50";"  466.093";"évier";"2.269174e-103"
"  6";"   6";"100.00";"  458.282";"sdb";"1.136764e-101"
"  6";"   6";"100.00";"  458.282";"popo";"1.136764e-101"
"  6";"   6";"100.00";"  458.282";"emji_toilettes";"1.136764e-101"
"  6";"   6";"100.00";"  458.282";"ecolo";"1.136764e-101"
"  6";"   6";"100.00";"  458.282";"dada";"1.136764e-101"
"  8";"  11";" 72.73";"  440.070";"aiguisé";" 1.045162e-97"
" 12";"  25";" 48.00";"  427.663";"linge";" 5.241794e-95"
" 15";"  39";" 38.46";"  422.566";"doucher";" 6.743822e-94"
"  8";"  12";" 66.67";"  402.077";"panosse";" 1.944554e-89"
" 18";"  59";" 30.51";"  395.069";"argentin";" 6.522884e-88"
"  6";"   7";" 85.71";"  391.106";"cuvette";" 4.754501e-87"
" 14";"  38";" 36.84";"  376.630";"indispensable";" 6.739736e-84"
" 69";" 781";"  8.83";"  351.809";"utiliser";" 1.710692e-78"
"  5";"   6";" 83.33";"  316.587";"emji_visage_avec_masque";" 8.022800e-71"
"  5";"   6";" 83.33";"  316.587";"viva";" 8.022800e-71"
"  4";"   4";"100.00";"  305.514";"boku";" 2.072760e-68"
"  4";"   4";"100.00";"  305.514";"tuyau";" 2.072760e-68"
"  4";"   4";"100.00";"  305.514";"hygiene";" 2.072760e-68"
" 20";"  92";" 21.74";"  301.854";"sale";" 1.299745e-67"
"  6";"   9";" 66.67";"  301.546";"torcher";" 1.516858e-67"
"  6";"   9";" 66.67";"  301.546";"fion";" 1.516858e-67"
" 11";"  30";" 36.67";"  294.382";"essuyer";" 5.518749e-66"
"  8";"  18";" 44.44";"  262.799";"dégoûtant";" 4.212267e-59"
"  6";"  11";" 54.55";"  244.563";"selle";" 3.979778e-55"
" 16";"  73";" 21.92";"  243.659";"appartement";" 6.263881e-55"
"  4";"   5";" 80.00";"  242.817";"léchage";" 9.562335e-55"
"  4";"   5";" 80.00";"  242.817";"glutamate";" 9.562335e-55"
"  4";"   5";" 80.00";"  242.817";"ablution";" 9.562335e-55"
"  5";"   8";" 62.50";"  234.959";"caleçon";" 4.941546e-53"
"  3";"   3";"100.00";"  229.132";"trotter";" 9.216438e-52"
"  3";"   3";"100.00";"  229.132";"souchette";" 9.216438e-52"
"  3";"   3";"100.00";"  229.132";"pommeau";" 9.216438e-52"
" 11";"  39";" 28.21";"  221.536";"commission";" 4.180927e-50"
" 15";"  72";" 20.83";"  215.711";"gant";" 7.797338e-49"
" 11";"  42";" 26.19";"  204.203";"cheval";" 2.527237e-46"
"  4";"   6";" 66.67";"  201.023";"tremper";" 1.249134e-45"
"  4";"   6";" 66.67";"  201.023";"anus";" 1.249134e-45"
" 37";" 402";"  9.20";"  198.267";"propre";" 4.987978e-45"
" 37";" 403";"  9.18";"  197.617";"maison";" 6.915184e-45"
" 23";" 175";" 13.14";"  193.078";"italien";" 6.766886e-44"
"  6";"  14";" 42.86";"  189.628";"frotter";" 3.832038e-43"
"  5";"  10";" 50.00";"  185.993";"toc";" 2.382515e-42"
"  5";"  10";" 50.00";"  185.993";"serpillière";" 2.382515e-42"
" 40";" 485";"  8.25";"  185.056";"servir";" 3.814878e-42"
" 10";"  41";" 24.39";"  171.555";"utilité";" 3.385322e-39"
"  3";"   4";" 75.00";"  170.355";"schlinguer";" 6.190169e-39"
"  3";"   4";" 75.00";"  170.355";"reel";" 6.190169e-39"
"  3";"   4";" 75.00";"  170.355";"popotin";" 6.190169e-39"
"  3";"   4";" 75.00";"  170.355";"microbe";" 6.190169e-39"
"  3";"   4";" 75.00";"  170.355";"cucu";" 6.190169e-39"
"  3";"   4";" 75.00";"  170.355";"annuaire";" 6.190169e-39"
"  6";"  16";" 37.50";"  164.458";"maillot";" 1.201259e-37"
"  4";"   8";" 50.00";"  148.791";"nuque";" 3.186630e-34"
"  4";"   8";" 50.00";"  148.791";"marmotte";" 3.186630e-34"
"  4";"   8";" 50.00";"  148.791";"consigner";" 3.186630e-34"
" 11";"  56";" 19.64";"  147.925";"invention";" 4.926340e-34"
"  5";"  13";" 38.46";"  140.808";"pokémon";" 1.772060e-32"
"  5";"  13";" 38.46";"  140.808";"crade";" 1.772060e-32"
"  3";"   5";" 60.00";"  135.093";"menstruation";" 3.150172e-31"
"  3";"   5";" 60.00";"  135.093";"déshabiller";" 3.150172e-31"
"  3";"   5";" 60.00";"  135.093";"appeller";" 3.150172e-31"
"  4";"   9";" 44.44";"  131.384";"zizi";" 2.040526e-30"
"  5";"  14";" 35.71";"  130.054";"vestiaire";" 3.988483e-30"
"  8";"  36";" 22.22";"  123.675";"algérie";" 9.924108e-29"
"  8";"  39";" 20.51";"  112.994";"emji_visage_nauséeux";" 2.164366e-26"
" 16";" 147";" 10.88";"  106.218";"inventer";" 6.603847e-25"
"  4";"  11";" 36.36";"  106.073";"chiotte";" 7.108198e-25"
"  2";"   3";" 66.67";"  100.508";"genrées";" 1.179446e-23"
"  2";"   3";" 66.67";"  100.508";"foufoune";" 1.179446e-23"
