"";"";"";"";"emji_visage_roulant_des_yeux";""
"1";"emji_visage_roulant_des_yeux";"-0.0985463358416427";"-0.158102696915689";"1.00510047382769";"47"
"2";"emji_feu";"-2.70513246962407";"0.807444021586548";"0.948706703574652";"67"
"3";"manifestant";"1.78269877036255";"2.85972048198915";"0.948496764930251";"68"
"4";"emji_mains_en_prière";"-2.85590114261713";"0.82724037514247";"0.944569720703095";"69"
"5";"mdr";"-0.171876201102709";"-0.12456926932288";"0.943654417695821";"72"
"6";"vegan";"-0.326857339348469";"-0.466703695620384";"0.926920133416405";"80"
"7";"nègre";"-0.327813822022045";"-0.175515767918498";"0.925482133550192";"82"
"8";"secte";"-0.110571803551654";"-0.356827162742203";"0.916183534551988";"90"
"9";"écrire";"0.33858095730816";"0.0858366741099224";"0.916033543279423";"91"
"10";"répondre";"0.27399841829159";"0.0612661095266794";"0.911766469697262";"94"
"11";"complice";"1.94331790679336";"3.32410173330153";"0.908684093766713";"98"
"12";"massacre";"1.8249966862567";"3.16186434833049";"0.904222805440961";"102"
"13";"loup";"-0.0461041819594714";"0.0871254756473436";"0.89879621701708";"108"
"14";"emji_crâne";"-0.107993234147456";"-0.30566911914112";"0.898599545413987";"110"
"15";"soudan";"2.03019064176206";"3.34668178371227";"0.897932385216362";"112"
"16";"carnivore";"0.0139952792712846";"-0.291655917105151";"0.894801117781733";"116"
"17";"cessez_le_feu";"2.10267140580814";"3.54767769721632";"0.894723726707436";"117"
"18";"onu";"1.84032707102742";"2.84581303652042";"0.892636256032009";"121"
"19";"negre";"-0.292159732650523";"-0.188663844436201";"0.89171382813218";"123"
"20";"emji_visage_de_geek";"-0.161377619043612";"0.0121362568462318";"0.889492335770947";"125"
"21";"maltraitance";"-0.0598785816227114";"-0.250927257402664";"0.888605900862816";"126"
"22";"parler";"0.237051111931619";"0.132547915252506";"0.888149662053392";"128"
"23";"chose";"0.144596410888058";"-0.108713807566712";"0.886857845327517";"132"
"24";"chasser";"0.210291181589612";"0.203380304766593";"0.884968643213858";"136"
"25";"genève";"0.239868809292848";"-0.694944930981771";"0.884227163016313";"138"
"26";"russie";"1.79120239456607";"3.09375837861788";"0.884069678322269";"139"
"27";"bannir";"0.0407637063840952";"-0.276687449092881";"0.881418726920178";"143"
"28";"langue";"0.283605961666469";"-0.176185921774188";"0.881318978424418";"144"
"29";"casseur";"1.90151528563264";"3.18110336482813";"0.876562744115514";"149"
"30";"touchant";"-3.19588576708609";"0.908519786892494";"0.875917327124477";"152"
"31";"libérer";"1.61234550701402";"2.44577920524058";"0.874279338894844";"156"
"32";"lol";"-0.132596632120376";"-0.134298655210291";"0.873591172548481";"157"
"33";"criminel";"1.57246595130904";"2.37413938421604";"0.872605357673515";"160"
"34";"gâteau";"-0.215210858321366";"-0.202657123389545";"0.872162017376474";"162"
"35";"emji_visage_souriant_avec_yeux_rieurs";"-2.46981889347657";"0.628567075049628";"0.871483678468117";"165"
"36";"voisin";"-0.0408742779004188";"-0.121349706056615";"0.870850545774587";"168"
"37";"bombarder";"1.90645957625815";"3.09974949533191";"0.870760870402783";"169"
"38";"poser";"0.363380387366529";"-0.238280519264883";"0.869975043891237";"171"
