"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"9";"***";"";""
"**";"classe";"1";"**";"";""
"****";"18417";"77634";"23.72";"****";""
"320";"4576";" 6.99";"-752.130";"aller";"1.381424e-165"
"378";"3972";" 9.52";"-466.890";"suisse";"1.522513e-103"
"169";"2418";" 6.99";"-386.203";"gens";" 5.552382e-86"
" 70";"1752";" 4.00";"-385.502";"pays";" 7.891117e-86"
"481";"4229";"11.37";"-376.935";"voir";" 5.784036e-84"
" 15";"1190";" 1.26";"-336.980";"payer";" 2.900796e-75"
"105";"1824";" 5.76";"-333.200";"prendre";" 1.931224e-74"
"174";"2249";" 7.74";"-327.099";"monde";" 4.117622e-73"
" 18";"1168";" 1.54";"-322.446";"problème";" 4.247355e-72"
"263";"2688";" 9.78";"-298.959";"parler";" 5.553985e-67"
" 96";"1629";" 5.89";"-292.318";"mettre";" 1.553913e-65"
"119";"1676";" 7.10";"-261.571";"chose";" 7.799309e-59"
" 38";"1064";" 3.57";"-242.095";"arrêter";" 1.374035e-54"
" 25";" 954";" 2.62";"-237.693";"droit";" 1.252264e-53"
" 43";"1004";" 4.28";"-212.431";"question";" 4.051022e-48"
"179";"1823";" 9.82";"-199.442";"penser";" 2.764368e-45"
" 56";"1051";" 5.33";"-199.224";"demander";" 3.084619e-45"
" 88";"1256";" 7.01";"-197.152";"rester";" 8.735493e-45"
" 21";" 788";" 2.66";"-195.085";"police";" 2.468144e-44"
" 16";" 745";" 2.15";"-193.505";"état";" 5.461087e-44"
" 67";"1085";" 6.18";"-187.251";"france";" 1.266189e-42"
"180";"1773";"10.15";"-184.662";"comprendre";" 4.652068e-42"
" 15";" 706";" 2.12";"-183.673";"argent";" 7.645583e-42"
" 48";" 935";" 5.13";"-180.731";"cas";" 3.356260e-41"
"  2";" 591";" 0.34";"-179.970";"israël";" 4.921218e-41"
"  4";" 607";" 0.66";"-179.846";"palestinien";" 5.236471e-41"
" 31";" 797";" 3.89";"-175.052";"laisser";" 5.832476e-40"
" 77";"1104";" 6.97";"-173.606";"commentaire";" 1.206700e-39"
"  8";" 613";" 1.31";"-171.604";"politique";" 3.302296e-39"
"118";"1336";" 8.83";"-166.573";"venir";" 4.147557e-38"
"176";"1672";"10.53";"-164.456";"passer";" 1.202497e-37"
" 21";" 689";" 3.05";"-164.217";"guerre";" 1.356157e-37"
"252";"2086";"12.08";"-160.569";"femme";" 8.499792e-37"
" 59";" 936";" 6.30";"-158.873";"travail";" 1.994600e-36"
" 19";" 655";" 2.90";"-158.274";"riche";" 2.696962e-36"
" 83";"1085";" 7.65";"-157.101";"seul";" 4.864717e-36"
"113";"1271";" 8.89";"-157.096";"donner";" 4.877108e-36"
"  3";" 525";" 0.57";"-156.567";"population";" 6.364481e-36"
" 41";" 779";" 5.26";"-148.185";"utiliser";" 4.321506e-34"
" 29";" 690";" 4.20";"-146.596";"place";" 9.616497e-34"
" 43";" 780";" 5.51";"-144.391";"besoin";" 2.918104e-33"
" 15";" 565";" 2.65";"-139.606";"cause";" 3.245509e-32"
" 19";" 593";" 3.20";"-139.036";"lire";" 4.325165e-32"
"  2";" 450";" 0.44";"-135.545";"hamas";" 2.509588e-31"
" 36";" 702";" 5.13";"-135.362";"partir";" 2.751472e-31"
"  3";" 456";" 0.66";"-134.855";"système";" 3.551705e-31"
"  1";" 436";" 0.23";"-133.742";"manifestation";" 6.223171e-31"
" 11";" 515";" 2.14";"-133.511";"social";" 6.988138e-31"
" 22";" 596";" 3.69";"-133.187";"importer";" 8.227991e-31"
" 11";" 507";" 2.17";"-131.014";"peuple";" 2.459010e-30"
" 39";" 705";" 5.53";"-130.107";"plutôt";" 3.883215e-30"
"141";"1335";"10.56";"-130.027";"jour";" 4.041849e-30"
" 21";" 578";" 3.63";"-129.884";"sujet";" 4.344102e-30"
" 99";"1085";" 9.12";"-129.596";"fois";" 5.021626e-30"
" 10";" 492";" 2.03";"-128.735";"lieu";" 7.749818e-30"
"  4";" 442";" 0.90";"-127.906";"violence";" 1.176853e-29"
" 17";" 538";" 3.16";"-126.594";"permettre";" 2.279134e-29"
"  1";" 412";" 0.24";"-126.197";"impôt";" 2.784699e-29"
" 11";" 491";" 2.24";"-126.022";"faux";" 3.040954e-29"
" 23";" 579";" 3.97";"-125.755";"compte";" 3.479532e-29"
"  3";" 423";" 0.71";"-124.486";"loi";" 6.592691e-29"
" 13";" 498";" 2.61";"-123.463";"gauche";" 1.103996e-28"
"  5";" 435";" 1.15";"-123.187";"droite";" 1.269366e-28"
"  0";" 390";" 0.00";"-121.906";"gaza";" 2.420648e-28"
"  9";" 458";" 1.97";"-120.532";"aider";" 4.837378e-28"
"  3";" 410";" 0.73";"-120.405";"entreprise";" 5.158662e-28"
" 12";" 480";" 2.50";"-120.221";"moyen";" 5.658674e-28"
"  7";" 435";" 1.61";"-118.220";"palestine";" 1.552186e-27"
"  9";" 444";" 2.03";"-116.162";"public";" 4.379651e-27"
"  2";" 388";" 0.52";"-116.064";"armée";" 4.601178e-27"
"  5";" 412";" 1.21";"-115.976";"salaire";" 4.810106e-27"
"281";"2041";"13.77";"-114.800";"enfant";" 8.704010e-27"
" 43";" 679";" 6.33";"-114.478";"rendre";" 1.023795e-26"
" 26";" 563";" 4.62";"-114.391";"société";" 1.070136e-26"
" 30";" 584";" 5.14";"-112.330";"exemple";" 3.024957e-26"
" 63";" 800";" 7.88";"-112.194";"humain";" 3.240708e-26"
"  3";" 382";" 0.79";"-111.619";"manifester";" 4.330873e-26"
" 40";" 644";" 6.21";"-110.052";"etc";" 9.545976e-26"
" 38";" 628";" 6.05";"-109.268";"niveau";" 1.417791e-25"
"  7";" 405";" 1.73";"-108.841";"article";" 1.758575e-25"
"  3";" 373";" 0.80";"-108.796";"défendre";" 1.798559e-25"
" 41";" 644";" 6.37";"-108.109";"genre";" 2.544185e-25"
" 44";" 663";" 6.64";"-107.889";"part";" 2.843118e-25"
"  3";" 369";" 0.81";"-107.542";"agir";" 3.386370e-25"
" 66";" 802";" 8.23";"-107.502";"accord";" 3.455020e-25"
"  1";" 350";" 0.29";"-106.728";"gouvernement";" 5.106682e-25"
"  0";" 338";" 0.00";"-105.581";"israélien";" 9.111535e-25"
"  0";" 336";" 0.00";"-104.953";"génocide";" 1.250582e-24"
" 13";" 438";" 2.97";"-104.859";"prix";" 1.311115e-24"
" 49";" 685";" 7.15";"-104.858";"travailler";" 1.312254e-24"
"  2";" 347";" 0.58";"-103.201";"trump";" 3.028205e-24"
" 20";" 483";" 4.14";"-102.994";"servir";" 3.361127e-24"
"124";"1128";"10.99";"-102.508";"changer";" 4.296529e-24"
"162";"1339";"12.10";"-101.743";"trouver";" 6.319737e-24"
" 26";" 520";" 5.00";"-101.416";"écrire";" 7.457398e-24"
" 21";" 484";" 4.34";"-101.132";"tuer";" 8.606650e-24"
"  4";" 352";" 1.14";" -99.690";"situation";" 1.782024e-23"
"  8";" 379";" 2.11";" -98.309";"service";" 3.578832e-23"
" 11";" 396";" 2.78";" -96.498";"justement";" 8.933084e-23"
"  9";" 379";" 2.37";" -95.924";"réalité";" 1.194090e-22"
" 63";" 737";" 8.55";" -94.687";"coup";" 2.230551e-22"
" 12";" 391";" 3.07";" -92.642";"soutenir";" 6.266186e-22"
" 76";" 804";" 9.45";" -91.426";"arriver";" 1.158299e-21"
" 16";" 413";" 3.87";" -90.401";"rapport";" 1.944920e-21"
"  3";" 314";" 0.96";" -90.314";"assurance";" 2.031732e-21"
" 14";" 395";" 3.54";" -89.337";"poser";" 3.329875e-21"
" 17";" 416";" 4.09";" -89.122";"normal";" 3.711831e-21"
"  2";" 301";" 0.66";" -88.787";"otage";" 4.396391e-21"
"134";"1128";"11.88";" -88.728";"français";" 4.531092e-21"
" 19";" 426";" 4.46";" -87.836";"chercher";" 7.109571e-21"
"  9";" 352";" 2.56";" -87.546";"europe";" 8.236220e-21"
" 17";" 409";" 4.16";" -86.991";"essayer";" 1.089899e-20"
" 98";" 911";"10.76";" -85.636";"sentir";" 2.162624e-20"
"  8";" 338";" 2.37";" -85.564";"interdire";" 2.243538e-20"
"  2";" 290";" 0.69";" -85.344";"sécurité";" 2.507848e-20"
" 15";" 387";" 3.88";" -84.665";"respecter";" 3.534275e-20"
" 84";" 824";"10.19";" -84.239";"exister";" 4.385391e-20"
"  2";" 286";" 0.70";" -84.092";"augmenter";" 4.723917e-20"
"  3";" 293";" 1.02";" -83.745";"étude";" 5.628063e-20"
" 32";" 499";" 6.41";" -83.164";"commencer";" 7.552193e-20"
"109";" 963";"11.32";" -82.911";"devenir";" 8.582243e-20"
"240";"1670";"14.37";" -82.484";"homme";" 1.065188e-19"
"  4";" 296";" 1.35";" -82.183";"extrême";" 1.240799e-19"
" 52";" 616";" 8.44";" -80.131";"sûr";" 3.504301e-19"
" 23";" 428";" 5.37";" -80.077";"créer";" 3.600545e-19"
"  0";" 255";" 0.00";" -79.569";"civil";" 4.657779e-19"
" 20";" 402";" 4.98";" -78.490";"propre";" 8.038675e-19"
" 53";" 615";" 8.62";" -78.164";"continuer";" 9.482562e-19"
"  3";" 275";" 1.09";" -78.119";"majorité";" 9.702067e-19"
" 45";" 565";" 7.96";" -78.104";"partie";" 9.773703e-19"
"167";"1261";"13.24";" -77.793";"vivre";" 1.144477e-18"
" 19";" 392";" 4.85";" -77.578";"mauvais";" 1.275765e-18"
"250";"1696";"14.74";" -77.309";"temps";" 1.461835e-18"
" 31";" 472";" 6.57";" -77.235";"simplement";" 1.517895e-18"
"  6";" 295";" 2.03";" -76.982";"faute";" 1.724902e-18"
"  8";" 310";" 2.58";" -76.884";"base";" 1.812561e-18"
"  6";" 294";" 2.04";" -76.671";"argument";" 2.018966e-18"
" 23";" 415";" 5.54";" -76.214";"pire";" 2.545254e-18"
"  2";" 260";" 0.77";" -75.958";"baisser";" 2.898179e-18"
"  4";" 276";" 1.45";" -75.941";"raciste";" 2.923170e-18"
" 15";" 358";" 4.19";" -75.834";"expliquer";" 3.085726e-18"
" 14";" 350";" 4.00";" -75.580";"gagner";" 3.508466e-18"
"  6";" 290";" 2.07";" -75.428";"étranger";" 3.789393e-18"
" 14";" 349";" 4.01";" -75.276";"protéger";" 4.093452e-18"
"  3";" 265";" 1.13";" -74.995";"frontalier";" 4.719261e-18"
" 43";" 541";" 7.95";" -74.919";"malheureusement";" 4.905057e-18"
" 14";" 343";" 4.08";" -73.450";"avis";" 1.032096e-17"
" 39";" 510";" 7.65";" -73.319";"attendre";" 1.103048e-17"
" 35";" 484";" 7.23";" -73.201";"mort";" 1.170902e-17"
"  3";" 259";" 1.16";" -73.121";"détruire";" 1.219296e-17"
"  1";" 241";" 0.41";" -72.579";"terroriste";" 1.604524e-17"
"  4";" 264";" 1.52";" -72.199";"risque";" 1.945874e-17"
"  7";" 285";" 2.46";" -71.496";"maladie";" 2.778265e-17"
" 18";" 364";" 4.95";" -71.264";"terre";" 3.124799e-17"
" 11";" 314";" 3.50";" -71.232";"terme";" 3.175599e-17"
" 44";" 532";" 8.27";" -70.683";"côté";" 4.194590e-17"
"  6";" 272";" 2.21";" -69.838";"nombre";" 6.436855e-17"
"  4";" 255";" 1.57";" -69.394";"international";" 8.064073e-17"
"  6";" 269";" 2.23";" -68.908";"traiter";" 1.031877e-16"
"  4";" 253";" 1.58";" -68.771";"voter";" 1.106021e-16"
" 52";" 574";" 9.06";" -68.716";"sortir";" 1.137327e-16"
"  7";" 276";" 2.54";" -68.710";"éviter";" 1.140801e-16"
" 14";" 327";" 4.28";" -68.593";"liberté";" 1.210366e-16"
" 10";" 294";" 3.40";" -67.351";"justice";" 2.272101e-16"
"  8";" 278";" 2.88";" -66.996";"suffire";" 2.719990e-16"
" 12";" 307";" 3.91";" -66.872";"solution";" 2.897121e-16"
"  1";" 222";" 0.45";" -66.637";"européen";" 3.263432e-16"
" 14";" 320";" 4.38";" -66.473";"aide";" 3.546440e-16"
" 17";" 341";" 4.99";" -66.455";"honte";" 3.579400e-16"
"  2";" 228";" 0.88";" -65.957";"uniquement";" 4.609624e-16"
"  6";" 259";" 2.32";" -65.807";"plaindre";" 4.973573e-16"
" 21";" 366";" 5.74";" -65.736";"mois";" 5.156819e-16"
"  1";" 219";" 0.46";" -65.699";"média";" 5.252058e-16"
"  8";" 273";" 2.93";" -65.455";"peine";" 5.945758e-16"
"  9";" 280";" 3.21";" -65.319";"policier";" 6.371883e-16"
"  1";" 216";" 0.46";" -64.762";"fonctionner";" 8.452948e-16"
" 49";" 541";" 9.06";" -64.754";"cher";" 8.483695e-16"
"  1";" 215";" 0.47";" -64.449";"citoyen";" 9.906188e-16"
" 53";" 564";" 9.40";" -64.434";"perdre";" 9.981792e-16"
" 31";" 427";" 7.26";" -64.309";"ville";" 1.063369e-15"
"  6";" 254";" 2.36";" -64.258";"accepter";" 1.091703e-15"
" 35";" 452";" 7.74";" -64.156";"montrer";" 1.149337e-15"
"  3";" 229";" 1.31";" -63.760";"haine";" 1.405240e-15"
" 30";" 418";" 7.18";" -63.582";"répondre";" 1.538057e-15"
"  1";" 212";" 0.47";" -63.511";"minimum";" 1.594478e-15"
"  6";" 251";" 2.39";" -63.328";"caisse";" 1.749596e-15"
"  0";" 202";" 0.00";" -62.988";"économie";" 2.080077e-15"
" 17";" 329";" 5.17";" -62.868";"choix";" 2.209852e-15"
"  2";" 217";" 0.92";" -62.521";"arme";" 2.635555e-15"
" 22";" 361";" 6.09";" -62.289";"ouvrir";" 2.966247e-15"
"  4";" 232";" 1.72";" -62.233";"égalité";" 3.051248e-15"
"219";"1458";"15.02";" -62.186";"vraiment";" 3.124297e-15"
" 76";" 690";"11.01";" -62.136";"ca";" 3.205214e-15"
"  4";" 230";" 1.74";" -61.611";"concerner";" 4.184966e-15"
"  2";" 214";" 0.93";" -61.585";"empêcher";" 4.240635e-15"
"  0";" 196";" 0.00";" -61.112";"israel";" 5.391889e-15"
"  1";" 204";" 0.49";" -61.011";"taxe";" 5.675219e-15"
"  1";" 204";" 0.49";" -61.011";"manifestant";" 5.675219e-15"
" 32";" 421";" 7.60";" -60.802";"seulement";" 6.312712e-15"
"  0";" 195";" 0.00";" -60.799";"taxer";" 6.319704e-15"
" 24";" 369";" 6.50";" -60.749";"foutre";" 6.483513e-15"
" 26";" 382";" 6.81";" -60.711";"santé";" 6.609272e-15"
"  1";" 203";" 0.49";" -60.699";"crime";" 6.651467e-15"
"  0";" 194";" 0.00";" -60.487";"économique";" 7.407235e-15"
"  7";" 249";" 2.81";" -60.368";"intérêt";" 7.867482e-15"
"  6";" 241";" 2.49";" -60.233";"preuve";" 8.424693e-15"
" 25";" 373";" 6.70";" -60.004";"eau";" 9.466149e-15"
" 25";" 366";" 6.83";" -57.989";"manière";" 2.635605e-14"
" 12";" 277";" 4.33";" -57.764";"clairement";" 2.954989e-14"
"  0";" 185";" 0.00";" -57.674";"user";" 3.093591e-14"
"  3";" 209";" 1.44";" -57.528";"racisme";" 3.332687e-14"
"  2";" 201";" 1.00";" -57.528";"produire";" 3.332652e-14"
" 15";" 297";" 5.05";" -57.446";"contraire";" 3.474380e-14"
" 50";" 519";" 9.63";" -57.316";"gros";" 3.711242e-14"
" 12";" 275";" 4.36";" -57.159";"train";" 4.018727e-14"
" 10";" 259";" 3.86";" -56.654";"face";" 5.197022e-14"
"  1";" 190";" 0.53";" -56.637";"produit";" 5.240750e-14"
"  4";" 213";" 1.88";" -56.326";"évidemment";" 6.138439e-14"
" 19";" 319";" 5.96";" -55.877";"important";" 7.715007e-14"
"  0";" 179";" 0.00";" -55.799";"juif";" 8.026394e-14"
" 10";" 256";" 3.91";" -55.741";"laver";" 8.269348e-14"
" 14";" 284";" 4.93";" -55.636";"actuel";" 8.722487e-14"
"  7";" 233";" 3.00";" -55.439";"voler";" 9.638112e-14"
"  4";" 209";" 1.91";" -55.084";"ultra";" 1.154811e-13"
" 11";" 261";" 4.21";" -55.078";"info";" 1.158246e-13"
" 17";" 302";" 5.63";" -54.852";"occuper";" 1.299457e-13"
"  1";" 184";" 0.54";" -54.763";"financer";" 1.359487e-13"
" 11";" 259";" 4.25";" -54.473";"battre";" 1.576310e-13"
"  1";" 183";" 0.55";" -54.451";"fait";" 1.593629e-13"
"  3";" 199";" 1.51";" -54.414";"chiffre";" 1.623945e-13"
"  2";" 191";" 1.05";" -54.408";"fédéral";" 1.628806e-13"
" 53";" 525";"10.10";" -54.248";"finir";" 1.767076e-13"
" 22";" 332";" 6.63";" -53.857";"canton";" 2.155920e-13"
"  2";" 189";" 1.06";" -53.785";"prouver";" 2.237307e-13"
"  8";" 235";" 3.40";" -53.779";"casser";" 2.243881e-13"
" 46";" 481";" 9.56";" -53.626";"tête";" 2.425308e-13"
" 12";" 263";" 4.56";" -53.538";"victime";" 2.536031e-13"
" 27";" 363";" 7.44";" -53.450";"possible";" 2.652621e-13"
"  1";" 179";" 0.56";" -53.202";"responsable";" 3.009408e-13"
"  3";" 195";" 1.54";" -53.169";"refuser";" 3.060119e-13"
"  8";" 233";" 3.43";" -53.166";"source";" 3.064539e-13"
" 29";" 374";" 7.75";" -52.961";"voiture";" 3.402751e-13"
"  2";" 185";" 1.08";" -52.537";"moyenne";" 4.221642e-13"
