emji_visage_riant_aux_larmes;2341;98;334;1201;89;501;856;216;1201
aller;320;50;404;1292;67;194;491;134;1624
voir;481;40;294;813;50;217;698;167;1469
suisse;378;17;347;2032;17;115;480;85;501
parler;263;16;299;499;24;106;800;145;536
emji_coeur_rouge;1804;2;24;38;7;8;18;8;60
gens;169;32;171;520;26;94;324;42;1040
monde;174;14;200;568;17;73;182;79;942
femme;252;15;80;140;7;45;113;1190;244
enfant;281;6;226;259;10;46;125;116;972
emji_applaudissements;979;9;45;79;2;17;42;18;68
emji_visage_souriant_avec_yeux_en_forme_de_coeur;1523;1;2;23;1;1;8;5;21
prendre;105;61;127;579;32;101;258;88;473
beau;1350;3;26;136;8;26;86;36;168
époque;962;9;37;205;8;70;128;50;367
pays;70;11;393;664;9;52;183;53;317
penser;179;13;90;306;23;85;248;87;792
vie;338;13;56;364;14;27;83;76;810
homme;240;6;66;72;17;39;85;969;176
comprendre;180;15;106;260;20;48;517;119;508
emji_se_rouler_par_terre_de_rire;350;24;50;193;13;117;124;36;185
temps;250;10;73;338;20;54;161;60;730
aimer;806;19;50;144;21;49;130;61;276
chose;119;12;100;260;24;60;208;63;830
passer;176;21;148;432;8;63;180;42;602
mettre;96;18;135;556;21;94;225;76;408
année;381;10;63;547;21;57;146;45;323
petit;453;34;80;336;41;78;149;44;342
vrai;293;8;102;292;9;58;224;175;366
grand;332;11;67;503;16;55;132;66;291
vraiment;219;9;81;266;19;64;180;59;561
emji_visage_qui_pleure;396;6;76;184;19;31;78;38;248
jour;141;32;76;319;27;55;85;54;546
trouver;162;26;70;307;16;42;220;82;414
venir;118;11;112;326;32;87;176;50;424
donner;113;4;95;255;41;44;220;59;440
vivre;167;12;75;285;16;23;92;51;540
rester;88;14;93;387;21;38;149;51;415
payer;15;1;55;976;3;7;24;31;78
tellement;677;13;36;130;7;31;92;26;200
problème;18;6;68;378;12;22;176;81;407
français;134;44;34;269;0;93;483;9;62
connaître;187;15;71;159;8;56;285;61;311
changer;124;8;48;208;8;104;65;47;516
souvenir;894;0;14;62;1;12;21;5;57
france;67;43;47;597;11;66;94;23;137
fois;99;50;95;269;5;31;164;35;337
commentaire;77;4;44;54;14;80;687;25;119
emji_visage_souriant_avec_une_goutte_de_sueur;369;20;36;155;17;92;113;25;165
arrêter;38;4;205;302;19;51;155;34;256
seul;83;10;123;271;24;28;132;54;360
demander;56;8;119;258;8;40;167;72;323
droit;25;1;289;202;7;34;146;92;158
question;43;6;55;160;10;23;475;49;183
devenir;109;2;39;320;21;58;117;52;245
travail;59;9;38;418;5;21;86;59;241
cas;48;6;68;254;8;20;157;57;317
jeune;191;4;17;105;8;24;79;65;413
raison;159;3;67;158;17;27;102;145;255
sentir;98;9;44;141;10;44;155;47;363
emji_visage_faisant_un_clin_d_oeil;250;17;30;159;9;46;138;28;188
emji_feu;534;3;25;38;1;3;8;9;40
police;21;0;218;136;0;46;97;26;244
exister;84;16;72;173;7;50;104;51;267
humain;63;0;84;109;40;14;71;43;376
accord;66;4;184;204;8;19;125;40;152
arriver;76;9;50;186;3;41;127;21;291
utiliser;41;69;97;220;7;56;142;29;118
laisser;31;5;75;172;25;26;95;33;335
besoin;43;19;52;244;23;10;82;34;273
état;16;1;264;258;6;12;59;10;119
animal;107;0;12;73;208;16;50;16;225
regarder;110;2;37;130;10;27;157;45;223
