"";"";"";"";"gaza";""
"1";"gaza";"2.03707201556017";"3.35966831366534";"1.09774180056826";"19"
"2";"otage";"2.04324805035422";"3.36078172597362";"0.980379549090676";"27"
"3";"emji_visage_roulant_des_yeux";"-0.0985463358416427";"-0.158102696915689";"0.791059403289879";"47"
"4";"magnifique";"-3.08561770842825";"0.854183569203617";"0.771647394089085";"50"
"5";"juif";"2.02060059179428";"3.21030970257638";"0.747700422743723";"53"
"6";"emji_mains_en_prière";"-2.85590114261713";"0.82724037514247";"0.69369129602302";"69"
"7";"mdr";"-0.171876201102709";"-0.12456926932288";"0.692218964740267";"72"
"8";"emji_visage_souriant_avec_coeurs";"-3.23349275269002";"0.890138329208924";"0.689196447051233";"74"
"9";"croquette";"-0.161500686302829";"-0.498483615746098";"0.688059248482954";"75"
"10";"enfant";"-0.0417101375686652";"0.232269781727369";"0.666563527917696";"78"
"11";"vegan";"-0.326857339348469";"-0.466703695620384";"0.665300654581489";"80"
"12";"nègre";"-0.327813822022045";"-0.175515767918498";"0.662987527485004";"82"
"13";"genocide";"2.00923857703144";"3.25745285771033";"0.649452789703205";"88"
"14";"secte";"-0.110571803551654";"-0.356827162742203";"0.64803005648138";"90"
"15";"sioniste";"1.94345369532154";"3.25372424734076";"0.637989709573854";"95"
"16";"complice";"1.94331790679336";"3.32410173330153";"0.635966661973153";"98"
"17";"loup";"-0.0461041819594714";"0.0871254756473436";"0.620061294960487";"108"
"18";"emji_crâne";"-0.107993234147456";"-0.30566911914112";"0.619744934420467";"110"
"19";"hérisson";"-0.362258115145794";"-0.410539704439965";"0.613634888038235";"115"
"20";"carnivore";"0.0139952792712846";"-0.291655917105151";"0.613634888038235";"116"
"21";"negre";"-0.292159732650523";"-0.188663844436201";"0.608668758686718";"119"
"22";"emji_visage_avec_des_étoiles_à_la_place_des_yeux";"-3.40879791494676";"0.956523695732468";"0.608546245548172";"120"
"23";"emji_visage_de_geek";"-0.161377619043612";"0.0121362568462318";"0.605095327077899";"121"
"24";"maltraitance";"-0.0598785816227114";"-0.250927257402664";"0.603669432226692";"122"
"25";"chose";"0.144596410888058";"-0.108713807566712";"0.600857558095222";"127"
"26";"canton";"0.564089435622087";"-0.980901636320768";"0.60064078888073";"128"
"27";"chasser";"0.210291181589612";"0.203380304766593";"0.59781863945377";"131"
"28";"péjoratif";"-0.11282254652318";"-0.111375985523288";"0.593173613086345";"134"
"29";"bannir";"0.0407637063840952";"-0.276687449092881";"0.592108341586503";"136"
"30";"langue";"0.283605961666469";"-0.176185921774188";"0.591947888895375";"137"
"31";"vie";"-0.338541020482";"-0.146899218803373";"0.587657953027898";"139"
"32";"lol";"-0.132596632120376";"-0.134298655210291";"0.579517152573346";"146"
"33";"gâteau";"-0.215210858321366";"-0.202657123389545";"0.577218252809079";"149"
"34";"voisin";"-0.0408742779004188";"-0.121349706056615";"0.57510865560405";"154"
"35";"poser";"0.363380387366529";"-0.238280519264883";"0.573700347316279";"156"
"36";"maladie";"0.655519077085911";"-1.10670514567967";"0.573676635095915";"157"
"37";"vendredi";"-0.315131802985394";"-0.128064551271848";"0.571303437041176";"159"
"38";"aller";"0.286150474753441";"-0.19364403560263";"0.569393615292711";"163"
"39";"voir";"0.0444402283439364";"-0.0854384834342987";"0.568424773489015";"165"
"40";"monde";"0.238255340974343";"-0.103197459736712";"0.568260566362996";"166"
"41";"racisme";"0.208449551586631";"0.0391716641805326";"0.567586941702829";"167"
"42";"gens";"0.216517130095153";"-0.206687155047908";"0.567277299625245";"168"
"43";"penser";"0.0398746644736044";"-0.132918140973106";"0.566184166266476";"169"
"44";"élastique";"-3.34587806742618";"0.931870526545595";"0.56521749808298";"171"
