"";"";"";"";"de";""
"1";"de";"0.0437840434477672";"-0.0381404197157505";"2.63517790855782";"5"
"2";"pour";"0.163796630397627";"-0.145702171392477";"2.42411657543827";"7"
"3";"être";"-0.0804383352852019";"0.024720720262401";"2.13476387334426";"10"
"4";"des";"0.280173441336659";"0.00718230973646388";"2.0984772997942";"11"
"5";"et";"0.0818613953645442";"0.00282798496465691";"2.07792511922632";"12"
"6";"la";"0.0603730499249362";"0.00825645460992246";"1.95246538190925";"16"
"7";"plus";"0.101320812566354";"-0.236564581910958";"1.94322432691588";"17"
"8";"vous";"0.120497964768294";"0.108946459534462";"1.72023223947164";"19"
"9";"l";"0.0360823471348326";"-0.0367363863100181";"1.65187349615554";"24"
"10";"ce";"0.0379996365547957";"0.0485663249437483";"1.61118222085324";"26"
"11";"c";"-0.133559768471094";"-0.0645158338065947";"1.56500015295568";"27"
"12";"du";"0.146634759245309";"-0.0532305132041615";"1.55330843144473";"28"
"13";"à";"0.0320898840919865";"-0.0661923663060757";"1.53552021282992";"29"
"14";"dire";"-0.0779833118394473";"0.0195949362317333";"1.53129420551126";"30"
"15";"le";"0.0617649329892372";"-0.0539786345243196";"1.51507014336695";"31"
"16";"qu";"0.153710757132078";"-0.0178068911042692";"1.44725908688621";"35"
"17";"faire";"0.0944865455175936";"-0.0599358188680573";"1.3713928566531";"39"
"18";"mais";"0.0769558569453068";"-0.118178762237301";"1.36748014476992";"40"
"19";"on";"0.0186568485646428";"-0.155239549869402";"1.35547744853041";"41"
"20";"se";"0.289465871804264";"-0.270558327506619";"1.35179216592633";"42"
"21";"sur";"0.262717009923877";"-0.168211891113169";"1.3228807989983";"43"
"22";"après";"0.152487057894618";"-0.516543591513282";"1.31063442853119";"45"
"23";"si";"0.125312993862618";"-0.133231233280177";"1.30928377709821";"46"
"24";"t";"0.0512924286727898";"0.0306686953630535";"1.30254444417487";"47"
"25";"même";"0.0693052641673807";"-0.0665724342043521";"1.29869671208571";"48"
"26";"1";"0.229393234041707";"-0.457638546788685";"1.28104541517974";"49"
"27";"moins";"0.220736832353213";"-0.383127246593314";"1.2751624231134";"50"
"28";"aux";"0.272371387973134";"-0.198109571837854";"1.25049562915947";"51"
"29";"savoir";"0.034247078802655";"-0.0891605634173571";"1.22951643851656";"52"
"30";"dans";"0.0984219582715241";"-0.207476057132902";"1.22649719880125";"53"
"31";"il";"0.0298696479829174";"-0.0721748613214496";"1.22422754742417";"54"
"32";"ton";"0.0450517460404408";"-0.0274873879171695";"1.20665051313995";"55"
"33";"votre";"0.0902440137971636";"0.102995589445199";"1.179152456732";"57"
"34";"déjà";"0.124051836637716";"-0.178146079381821";"1.176024143791";"58"
"35";"10";"0.38911202727249";"-0.417501515551248";"1.17368255049911";"59"
"36";"au";"0.0953830025642707";"-0.124226795168597";"1.17220658089193";"60"
"37";"te";"0.0637766108415837";"-0.205453742417756";"1.169240717436";"61"
"38";"ou";"0.26047501604969";"-0.219388551347281";"1.16039650332758";"62"
"39";"un";"0.0631343595178808";"-0.0481226879922852";"1.15790174337834";"63"
"40";"rien";"0.228380669271638";"0.0262413652962964";"1.14901807725211";"64"
"41";"bien";"-0.230352888549536";"-0.00768568944080832";"1.14472941084635";"65"
"42";"tout";"0.0172974359201353";"-0.0428670894376406";"1.1445599992405";"66"
"43";"juste";"0.135420060310452";"-0.185889510961681";"1.14347390839748";"67"
"44";"aujourd_hui";"-0.220443893319051";"-0.113916778839575";"1.13095601521962";"69"
"45";"ils";"0.221847564179578";"0.0629869302014873";"1.10304023156436";"71"
"46";"pouvoir";"0.232794288687929";"-0.146057339889553";"1.10180329477092";"73"
"47";"s";"0.175947710663513";"0.0246029531893449";"1.09194261102737";"74"
"48";"donc";"0.459467579781766";"-0.125004856057982";"1.08445368976579";"75"
"49";"5";"0.217579926953883";"-0.412453052820929";"1.07916944008726";"77"
"50";"quoi";"0.148187492385179";"0.0277194082345357";"1.06894904676963";"79"
"51";"une";"0.00285632689615849";"-0.0700117196438797";"1.06188249416922";"80"
"52";"ta";"-0.0089766991681264";"-0.119435256183031";"1.04065498788485";"82"
"53";"comme";"-0.0080422083287106";"0.0225678494523215";"1.03997966216836";"83"
"54";"nos";"-0.0366496516734922";"-0.281277523265558";"1.03670282398387";"84"
"55";"falloir";"0.279008540186366";"-0.197186369593414";"1.03427304382866";"85"
"56";"peu";"-0.00997753903250712";"-0.1510204342876";"1.02091969615617";"87"
"57";"entre";"0.36656424371581";"-0.0936312094264526";"1.01923486292534";"88"
"58";"vouloir";"0.22616572866375";"-0.0565123107961755";"1.012165989618";"91"
"59";"30";"0.122069328381124";"-0.505915602968138";"1.00436609362787";"93"
"60";"alors";"0.349663984152403";"-0.101156498389454";"0.998095543504289";"96"
"61";"quelque";"0.281003524059238";"-0.0336717067321458";"0.997629081411454";"97"
"62";"2";"0.221398223978674";"-0.139397047677817";"0.993458771059097";"98"
"63";"combien";"0.526660939067114";"-0.422826180251776";"0.98557300891257";"100"
"64";"avec";"-0.14145571015369";"-0.0524626997959261";"0.984893041782219";"101"
"65";"15";"0.348662285259196";"-0.578052711193236";"0.983767498921399";"102"
"66";"autre";"0.0998714089345207";"-0.00853782953997795";"0.978522701260671";"103"
"67";"leur";"0.341418495146886";"-0.0771623685380623";"0.977643153334381";"104"
"68";"selon";"0.58547029528132";"-0.244890946303768";"0.977039769532705";"105"
"69";"là";"0.027279438495276";"0.0377585963595748";"0.976185749382639";"106"
"70";"mal";"0.0237571548010549";"-0.147026028357547";"0.974134244456939";"107"
"71";"car";"0.407002852871816";"-0.19089090621964";"0.965986242427375";"109"
"72";"non";"0.283957323296622";"0.00484409163195743";"0.957717563637476";"111"
"73";"autres";"0.341829364622907";"-0.135375362809549";"0.956981899540817";"112"
"74";"300";"0.585136202512489";"-0.651752059039055";"0.954280596674849";"113"
"75";"quand";"0.0452557105205638";"-0.135534415740549";"0.950792574159772";"115"
"76";"personne";"0.154471568498514";"0.0473829286460422";"0.94987589492261";"116"
"77";"avant";"0.00434951996883368";"0.0214238525370291";"0.948836218218182";"117"
"78";"peut_être";"0.266169293708658";"-0.131763430576102";"0.944215690721497";"119"
"79";"devoir";"0.260945519291229";"-0.0812961260852841";"0.943510195814922";"120"
"80";"200";"0.870600845024757";"0.135432185117041";"0.943238673104167";"121"
"81";"tes";"0.125172461142435";"-0.222462917622067";"0.941277675748718";"122"
"82";"8";"0.233525289522132";"-0.785368427962019";"0.940344751563049";"123"
"83";"ni";"0.508675024879807";"0.272582617939006";"0.940247281872009";"124"
"84";"lui";"-0.302572031780917";"0.0828591856249933";"0.940040738955281";"125"
"85";"quelqu_un";"-0.0158539433959637";"-0.164393615350352";"0.93300435554496";"127"
"86";"sous";"0.409343457095238";"0.189840370801794";"0.932890640905413";"129"
"87";"mieux";"-0.115097756033091";"-0.254044295910999";"0.928808517416378";"130"
"88";"0";"0.414870909752426";"-0.537046052479684";"0.927884876058427";"131"
"89";"20";"0.244255422874425";"-0.0431036260275079";"0.926866085716365";"132"
"90";"point";"0.304253876432471";"-0.189086814937692";"0.922157371356358";"134"
"91";"pendant";"0.304906439826385";"-0.0989247407675158";"0.921818548144648";"135"
"92";"aucun";"0.511139560677768";"0.205228242066919";"0.919959661894098";"136"
"93";"assez";"0.241416040701601";"-0.339670444557384";"0.919639404337823";"137"
"94";"bon";"-0.334551345256623";"-0.000197168535344256";"0.909261202948986";"139"
"95";"sans";"0.281333276933754";"-0.187918781559795";"0.905970440522919";"141"
"96";"envers";"0.197354023712505";"0.365166952304087";"0.905842801641795";"142"
"97";"surtout";"0.115789420602707";"-0.251254486724217";"0.901786205928984";"145"
"98";"m";"-0.471113780801435";"-0.0339814683779218";"0.901331347370797";"146"
"99";"leurs";"0.414255740501479";"0.0295060228817222";"0.900247577234709";"148"
"100";"ces";"-0.00591063598175893";"0.16757469525522";"0.897961680909126";"149"
"101";"cela";"0.250575296305515";"-0.128837477103073";"0.89584287548247";"151"
"102";"aucune";"0.516474033904642";"0.146057150274333";"0.894415640720812";"152"
"103";"croire";"0.0622302575386787";"0.0814309409318274";"0.892960557475999";"153"
"104";"comment";"0.12837870315364";"-0.0420408736665115";"0.892357173674323";"155"
"105";"derrière";"0.202307116033959";"-0.379959551962808";"0.889955242002264";"158"
"106";"chez";"-0.0803753262000096";"-0.346962828063722";"0.889941317760687";"159"
"107";"chouette";"-1.58212589066987";"0.423509612793449";"0.887390860845138";"160"
"108";"ensuite";"0.486175688120153";"-0.191402659490809";"0.886427767469385";"161"
"109";"dont";"0.436311219003692";"0.219692733904667";"0.884334489818953";"163"
"110";"bah";"0.0584297922378246";"-0.0870306486175624";"0.883058101007714";"164"
"111";"sinon";"0.169209198783916";"-0.42915755878714";"0.881909351077599";"165"
"112";"autant";"0.249371553135785";"-0.210373985740851";"0.876520669587241";"166"
"113";"ceux";"0.429900089074027";"-0.0678195109325361";"0.871665750690674";"167"
"114";"eux";"0.325785164886474";"0.091779519626355";"0.868866978133666";"170"
"115";"jamais";"0.0952721371687701";"-0.0350480729687649";"0.863195170397906";"177"
"116";"quel";"-0.63294546595078";"0.281417580096482";"0.862039458347003";"178"
"117";"très";"-0.539880062699827";"-0.180154770276275";"0.858351855035987";"179"
"118";"puis";"0.191839537795581";"-0.18659572139723";"0.854696741621984";"182"
"119";"11";"0.545720817971135";"0.569836840910835";"0.852543125591385";"184"
"120";"certain";"0.0948454220149121";"-0.0510818939028665";"0.851693746855178";"186"
