emji_visage_riant_aux_larmes;2341;98;334;1204;102;2785
aller;320;50;404;1295;73;2446
voir;481;40;294;810;53;2568
suisse;378;17;347;2002;18;1220
parler;263;16;299;499;27;1592
emji_coeur_rouge;1804;2;24;38;8;93
gens;169;32;171;522;32;1495
monde;174;14;200;572;21;1271
femme;252;15;80;140;9;1594
enfant;281;6;226;260;14;1281
emji_applaudissements;979;9;45;79;2;149
emji_visage_souriant_avec_yeux_en_forme_de_coeur;1523;1;2;23;1;36
prendre;105;61;127;584;41;915
beau;1350;3;26;135;7;319
époque;962;9;37;205;10;626
pays;70;11;393;662;9;608
penser;179;13;90;307;25;1209
vie;338;13;56;360;15;1005
homme;240;6;66;72;19;1266
comprendre;180;15;106;262;24;1194
emji_se_rouler_par_terre_de_rire;350;24;50;193;16;464
temps;250;10;73;335;23;1014
aimer;806;19;50;142;22;524
chose;119;12;100;261;23;1167
passer;176;21;148;431;10;890
mettre;96;18;135;557;23;806
année;381;10;63;542;24;581
petit;453;34;80;338;48;614
vrai;293;8;102;293;12;822
grand;332;11;67;495;18;559
vraiment;219;9;81;269;21;869
emji_visage_qui_pleure;396;6;76;183;21;402
jour;141;32;76;323;33;752
trouver;162;26;70;307;19;760
venir;118;11;112;325;34;739
donner;113;4;95;255;45;766
vivre;167;12;75;287;19;705
rester;88;14;93;380;21;661
payer;15;1;55;976;3;140
tellement;677;13;36;129;8;348
problème;18;6;68;371;12;702
français;134;44;34;264;1;655
connaître;187;15;71;158;9;747
changer;124;8;48;206;10;737
souvenir;894;0;14;63;1;99
france;67;43;47;577;12;342
fois;99;50;95;269;6;569
commentaire;77;4;44;55;12;914
emji_visage_souriant_avec_une_goutte_de_sueur;369;20;36;155;17;399
arrêter;38;4;205;299;24;502
seul;83;10;123;264;27;584
demander;56;8;119;257;9;608
droit;25;1;289;202;8;433
question;43;6;55;161;10;731
devenir;109;2;39;318;25;473
travail;59;9;38;419;4;408
cas;48;6;68;252;7;552
jeune;191;4;17;107;8;581
raison;159;3;67;155;20;530
sentir;98;9;44;142;14;606
emji_visage_faisant_un_clin_d_oeil;250;17;30;158;10;405
emji_feu;534;3;25;38;1;62
police;21;0;218;137;0;402
exister;84;16;72;172;8;474
humain;63;0;84;111;45;499
accord;66;4;184;203;8;338
arriver;76;9;50;187;4;485
utiliser;41;69;97;220;9;346
laisser;31;5;75;173;29;487
besoin;43;19;52;243;24;401
état;16;1;264;258;8;199
animal;107;0;12;75;226;287
regarder;110;2;37;132;9;451
guerre;21;0;467;72;1;127
coup;63;4;65;177;13;413
emji_mains_en_prière;491;1;11;20;2;64
travailler;49;3;12;353;0;270
argent;15;1;42;543;1;104
ca;76;10;45;101;15;443
partir;36;2;58;258;4;346
moment;126;2;68;107;5;413
etc;40;4;52;300;5;249
riche;19;0;8;536;0;91
place;29;11;59;310;5;276
vidéo;158;1;38;44;7;449
plutôt;39;6;47;183;11;422
premier;104;3;61;171;3;336
mot;103;3;63;35;1;447
rendre;43;2;99;185;16;336
appeler;109;7;64;70;7;407
école;129;6;15;69;3;427
niveau;38;1;12;206;3;380
meilleur;262;5;17;162;9;205
jouer;358;0;20;91;5;176
part;44;6;59;184;9;363
magnifique;585;0;4;26;3;40
genre;41;1;42;81;5;472
adorer;546;4;8;24;5;57
politique;8;0;88;195;0;323
palestinien;4;0;573;6;0;24
israël;2;0;560;11;0;18
sûr;52;2;49;108;5;406
continuer;53;2;140;185;9;226
famille;114;3;59;100;4;320
lire;19;3;32;44;2;494
emji_mains_levées;365;5;25;54;1;93
importer;22;3;45;125;18;390
apprendre;64;3;17;43;9;451
dernier;160;2;64;111;5;264
exemple;30;6;47;231;12;259
sujet;21;1;24;82;5;445
compte;23;0;49;168;3;338
genève;75;3;23;373;0;71
cause;15;1;94;164;12;279
perdre;53;1;40;174;7;292
partie;45;26;52;192;6;247
manquer;109;14;17;116;9;314
société;26;1;20;162;1;354
histoire;67;3;89;86;3;310
sortir;52;9;47;107;10;354
entendre;140;3;41;47;4;329
pauvre;70;2;32;158;62;231
idée;64;4;18;98;16;370
fin;81;3;58;111;2;313
emji_visage_souriant_avec_coeurs;406;0;0;8;5;24
cher;49;3;12;403;2;72
oublier;82;6;69;148;4;249
rts;81;0;78;60;1;320
manger;89;0;2;115;170;140
permettre;17;8;45;225;5;238
écrire;26;1;31;42;1;427
emji_visage_en_pleine_réflexion;48;3;35;95;7;253
parent;52;10;5;73;1;370
malheureusement;43;3;43;90;15;349
gros;50;13;15;197;5;238
côté;44;17;45;120;8;300
paix;124;2;274;12;2;82
finir;53;1;46;149;4;274
social;11;0;22;192;6;284
population;3;1;111;216;12;182
revenir;61;6;25;250;9;159
peuple;11;0;249;108;1;138
heure;90;2;27;153;8;195
respect;106;0;40;35;3;331
espérer;107;3;45;70;10;288
gauche;13;0;50;126;0;310
mort;35;1;143;83;13;210
nom;77;0;43;42;2;319
attendre;39;3;62;100;9;299
commencer;32;2;73;125;5;264
servir;20;40;60;159;2;210
tuer;21;1;221;52;36;154
hamas;2;0;432;2;0;14
lieu;10;5;55;175;5;244
emji_visage_avec_bouche_ouverte;154;7;26;65;10;161
faux;11;1;50;82;3;347
super;208;11;18;100;12;139
tête;46;4;17;55;4;357
pareil;68;5;12;100;3;302
moyen;12;8;67;239;6;150
dieu;170;3;26;23;5;238
violence;4;0;93;37;0;308
aider;9;0;51;137;7;256
simple;77;4;26;115;3;249
système;3;6;14;302;0;133
simplement;31;4;30;152;4;251
classe;85;0;5;164;2;196
manifestation;1;0;302;41;0;92
droite;5;0;41;81;0;309
prix;13;1;40;354;1;30
triste;92;1;19;42;6;298
public;9;4;53;256;2;122
chat;131;5;8;34;48;176
vieux;165;4;17;58;7;197
montrer;35;0;54;69;0;294
ville;31;2;30;269;11;84
palestine;7;0;389;4;0;35
fille;168;5;13;36;2;218
entreprise;3;5;16;358;1;27
emji_drapeau_suisse;202;0;29;73;2;52
pire;23;3;48;100;3;241
emji_visage_roulant_des_yeux;35;4;23;63;1;278
impôt;1;0;7;379;2;23
salaire;5;0;1;359;0;47
loi;3;4;73;148;3;193
emji_visage_qui_pleure_à_chaudes_larmes;108;1;12;57;10;122
créer;23;1;45;193;6;159
nouveau;39;2;40;174;2;177
répondre;30;1;20;39;3;334
chercher;19;1;37;119;5;248
normal;17;5;16;112;8;259
maison;49;37;25;106;9;182
emji_visage_souriant_avec_yeux_rieurs;304;3;9;29;0;67
façon;58;1;19;78;3;259
seulement;32;7;45;154;8;178
retrouver;104;1;23;105;9;176
blanc;51;2;26;25;2;280
article;7;1;41;93;3;258
accent;329;0;1;18;1;39
acheter;36;8;20;261;5;74
rapport;16;3;39;96;4;256
jeu;224;1;13;42;1;113
essayer;17;2;34;70;3;286
réponse;46;1;21;29;1;303
propre;20;37;36;97;3;209
manifester;3;2;260;43;1;73
gaza;0;0;360;9;1;20
mauvais;19;3;16;71;12;272
armée;2;0;150;82;1;154
soutenir;12;0;178;64;1;136
préférer;66;7;22;84;11;216
poser;14;6;14;52;11;300
respecter;15;1;112;100;9;152
rappeler;145;1;48;80;3;125
justement;11;2;33;85;3;262
eau;25;59;33;156;4;96
voiture;29;1;3;304;3;34
service;8;3;19;182;8;159
santé;26;1;10;242;9;97
écouter;112;0;11;26;1;239
garder;44;4;14;101;9;212
journée;82;13;11;47;4;221
sembler;33;2;37;93;6;217
mois;21;3;14;253;2;74
défendre;3;0;140;76;0;153
réalité;9;0;31;86;2;251
valoir;59;2;18;163;5;130
exactement;46;1;25;51;1;261
ami;84;3;21;47;8;204
heureux;152;1;8;36;7;167
fou;87;3;25;32;5;219
terre;18;0;108;86;6;145
plaisir;176;1;10;47;9;129
agir;3;1;70;114;0;182
coeur;183;0;17;37;12;120
air;91;3;11;65;2;197
reportage;258;6;8;20;0;78
possible;27;1;29;148;2;157
manière;25;1;29;78;2;233
foutre;24;0;50;75;8;212
ouvrir;22;3;33;91;0;212
mdr;43;5;23;47;4;243
expliquer;15;5;36;90;4;212
truc;34;11;18;85;5;213
gagner;14;0;9;260;1;65
incroyable;229;2;14;43;1;77
bidet;36;280;0;4;0;13
europe;9;6;84;146;1;106
oeil;72;3;39;50;2;193
génération;75;0;9;34;2;231
canton;22;0;5;276;1;28
trump;2;0;158;81;1;105
protéger;14;0;82;95;8;151
interdire;8;2;38;154;19;119
gouvernement;1;0;186;73;1;89
bas;42;3;29;151;4;122
situation;4;0;53;72;1;221
couper;49;2;9;181;3;97
israélien;0;0;328;5;0;5
honte;17;0;47;68;4;205
heureusement;38;7;15;44;4;243
avis;14;2;26;28;1;273
liberté;14;1;43;52;2;215
père;149;0;6;47;0;136
génocide;0;0;307;4;0;25
âge;77;0;4;28;5;227
mec;36;2;12;24;1;259
imaginer;25;8;16;116;6;169
cours;44;0;26;54;0;207
choix;17;3;18;96;0;195
absolument;35;1;29;51;5;217
reconnaître;51;0;135;44;0;99
assurance;3;0;1;306;0;4
également;49;1;37;111;5;126
langue;18;3;6;35;0;235
peur;34;1;25;48;8;210
équipe;44;0;3;188;1;58
terme;11;3;39;53;5;205
rue;23;1;52;77;5;163
rire;177;2;8;28;2;99
mère;123;6;4;29;4;151
aide;14;1;66;92;3;145
emji_visage_souriant_aux_yeux_rieurs;187;4;4;35;4;75
hiver;226;0;1;39;4;40
otage;2;3;285;3;0;8
solution;12;6;36;147;2;103
important;19;2;22;87;4;185
chance;80;1;13;97;4;118
emji_pouce_vers_le_haut;214;0;5;19;2;42
recevoir;41;1;26;103;2;135
base;8;6;21;95;3;180
main;34;23;33;84;6;124
haut;38;1;11;110;1;146
occuper;17;0;50;83;5;147
image;50;0;35;52;1;172
extrême;4;0;39;40;0;213
début;41;2;23;55;3;183
suivre;24;1;35;64;2;178
faute;6;1;17;46;4;225
argument;6;0;21;45;4;219
naître;67;3;24;30;0;176
étude;3;0;2;106;1;182
tomber;32;1;17;63;7;175
justice;10;1;144;39;2;99
effet;19;2;11;136;4;121
augmenter;2;0;9;251;0;25
archive;233;0;5;8;2;53
long;24;3;17;72;5;175
étranger;6;0;24;137;1;123
contraire;15;1;30;53;5;193
sécurité;2;0;43;163;4;76
semaine;21;0;14;116;1;134
maladie;7;1;1;226;8;45
facile;20;6;19;70;2;178
emji_visage_avec_des_étoiles_à_la_place_des_yeux;242;0;0;3;0;5
policier;9;0;66;40;1;160
journaliste;51;0;51;21;2;150
raciste;4;0;11;11;0;250
nourrir;30;0;9;36;155;51
partager;99;0;21;45;1;127
lausanne;63;0;9;158;1;53
dur;32;0;19;78;1;154
mode;43;5;9;36;4;179
envie;46;3;9;33;3;190
choisir;23;1;16;61;0;180
actuel;14;3;22;83;1;163
frontalier;3;0;3;230;0;29
emji_visage_boudeur;10;0;33;31;4;92
nombre;6;0;33;137;7;89
mériter;29;0;32;79;0;138
différence;15;2;20;95;3;146
train;12;2;26;176;1;58
groupe;18;0;80;52;1;108
clairement;12;1;29;48;2;185
éviter;7;3;18;108;8;132
ancien;64;2;11;46;1;153
suffire;8;5;25;89;0;151
peine;8;0;28;53;2;184
risque;4;1;17;142;7;95
franchement;24;4;13;45;4;187
bref;16;4;19;68;1;169
majorité;3;0;35;110;1;126
effectivement;39;1;17;62;4;153
traiter;6;1;47;32;5;179
meme;21;5;15;57;1;164
laver;10;202;3;9;0;33
génial;228;4;2;9;2;26
face;10;0;45;38;2;165
battre;11;2;17;50;4;177
noir;30;0;18;25;3;178
intéressant;59;2;7;54;0;149
caisse;6;0;6;228;0;11
baisser;2;3;1;213;2;39
amour;116;3;7;21;5;109
propos;20;0;21;13;1;215
nouvelle;61;1;14;50;3;135
nature;60;0;6;39;22;132
renard;58;0;1;17;175;8
remettre;20;0;16;52;0;173
victime;12;0;82;29;0;141
toucher;31;3;13;107;1;111
tenir;19;1;32;30;9;172
info;11;2;35;54;4;157
plaindre;6;0;11;61;7;176
détruire;3;0;68;71;14;105
civil;0;0;186;28;0;41
éducation;18;1;7;34;1;196
international;4;0;180;41;0;30
voter;4;0;14;113;2;119
feu;20;0;115;53;2;68
dimanche;79;0;6;57;2;97
complètement;18;2;29;44;3;164
valeur;25;0;26;58;0;151
réseau;13;0;25;37;3;181
terroriste;1;0;226;1;0;13
souhaiter;47;1;15;46;3;145
