"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"emji_visage_riant_aux_larmes";0;0,283;1;1;1;1
"aller";1;1;1;0;1;0
"voir";1;1;1;1;1;0
"suisse";1;1;1;0;1;1
"parler";1;1;0;1;1;0
"emji_coeur_rouge";0;1;1;1;1;1
"gens";1;0,882;1;1;1;0
"monde";1;1;1;0;1;0
"femme";1;1;1;1;1;0
"enfant";1;1;0,005;1;1;0
"emji_applaudissements";0;1;1;1;1;1
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";0;1;1;1;1;1
"prendre";1;0;1;0;0,04;0
"beau";0;1;1;1;1;1
"époque";0;1;1;1;1;1
"pays";1;1;0;0;1;1
"penser";1;1;1;1;1;0
"vie";1;1;1;1;1;0
"homme";1;1;1;1;1;0
"comprendre";1;1;1;1;1;0
"emji_se_rouler_par_terre_de_rire";0;0,008;1;1;1;1
"temps";1;1;1;1;1;0
"aimer";0;1;1;1;1;1
"chose";1;1;1;1;1;0
"passer";1;1;1;0;1;0
"mettre";1;1;1;0;1;0
"année";0,873;1;1;0;1;1
"petit";0;0,002;1;1;0;1
"vrai";1;1;1;1;1;0
"grand";1;1;1;0;1;1
"vraiment";1;1;1;1;1;0
"emji_visage_qui_pleure";0;1;1;1;0,431;1
"jour";1;0;1;0,096;0,02;0
"trouver";1;0,034;1;0,425;1;0
"venir";1;1;1;0,038;0,009;0
"donner";1;1;1;1;0;0
"vivre";1;1;1;0,523;1;0
"rester";1;1;1;0;0,922;0
"payer";1;1;1;0;1;1
"tellement";0;1;1;1;1;1
"problème";1;1;1;0;1;0
"français";1;0;1;0,261;1;0
"connaître";1;1;1;1;1;0
"changer";1;1;1;1;1;0
"souvenir";0;1;1;1;1;1
"france";1;0;1;0;1;1
"fois";1;0;1;0,026;1;0
"commentaire";1;1;1;1;1;0
"emji_visage_souriant_avec_une_goutte_de_sueur";0;0,043;1;1;0,859;1
"arrêter";1;1;0;0;0,117;0,003
"seul";1;1;0,016;0,071;0,028;0
"demander";1;1;0,019;0,062;1;0
"droit";1;1;0;1;1;0,069
"question";1;1;1;1;1;0
"devenir";1;1;1;0;0,019;0
"travail";1;1;1;0;1;0,442
"cas";1;1;1;0;1;0
"jeune";1;1;1;1;1;0
"raison";1;1;1;1;0,221;0
"sentir";1;1;1;1;1;0
"emji_visage_faisant_un_clin_d_oeil";0;0,08;1;1;1;0,011
"emji_feu";0;1;1;1;1;1
"police";1;1;0;1;1;0
"exister";1;0,096;1;1;1;0
"humain";1;1;0,205;1;0;0
"accord";1;1;0;0,022;1;1
"arriver";1;1;1;0,443;1;0
"utiliser";1;0;0,002;0;1;0,271
"laisser";1;1;0,854;1;0;0
"besoin";1;0,004;1;0;0,001;0
"état";1;1;0;0;1;1
"animal";1;1;1;1;0;1
"regarder";1;1;1;1;1;0
"guerre";1;1;0;1;1;1
"coup";1;1;1;0,161;0,775;0
"emji_mains_en_prière";0;1;1;1;1;1
"travailler";1;1;1;0;1;1
"argent";1;1;1;0;1;1
"ca";1;0,706;1;1;0,263;0
"partir";1;1;1;0;1;0
"moment";1;1;0,82;1;1;0
"etc";1;1;1;0;1;1
"riche";1;1;1;0;1;1
"place";1;0,474;1;0;1;1
"vidéo";1;1;1;1;1;0
"plutôt";1;1;1;0,012;1;0
"premier";1;1;1;0,039;1;0
"mot";1;1;0,673;1;1;0
"rendre";1;1;0;0,001;0,14;0
"appeler";1;1;0,686;1;1;0
"école";1;1;1;1;1;0
"niveau";1;1;1;0;1;0
"meilleur";0;1;1;0,106;1;1
"jouer";0;1;1;1;1;1
"part";1;1;1;0;1;0
"magnifique";0;1;1;1;1;1
"genre";1;1;1;1;1;0
"adorer";0;1;1;1;1;1
"politique";1;1;0;0;1;0
"palestinien";1;1;0;1;1;1
"israël";1;1;0;1;1;1
"sûr";1;1;1;1;1;0
"continuer";1;1;0;0;1;1
"famille";1;1;0,583;1;1;0
"lire";1;1;1;1;1;0
"emji_mains_levées";0;1;1;1;1;1
"importer";1;1;1;1;0,009;0
"apprendre";1;1;1;1;1;0
"dernier";0,107;1;0,24;1;1;0,53
"exemple";1;1;1;0;0,427;0,334
"sujet";1;1;1;1;1;0
"compte";1;1;1;0;1;0
"genève";1;1;1;0;1;1
"cause";1;1;0;0;0,359;0,001
"perdre";1;1;1;0;1;0
"partie";1;0;1;0;1;0,569
"manquer";1;0,016;1;1;1;0
"société";1;1;1;0;1;0
"histoire";1;1;0;1;1;0
"sortir";1;0,568;1;1;0,862;0
"entendre";0,503;1;1;1;1;0
"pauvre";1;1;1;0;0;1
"idée";1;1;1;1;0,027;0
"fin";1;1;0,397;1;1;0
"emji_visage_souriant_avec_coeurs";0;1;1;1;1;1
"cher";1;1;1;0;1;1
"oublier";1;1;0,009;0,009;1;0,267
"rts";1;1;0;1;1;0
"manger";1;1;1;0,853;0;1
"permettre";1;0,682;1;0;1;0,363
"écrire";1;1;1;1;1;0
"emji_visage_en_pleine_réflexion";1;1;1;1;1;0
"parent";1;0,179;1;1;1;0
"malheureusement";1;1;1;1;0,038;0
"gros";1;0,013;1;0;1;0,093
"côté";1;0;1;0,77;1;0
"paix";0,471;1;0;1;1;1
"finir";1;1;1;0;1;0
"social";1;1;1;0;1;0
"population";1;1;0;0;0,239;1
"revenir";1;1;1;0;0,818;1
"peuple";1;1;0;1;1;1
"heure";1;1;1;0;0,934;1
"respect";1;1;1;1;1;0
"espérer";1;1;1;1;0,617;0
"gauche";1;1;0,518;0,074;1;0
"mort";1;1;0;1;0,069;0,658
"nom";1;1;1;1;1;0
"attendre";1;1;0,022;1;0,827;0
"commencer";1;1;0;0,104;1;0
"servir";1;0;0,02;0;1;0,836
"tuer";1;1;0;1;0;1
"hamas";1;1;0;1;1;1
"lieu";1;1;0,133;0;1;0,001
"emji_visage_avec_bouche_ouverte";0;0,502;1;1;0,236;1
"faux";1;1;0,471;1;1;0
"super";0;0,058;1;1;0,15;1
"tête";1;1;1;1;1;0
"pareil";1;1;1;1;1;0
"moyen";1;0,468;0;0;1;1
"dieu";0;1;1;1;1;0
"violence";1;1;0;1;1;0
"aider";1;1;0,157;0;1;0
"simple";1;1;1;0,223;1;0
"système";1;0,967;1;0;1;1
"simplement";1;1;1;0;1;0
"classe";1;1;1;0;1;0,649
"manifestation";1;1;0;1;1;1
"droite";1;1;0,876;1;1;0
"prix";1;1;1;0;1;1
"triste";1;1;1;1;1;0
"public";1;1;0,048;0;1;1
"chat";0;1;1;1;0;0,549
"vieux";0;1;1;1;1;0,475
"montrer";1;1;0,042;1;1;0
"ville";1;1;1;0;0,125;1
"palestine";1;1;0;1;1;1
"fille";0;1;1;1;1;0,003
"entreprise";1;1;1;0;1;1
"emji_drapeau_suisse";0;1;1;1;1;1
"pire";1;1;0,103;0,328;1;0
"emji_visage_roulant_des_yeux";1;1;1;1;1;0
"impôt";1;1;1;0;1;1
"salaire";1;1;1;0;1;1
"loi";1;1;0;0;1;0,18
"emji_visage_qui_pleure_à_chaudes_larmes";0;1;1;1;0,027;1
"créer";1;1;0,333;0;1;1
"nouveau";1;1;0,983;0;1;1
"répondre";1;1;1;1;1;0
"chercher";1;1;1;0,004;1;0
"normal";1;1;1;0,015;0,648;0
"maison";1;0;1;0,049;0,363;0,346
"emji_visage_souriant_avec_yeux_rieurs";0;1;1;1;1;1
"façon";1;1;1;1;1;0
"seulement";1;0,507;0,308;0;0,683;1
"retrouver";0,546;1;1;0,116;0,403;1
"blanc";1;1;1;1;1;0
"article";1;1;0,492;0,584;1;0
"accent";0;1;1;1;1;1
"acheter";1;0,216;1;0;1;1
"rapport";1;1;0,87;0,542;1;0
"jeu";0;1;1;1;1;1
"essayer";1;1;1;1;1;0
"réponse";1;1;1;1;1;0
"propre";1;0;1;0,29;1;0
"manifester";1;1;0;1;1;1
"gaza";1;1;0;1;1;1
"mauvais";1;1;1;1;0,026;0
"armée";1;1;0;1;1;1
"soutenir";1;1;0;1;1;1
"préférer";1;0,435;1;1;0,087;0
"poser";1;0,693;1;1;0,074;0
"respecter";1;1;0;0,073;0,291;1
"rappeler";0;1;0,055;1;1;1
"justement";1;1;1;1;1;0
"eau";1;0;1;0;1;1
"voiture";1;1;1;0;1;1
"service";1;1;1;0;0,465;1
"santé";1;1;1;0;0,276;1
"écouter";0,016;1;1;1;1;0
"garder";1;1;1;0,039;0,273;0
"journée";1;0;1;1;1;0
"sembler";1;1;0,812;0,335;1;0
"mois";1;1;1;0;1;1
"défendre";1;1;0;1;1;1
"réalité";1;1;1;0,727;1;0
"valoir";1;1;1;0;1;1
"exactement";1;1;1;1;1;0
"ami";1;1;1;1;0,41;0
"heureux";0;1;1;1;0,703;0,291
"fou";1;1;1;1;1;0
"terre";1;1;0;0,422;0,98;1
"plaisir";0;1;1;1;0,232;1
"agir";1;1;0;0;1;0,007
"coeur";0;1;1;1;0,014;1
"air";0,64;1;1;1;1;0
"reportage";0;0,569;1;1;1;1
"possible";1;1;1;0;1;0,75
"manière";1;1;1;1;1;0
"foutre";1;1;0,004;1;0,419;0
"ouvrir";1;1;1;0,134;1;0
"mdr";1;0,89;1;1;1;0
"expliquer";1;0,875;0,617;0,18;1;0
"truc";1;0,003;1;0,555;1;0
"gagner";1;1;1;0;1;1
"incroyable";0;1;1;1;1;1
"bidet";1;0;1;1;1;1
"europe";1;0,487;0;0;1;1
"oeil";1;1;0,271;1;1;0
"génération";1;1;1;1;1;0
"canton";1;1;1;0;1;1
"trump";1;1;0;0,53;1;1
"protéger";1;1;0;0,019;0,337;0,752
"interdire";1;1;0,203;0;0;1
"gouvernement";1;1;0;1;1;1
"bas";1;1;1;0;1;1
"situation";1;1;0;1;1;0
"couper";1;1;1;0;1;1
"israélien";1;1;0;1;1;1
"honte";1;1;0,003;1;1;0
"heureusement";1;0,24;1;1;1;0
"avis";1;1;1;1;1;0
"liberté";1;1;0,013;1;1;0
"père";0;1;1;1;1;1
"génocide";1;1;0;1;1;1
"âge";1;1;1;1;1;0
"mec";1;1;1;1;1;0
"imaginer";1;0,081;1;0;0,851;0,006
"cours";1;1;1;1;1;0
"choix";1;1;1;0,001;1;0
"absolument";1;1;1;1;1;0
"reconnaître";1;1;0;1;1;1
"assurance";1;1;1;0;1;1
"également";1;1;0,195;0;1;1
"langue";1;1;1;1;1;0
"peur";1;1;1;1;0,243;0
"équipe";1;1;1;0;1;1
"terme";1;1;0,052;1;1;0
"rue";1;1;0;0,377;1;0,002
"rire";0;1;1;1;1;1
"mère";0;0,339;1;1;1;0,054
"aide";1;1;0;0,004;1;0,298
"emji_visage_souriant_aux_yeux_rieurs";0;0,992;1;1;1;1
"hiver";0;1;1;1;1;1
"otage";1;1;0;1;1;1
"solution";1;0,296;0,118;0;1;1
"important";1;1;1;0,021;1;0
"chance";0,421;1;1;0;1;1
"emji_pouce_vers_le_haut";0;1;1;1;1;1
"recevoir";1;1;1;0;1;0,588
"base";1;0,323;1;0;1;0
"main";1;0;0,313;0,016;0,642;1
"haut";1;1;1;0;1;0,062
"occuper";1;1;0;0,02;0,978;0,025
"image";1;1;0,199;1;1;0
"extrême";1;1;0,017;1;1;0
"début";1;1;1;1;1;0
"suivre";1;1;0,16;1;1;0
"faute";1;1;1;1;1;0
"argument";1;1;1;1;1;0
"naître";1;1;1;1;1;0
"étude";1;1;1;0;1;0
"tomber";1;1;1;1;0,317;0
"justice";1;1;0;1;1;1
