"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;4;6;8;8;8;8;8;8
"2";2;4;6;9;11;12;15;16;19
"3";2;4;6;8;8;8;8;8;8
"4";2;4;6;9;11;12;15;16;19
"5";2;4;6;9;11;12;15;16;19
"6";2;4;6;9;11;12;15;16;19
"7";2;4;6;9;11;12;15;16;19
"8";2;4;6;9;11;12;15;16;19
"9";2;4;6;8;8;8;8;8;8
"10";2;4;6;9;11;12;15;16;19
"11";2;4;6;9;11;12;15;16;19
"12";2;4;6;9;11;12;15;16;19
"13";2;4;6;8;8;8;8;8;8
"14";2;4;6;9;11;12;15;16;19
"15";2;4;6;9;11;12;15;16;19
"16";2;4;6;8;8;8;8;8;8
"17";2;4;6;9;11;12;15;16;19
"18";2;4;6;9;11;12;15;16;19
"19";2;4;6;9;11;12;15;16;19
"20";2;4;6;9;11;12;15;16;19
"21";2;4;6;9;11;12;15;16;19
"22";2;4;6;9;11;12;15;16;19
"23";2;4;6;9;11;12;15;16;19
"24";2;4;6;8;8;8;8;8;8
"25";2;4;6;9;11;12;15;16;19
"26";2;4;6;9;11;12;15;16;19
"27";2;4;6;9;11;12;15;16;19
"28";2;4;6;9;11;12;15;16;19
"29";2;4;6;9;11;12;15;16;19
"30";2;4;6;9;11;12;15;16;19
"31";2;4;6;9;11;12;15;16;19
"32";2;4;6;8;8;8;8;8;8
"33";2;4;6;9;11;12;15;16;19
"34";2;4;6;9;11;12;15;16;19
"35";2;4;6;8;8;8;8;8;8
"36";2;4;6;9;11;12;15;16;19
"37";2;4;6;8;8;8;8;8;8
"38";2;4;6;9;11;12;15;16;19
"39";2;4;6;8;8;8;8;8;8
"40";2;4;6;8;8;8;8;8;8
"41";2;4;6;9;11;12;15;16;19
"42";2;4;6;9;11;12;15;16;19
"43";2;4;6;9;11;12;15;16;19
"44";2;4;6;9;11;12;15;16;19
"45";2;4;6;8;8;8;8;8;8
"46";2;4;6;8;8;8;8;8;8
"47";2;4;6;8;8;8;8;8;8
"48";2;4;6;9;11;12;15;16;19
"49";2;4;6;8;8;8;8;8;8
"50";2;4;6;9;11;12;15;16;19
"51";2;4;6;9;11;12;15;16;19
"52";2;4;6;8;8;8;8;8;8
"53";2;4;6;8;8;8;8;8;8
"54";2;4;6;9;11;12;15;16;19
"55";2;4;6;9;11;12;15;16;19
"56";2;4;6;9;11;12;15;16;19
"57";2;4;6;8;8;8;8;8;8
"58";2;4;6;9;11;12;15;16;19
"59";2;4;6;9;11;12;15;16;19
"60";2;4;6;9;11;12;15;16;19
"61";2;4;6;9;11;12;15;16;19
"62";2;4;6;9;11;12;15;16;19
"63";2;4;6;9;11;12;15;16;19
"64";2;4;6;9;11;12;15;16;19
"65";2;4;6;9;11;12;15;16;19
"66";2;4;6;9;11;12;15;16;19
"67";2;4;6;9;11;12;15;16;19
"68";2;4;6;8;8;8;8;8;8
"69";2;4;6;9;11;12;15;16;19
"70";2;4;6;9;11;12;15;16;19
"71";2;4;6;8;8;8;8;8;8
"72";2;4;6;8;8;8;8;8;8
"73";2;4;6;8;8;8;8;8;8
"74";2;4;6;8;8;8;8;8;8
"75";2;4;6;8;8;8;8;8;8
"76";2;4;6;9;11;12;15;16;19
"77";2;4;6;8;8;8;8;8;8
"78";2;4;6;9;11;12;15;16;19
"79";2;4;6;9;11;12;15;16;19
"80";2;4;6;8;8;8;8;8;8
"81";2;4;6;8;8;8;8;8;8
"82";2;4;6;9;11;12;15;16;19
"83";2;4;6;8;8;8;8;8;8
"84";2;4;6;9;11;12;15;16;19
"85";2;4;6;9;11;12;15;16;19
"86";2;4;6;9;11;12;15;16;19
"87";2;4;6;9;11;12;15;16;19
"88";2;4;6;9;11;12;15;16;19
"89";2;4;6;9;11;12;15;16;19
"90";2;4;6;9;11;12;15;16;19
"91";2;4;6;9;11;12;15;16;19
"92";2;4;6;9;11;12;15;16;19
"93";2;4;6;9;11;12;15;16;19
"94";2;4;6;8;8;8;8;8;8
"95";2;4;6;8;8;8;8;8;8
"96";2;4;6;9;11;12;15;16;19
"97";2;4;6;9;11;12;15;16;19
"98";2;4;6;9;11;12;15;16;19
"99";2;4;6;8;8;8;8;8;8
"100";2;4;6;9;11;12;15;16;19
"101";2;4;6;9;11;12;15;16;19
"102";2;4;6;9;11;12;15;16;19
"103";2;4;6;9;11;12;15;16;19
"104";2;4;6;9;11;12;15;16;19
"105";2;4;6;9;11;12;15;16;19
"106";2;4;6;9;11;12;15;16;19
"107";2;4;6;9;11;12;15;16;19
"108";2;4;6;9;11;12;15;16;19
"109";2;4;6;9;11;12;15;16;19
"110";2;4;6;9;11;12;15;16;19
