être;6647;6699
de;5689;5119
avoir;3985;4775
la;4283;3602
et;4162;3909
les;3740;3645
pas;3739;3668
le;3541;3529
ne;3527;2914
user_utilisateurice;3838;3881
que;3278;2928
c;3121;3328
à;2951;2906
des;2792;2318
l;2806;2424
en;2641;2604
un;2389;2289
d;2577;2010
je;1815;2298
qui;2333;1954
on;1830;2180
pour;2253;2038
il;1979;2097
faire;1884;2029
une;2055;1776
ce;1995;1726
vous;1480;1139
ça;1417;1963
mais;1730;1643
qu;1559;1580
dans;1433;1486
plus;1306;1395
du;1227;1203
tout;1072;1182
j;660;1386
se;1065;1066
si;1083;1009
ils;769;1053
y;1006;1032
bien;930;1158
dire;1005;1005
tu;748;823
pouvoir;1019;847
avec;899;946
sur;937;781
comme;868;910
même;786;926
au;872;823
ou;878;709
s;759;775
par;833;588
nous;605;637
elle;466;585
quand;517;670
falloir;579;580
cette;579;532
non;629;473
rien;533;575
personne;609;432
leur;518;463
bon;469;594
ces;542;499
savoir;471;566
me;361;616
devoir;536;485
aussi;500;509
vouloir;524;465
oui;469;445
donc;473;373
tous;390;441
son;410;400
sans;460;345
alors;458;366
t;305;439
aux;445;328
très;362;413
juste;441;345
moi;264;511
encore;347;416
toujours;344;367
mon;264;425
quoi;351;354
aujourd_hui;232;462
sa;260;397
là;317;363
où;324;337
votre;421;208
autres;390;260
peu;295;366
an;209;432
jamais;273;334
cela;332;252
beaucoup;273;292
avant;262;293
autre;261;283
car;280;258
déjà;249;293
toi;211;292
te;218;251
trop;206;287
moins;223;263
nos;197;283
ses;272;205
pourquoi;273;203
leurs;205;258
parce_que;258;235
mieux;187;288
m;169;300
après;186;289
notre;270;187
lui;171;265
elles;200;157
ma;136;278
merci;223;201
croire;217;180
ton;205;169
ceux;196;184
mal;160;219
contre;249;131
maintenant;121;255
comment;164;189
quel;172;182
eux;153;194
chez;127;214
surtout;186;164
depuis;128;216
mes;105;218
toute;165;168
ni;128;89
entre;185;129
certains;167;123
vos;173;104
toutes;155;121
quelle;142;141
point;181;100
deux;143;127
tant;150;129
ta;105;132
ah;101;142
aucun;155;82
aucune;163;73
ici;133;102
peut_être;129;100
2;93;133
chaque;87;126
souvent;126;91
cet;105;99
quelque;96;106
plein;75;119
bravo;97;97
ailleurs;108;86
autant;94;94
bah;75;116
assez;91;97
sous;93;88
dont;102;66
monsieur;76;91
3;67;95
quelqu_un;78;85
tes;75;79
pourtant;72;83
quelques;62;94
pendant;50;104
loin;71;78
1;59;80
enfin;68;82
voilà;81;67
chacun;78;66
vite;30;106
mêmes;87;50
force;101;39
dame;35;106
dommage;61;72
sinon;59;76
ben;53;80
plusieurs;64;62
certaines;78;51
ainsi;74;57
puis;53;72
parfois;68;58
fort;64;54
madame;55;64
envers;73;36
ok;57;49
partout;57;55
4;39;69
longtemps;44;67
celui;57;45
10;31;76
hein;43;65
sauf;52;50
vers;40;48
ensuite;57;42
devant;33;65
dessus;36;59
tard;28;65
plupart;48;41
combien;37;47
celle;54;33
50;37;47
derrière;46;37
5;27;58
certain;39;46
selon;55;27
jusqu_à;37;46
e;42;34
hors;64;16
2025;32;47
20;33;46
100;35;39
oh;15;62
dès;37;40
presque;33;42
malgré;32;41
soi;41;31
80;21;53
30;25;45
ouais;17;48
attention;36;31
lorsque;33;30
grâce;33;31
con;25;40
tel;34;28
million;29;32
merde;21;38
celles;37;22
60;21;37
6;14;40
lorsqu;34;24
autour;19;38
tiens;35;20
puisque;32;25
différents;36;20
anti;39;14
15;23;33
vive;29;23
dehors;14;37
2000;16;37
lors;24;28
70;13;38
moindre;31;18
concernant;33;16
7;17;30
0;21;23
hier;15;33
90;12;34
8;10;37
ceci;25;19
certaine;26;19
40;15;27
eh;19;22
certes;19;22
durant;20;19
arrière;8;28
25;16;23
haha;15;23
d_abord;22;16
quant;27;8
afin;25;11
x;17;18
telle;21;12
cependant;25;10
lequel;19;15
laquelle;24;10
quelles;28;4
or;12;21
eux_mêmes;23;9
18;18;14
000;13;15
suivant;14;17
mille;10;16
voire;20;10
trois;12;18
16;10;18
12;6;24
ouf;15;14
hélas;10;19
dedans;13;15
9;15;13
2024;12;16
nulle;16;10
près;16;10
parmi;17;9
nul;7;19
jusqu_au;7;19
demain;11;14
v;13;10
uns;14;10
pseudo;16;7
17;10;13
tels;17;6
pardon;10;13
ha;8;13
autrui;14;8
11;6;16
quels;14;7
ci;11;10
pis;8;12
environ;10;10
davantage;18;2
aïe;5;6
lendemain;3;16
jusqu;10;9
euh;8;11
22;10;9
2023;8;11
vôtre;8;10
quasi;8;10
puisqu;10;8
voici;14;3
n_est_ce_pas;10;6
mince;7;8
dessous;6;10
chouette;8;9
celle_ci;8;9
1967;7;10
14;2;15
13;2;13
mien;4;11
lui_même;13;2
35;4;11
o;9;5
divers;11;3
aucunement;14;0
tien;7;6
moi_même;8;5
gare;2;10
f;9;4
celui_ci;6;7
45;2;11
200;9;3
tandis_que;9;3
salut;7;5
quatre;3;9
nôtre;8;3
mme;2;9
in;6;6
elle_même;10;2
b;6;6
99;4;8
75;3;9
72;3;6
19;9;3
volontiers;4;7
via;9;2
soi_même;10;1
quelconque;11;0
outre;8;3
néanmoins;7;4
heu;4;7
g;6;5
1970;8;3
vous_même;7;3
tienne;7;3
telles;8;2
mm;3;7
mienne;5;5
diable;4;6
24;3;6
2016;4;6
vis_à_vis;7;1
neuf;4;5
lesquelles;5;4
ho;3;6
dix;3;6
demi;6;3
98;4;5
41;4;5
26;2;7
21;3;6
1987;2;6
1000;1;8
u;4;4
sienne;2;6
quoique;6;1
lesquels;8;0
hop;1;6
extra;0;8
diverses;7;1
auquel;6;2
68;5;3
2015;3;4
2010;2;6
2005;1;7
1990;1;7
1980;2;6
1960;2;6
à_l_encontre;6;1
youpi;0;7
toutefois;6;1
soudain;6;1
miens;3;4
elles_mêmes;5;2
debout;3;4
ciao;2;5
chacune;3;3
bye;4;1
bof;3;4
basta;1;6
autrefois;3;4
95;2;5
65;3;4
27;4;3
2026;3;4
2021;2;5
1972;1;6
1968;4;3
1864;0;7
wouah;1;5
vôtres;2;4
siens;4;2
parce;2;4
mouais;2;4
mi;1;4
jusque;6;0
htag_cqfd;3;3
hormis;4;2
cent;3;1
celui_là;5;1
c_est_à_dire;5;1
auxquels;3;3
auxquelles;5;1
auparavant;1;5
au_dessus;4;2
alerte;5;0
92;2;4
600;0;6
42;3;3
400;3;3
2007;3;3
1999;2;4
1995;2;4
1992;2;4
1985;1;5
1984;2;4
1969;1;5
1965;3;3
1900;2;4
quiconque;2;2
na;2;3
cinq;0;5
55;3;2
39;1;4
36;1;4
34;1;4
32;1;4
31;2;3
300;1;4
28;3;2
23;1;4
2030;4;1
2022;1;4
2002;1;4
1994;1;4
1950;3;2
1940;3;2
150;3;1
vingt;1;2
six;4;0
sien;1;3
pouf;3;1
pff;1;3
miennes;3;1
hum;1;3
hi;1;2
franco;3;1
ci_dessus;4;0
chut;0;3
ceux_là;2;2
ceux_ci;2;2
aucunes;4;0
66;2;2
64;2;2
61;1;3
57;1;3
52;2;2
500;2;2
49;2;2
2019;1;3
2018;1;3
2017;1;3
2008;1;3
2006;0;4
2001;2;2
1991;1;3
1989;1;3
1978;3;1
1975;2;1
1971;2;2
1966;0;4
1948;1;3
1945;3;0
110;2;2
102;0;4
00;0;4
van;1;2
toi_même;2;1
to;1;2
sept;0;3
quarante;1;2
peuchère;0;3
pan;2;1
pa;2;1
nuls;0;3
hé;1;2
huit;0;3
htag_sadbuttrue;1;2
hello;1;2
dc;2;1
celles_ci;2;1
bis;0;3
93;0;3
89;0;3
87;0;3
85;1;2
84;0;3
77;1;2
71;1;2
67;0;3
62;3;0
59;2;1
46;0;3
44;0;3
43;2;1
38;2;1
350;2;1
33;1;2
29;0;3
2027;0;3
2020;1;2
2011;0;3
2004;1;2
1998;0;3
1988;2;1
1983;0;3
1930;0;3
1920;2;1
120;0;3
10000;2;1
