"";"X";"V1"
"1";1;9
"2";2;8
"3";3;7
"4";4;3
"5";5;9
"6";6;3
"7";7;8
"8";8;9
"9";9;9
"10";10;2
"11";11;2
"12";12;7
"13";13;7
"14";14;9
"15";15;6
"16";16;9
"17";17;7
"18";18;7
"19";19;9
"20";20;8
"21";21;8
"22";22;8
"23";23;7
"24";24;9
"25";25;9
"26";26;3
"27";27;7
"28";28;9
"29";29;9
"30";30;3
"31";31;9
"32";32;9
"33";33;3
"34";34;6
"35";35;9
"36";36;9
"37";37;9
"38";38;6
"39";39;2
"40";40;3
"41";41;3
"42";42;7
"43";43;3
"44";44;4
"45";45;9
"46";46;9
"47";47;3
"48";48;0
"49";49;8
"50";50;9
"51";51;7
"52";52;7
"53";53;8
"54";54;7
"55";55;9
"56";56;9
"57";57;3
"58";58;7
"59";59;7
"60";60;3
"61";61;7
"62";62;9
"63";63;3
"64";64;6
"65";65;6
"66";66;6
"67";67;2
"68";68;6
"69";69;6
"70";70;9
"71";71;8
"72";72;3
"73";73;9
"74";74;3
"75";75;9
"76";76;7
"77";77;9
"78";78;9
"79";79;9
"80";80;9
"81";81;9
"82";82;7
"83";83;9
"84";84;9
"85";85;7
"86";86;7
"87";87;3
"88";88;9
"89";89;9
"90";90;9
"91";91;9
"92";92;0
"93";93;0
"94";94;5
"95";95;0
"96";96;0
"97";97;9
"98";98;9
"99";99;6
"100";100;7
"101";101;9
"102";102;7
"103";103;7
"104";104;7
"105";105;9
"106";106;4
"107";107;3
"108";108;7
"109";109;4
"110";110;9
"111";111;9
"112";112;3
"113";113;3
"114";114;7
"115";115;4
"116";116;8
"117";117;9
"118";118;6
"119";119;9
"120";120;9
"121";121;3
"122";122;5
"123";123;7
"124";124;9
"125";125;6
"126";126;9
"127";127;9
"128";128;9
"129";129;9
"130";130;9
"131";131;9
"132";132;7
"133";133;9
"134";134;9
"135";135;9
"136";136;9
"137";137;9
"138";138;9
"139";139;9
"140";140;9
"141";141;0
"142";142;9
"143";143;4
"144";144;9
"145";145;2
"146";146;9
"147";147;9
"148";148;9
"149";149;3
"150";150;9
"151";151;9
"152";152;9
"153";153;9
"154";154;3
"155";155;8
"156";156;9
"157";157;3
"158";158;9
"159";159;9
"160";160;2
"161";161;3
"162";162;2
"163";163;3
"164";164;3
"165";165;6
"166";166;2
"167";167;9
"168";168;9
"169";169;9
"170";170;9
"171";171;3
"172";172;7
"173";173;9
"174";174;9
"175";175;9
"176";176;9
"177";177;9
"178";178;9
"179";179;8
"180";180;3
"181";181;7
"182";182;9
"183";183;9
"184";184;6
"185";185;6
"186";186;6
"187";187;9
"188";188;9
"189";189;3
"190";190;9
"191";191;9
"192";192;9
"193";193;9
"194";194;0
"195";195;9
"196";196;9
"197";197;7
"198";198;1
"199";199;9
"200";200;3
"201";201;8
"202";202;9
"203";203;9
"204";204;0
"205";205;3
"206";206;9
"207";207;7
"208";208;3
"209";209;3
"210";210;3
"211";211;3
"212";212;3
"213";213;3
"214";214;8
"215";215;2
"216";216;9
"217";217;9
"218";218;3
"219";219;9
"220";220;7
"221";221;6
"222";222;0
"223";223;7
"224";224;6
"225";225;9
"226";226;9
"227";227;9
"228";228;8
"229";229;9
"230";230;2
"231";231;9
"232";232;9
"233";233;9
"234";234;9
"235";235;9
"236";236;6
"237";237;6
"238";238;6
"239";239;9
"240";240;9
"241";241;8
"242";242;9
"243";243;9
"244";244;9
"245";245;9
"246";246;8
"247";247;3
"248";248;7
"249";249;9
"250";250;4
"251";251;3
"252";252;3
"253";253;6
"254";254;6
"255";255;8
"256";256;6
"257";257;7
"258";258;1
"259";259;9
"260";260;6
"261";261;7
"262";262;3
"263";263;6
"264";264;9
"265";265;9
"266";266;9
