"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
"emji_visage_riant_aux_larmes";0,29;1;1;0,752;0;0;1;1;0
"aller";1;1;0;1;1;0,513;0;1;1
"voir";1;1;1;1;1;0;0;0;1
"suisse";1;1;0;1;1;0,248;1;1;1
"parler";1;0;1;1;0,582;0;0,32;0;1
"emji_coeur_rouge";1;1;1;1;1;1;1;1;0
"gens";0,892;1;1;1;1;1;0;0,068;1
"monde";1;1;0;1;1;1;0;0,696;1
"femme";1;1;1;1;1;1;1;0;1
"enfant";1;0,003;1;1;1;1;0;1;1
"emji_applaudissements";1;1;1;1;1;1;1;1;0
"emji_visage_souriant_avec_yeux_en_forme_de_coeur";1;1;1;1;1;1;1;1;0
"prendre";0;1;0;0,001;0,658;0,331;0;0,001;1
"beau";1;1;1;1;1;1;1;1;0
"époque";1;1;1;1;0,053;1;0,555;1;0
"pays";1;0;0;1;1;1;1;1;1
"penser";1;1;1;1;1;1;0;0;1
"vie";1;1;1;1;1;1;0;1;1
"homme";1;1;1;1;1;1;1;0;1
"comprendre";1;1;1;1;1;0;0;0;1
"emji_se_rouler_par_terre_de_rire";0,008;1;1;0,285;0,007;0;1;1;0
"temps";1;1;1;1;1;1;0;1;1
"aimer";1;1;1;1;1;1;1;1;0
"chose";1;1;1;1;1;1;0;0,004;1
"passer";1;1;0,001;1;1;1;0;1;1
"mettre";1;1;0;1;0,314;0,332;0;0,004;1
"année";1;1;0;1;1;1;0,616;1;0,818
"petit";0,001;1;1;0;0,597;1;0,025;1;0
"vrai";1;1;1;1;1;1;0,011;0;1
"grand";1;1;0;1;1;1;0,393;1;1
"vraiment";1;1;1;1;1;1;0;1;1
"emji_visage_qui_pleure";1;1;1;0,114;1;1;0;1;0
"jour";0;1;0,03;0,173;1;1;0;1;1
"trouver";0,035;1;0,778;1;1;0,007;0;0;1
"venir";1;1;0,012;0,005;1;0;0;1;1
"donner";1;1;1;0;1;1;0;0,001;1
"vivre";1;1;0,748;1;1;1;0;0,204;1
"rester";1;1;0;0,595;0,126;1;0;0;1
"payer";1;1;0;1;1;1;1;1;1
"tellement";1;1;1;1;1;1;1;1;0
"problème";1;1;0;1;1;1;0,395;0;1
"français";0;1;0,561;1;0;0;1;1;1
"connaître";0,978;1;1;1;0,298;1;0;0,755;1
"changer";1;1;1;1;0;1;0;1;1
"souvenir";1;1;1;1;1;1;1;1;0
"france";0;1;0;1;0;1;1;1;1
"fois";0;1;0,048;1;1;0,005;0;0,551;1
"commentaire";1;1;1;1;0,937;0;1;1;1
"emji_visage_souriant_avec_une_goutte_de_sueur";0,041;1;1;0,535;0,28;0;1;1;0
"arrêter";1;0;0;0,523;0,612;1;0,001;0,188;1
"seul";1;0,019;0,05;0,468;1;1;0;0,001;1
"demander";1;0,051;0,047;1;1;0,001;0;0,084;1
"droit";1;0;1;1;0,998;1;1;0;1
"question";1;1;1;1;1;0;1;0;1
"devenir";1;1;0;0,106;1;1;0;0,037;1
"travail";1;1;0;1;1;1;0;0,019;1
"cas";1;1;0;1;1;1;0,001;0;1
"jeune";1;1;1;1;1;1;0;0,344;1
"raison";1;1;1;0,471;1;1;1;0;1
"sentir";1;1;1;1;0,636;1;0;0;1
"emji_visage_faisant_un_clin_d_oeil";0,081;1;1;1;1;0,002;0,493;0,608;0
"emji_feu";1;1;1;1;1;1;1;1;0
"police";1;0;1;1;1;1;0;0;1
"exister";0,098;1;1;1;1;1;0,033;0;1
"humain";1;0,208;1;0;1;1;0;0;1
"accord";1;0;0,036;1;1;1;1;0;1
"arriver";1;1;0,403;1;0,804;0,99;0;1;1
"utiliser";0;0,001;0;1;0;0,034;1;0,014;1
"laisser";1;0,748;1;0,001;1;1;0;1;1
"besoin";0,005;1;0;0,035;1;1;0;0;1
"état";1;0;0;1;1;1;1;1;1
"animal";1;1;1;0;1;1;0,526;0,752;1
"regarder";1;1;1;1;1;0;0;0,066;1
"guerre";1;0;1;1;1;1;1;1;1
"coup";1;1;0,203;1;1;1;0;0,851;1
"emji_mains_en_prière";1;1;1;1;1;1;1;1;0
"travailler";1;1;0;1;1;1;0;1;1
"argent";1;1;0;1;1;1;1;1;1
"ca";0,714;1;1;0,753;0,011;1;0;1;1
"partir";1;1;0;1;0,297;0,1;0,174;0,006;1
"moment";1;0,827;1;1;1;1;0;1;1
"etc";1;1;0;1;1;1;1;0,014;1
"riche";1;1;0;1;1;1;1;1;1
"place";0,481;1;0;1;1;1;0,725;0,079;1
"vidéo";1;1;1;1;1;0;1;1;1
"plutôt";1;1;0,012;1;1;1;0;0;1
"premier";1;1;0,019;1;1;0;1;1;1
"mot";1;0,633;1;1;0;0;0,418;0;1
"rendre";1;0;0,004;0,715;1;1;0;0;1
"appeler";1;0,543;1;1;0;1;0,031;1;1
"école";1;1;1;1;1;1;0;1;1
"niveau";1;1;0;1;1;0;0,037;0;1
"meilleur";1;1;0,108;1;1;1;1;1;0
"jouer";1;1;1;1;1;1;1;1;0
"part";1;1;0;1;1;1;0,074;0;1
"magnifique";1;1;1;1;1;1;1;1;0
"genre";1;1;1;1;0,823;0;0;0;1
"adorer";1;1;1;1;1;1;1;1;0
"politique";1;0;0;1;1;0,006;1;0;1
"palestinien";1;0;1;1;1;1;1;1;1
"israël";1;0;1;1;1;1;1;1;1
"sûr";1;1;1;1;1;0;0;0,008;1
"continuer";1;0;0;0,986;0,729;1;0,973;1;1
"famille";1;0,67;1;1;0,967;1;0;1;1
"lire";1;1;1;1;1;0;1;1;1
"emji_mains_levées";1;1;1;1;1;1;1;1;0
"importer";1;1;1;0,011;1;1;0;0,379;1
"apprendre";1;1;1;1;1;0;0;1;1
"dernier";1;0,227;1;1;1;0,002;1;1;0,081
"exemple";1;1;0;0,831;1;1;1;0;1
"sujet";1;1;1;1;1;0;1;0;1
"compte";1;1;0,001;1;1;0;0,051;0;1
"genève";1;1;0;1;1;1;1;1;1
"cause";1;0;0;1;1;1;1;0;1
"perdre";1;1;0;0,934;1;1;0;0,551;1
"partie";0;1;0;1;1;1;0,824;0;1
"manquer";0,016;1;1;1;1;1;0;0;1
"société";1;1;0;1;1;1;1;0;1
"histoire";1;0;1;1;1;0,001;0,001;0;1
"sortir";0,564;1;1;1;1;1;0;1;1
"entendre";1;1;1;1;1;1;0;0,277;0,442
"pauvre";1;1;0;0;1;1;0,069;1;1
"idée";1;1;1;0,002;1;0,469;0;0;1
"fin";1;0,385;1;1;1;0;1;1;1
"emji_visage_souriant_avec_coeurs";1;1;1;1;1;1;1;1;0
"cher";1;1;0;1;1;1;1;1;1
"oublier";1;0,012;0,008;1;0,518;1;0;1;1
"rts";1;0;1;1;1;0;1;1;1
"manger";1;1;0,434;0;1;1;1;1;1
"permettre";0,68;1;0;1;1;1;1;0;1
"écrire";1;1;1;1;0,102;0;1;1;1
"emji_visage_en_pleine_réflexion";1;1;1;0,467;1;0;1;1;1
"parent";0,177;1;1;1;1;1;0;1;1
"malheureusement";1;1;1;0,176;1;1;0;0;1
"gros";0,013;1;0;0,673;0,012;0,65;0,449;1;1
"côté";0;1;0,85;1;1;1;0;0;1
"paix";1;0;1;1;1;1;1;1;0,44
"finir";1;1;0,009;1;1;1;0;1;1
"social";1;1;0;1;1;0,542;0,052;0;1
"population";1;0;0;1;1;1;1;0,021;1
"revenir";1;1;0;1;1;1;1;1;1
"peuple";1;0;1;1;1;1;1;1;1
"heure";1;1;0;1;1;1;0,004;1;1
"respect";1;1;1;1;1;1;0;0;1
"espérer";1;1;1;1;1;0,059;0;1;1
"gauche";1;0,619;0,127;1;1;0;1;1;1
"mort";1;0;1;0,015;1;1;0,091;1;1
"nom";1;1;1;1;0;0,109;0;0,192;1
"attendre";1;0,021;1;1;0,963;0,414;0;1;1
"commencer";1;0;0,024;1;1;0,76;0;0,655;1
"servir";0;0,013;0;1;1;1;1;0,015;1
"tuer";1;0;1;0;1;1;1;0,904;1
"hamas";1;0;1;1;1;1;1;1;1
"lieu";1;0,127;0;1;1;0,321;0,164;0,049;1
"emji_visage_avec_bouche_ouverte";0,498;1;1;0,127;1;1;0,592;1;0
"faux";1;0,448;1;1;1;0;1;0;1
"super";0,059;1;1;0,349;1;1;1;1;0
"tête";1;1;1;0,511;0;1;0,48;1;1
"pareil";1;1;1;1;1;1;0;1;1
"moyen";0,473;0;0;1;1;1;1;1;1
"dieu";1;1;1;1;1;1;0,028;0;0
"violence";1;0;1;1;1;1;0;0;1
"aider";1;0,324;0;1;1;1;0;0,634;1
"simple";1;1;0,228;1;1;1;0;0;1
"système";0,972;1;0;1;1;1;1;0,235;1
"simplement";1;1;0;1;1;1;0,217;0;1
"classe";1;1;0;1;1;1;0,108;1;1
"manifestation";1;0;1;1;1;1;1;1;1
"droite";1;1;1;1;1;0;1;1;1
"prix";1;1;0;1;1;1;1;1;1
"triste";1;1;1;1;1;1;0;1;1
"public";1;0,066;0;1;1;1;1;1;1
"chat";1;1;1;0;0,854;1;0,124;0,449;0
"vieux";1;1;1;1;0,702;1;0,01;1;0
"montrer";1;0,026;1;1;1;1;1;0;1
"ville";1;1;0;0,252;1;1;1;1;1
"palestine";1;0;1;1;1;1;1;1;1
"fille";1;1;1;1;0,072;1;0;0,576;0
"entreprise";1;1;0;1;1;1;1;1;1
"emji_drapeau_suisse";1;1;1;1;1;1;1;1;0
"pire";1;0,097;0,118;1;1;1;0;1;1
"emji_visage_roulant_des_yeux";1;1;1;1;0,003;0;1;1;1
"impôt";1;1;0;1;1;1;1;1;1
"salaire";1;1;0;1;1;1;1;1;1
"loi";1;0;0;1;0,963;1;1;0;1
"emji_visage_qui_pleure_à_chaudes_larmes";1;1;1;0;1;0,188;1;1;0
"créer";1;0,52;0;1;0,619;0,962;1;0,037;1
"nouveau";1;0,844;0;1;1;0,489;0,208;1;1
"répondre";1;1;1;1;1;0;1;0;1
"chercher";1;1;0,003;1;1;0,518;0,098;0;1
"normal";1;1;0,011;1;0,92;1;0;0,123;1
"maison";0;1;0,01;0,688;0,863;1;0;1;1
"emji_visage_souriant_avec_yeux_rieurs";1;1;1;1;1;1;1;1;0
"façon";1;1;1;1;1;1;0;0,071;1
"seulement";0,506;0,381;0;0,383;1;1;1;0,021;1
"retrouver";1;1;0,132;1;1;1;1;0,011;0,515
"blanc";1;1;1;1;0;1;0,002;0;1
"article";1;0,496;0,899;1;1;0;1;1;1
"accent";1;1;1;1;1;1;1;1;0
"acheter";0,219;1;0;0,945;1;1;1;1;1
"rapport";1;0,85;0,715;1;1;0,005;1;0;1
"jeu";1;1;1;1;1;1;1;1;0
"essayer";1;1;1;1;1;0,519;0;0,795;1
"réponse";1;1;1;1;1;0;1;0,026;1
"propre";0;1;0,318;1;1;1;0,044;0;1
"manifester";1;0;1;1;1;1;1;1;1
"gaza";1;0;1;1;1;1;1;1;1
"mauvais";1;1;1;0,001;1;1;0;0;1
"armée";1;0;1;1;1;1;1;0,003;1
"soutenir";1;0;1;1;1;1;1;0,004;1
"préférer";0,442;1;1;0,047;0,881;1;0;0,013;1
"poser";0,692;1;1;0,149;1;1;1;0;1
"respecter";1;0;0,055;0,128;0,796;1;0,355;1;1
"rappeler";1;0,047;1;1;1;1;1;1;0
"justement";1;1;1;1;1;1;1;0;1
"eau";0;1;0;1;1;1;1;1;1
"voiture";1;1;0;1;1;1;1;1;1
"service";1;1;0;0,784;1;1;1;0;1
"santé";1;1;0;0,369;1;1;1;1;1
"écouter";1;1;1;1;1;0;1;0,747;0,011
"garder";1;1;0,095;0;1;1;0;0,312;1
"journée";0;1;1;1;1;0,006;0;1;1
"sembler";1;0,929;0,554;1;1;1;1;0;1
"mois";1;1;0;1;1;1;1;1;1
"défendre";1;0;1;1;1;1;1;0;1
"réalité";1;1;0,867;1;1;1;1;0;1
"valoir";1;1;0;1;1;1;1;1;1
"exactement";1;1;1;1;1;0;0;0;1
"ami";1;1;1;0,699;1;0,849;0;1;1
"heureux";1;1;1;0,501;1;1;0;1;0
"fou";1;1;1;1;1;0,938;0,001;0;1
"terre";1;0;0,536;0,95;1;1;0,329;0,598;1
"plaisir";1;1;1;0,513;1;1;1;1;0
"agir";1;0;0;1;1;1;1;0;1
"coeur";1;1;1;0,071;1;1;1;1;0
"air";1;1;1;1;1;1;0;1;0,654
"reportage";0,572;1;1;1;1;1;1;1;0
"possible";1;1;0;1;1;0,951;0,329;0,716;1
"manière";1;1;0,978;1;1;0,996;1;0;1
"foutre";1;0,002;1;0,99;1;0,541;0;1;1
"ouvrir";1;0,87;0,337;1;1;0,022;0;0;1
"mdr";0,873;1;1;1;0,673;0;1;1;1
"expliquer";0,873;0,597;0,179;1;0,673;1;0,62;0;1
"truc";0,004;1;0,574;1;0,378;1;0;1;1
"gagner";1;1;0;1;1;1;1;1;1
"incroyable";1;1;1;1;1;1;1;1;0
"bidet";0;1;1;1;1;1;1;1;1
"europe";0,49;0;0;1;1;1;1;1;1
"oeil";1;0,362;1;1;1;1;0;0,35;1
"génération";1;1;1;1;1;1;0;1;1
"canton";1;1;0;1;1;1;1;1;1
"trump";1;0;0,422;1;1;0,994;1;1;1
"protéger";1;0;0,006;0,848;1;1;0,606;0;1
"interdire";1;0,199;0;0;1;1;1;1;1
"gouvernement";1;0;1;1;1;1;1;1;1
"bas";1;1;0;1;1;1;1;1;1
"situation";1;0;1;1;1;1;0;0;1
"couper";1;1;0;1;1;1;1;1;1
"israélien";1;0;1;1;1;1;1;1;1
"honte";1;0,003;1;0,19;1;1;0;0,031;1
"heureusement";0,239;1;1;1;1;1;0;1;1
"avis";1;1;1;1;1;0,55;0;0;1
"liberté";1;0,08;1;1;1;1;1;0;1
"père";1;1;1;1;1;1;1;0,277;0
"génocide";1;0;1;1;1;1;1;1;1
"âge";1;1;1;1;1;1;0;0,827;1
"mec";1;1;1;1;0,002;0,019;0;0,148;1
"imaginer";0,083;1;0;1;1;1;0;1;1
"cours";1;1;1;1;1;1;0;1;1
"choix";1;1;0;1;1;1;0,312;0;1
"absolument";1;1;1;1;1;1;0,029;0;1
"reconnaître";1;0;1;1;1;1;1;0,468;1
"assurance";1;1;0;1;1;1;1;1;1
"également";1;0,197;0;1;1;1;1;0,158;1
"langue";1;1;1;1;0,15;0;1;1;1
"peur";1;1;1;0,262;1;1;0;0;1
"équipe";1;1;0;1;1;1;1;1;1
"terme";1;0,019;1;1;0;1;1;0;1
"rue";1;0;0,335;0,941;1;1;0;1;1
"rire";1;1;1;1;0,473;1;1;1;0
"mère";0,341;1;1;1;1;1;0,001;0,088;0
"aide";1;0;0,003;1;1;1;0,004;0,806;1
"emji_visage_souriant_aux_yeux_rieurs";0,989;1;1;1;1;1;1;1;0
"hiver";1;1;1;1;1;1;1;1;0
"otage";1;0;1;1;1;1;1;1;1
"solution";0,301;0,119;0;1;1;1;1;0,73;1
"important";1;1;0,025;1;1;1;0,001;0;1
"chance";1;1;0;1;1;1;0,131;1;0,362
"emji_pouce_vers_le_haut";1;1;1;1;1;1;1;1;0
"recevoir";1;1;0;1;1;0,908;0,105;1;1
"base";0,317;1;0;1;0,82;0,041;1;0;1
"main";0;0,22;0,004;1;1;0,824;0,008;1;1
"haut";1;1;0;1;1;0,012;0,751;0,991;1
"occuper";1;0;0,007;1;1;1;0;1;1
"image";1;0,194;1;1;0,066;0;0,044;1;1
"extrême";1;0,019;1;1;1;0;1;0,279;1
"début";1;1;1;1;1;0;1;1;1
"suivre";1;0,161;1;1;1;0,72;0;0,145;1
"faute";1;1;1;1;1;0;0,457;0;1
"argument";1;1;1;1;1;0;1;0;1
"naître";1;1;1;1;0;1;0;1;1
"étude";1;1;0;1;1;1;1;0;1
"tomber";1;1;0,584;0,487;0,743;1;0;0,064;1
"justice";1;0;1;1;1;1;1;0,701;1
"effet";1;1;0;1;0,153;1;1;0;1
"augmenter";1;1;0;1;1;1;1;1;1
"archive";1;1;1;1;1;1;1;1;0
"long";1;1;0,815;1;1;1;0;0;1
"étranger";1;1;0;1;1;0,002;1;0,485;1
"contraire";1;0,562;1;1;1;1;1;0;1
"sécurité";1;0,001;0;1;1;1;1;1;1
"semaine";1;1;0;1;1;0,174;0,001;1;1
"maladie";1;1;0;0,678;1;1;1;1;1
"facile";0,257;1;0,471;1;1;0,567;0;0;1
"emji_visage_avec_des_étoiles_à_la_place_des_yeux";1;1;1;1;1;1;1;1;0
"policier";1;0;1;1;1;1;0;0;1
"journaliste";1;0;1;1;1;0;0,902;0,036;1
"raciste";1;1;1;1;0;0;0,33;0;1
"nourrir";1;1;1;0;1;1;1;1;1
"partager";1;1;1;1;1;1;1;0,001;0
"lausanne";1;1;0;1;1;1;1;1;1
"dur";1;1;0,072;1;1;1;0;1;1
"mode";0,451;1;1;1;1;1;0;0;1
"envie";1;1;1;1;1;1;0;1;1
"choisir";1;1;1;1;0,328;1;0,423;0;1
"actuel";1;1;0,005;1;1;1;0,001;0;1
"frontalier";1;1;0;1;1;1;1;1;1
"emji_visage_boudeur";1;0;1;0;0,976;1;1;1;1
"nombre";1;0,089;0;0,177;1;1;1;1;1
"mériter";1;0,181;0,004;1;1;1;0;1;1
"différence";1;1;0;1;1;1;1;0;1
"train";1;1;0;1;1;1;1;1;1
"groupe";1;0;1;1;0,004;1;1;0,031;1
"clairement";1;0,475;1;1;1;1;0,164;0;1
"éviter";1;1;0;0,362;0,638;1;0,599;0,006;1
"ancien";1;1;1;1;0,308;0;0,002;1;1
"suffire";0,456;1;0;1;1;0;0;1;1
"peine";1;0,53;1;1;1;0,146;0;1;1
"risque";1;1;0;0,07;1;1;1;0,001;1
"franchement";0,814;1;1;0,9;0,638;0,05;0;1;1
"bref";0,814;1;0,44;1;0,638;0,011;0;0,155;1
"majorité";1;0,042;0;1;1;1;1;0;1
"effectivement";1;1;0,762;1;1;1;0,001;0;1
"traiter";1;0;1;0,56;0,606;0,344;1;0;1
"meme";0,374;1;1;1;0,564;0,054;0;1;1
"laver";0;1;1;1;1;1;1;1;1
"génial";0,785;1;1;1;1;1;1;1;0
"face";1;0;1;1;1;1;1;0;1
"battre";1;1;1;1;0;1;1;0;1
"noir";1;1;1;1;0;1;1;1;1
"intéressant";1;1;1;1;1;0,898;1;0;1
"caisse";1;1;0;1;1;1;1;1;1
"baisser";1;1;0;1;1;1;1;1;1
"amour";1;1;1;0,79;1;1;0,111;0,049;0
"propos";1;1;1;1;0,612;0;1;0;1
"nouvelle";1;1;1;1;1;0,777;0;1;1
"nature";1;1;1;0;1;1;0;0,015;1
"renard";1;1;1;0;1;1;1;1;1
"remettre";1;1;1;1;1;1;1;0;1
"victime";1;0;1;1;0,251;1;0,162;0;1
"toucher";1;1;0;1;1;1;1;0,281;1
"tenir";1;0,082;1;0,007;1;1;0,755;0;1
"info";1;0,017;1;1;0,02;0;1;1;1
"plaindre";1;1;0,489;0,782;1;1;0;0,944;1
"détruire";1;0;0,029;0,002;1;1;0,333;0,156;1
"civil";1;0;1;1;1;1;1;1;1
"éducation";1;1;1;1;1;1;0;0,001;1
"international";1;0;1;1;1;1;1;1;1
"voter";1;1;0;1;0,527;0,001;1;0,549;1
"feu";1;0;1;1;1;1;1;1;1
"dimanche";1;1;0,366;1;1;1;0,001;1;0,002
"complètement";1;0,274;1;0,782;1;1;0,023;0;1
"valeur";1;0,799;0,9;1;1;1;1;0;1
"réseau";1;0,969;1;1;1;0;0;0,027;1
"terroriste";1;0;1;1;1;1;1;1;1
"souhaiter";1;1;1;1;1;1;0;0;1
"joli";1;1;1;1;1;1;1;1;0
"intérêt";1;0;0,091;1;1;0,102;0,523;0;1
"exprimer";1;1;1;1;1;1;0;0;1
"marcher";1;0,752;0,407;1;0,018;1;0;1;1
"accepter";1;0,097;0,002;1;0,966;1;0,876;0;1
"égalité";1;1;1;1;1;1;1;0;1
"porter";1;1;1;1;1;1;0;0,088;1
"métier";1;1;1;1;1;1;0;0;1
"corps";0;0,005;1;1;1;1;0;0;1
"difficile";0,674;1;1;1;1;1;0;0;1
"porte";1;1;1;0,718;1;1;0;0,952;1
"pied";0;1;0,257;0,934;0,881;1;0,144;1;1
"humanité";1;0;1;1;1;1;0,003;0,004;1
"type";1;1;0,559;1;0,014;0,159;1;0;1
"vérité";1;1;1;1;1;0,425;0,011;0;1
"profiter";1;1;0;1;1;1;0,956;1;1
"preuve";1;0,301;1;1;0,904;0,569;1;0;1
"source";1;0,206;0,021;1;1;0;1;0,019;1
"courage";1;0,745;1;1;1;1;0,108;0,672;0
"route";1;1;0;1;1;1;1;1;1
"logique";1;0,885;0,017;1;1;1;1;0;1
"envoyer";1;0,041;0,819;0,098;1;0;0,484;1;1
"offrir";1;1;0;1;1;1;1;1;1
"libre";1;0,404;1;1;1;1;1;0;1
"gars";1;1;1;0,183;0,05;0;0,009;1;1
"voler";1;0;0;1;1;1;0,333;1;1
"suite";1;0,061;0,652;1;1;1;0;1;1
"franc";1;1;0;1;1;1;1;1;1
"culture";1;1;1;1;0;0,762;1;0;1
"sûrement";1;1;1;1;1;1;0;1;1
"totalement";1;1;0,832;1;1;0,328;1;0;1
"touchant";1;1;1;1;1;1;1;1;0
"initiative";1;1;0;1;1;1;1;0,012;1
"but";1;0;0;1;1;0,306;1;0,032;1
"représenter";1;0,012;0;1;1;1;1;0,217;1
"réfléchir";1;1;1;1;1;0,013;0;0,125;1
"casser";1;0;0,515;1;0,161;1;0,035;1;1
"pratique";0;1;0,143;0,825;1;1;1;0,366;1
"concerner";1;1;0;1;0,146;1;0,374;0;1
"toilette";0;1;1;1;1;1;1;1;1
"vendre";1;0,501;0;1;1;1;1;1;1
"noël";1;1;1;1;1;1;1;1;0
"haine";1;0;1;1;1;0,079;0,691;0;1
"mourir";1;0,823;1;0;0,756;1;0;0,626;1
"arme";1;0;1;1;1;1;1;0,486;1
"allemand";1;1;1;1;0,682;0;1;1;1
"réel";1;1;0,096;1;1;1;1;0;1
"européen";1;0;0;1;1;0,975;1;1;1
"obliger";1;1;0,062;0,808;1;1;0;0;1
"discours";1;1;1;1;1;0,028;1;0;1
"uniquement";1;0,038;0;0,842;1;1;0,546;0,007;1
"rentrer";0,509;0,909;0,899;0,799;1;1;0;1;1
"garçon";1;1;1;1;1;1;0,041;1;0
"grave";1;0,034;1;1;0,384;1;0,058;0;1
"excellent";1;1;1;1;1;1;1;1;0
"voisin";1;1;1;0;0,032;1;0,98;1;1
"racisme";1;1;1;1;0;0,012;1;0;1
"information";1;0;1;1;1;0;1;0;1
"content";0,959;1;0,829;0,271;0,799;0,002;0,003;1;1
"taxe";1;1;0;1;1;1;1;1;1
"ultra";1;1;0;1;1;1;1;1;1
"résultat";1;1;0,001;1;1;1;0;0,001;1
"différent";0,915;1;1;1;1;1;0;0;1
"adulte";1;1;1;1;1;0,001;0;1;1
"média";1;0;1;1;1;0;1;0;1
"ia";1;1;0;1;1;0;1;1;1
"fonctionner";1;1;0;1;1;0,84;1;0,104;1
"citoyen";1;0,004;0;1;1;1;0,396;0,004;1
"bonheur";1;1;1;1;1;1;1;1;0
"poste";1;1;0;1;0,018;0,051;1;1;1
"drôle";1;1;1;1;1;0;1;1;0,012
"cadeau";1;1;0;1;1;1;1;1;1
"empêcher";1;0,141;0,454;1;0,738;1;0,013;0;1
"doute";1;1;1;0,747;1;0,879;1;0;1
"sérieux";0,908;1;1;1;1;0;1;0,763;1
"crime";1;0;1;1;1;1;1;1;1
"qualité";1;1;0;1;1;1;1;1;1
"fermer";0,902;0,789;0;1;1;1;0;1;1
"minimum";1;1;0;1;1;0,46;1;0;1
"clair";1;0,245;1;1;0,114;1;0,011;0;1
"sport";0,843;1;1;1;1;1;0;1;1
"prochain";1;1;1;1;1;0;1;1;1
"enfance";1;1;1;1;1;1;1;1;0
"taxer";1;1;0;1;1;1;1;1;1
"israel";1;0;1;1;1;1;1;1;1
"froid";0,427;1;1;1;1;1;1;1;0
"manifestant";1;0;1;1;1;1;1;1;1
"chiffre";1;1;0;1;1;1;1;0,344;1
"évidemment";0,883;1;0,322;1;1;1;0,71;0;1
"livre";1;1;1;1;0,084;0;1;0,689;1
"tourner";1;1;0;1;0,707;1;1;1;1
"physique";1;1;0;1;1;1;1;0;1
"fond";1;1;0,988;1;0,695;0,208;1;0;1
"voix";1;1;1;1;1;1;1;1;0
"règle";0;1;0,71;1;1;1;0;0;1
"mignon";1;1;1;0,028;1;1;1;1;0
"sauver";1;1;0;0,338;1;1;0,005;0,256;1
"lol";0,405;1;1;0,643;1;0;1;1;1
"habiter";0,15;1;0;0,651;1;0,274;1;1;1
"perso";0,007;1;0,006;1;0,002;0,465;0;0,986;1
"naturel";1;1;1;0;1;1;1;0;0,01
"mondial";1;0,17;0;1;1;1;1;1;1
"gentil";1;1;1;0;1;1;1;0,158;0
"entier";0,427;0,035;1;1;1;0,035;0;1;1
"produit";1;1;0;1;0,581;1;1;1;1
"économie";1;1;0;1;1;1;1;1;1
"top";0,36;1;1;1;0,626;1;1;1;0
"subir";1;0;1;1;1;1;0,161;0;1
"esprit";1;1;1;1;1;1;0;0;1
"revoir";1;1;1;1;1;1;1;1;0
"milliard";1;1;0;1;1;1;1;1;1
"juif";1;0;1;1;1;1;1;1;1
"cacher";1;0;0,794;1;1;0,83;1;0,017;1
"photo";1;1;1;1;1;0;1;1;1
"blague";1;0,27;1;0;1;1;1;1;1
"produire";1;1;0;1;1;1;1;1;1
"fortune";1;1;0;1;1;1;1;1;1
"étonner";1;1;0,003;0,23;0,857;1;0;1;1
"moyenne";1;1;0;1;1;1;1;1;1
"bout";1;1;1;1;1;0,016;0;1;1
"bcp";0,111;0,418;0,198;1;1;1;0;0,162;1
"économique";1;0,773;0;1;1;1;1;1;1
"svp";1;1;1;1;1;0;1;1;1
"emji_visage_retenant_ses_larmes";1;1;1;1;1;1;1;1;0
"cest";0,083;1;1;1;0,53;0,006;0;0,201;1
"soir";0,36;1;0,665;0;1;1;0,026;1;1
"prouver";1;0,055;1;1;1;1;1;0;1
"national";1;1;0;1;1;0;1;1;1
