"";"X.rts_a";"X.rts_i"
"nom_sup";42,0241;-42,0241
"ver";-145,6416;145,6416
"pro_per";164,1647;-164,1647
"pro_dem";39,1635;-39,1635
"nom";52,4808;-52,4808
"nr";100,9452;-100,9452
"pre";-161,2792;161,2792
"con";-45,7209;45,7209
"art_def";-52,6484;52,6484
"adj_ind";-24,5052;24,5052
"aux";84,9635;-84,9635
"adv_sup";1,2013;-1,2013
"num";-3,4094;3,4094
"ver_sup";-11,5896;11,5896
"adj";1,3359;-1,3359
"pro_ind";-2,6324;2,6324
"adj_dem";34,2484;-34,2484
"adv";-17,0614;17,0614
"adj_int";46,539;-46,539
"art_ind";-53,5186;53,5186
"ono";108,4192;-108,4192
"adj_pos";37,4781;-37,4781
"pro_rel";-88,8952;88,8952
"adj_sup";-4,2336;4,2336
"adj_num";2,9028;-2,9028
"pro_pos";1,8482;-1,8482
