"";"X.rts_a";"X.rts_i"
"nom_sup";23,38;20,12
"ver";80,78;92,64
"pro_per";81,57;69,76
"pro_dem";32,21;28,52
"nom";183,11;173,52
"nr";44,23;37,33
"pre";97,12;110,66
"con";48,57;53,72
"art_def";79,57;86,5
"adj_ind";3,71;4,81
"aux";63,94;56,33
"adv_sup";64,45;63,83
"num";8,71;9,23
"ver_sup";22,43;24,14
"adj";52,9;52,29
"pro_ind";15,52;16,09
"adj_dem";5,62;4,22
"adv";10,93;12,43
"adj_int";2,25;1,27
"art_ind";29,19;33,61
"ono";12,31;8,64
"adj_pos";13,01;10,73
"pro_rel";21,71;26,76
"adj_sup";1,48;1,73
"adj_num";1,11;0,95
"pro_pos";0,2;0,15
