"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,406712110943989;16,245715347392;16,245715347392
"facteur 2";0,319519720190351;12,7629010359262;29,0086163833182
"facteur 3";0,265830478782184;10,6183370810687;39,6269534643869
"facteur 4";0,249926240717778;9,98305793038936;49,6100113947763
"facteur 5";0,221232054976269;8,83689689623726;58,4469082910135
"facteur 6";0,191914423607119;7,66583293952962;66,1127412305431
"facteur 7";0,184452676412206;7,36778078504278;73,4805220155859
"facteur 8";0,153799241274941;6,14335946032757;79,6238814759135
"facteur 9";0,136694400608739;5,46012341928456;85,084004895198
"facteur 10";0,127636534811091;5,09831587669156;90,1823207718896
"facteur 11";0,124872875843967;4,98792423678448;95,1702450086741
"facteur 12";0,12091310267724;4,82975499132591;100
