"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"13";"***";"";""
"**";"classe";"1";"**";"";""
"****";"456";"5401";"8.44";"****";""
"  6";" 785";"0.76";"-70.057";"emji_main_qui_écrit";"5.760534e-17"
"  3";" 567";"0.53";"-51.326";"emji_appareil_photo";"7.824025e-13"
"  2";" 493";"0.41";"-45.336";"keystone";"1.659678e-11"
"  3";" 408";"0.74";"-33.918";"info";"5.749224e-09"
"  3";" 364";"0.82";"-29.308";"rtsinfo";"6.174678e-08"
" 14";" 558";"2.51";"-28.346";"rts";"1.014468e-07"
"  1";" 190";"0.53";"-15.966";"ats";"6.448865e-05"
"  0";" 156";"0.00";"-14.813";"emji_chaînons";"1.186954e-04"
"  2";" 189";"1.06";"-13.817";"bio";"2.015102e-04"
"  3";" 199";"1.51";"-12.856";"lien";"3.363766e-04"
"  3";" 193";"1.55";"-12.286";"emji_appareil_photo_avec_flash";"4.562746e-04"
"  0";" 124";"0.00";"-11.703";"fédéral";"6.239028e-04"
"  1";" 143";"0.70";"-11.394";"afp";"7.366688e-04"
"  0";" 117";"0.00";"-11.028";"viser";"8.974713e-04"
"  0";" 115";"0.00";"-10.835";"projet";"9.957987e-04"
"  0";" 110";"0.00";"-10.354";"cliquer";"1.291619e-03"
"  1";" 128";"0.78";" -9.956";"enfant";"1.603237e-03"
"  2";" 145";"1.38";" -9.617";"souligner";"1.927542e-03"
"  2";" 143";"1.40";" -9.429";"conseil";"2.135444e-03"
"  4";" 175";"2.29";" -8.870";"jeune";"2.899009e-03"
"  0";"  94";"0.00";" -8.822";"photo";"2.976719e-03"
"  1";" 115";"0.87";" -8.718";"émission";"3.150234e-03"
"  0";"  87";"0.00";" -8.154";"police";"4.296641e-03"
"  1";" 109";"0.92";" -8.150";"emji_caméscope";"4.305877e-03"
"  0";"  84";"0.00";" -7.868";"sécurité";"5.030669e-03"
"  0";"  83";"0.00";" -7.773";"étude";"5.302564e-03"
"  2";" 124";"1.61";" -7.659";"canton";"5.649395e-03"
"  0";"  81";"0.00";" -7.583";"trump";"5.891841e-03"
"  3";" 141";"2.13";" -7.470";"vie";"6.274675e-03"
"  0";"  78";"0.00";" -7.298";"situation";"6.902689e-03"
"  0";"  78";"0.00";" -7.298";"population";"6.902689e-03"
"  2";" 119";"1.68";" -7.198";"président";"7.298133e-03"
"  4";" 153";"2.61";" -6.920";"public";"8.523942e-03"
"  0";"  74";"0.00";" -6.919";"enquête";"8.530106e-03"
"  0";"  74";"0.00";" -6.919";"christian";"8.530106e-03"
"  0";"  72";"0.00";" -6.729";"gaza";"9.485037e-03"
"  1";"  93";"1.08";" -6.645";"révéler";"9.943281e-03"
"  0";"  69";"0.00";" -6.445";"animal";"1.112569e-02"
" 22";" 426";"5.16";" -6.431";"?";"1.121490e-02"
"  2";" 109";"1.83";" -6.284";"franc";"1.218284e-02"
"  0";"  66";"0.00";" -6.161";"gouvernement";"1.305649e-02"
"  0";"  66";"0.00";" -6.161";"cours";"1.305649e-02"
"  0";"  66";"0.00";" -6.161";"donald";"1.305649e-02"
"  1";"  87";"1.15";" -6.085";"service";"1.363395e-02"
"  0";"  65";"0.00";" -6.067";"christophe";"1.377348e-02"
"  0";"  64";"0.00";" -5.972";"soutenir";"1.453074e-02"
"  0";"  64";"0.00";" -5.972";"ministre";"1.453074e-02"
"  0";"  62";"0.00";" -5.784";"armée";"1.617561e-02"
"  0";"  62";"0.00";" -5.784";"autorité";"1.617561e-02"
"  0";"  60";"0.00";" -5.595";"beutler";"1.801164e-02"
"  0";"  60";"0.00";" -5.595";"bally";"1.801164e-02"
"  2";" 101";"1.98";" -5.561";"près_de";"1.836362e-02"
"  2";" 101";"1.98";" -5.561";"jean";"1.836362e-02"
"  0";"  59";"0.00";" -5.501";"gaetan";"1.900846e-02"
"  2";"  99";"2.02";" -5.382";"travail";"2.034907e-02"
"  0";"  57";"0.00";" -5.312";"etat";"2.117560e-02"
"  0";"  57";"0.00";" -5.312";"emji_caméra";"2.117560e-02"
"  2";"  98";"2.04";" -5.292";"offrir";"2.142119e-02"
"  2";"  98";"2.04";" -5.292";"social";"2.142119e-02"
"  0";"  56";"0.00";" -5.218";"école";"2.235286e-02"
"  0";"  56";"0.00";" -5.218";"accord";"2.235286e-02"
"  0";"  56";"0.00";" -5.218";"bott";"2.235286e-02"
"  0";"  55";"0.00";" -5.124";"importance";"2.359759e-02"
"  6";" 165";"3.64";" -5.087";"emji_main_avec_index_pointant_à_droite";"2.410993e-02"
"  0";"  54";"0.00";" -5.030";"plan";"2.491385e-02"
"  0";"  54";"0.00";" -5.030";"affaire";"2.491385e-02"
"  1";"  75";"1.33";" -4.973";"cas";"2.574306e-02"
"  0";"  53";"0.00";" -4.936";"israélien";"2.630595e-02"
"  0";"  53";"0.00";" -4.936";"utiliser";"2.630595e-02"
"  0";"  53";"0.00";" -4.936";"conseiller";"2.630595e-02"
"  2";"  93";"2.15";" -4.847";"demander";"2.769511e-02"
"  0";"  52";"0.00";" -4.842";"attaque";"2.777849e-02"
"  0";"  52";"0.00";" -4.842";"partager";"2.777849e-02"
"  0";"  51";"0.00";" -4.748";"laurent";"2.933639e-02"
"  3";" 110";"2.73";" -4.745";"partir";"2.937702e-02"
"  2";"  91";"2.20";" -4.670";"politique";"3.069446e-02"
"  0";"  50";"0.00";" -4.654";"renforcer";"3.098487e-02"
"  0";"  50";"0.00";" -4.654";"directeur";"3.098487e-02"
"  0";"  50";"0.00";" -4.654";"dénoncer";"3.098487e-02"
"  4";" 126";"3.17";" -4.632";"prévoir";"3.137935e-02"
"  0";"  49";"0.00";" -4.560";"réduire";"3.272951e-02"
"  0";"  49";"0.00";" -4.560";"entreprise";"3.272951e-02"
"  0";"  49";"0.00";" -4.560";"michael";"3.272951e-02"
"  1";"  70";"1.43";" -4.514";"journée";"3.362077e-02"
"  0";"  48";"0.00";" -4.466";"eau";"3.457626e-02"
"  0";"  48";"0.00";" -4.466";"système";"3.457626e-02"
"  2";"  88";"2.27";" -4.406";"initiative";"3.581662e-02"
"  6";" 156";"3.85";" -4.391";"nouveau";"3.612815e-02"
"  0";"  47";"0.00";" -4.372";"manifestation";"3.653148e-02"
"  0";"  47";"0.00";" -4.372";"impact";"3.653148e-02"
"  1";"  68";"1.47";" -4.331";"famille";"3.742606e-02"
"  2";"  87";"2.30";" -4.318";"nombreux";"3.770832e-02"
"  0";"  46";"0.00";" -4.278";"aide";"3.860197e-02"
"  0";"  45";"0.00";" -4.185";"marché";"4.079499e-02"
"  0";"  45";"0.00";" -4.185";"expérience";"4.079499e-02"
"  0";"  45";"0.00";" -4.185";"majorité";"4.079499e-02"
