"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"2";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"3";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"4";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"5";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"6";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"7";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"8";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"9";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"10";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"11";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"12";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"13";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"14";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"15";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"16";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"17";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"18";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"19";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"20";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"21";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"22";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"23";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"24";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"25";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"26";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"27";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"28";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"29";3;4;6;6;6;12;14;17;17;17;17;17;17;28;28;28;28;28;28
"30";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"31";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"32";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"33";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"34";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"35";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"36";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"37";3;4;6;6;6;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"38";3;4;6;6;6;13;13;13;13;13;13;13;13;13;13;13;13;13;13
"39";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"40";3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"41";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"42";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"43";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"44";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"45";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"46";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"47";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"48";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"49";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"50";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"51";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"52";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"53";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"54";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;34;34;34
"55";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"56";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"57";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"58";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"59";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"60";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"61";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"62";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"63";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"64";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"65";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"66";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"67";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"68";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"69";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"70";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"71";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"72";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"73";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"74";3;4;7;8;11;11;11;11;19;21;23;23;23;23;23;23;23;23;23
"75";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"76";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"77";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"78";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"79";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"80";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"81";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"82";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"83";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"84";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"85";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"86";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"87";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"88";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"89";3;4;6;6;6;12;14;16;16;16;16;16;16;16;16;16;16;16;16
"90";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"91";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"92";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"93";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"94";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"95";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"96";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"97";3;4;6;6;6;12;14;16;16;16;16;16;16;16;16;16;16;16;16
"98";3;4;7;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"99";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"100";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"101";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"102";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"103";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"104";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"105";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"106";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"107";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"108";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"109";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"110";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"111";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"112";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"113";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"114";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"115";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;33;33;33;33
"116";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"117";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"118";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"119";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"120";3;4;7;8;11;11;11;11;19;21;22;25;27;27;27;27;27;27;27
"121";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;36;36
"122";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"123";3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"124";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
"125";3;4;7;8;11;11;11;11;19;21;22;25;26;26;30;32;35;37;37
