"";"V1"
"1";4
"2";3
"3";3
"4";3
"5";3
"6";13
"7";3
"8";4
"9";10
"10";10
"11";0
"12";0
"13";13
"14";13
"15";13
"16";13
"17";13
"18";13
"19";9
"20";3
"21";10
"22";1
"23";1
"24";1
"25";10
"26";3
"27";4
"28";13
"29";3
"30";3
"31";3
"32";3
"33";3
"34";0
"35";4
"36";10
"37";3
"38";5
"39";3
"40";1
"41";1
"42";0
"43";1
"44";7
"45";1
"46";1
"47";1
"48";10
"49";11
"50";11
"51";3
"52";0
"53";3
"54";6
"55";3
"56";3
"57";1
"58";1
"59";1
"60";1
"61";13
"62";10
"63";9
"64";13
"65";13
"66";4
"67";4
"68";0
"69";10
"70";13
"71";1
"72";7
"73";1
"74";1
"75";9
"76";4
"77";4
"78";3
"79";4
"80";4
"81";0
"82";3
"83";0
"84";0
"85";3
"86";4
"87";0
"88";10
"89";3
"90";3
"91";3
"92";4
"93";3
"94";0
"95";3
"96";10
"97";3
"98";0
"99";6
"100";4
"101";0
"102";11
"103";2
"104";4
"105";10
"106";3
"107";4
"108";0
"109";11
"110";7
"111";1
"112";1
"113";6
"114";13
"115";0
"116";5
"117";5
"118";4
"119";3
"120";4
"121";13
"122";0
"123";13
"124";10
"125";6
"126";0
"127";13
"128";1
"129";3
"130";1
"131";4
"132";12
"133";10
"134";0
"135";10
"136";4
"137";13
"138";4
"139";4
"140";0
"141";4
"142";10
"143";3
"144";0
"145";13
"146";3
"147";0
"148";10
"149";3
"150";0
"151";3
"152";4
"153";4
"154";0
"155";4
"156";3
"157";4
"158";10
"159";3
"160";3
"161";0
"162";10
"163";3
"164";10
"165";3
"166";4
"167";4
"168";4
"169";0
"170";3
"171";4
"172";10
"173";3
"174";4
"175";0
"176";4
"177";4
"178";4
"179";3
"180";4
"181";10
"182";3
"183";3
"184";3
"185";3
"186";4
"187";3
"188";3
"189";3
"190";3
"191";1
"192";1
"193";3
"194";1
"195";1
"196";1
"197";3
"198";3
"199";3
"200";4
"201";0
"202";4
"203";10
"204";3
"205";4
"206";4
"207";6
"208";13
"209";3
"210";1
"211";1
"212";4
"213";3
"214";3
"215";0
"216";4
"217";3
"218";13
"219";1
"220";13
"221";13
"222";3
"223";0
"224";3
"225";3
"226";0
"227";6
"228";4
"229";0
"230";3
"231";3
"232";13
"233";3
"234";5
"235";4
"236";3
"237";0
"238";0
"239";3
"240";3
"241";4
"242";3
"243";4
"244";8
"245";5
"246";13
"247";13
"248";1
"249";1
"250";10
"251";3
"252";3
"253";3
"254";3
"255";3
"256";0
"257";13
"258";13
"259";4
"260";3
"261";4
"262";1
"263";4
"264";4
"265";4
"266";3
"267";3
"268";3
"269";3
"270";0
"271";3
"272";6
"273";13
"274";13
"275";3
"276";13
"277";3
"278";3
"279";4
"280";13
"281";13
"282";3
"283";0
"284";3
"285";13
"286";0
"287";0
"288";4
"289";3
"290";1
"291";3
"292";4
"293";3
"294";4
"295";3
"296";4
"297";13
"298";3
"299";5
"300";5
"301";4
"302";3
"303";4
"304";4
"305";3
"306";13
"307";3
"308";3
"309";3
"310";3
"311";6
"312";3
"313";13
"314";0
"315";4
"316";13
"317";13
"318";13
"319";13
"320";3
"321";4
"322";13
"323";4
"324";3
"325";4
"326";3
"327";3
"328";4
"329";3
"330";0
"331";13
"332";13
"333";4
"334";3
"335";3
"336";13
"337";13
"338";6
"339";0
"340";4
"341";3
"342";4
"343";3
"344";3
"345";0
"346";3
"347";1
"348";3
"349";4
"350";1
"351";1
"352";3
"353";11
"354";1
"355";1
"356";3
"357";6
"358";9
"359";3
"360";3
"361";4
"362";3
"363";13
"364";0
"365";0
"366";3
"367";3
"368";3
"369";3
"370";4
"371";3
"372";3
"373";3
"374";0
"375";4
"376";1
"377";4
"378";3
"379";3
"380";13
"381";4
"382";3
"383";4
"384";3
"385";0
"386";3
"387";0
"388";13
"389";6
"390";3
"391";3
"392";4
"393";3
"394";3
"395";13
"396";4
"397";0
"398";0
"399";13
"400";0
"401";0
"402";3
"403";3
"404";3
"405";4
"406";0
"407";0
"408";4
"409";3
"410";13
"411";13
"412";3
"413";3
"414";0
"415";3
"416";13
"417";7
"418";13
"419";3
"420";0
"421";4
"422";3
"423";0
"424";3
"425";1
"426";0
"427";5
"428";3
"429";3
"430";13
"431";13
"432";12
"433";4
"434";0
"435";13
"436";10
"437";3
"438";3
"439";3
"440";6
"441";0
"442";3
"443";4
"444";3
"445";3
"446";13
"447";13
"448";0
"449";4
"450";5
"451";6
"452";6
"453";3
"454";0
"455";13
"456";8
"457";4
"458";3
"459";4
"460";0
"461";0
"462";3
"463";0
"464";3
"465";3
"466";4
"467";0
"468";13
"469";1
"470";4
"471";0
"472";4
"473";3
"474";4
"475";0
"476";3
"477";13
"478";13
"479";3
"480";3
"481";1
"482";4
"483";4
"484";6
"485";4
"486";3
"487";4
"488";3
"489";0
"490";3
"491";3
"492";3
"493";3
"494";3
"495";13
"496";0
"497";13
"498";3
"499";1
"500";3
"501";3
"502";4
"503";13
"504";12
"505";4
"506";13
"507";0
"508";3
"509";8
"510";7
"511";0
"512";3
"513";4
"514";4
"515";5
"516";10
"517";0
"518";1
"519";3
"520";1
"521";1
"522";1
"523";3
"524";3
"525";4
"526";4
"527";2
"528";6
"529";7
"530";4
"531";10
"532";1
"533";3
"534";4
"535";7
"536";11
"537";10
"538";13
"539";3
"540";4
"541";3
"542";5
"543";3
"544";4
"545";3
"546";4
"547";4
"548";3
"549";4
"550";4
"551";3
"552";3
"553";3
"554";3
"555";4
"556";3
"557";13
"558";1
"559";4
"560";0
"561";1
"562";1
"563";13
"564";3
"565";0
"566";4
"567";4
"568";0
"569";4
"570";3
"571";4
"572";13
"573";4
"574";6
"575";6
"576";5
"577";10
"578";13
"579";3
"580";4
"581";6
"582";3
"583";3
"584";4
"585";4
"586";4
"587";3
"588";4
"589";3
"590";4
"591";3
"592";2
"593";3
"594";0
"595";4
"596";3
"597";4
"598";3
"599";3
"600";4
"601";4
"602";13
"603";10
"604";3
"605";4
"606";1
"607";13
"608";3
"609";4
"610";3
"611";3
"612";3
"613";13
"614";4
"615";13
"616";13
"617";3
"618";3
"619";0
"620";3
"621";13
"622";3
"623";0
"624";3
"625";5
"626";4
"627";0
"628";0
"629";3
"630";3
"631";3
"632";4
"633";8
"634";13
"635";4
"636";6
"637";4
"638";4
"639";0
"640";13
"641";3
"642";4
"643";13
"644";3
"645";3
"646";0
"647";3
"648";4
"649";4
"650";0
"651";13
"652";4
"653";3
"654";0
"655";0
"656";3
"657";0
"658";0
"659";3
"660";3
"661";3
"662";13
"663";0
"664";3
"665";3
"666";4
"667";3
"668";3
"669";4
"670";3
"671";13
"672";4
"673";4
"674";3
"675";0
"676";13
"677";0
"678";4
"679";0
"680";4
"681";0
"682";4
"683";3
"684";5
"685";13
"686";0
"687";0
"688";3
"689";13
"690";3
"691";10
"692";13
"693";4
"694";3
"695";3
"696";4
"697";3
"698";3
"699";0
"700";3
"701";13
"702";3
"703";3
"704";0
"705";13
"706";10
"707";4
"708";3
"709";5
"710";8
"711";0
"712";3
"713";8
"714";6
