"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"13";"***";"";""
"**";"classe";"1";"**";"";""
"****";"456";"5401";"8.44";"****";""
" 85";" 128";" 66.41";"652.62";"du monde";"6.020677e-144"
" 50";"  55";" 90.91";"561.28";"coupe du";"4.437406e-124"
" 50";"  55";" 90.91";"561.28";"coupe du monde";"4.437406e-124"
" 28";"  31";" 90.32";"311.87";"la coupe du";" 8.541755e-70"
" 28";"  31";" 90.32";"311.87";"la coupe du monde";" 8.541755e-70"
" 25";"  26";" 96.15";"299.63";"la nati";" 3.961418e-67"
" 30";"  37";" 81.08";"293.92";"la coupe";" 6.973635e-66"
" 37";"  59";" 62.71";"264.20";"l équipe";" 2.086096e-59"
" 17";"  18";" 94.44";"199.51";"en coupe";" 2.666732e-45"
" 17";"  18";" 94.44";"199.51";"en coupe du";" 2.666732e-45"
" 17";"  18";" 94.44";"199.51";"en coupe du monde";" 2.666732e-45"
" 20";"  25";" 80.00";"192.79";"la user_utilisateurice";" 7.821614e-44"
" 20";"  27";" 74.07";"175.62";"de l équipe";" 4.384474e-40"
" 13";"  13";"100.00";"163.06";"le mondial";" 2.422684e-37"
" 13";"  13";"100.00";"163.06";"super g";" 2.422684e-37"
" 13";"  13";"100.00";"163.06";"gut behrami";" 2.422684e-37"
" 12";"  12";"100.00";"150.52";"lara gut";" 1.334960e-34"
" 12";"  12";"100.00";"150.52";"lara gut behrami";" 1.334960e-34"
" 13";"  14";" 92.86";"149.57";"les joueurs";" 2.157048e-34"
" 11";"  11";"100.00";"137.97";"emji_ballon_de_football emji_drapeau_suisse";" 7.380292e-32"
" 11";"  11";"100.00";"137.97";"un match";" 7.380292e-32"
" 11";"  11";"100.00";"137.97";"de la nati";" 7.380292e-32"
" 13";"  15";" 86.67";"137.88";"équipe de suisse";" 7.748476e-32"
" 13";"  15";" 86.67";"137.88";"l équipe de suisse";" 7.748476e-32"
" 13";"  16";" 81.25";"127.66";"de football";" 1.331120e-29"
" 10";"  10";"100.00";"125.43";"l euro";" 4.096282e-29"
" 10";"  10";"100.00";"125.43";"victoire en";" 4.096282e-29"
" 11";"  12";" 91.67";"124.65";"coupe du monde .";" 6.067777e-29"
" 11";"  12";" 91.67";"124.65";"le match";" 6.067777e-29"
" 11";"  13";" 84.62";"113.39";"pour la coupe";" 1.773034e-26"
" 11";"  13";" 84.62";"113.39";"pour la coupe du";" 1.773034e-26"
" 11";"  13";" 84.62";"113.39";"pour la coupe du monde";" 1.773034e-26"
"  9";"   9";"100.00";"112.89";", les joueurs";" 2.284448e-26"
"  9";"   9";"100.00";"112.89";"la finale";" 2.284448e-26"
"  9";"   9";"100.00";"112.89";"marco odermatt";" 2.284448e-26"
"  9";"   9";"100.00";"112.89";"de l équipe de";" 2.284448e-26"
" 10";"  11";" 90.91";"112.22";"du football";" 3.201407e-26"
" 10";"  11";" 90.91";"112.22";"équipe nationale";" 3.201407e-26"
" 16";"  26";" 61.54";"111.51";"l équipe de";" 4.568819e-26"
" 16";"  27";" 59.26";"106.26";"a remporté";" 6.467010e-25"
"  8";"   8";"100.00";"100.34";"pour le mondial";" 1.281560e-23"
"  8";"   8";"100.00";"100.34";"les joueurs de";" 1.281560e-23"
"  8";"   8";"100.00";"100.34";"le score";" 1.281560e-23"
"  8";"   8";"100.00";"100.34";"cette saison";" 1.281560e-23"
"  8";"   8";"100.00";"100.34";"les supporters";" 1.281560e-23"
"  8";"   8";"100.00";"100.34";"la slovénie";" 1.281560e-23"
"  9";"  10";" 90.00";" 99.81";"l équipe nationale";" 1.680136e-23"
" 11";"  15";" 73.33";" 95.40";"la fifa";" 1.553656e-22"
" 16";"  30";" 53.33";" 92.63";"la saison";" 6.289243e-22"
"  9";"  11";" 81.82";" 89.12";"de la coupe";" 3.716929e-21"
"  9";"  11";" 81.82";" 89.12";"la suède";" 3.716929e-21"
" 11";"  16";" 68.75";" 88.11";", user_utilisateurice";" 6.191040e-21"
"  7";"   7";"100.00";" 87.80";"2 0";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";", les joueurs de";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";"finale de";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";"la descente";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";"6 3";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";"en coupe du monde .";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";"place du";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";"espagne ,";" 7.243474e-21"
"  7";"   7";"100.00";" 87.80";"mondial 2026";" 7.243474e-21"
"  8";"   9";" 88.89";" 87.43";"du monde en";" 8.751391e-21"
"  8";"   9";" 88.89";" 87.43";"match de";" 8.751391e-21"
"  8";"   9";" 88.89";" 87.43";"monde 2026";" 8.751391e-21"
"  8";"   9";" 88.89";" 87.43";"du monde 2026";" 8.751391e-21"
"  8";"   9";" 88.89";" 87.43";"coupe du monde 2026";" 8.751391e-21"
"  8";"   9";" 88.89";" 87.43";"la coupe du monde 2026";" 8.751391e-21"
"  8";"   9";" 88.89";" 87.43";"la tessinoise";" 8.751391e-21"
" 12";"  20";" 60.00";" 80.97";"du monde .";" 2.290856e-19"
"  8";"  10";" 80.00";" 77.11";"joueurs de";" 1.619124e-18"
"  8";"  10";" 80.00";" 77.11";"saison ,";" 1.619124e-18"
" 11";"  18";" 61.11";" 75.98";"le record";" 2.861424e-18"
"  6";"   6";"100.00";" 75.26";"ce match";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"match ,";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"descente de";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"de finale";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"saint moritz";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"de l équipe de suisse";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"à la coupe";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"à la coupe du";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"à la coupe du monde";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";", barragiste";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"le mondial 2026";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"ligue des";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"du ligament";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";", lara";" 4.134293e-18"
"  6";"   6";"100.00";" 75.26";"pia sundhage";" 4.134293e-18"
"  7";"   8";" 87.50";" 75.09";"la championne";" 4.508641e-18"
