de;378;173;433;294;295;485;477;180;258;79;337;264;527
la;319;139;290;189;221;432;374;134;204;120;266;205;402
le;284;106;292;188;198;347;264;109;181;158;231;193;380
les;163;125;251;168;179;312;373;117;172;43;180;132;270
l;213;108;207;163;169;341;326;120;141;66;223;169;290
et;228;103;271;196;166;313;339;120;189;62;187;143;357
être;234;136;269;191;174;305;300;126;162;31;200;171;304
à;243;117;223;148;181;324;279;105;139;44;224;165;290
avoir;288;92;168;113;145;293;199;114;118;26;280;215;293
des;118;118;172;108;171;257;351;103;139;22;201;135;241
en;202;96;215;169;148;245;243;97;127;152;154;125;247
d;122;96;157;92;152;258;239;89;126;34;156;128;204
un;152;68;192;133;129;202;200;77;100;30;145;110;254
pour;142;68;219;118;127;195;188;73;112;113;100;108;212
une;109;85;127;109;119;220;198;83;92;25;135;101;185
du;203;51;131;85;83;185;128;37;63;23;119;106;209
dans;100;47;138;96;60;141;128;58;57;48;119;84;156
sur;79;42;84;69;57;120;132;36;69;150;81;43;114
que;72;47;92;56;60;101;164;37;65;14;76;45;74
par;50;42;44;34;82;122;104;50;44;10;84;85;112
plus;73;47;70;59;62;80;105;31;57;89;40;31;103
au;96;25;77;53;46;105;62;26;38;27;81;62;116
htag_rtsarchives;37;7;364;181;14;20;17;5;0;27;7;2;84
qui;92;26;101;68;56;102;90;30;29;10;57;40;115
avec;86;29;74;68;49;65;69;37;42;9;44;39;139
ce;68;29;87;34;38;86;79;15;33;10;53;43;105
il;75;22;104;76;34;59;55;17;45;11;42;45;86
ne;70;29;121;65;34;83;80;34;42;7;43;34;50
son;84;19;58;71;23;46;41;23;25;13;45;63;100
s;62;31;56;36;54;79;65;22;34;11;53;37;69
cette;46;34;42;28;58;92;81;29;34;17;38;45;76
pas;55;21;120;68;26;61;61;22;27;3;27;24;31
an;65;21;64;58;24;42;43;19;10;6;30;44;88
se;44;15;72;40;29;58;58;22;24;7;34;15;70
aux;37;23;55;20;25;56;61;34;16;4;39;24;62
faire;41;20;72;56;22;47;28;17;17;6;43;27;46
sa;63;17;31;37;14;34;13;20;23;6;30;49;87
user_utilisateurice;80;2;78;26;7;9;4;3;22;22;3;0;61
ou;19;16;88;37;16;31;72;23;27;19;15;8;37
qu;43;14;64;33;21;25;33;18;28;5;36;13;42
ces;8;22;36;21;30;44;80;21;24;11;20;22;28
pouvoir;28;17;22;18;25;52;74;17;31;9;18;25;23
ses;28;5;35;38;27;23;28;8;25;4;23;29;63
c;36;6;97;67;8;19;18;5;7;3;7;4;40
mais;49;14;44;29;22;38;52;9;22;6;16;16;26
comme;21;18;26;15;18;39;69;20;29;2;24;13;45
après;48;9;23;21;13;39;16;14;12;4;36;41;36
elle;41;8;24;24;13;32;45;9;23;5;13;16;31
leur;16;13;31;22;15;29;41;12;10;3;15;14;25
vous;3;3;119;28;5;7;3;1;4;4;2;0;24
on;29;3;62;40;6;16;21;9;7;3;4;6;26
selon;7;22;5;2;25;34;52;14;12;2;35;28;16
entre;16;13;19;15;24;28;26;11;11;2;30;8;21
deux;32;10;13;16;12;25;19;10;8;2;41;20;28
personne;5;8;18;8;22;32;35;15;13;4;35;16;16
depuis;28;3;14;25;19;24;12;5;7;3;31;17;20
bien;15;13;49;21;20;16;20;11;6;2;8;7;21
devoir;15;12;8;7;27;36;13;12;17;8;23;13;10
y;16;5;54;21;15;19;11;4;7;3;15;6;16
contre;21;10;5;8;14;48;33;3;9;2;26;19;2
sans;14;9;25;16;10;22;31;12;8;1;15;6;16
tout;26;3;34;26;11;18;15;5;10;5;9;4;27
autres;12;6;14;10;12;14;13;8;18;6;7;5;16
nous;11;7;31;32;4;5;11;5;4;1;9;1;21
million;6;4;1;1;42;27;14;10;10;2;10;7;23
1;30;5;8;2;13;10;6;6;28;0;1;2;6
si;17;11;29;21;4;14;19;4;6;2;8;5;9
savoir;9;3;19;10;1;4;3;1;10;84;3;4;14
avant;27;6;18;6;8;15;11;8;10;0;10;15;20
lors;30;6;6;3;9;16;9;6;10;2;23;14;25
000;4;8;8;6;26;22;11;11;4;0;10;4;24
encore;22;5;22;8;8;15;12;5;17;2;16;2;10
via;0;0;2;2;0;8;3;1;30;88;1;2;4
