"";"";"";"";"htag_christmas";""
"1";"htag_christmas";"-3.01412569905592";"2.96572790424523";"1.36493948674185";"17"
"2";"htag_stoptabac";"-2.42252475434609";"2.96682256691201";"1.19402660943454";"23"
"3";"htag_mylausanne";"-2.85291759889467";"2.74140729890506";"1.09657602348725";"29"
"4";"htag_cadeaudenoel";"-2.94416171099045";"2.81777803280232";"1.09388068981054";"32"
"5";"htag_barbu";"-2.61188284615952";"3.13379544023931";"1.08299077116093";"34"
"6";"htag_armailli";"-2.61188284615952";"3.13379544023931";"1.08299077116093";"35"
"7";"htag_invention";"-2.45540578646014";"2.92012913420215";"1.05101980542458";"42"
"8";"htag_fribourg";"-2.56140826018751";"2.91647263501934";"1.04673073968433";"43"
"9";"htag_innovation";"-2.47166123757437";"2.69118871479349";"1.01399968634844";"45"
"10";"htag_rire";"-2.90019633809388";"3.31093731050357";"1.00830953747539";"47"
"11";"htag_stress";"-2.73390689417597";"2.61889029276726";"0.980725713298588";"53"
"12";"htag_valaiswallis";"-3.20491079485371";"2.68313408036486";"0.973816622100017";"55"
"13";"htag_igerslausanne";"-2.98141558706687";"2.89680616024391";"0.97250135530911";"57"
"14";"htag_jeune";"-2.43845421725778";"2.74063046456818";"0.97250135530911";"58"
"15";"htag_printemps";"-2.4560989602194";"2.98340117875148";"0.97005296253456";"59"
"16";"htag_mode";"-2.95503597807688";"3.0947164028493";"0.950588415112274";"63"
"17";"htag_chat";"-2.37493378728241";"2.54277842081465";"0.933652822744674";"72"
"18";"htag_cff";"-2.20023780969839";"2.6909829559173";"0.933652822744674";"73"
"19";"htag_mulet";"-3.06706069881032";"3.34061510999269";"0.930281466456398";"74"
"20";"htag_vih";"-2.30320198700505";"2.57794404532702";"0.926276120050535";"75"
"21";"htag_sida";"-2.30320198700505";"2.57794404532702";"0.926276120050535";"76"
"22";"htag_hiv";"-2.30320198700505";"2.57794404532702";"0.926276120050535";"77"
"23";"htag_lausannecity";"-2.79961517446";"2.82945662449434";"0.926276120050535";"78"
"24";"htag_repas";"-2.83340208938014";"2.92311716861465";"0.925069437202419";"79"
"25";"htag_catlover";"-2.43934017249921";"2.74765514105744";"0.920230446332546";"83"
"26";"htag_sdf";"-2.45033113325055";"2.77352772144163";"0.920230446332546";"84"
"27";"htag_fashion";"-2.9402842384351";"3.09147634525201";"0.919410812699863";"87"
"28";"htag_vache";"-2.10144609192702";"2.08896008867641";"0.91572421270671";"88"
"29";"htag_winter";"-3.10408782662781";"2.59085510832622";"0.913795972045207";"90"
"30";"htag_humour";"-2.20748285799126";"2.40718519046065";"0.909450862979642";"94"
"31";"htag_mobylette";"-2.64698285175744";"2.27048033243195";"0.907583919705199";"100"
"32";"htag_pluie";"-2.71738665006514";"2.57976331160565";"0.90389556835813";"105"
"33";"htag_dansleretro";"-2.69614239162568";"2.99331035748788";"0.900431390312306";"106"
"34";"htag_jetdeaudegeneve";"-1.8678704588661";"2.24544859485697";"0.900431390312306";"109"
"35";"htag_igersgeneva";"-1.80856671715237";"1.61820796593082";"0.900431390312306";"111"
