"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22";"classe 23";"classe 24";"classe 25";"classe 26";"classe 27";"classe 28";"classe 29";"classe 30";"classe 31";"classe 32";"classe 33";"classe 34";"classe 35";"classe 36";"classe 37";"classe 38";"classe 39";"classe 40";"classe 41";"classe 42";"classe 43";"classe 44";"classe 45";"classe 46";"classe 47";"classe 48";"classe 49";"classe 50";"classe 51";"classe 52";"classe 53"
",";1;1;1;0,81;1;1;0,09;0,469;1;0,142;0,052;1;0,23;0,043;0,187;1;0,04;1;1;0,09;0,056;0,037;1;0,388;1;1;0,09;0,056;0,283;0,064;0,104;0,064;0,187;0,469;0,09;0,327;0,267;0,097;0,327;0,06;0,597;1;0,12;0,09;1;0,116;0,892;1;0,175;1;0,264;1;0,04
".";1;0,507;0,48;0,497;0,463;0,516;0,48;1;0,48;1;0,418;1;0,447;0,397;0,425;0,432;0,391;0,536;0,471;0,48;0,425;0,385;0,44;1;0,432;1;0,48;0,425;0,471;0,44;0,497;1;0,425;0,536;0,48;0,488;1;0,488;0,488;0,432;0,455;0,536;0,516;0,48;1;1;0,425;1;0,418;0,463;0,463;0,471;0,391
"suisse";0,547;1;1;0,761;1;1;0,976;0;1;0,005;0,322;1;0,002;0,535;0,059;1;0;1;1;0,002;0,262;1;0,01;0;1;1;1;1;0,044;0,316;1;1;1;1;1;0,005;0;1;1;1;0,091;1;0,014;0,001;1;1;1;1;0;1;1;1;1
"emji_main_qui_écrit";0;1;1;0,049;1;1;1;0;1;0;0;1;0,01;0;0;1;0,001;1;1;0;0,21;0;0,103;0,002;1;1;0;0;0;0;0;0;1;1;0,262;0,003;1;0;0,032;0;1;1;1;0,021;1;0,019;1;1;0;1;1;1;0,165
"!";1;0,564;1;0;0,743;0,009;0;0;1;1;1;0;0,374;1;1;1;1;0;0,974;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,54;0,002;0;0,006;0,677;1;0;1;1;0;1;1;1
"rts";1;1;1;0;1;1;0;0,852;1;0,041;0,001;1;1;0,006;0,683;1;0,058;1;1;0,007;0,126;0,035;1;0,971;1;1;1;0,057;0,036;0,772;1;0;1;1;0,555;0,042;0;1;0,001;0,194;1;0,506;0;0;1;0,198;1;1;0,309;1;1;1;0
"emji_appareil_photo";1;1;1;1;1;1;0;0,101;1;0;0,004;1;1;0;0,12;1;0;1;1;0,54;0,002;0,074;1;1;1;1;0;0;0,641;0,001;0,025;0;1;1;0,002;0,013;1;0,04;0;0;1;1;0;0;1;0,001;1;1;0;1;0,746;1;0,115
"keystone";1;1;1;1;1;1;0;0,002;1;0;1;1;1;0;0,028;1;0;1;1;0;0,01;0,488;0,629;1;1;1;0,014;0;0,151;0,013;1;0,936;1;1;0;0;1;0,194;0,081;0;1;1;0;0;1;0,018;1;1;0;1;1;1;1
"?";0;0,594;0;1;1;0;1;1;0,501;1;1;0,143;0,001;1;1;1;1;0;0;1;1;1;1;0,032;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,705;1;1;0;1;0,096;0;1;0,654;1;0,133;1
":";0;1;1;0,625;1;1;1;0,656;1;0,922;0,426;1;0;0,922;1;1;0,99;1;0,872;1;0,641;0;1;0,153;1;1;0,79;1;0,011;0,504;0,012;1;0,973;1;0,79;1;0;0,063;1;1;1;0,656;1;1;1;1;1;1;1;1;1;1;0,413
"info";1;1;1;1;1;1;0;1;1;0,017;0,018;1;1;0;0,39;1;0,002;1;1;0,002;0,001;0,004;1;1;1;1;0,723;0,036;0,012;0,275;1;0;1;1;0,081;0,001;1;1;0;0,164;1;1;0;0;1;0,042;1;1;0,118;1;1;1;0
"rtsinfo";1;1;1;1;1;1;1;1;1;0,002;0,369;1;1;0,024;0,061;1;0;1;1;0,068;0,021;0;1;1;1;1;0,001;0;0,002;0,01;0;1;0,899;1;0,068;0,014;1;0;0,337;0;1;1;1;0,726;1;0;1;1;0;1;0,041;1;1
"année";1;1;0,712;1;1;1;0,049;0,677;1;0,002;0,523;1;0,133;1;1;1;0,232;1;1;0,049;0,23;1;0,059;1;1;1;1;0,8;0,004;0,018;0,57;0,004;0,8;0,307;1;1;0,034;0,641;1;1;1;0,677;1;1;1;1;0,23;1;0;1;0,852;0,782;1
"premier";1;1;1;1;1;1;0,936;0;1;0,811;0,641;1;0,001;0,24;0,297;1;0,529;1;1;1;0,584;1;0;0,002;1;1;0;0,297;0,276;0,474;0,799;0,474;0,959;0,983;0,936;0,869;1;1;0,464;0,033;0,37;1;1;1;1;0,631;1;1;1;1;0,009;1;0,044
