"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
".";-7,404;-4,146;-8,182;3,558;5,553;0,126;1,851
",";-43,018;25,349;0,015;6,595;-47,342;1,634;14,476
"?";-28,117;-14,611;-9,119;-0,381;20,018;57,691;-6,076
"!";-21,425;-2,134;7,161;-0,22;19,751;-0,947;-0,84
"suisse";71,415;3,993;-2,752;-1,612;-39,499;0,195;2,026
":";-0,191;5,975;-1,05;-6,601;-16,714;-0,049;47,755
"émission";277,674;0,36;-4,845;-6,443;-24,661;-6,339;0
"petit";-5,796;-0,358;-0,782;2,892;12,417;-4,021;-1,116
"année";-1,716;-2,502;-0,577;3,586;2,704;1,671;-4,899
"retrouver";377,998;-12,14;-2,254;-8,505;-13,395;-2,038;-0,024
"archive";531,14;-1,974;-4,618;-12,178;-19,945;-14,33;-0,678
"rts";634,313;-2,051;-4,224;-13,411;-23,018;-15,742;-3,1
"miracle";302,238;-7,593;-4,067;-8,772;-22,292;-0,471;2,805
"jeune";-4,946;-4,935;-1,258;-0,791;-11,414;45,811;12,559
"vie";-4,444;-3,648;-4,214;10,398;-1,359;0,92;7,141
"monde";-3,864;7,842;-1,77;-3,291;0,127;-9,132;17,191
"grand";-3,455;0,1;-0,337;-1,338;-5,798;0,325;31,66
"genève";-3,7;1,385;0,26;-4,573;0,284;2,589;-0,239
"temps";-3,373;-7,083;-0,297;-0,057;-7,335;-0,05;95,427
"bio";371,48;-7,222;-1,909;-3,614;-14,537;-3,565;-2,546
"lien";316,864;-6,963;-1,839;-3,452;-14,19;-2,079;-1,194
"diffuser";550,098;-11,225;-3,743;-9,388;-11,767;-7,028;-4,117
"aller";-3,373;-0,134;-0,297;-2,359;5,554;5,642;-3,259
"samedi";647,529;-12,878;-3,509;-8,802;-15,786;-8,744;-5,846
"fête";-3,211;3,047;2,063;-0,012;3,428;-3,49;-5,073
"aimer";-2,968;-2,528;-1,036;0,009;8,819;-0,655;1,08
"heure";-1,852;-1,031;-1,756;-0,905;0,304;9,511;0,086
