.;77;235;73;179;286;175;125
,;32;205;56;141;156;133;107
?;1;40;9;43;103;87;21
!;4;56;31;45;105;42;29
suisse;44;56;9;27;17;35;29
:;8;38;6;10;13;19;37
émission;51;26;2;8;6;8;12
petit;0;13;3;16;30;5;5
année;3;12;4;19;27;17;3
retrouver;54;7;3;5;9;10;10
archive;59;13;1;2;4;1;7
rts;62;12;1;1;2;0;4
miracle;44;7;1;3;2;10;13
jeune;0;6;2;7;4;28;15
vie;0;6;0;17;10;11;12
monde;0;18;1;3;13;0;14
grand;0;10;2;4;4;8;16
genève;0;13;4;2;13;11;4
temps;0;2;2;6;3;6;24
bio;38;3;1;3;1;3;2
lien;35;3;1;3;1;4;3
diffuser;45;1;0;0;2;1;1
aller;0;8;2;3;17;12;1
samedi;47;0;0;0;0;0;0
fête;0;13;5;6;15;2;0
aimer;0;4;1;6;17;4;6
heure;0;3;0;2;7;9;3
clip;44;0;0;0;0;0;0
passer;1;9;1;11;3;9;4
femme;0;7;0;2;1;10;12
jour;0;19;1;7;2;0;2
18h45;43;0;0;0;0;0;0
romand;0;15;1;2;4;4;4
premier;2;22;0;2;4;3;4
enfant;1;3;2;4;3;22;1
homme;0;3;0;2;1;18;8
rencontre;1;6;0;11;6;3;5
beau;1;3;0;2;16;1;6
amour;1;1;1;6;12;5;5
prendre;2;6;0;25;1;0;0
souvenir;4;10;1;5;4;2;2
question;1;1;0;1;2;23;0
occasion;1;7;0;2;8;3;1
lausanne;0;2;1;3;1;6;0
télévision;0;14;0;1;2;8;4
suivre;0;8;4;0;3;7;4
partir;1;1;1;2;2;2;16
nombreux;1;3;2;3;13;0;2
fin;1;3;1;4;11;1;3
âge;0;7;0;2;1;6;3
trouver;0;1;1;1;9;7;0
noël;2;4;0;7;0;8;1
ski;1;2;1;2;9;0;0
raconter;2;10;0;1;5;1;6
journée;1;5;1;2;3;1;0
jeu;0;0;2;7;5;5;2
jean;0;19;0;1;0;1;2
histoire;2;9;0;1;4;0;0
vacance;1;1;1;3;11;0;0
public;3;9;0;1;1;0;5
découvrir;4;7;2;2;4;2;0
connaître;0;5;0;1;1;12;5
