"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"8";"***";"";""
"**";"classe";"1";"**";"";""
"****";"50";"881";"5.68";"****";""
"45";" 45";"100.00";"788.158";"clip";"2.026739e-173"
"46";" 49";" 93.88";"754.029";"samedi";"5.337427e-166"
"45";" 47";" 95.74";"752.389";"miracle";"1.213499e-165"
"43";" 43";"100.00";"751.331";"18h45";"2.060503e-165"
"45";" 48";" 93.75";"735.622";"diffuser";"5.367565e-162"
"47";" 71";" 66.20";"528.389";"rts";"6.329886e-117"
"48";" 77";" 62.34";"506.034";"retrouver";"4.625045e-112"
"48";" 83";" 57.83";"465.629";"archive";"2.864235e-103"
"49";" 93";" 52.69";"429.285";"émission";" 2.325446e-95"
"46";"127";" 36.22";"258.626";":";" 3.419844e-58"
"45";"169";" 26.63";"171.478";"suisse";" 3.518729e-39"
"12";" 15";" 80.00";"157.469";"automne";" 4.042286e-36"
"11";" 17";" 64.71";"112.835";"complet";" 2.344638e-26"
" 8";" 12";" 66.67";" 84.538";"appeler";" 3.768286e-20"
" 6";"  7";" 85.71";" 84.440";"fils";" 3.961514e-20"
"12";" 27";" 44.44";" 78.205";"télévision";" 9.289192e-19"
" 7";" 10";" 70.00";" 78.180";"époque";" 9.408768e-19"
"11";" 31";" 35.48";" 53.331";"souvenir";" 2.818231e-13"
"13";" 43";" 30.23";" 50.926";"lien";" 9.592104e-13"
"13";" 46";" 28.26";" 46.247";"bio";" 1.042238e-11"
" 4";"  6";" 66.67";" 41.979";"filmer";" 9.224271e-11"
" 3";"  4";" 75.00";" 36.074";"interprète";" 1.899814e-09"
" 4";"  7";" 57.14";" 34.915";"caméra";" 3.444570e-09"
"14";" 68";" 20.59";" 30.612";"jeune";" 3.150743e-08"
" 4";"  8";" 50.00";" 29.629";"humour";" 5.230584e-08"
" 4";"  8";" 50.00";" 29.629";"cheveu";" 5.230584e-08"
" 3";"  5";" 60.00";" 27.721";"personnage";" 1.400996e-07"
" 3";"  5";" 60.00";" 27.721";"andré";" 1.400996e-07"
" 5";" 14";" 35.71";" 23.979";"reportage";" 9.738353e-07"
" 4";" 10";" 40.00";" 22.261";"adolescent";" 2.379557e-06"
" 3";"  6";" 50.00";" 22.171";"mariage";" 2.493805e-06"
" 3";"  6";" 50.00";" 22.171";"exprimer";" 2.493805e-06"
" 3";"  6";" 50.00";" 22.171";"revoir";" 2.493805e-06"
" 2";"  3";" 66.67";" 20.918";"scène";" 4.793806e-06"
" 2";"  3";" 66.67";" 20.918";"étranger";" 4.793806e-06"
" 2";"  3";" 66.67";" 20.918";"vigneron";" 4.793806e-06"
" 2";"  3";" 66.67";" 20.918";"tinder";" 4.793806e-06"
" 2";"  3";" 66.67";" 20.918";"revendiquer";" 4.793806e-06"
" 2";"  3";" 66.67";" 20.918";"humilité";" 4.793806e-06"
" 2";"  3";" 66.67";" 20.918";"apparaître";" 4.793806e-06"
" 4";" 11";" 36.36";" 19.596";"image";" 9.565247e-06"
" 3";"  7";" 42.86";" 18.222";"alain";" 1.965624e-05"
" 4";" 13";" 30.77";" 15.521";"changer";" 8.160049e-05"
" 3";"  8";" 37.50";" 15.274";"témoigner";" 9.297656e-05"
" 3";"  8";" 37.50";" 15.274";"portrait";" 9.297656e-05"
" 2";"  4";" 50.00";" 14.747";"genevoise";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"sexuel";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"sexualité";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"époux";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"éducation";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"ouvrier";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"amoureux";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"papa";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"inventer";" 1.229349e-04"
" 2";"  4";" 50.00";" 14.747";"familial";" 1.229349e-04"
" 5";" 20";" 25.00";" 14.276";"raconter";" 1.578665e-04"
"50";"707";"  7.07";" 13.046";",";" 3.039458e-04"
" 3";"  9";" 33.33";" 12.993";"valaisan";" 3.125891e-04"
" 3";"  9";" 33.33";" 12.993";"réaliser";" 3.125891e-04"
" 5";" 22";" 22.73";" 12.256";"jean";" 4.638823e-04"
" 4";" 16";" 25.00";" 11.368";"pays";" 7.472142e-04"
" 3";" 10";" 30.00";" 11.180";"carrière";" 8.269609e-04"
" 3";" 10";" 30.00";" 11.180";"marier";" 8.269609e-04"
" 3";" 10";" 30.00";" 11.180";"cours";" 8.269609e-04"
" 3";" 10";" 30.00";" 11.180";"âgé";" 8.269609e-04"
" 2";"  5";" 40.00";" 11.067";"naître";" 8.787238e-04"
" 2";"  5";" 40.00";" 11.067";"beauté";" 8.787238e-04"
" 2";"  5";" 40.00";" 11.067";"alpage";" 8.787238e-04"
" 2";"  5";" 40.00";" 11.067";"interviewer";" 8.787238e-04"
" 4";" 17";" 23.53";" 10.322";"passion";" 1.314518e-03"
" 4";" 17";" 23.53";" 10.322";"fois";" 1.314518e-03"
" 3";" 11";" 27.27";"  9.706";"drôle";" 1.836872e-03"
" 6";" 34";" 17.65";"  9.468";"amour";" 2.090751e-03"
" 2";"  6";" 33.33";"  8.633";"décembre";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"accent";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"profession";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"tradition";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"mère";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"consacrer";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"pratique";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"pièce";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"nom";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"genre";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"françois";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"figure";" 3.302046e-03"
" 2";"  6";" 33.33";"  8.633";"fameux";" 3.302046e-03"
" 4";" 19";" 21.05";"  8.578";"présenter";" 3.403410e-03"
" 3";" 12";" 25.00";"  8.487";"présent";" 3.577454e-03"
" 3";" 12";" 25.00";"  8.487";"spécial";" 3.577454e-03"
"11";" 90";" 12.22";"  8.026";"année";" 4.611583e-03"
" 5";" 28";" 17.86";"  8.017";"suivre";" 4.635213e-03"
" 3";" 13";" 23.08";"  7.464";"revenir";" 6.295414e-03"
" 2";"  7";" 28.57";"  6.910";"helvétique";" 8.572509e-03"
" 2";"  7";" 28.57";"  6.910";"émotion";" 8.572509e-03"
" 2";"  7";" 28.57";"  6.910";"main";" 8.572509e-03"
" 2";"  7";" 28.57";"  6.910";"mouvement";" 8.572509e-03"
" 2";"  7";" 28.57";"  6.910";"animer";" 8.572509e-03"
" 3";" 14";" 21.43";"  6.595";"village";" 1.022755e-02"
" 3";" 14";" 21.43";"  6.595";"animal";" 1.022755e-02"
" 3";" 14";" 21.43";"  6.595";"long";" 1.022755e-02"
" 4";" 22";" 18.18";"  6.593";"vivre";" 1.024057e-02"
" 2";"  8";" 25.00";"  5.632";"garçon";" 1.763651e-02"
" 2";"  8";" 25.00";"  5.632";"compagnie";" 1.763651e-02"
" 2";"  8";" 25.00";"  5.632";"jacques";" 1.763651e-02"
" 2";"  8";" 25.00";"  5.632";"lieu";" 1.763651e-02"
" 2";"  8";" 25.00";"  5.632";"bernard";" 1.763651e-02"
" 2";"  8";" 25.00";"  5.632";"arriver";" 1.763651e-02"
" 4";" 24";" 16.67";"  5.568";"connaître";" 1.829354e-02"
" 4";" 25";" 16.00";"  5.124";"vaudois";" 2.360311e-02"
