"";"";"";"";"htag_metier";""
"1";"htag_metier";"-0.370544339926534";"1.02423286914967";"0.880718359923948";"48"
"2";"htag_microtrottoir";"-0.46910562597121";"0.803341867831036";"0.876539637926759";"51"
"3";"htag_swissfondue";"-0.383046806605514";"0.715394780156948";"0.856294949160949";"73"
"4";"htag_fridaythe13th";"-0.532459426190001";"1.12906112020723";"0.85184756551211";"83"
"5";"htag_femmes";"-0.471263611787331";"0.871262363604994";"0.844234107629991";"94"
"6";"htag_backtoschool";"-0.471263611787331";"0.871262363604994";"0.844234107629991";"95"
"7";"htag_vintage";"-0.503235791628273";"0.677745751933379";"0.843085062412168";"99"
"8";"htag_cadeaudenoel";"-0.385043392417237";"0.496503400163056";"0.842328676531371";"102"
"9";"combien";"-0.438238299439815";"1.198952269111";"0.841737620897743";"109"
"10";"htag_womensday";"-0.472040814415695";"1.03948014383552";"0.839352732082335";"115"
"11";"htag_journeeinternationaledesdroitsdesfemmes";"-0.472040814415695";"1.03948014383552";"0.839352732082335";"116"
"12";"htag_fetedesmeres";"-0.411607497342956";"0.662603965694918";"0.839352732082335";"117"
"13";"htag_music";"-0.46472100189596";"0.707509894989746";"0.839352732082335";"120"
"14";"htag_maman";"-0.444029362178983";"0.888017335473886";"0.839352732082335";"121"
"15";"17";"-0.444029362178983";"0.888017335473886";"0.839352732082335";"123"
"16";"htag_mountain";"-0.58225106140544";"0.856076594689257";"0.839294866495825";"124"
"17";"croire";"-0.540139274305081";"1.14599397961484";"0.839001405307101";"127"
"18";"htag_ecole";"-0.504557244596022";"0.93992465887393";"0.838513681077953";"128"
"19";"htag_commeunlundi";"-0.516358830842949";"1.10855922617249";"0.837521699594941";"133"
"20";"htag_train";"-0.528799519930134";"0.963075995784338";"0.834719351905431";"139"
"21";"htag_swissattitude";"-0.497762060354667";"1.23383715651055";"0.834719351905431";"140"
"22";"htag_mondaymood";"-0.423438669373241";"0.430346074724827";"0.833913366950484";"143"
"23";"celles";"-0.504529451337485";"1.03262470079545";"0.833913366950484";"144"
"24";"contre";"-0.434773596282262";"0.440580698805904";"0.833867901132512";"145"
"25";"me";"-0.504882902756496";"0.793883209554942";"0.833727370422419";"147"
"26";"quelques";"-0.41176717541224";"0.196789856341202";"0.832532859386625";"148"
"27";"htag_sixties";"-0.417625318262031";"0.722223781185262";"0.832119533768703";"153"
"28";"htag_automobile";"-0.439109757662883";"0.996190039460903";"0.832119533768703";"154"
"29";"htag_rtsarchives";"-0.0208987527022229";"0.254828612474486";"0.831991402827147";"155"
"30";"htag_changementdheure";"-0.489358624683653";"1.18839831400206";"0.830610895263288";"163"
"31";"htag_green";"-0.550035431277986";"0.660598608602467";"0.830606762007109";"167"
"32";"d_abord";"-0.550035431277986";"0.660598608602467";"0.830606762007109";"168"
"33";"quel";"-0.467210783431382";"0.928419583289384";"0.82822600644788";"178"
"34";"htag_printemps";"-0.556949825524272";"0.886189864545025";"0.828217739935521";"179"
"35";"htag_automne";"-0.422896241383347";"0.735216516966421";"0.827630817558072";"183"
"36";"1971";"-0.392989183534038";"0.313535076440124";"0.827196825659254";"185"
"37";"pourquoi";"-0.176251299385891";"0.949132486446916";"0.827188559146896";"186"
"38";"htag_70s";"-0.277829363028536";"0.29003483973264";"0.82616351161445";"189"
"39";"htag_kids";"-0.454275327726324";"0.400457528877318";"0.825985781598744";"190"
"40";"htag_stress";"-0.415008038856738";"0.92426995954053";"0.825419525502191";"191"
"41";"htag_droitsdesfemmes";"-0.467966831311671";"1.03127084386866";"0.825419525502191";"192"
"42";"2009";"-0.43816057329485";"0.613233129900108";"0.825419525502191";"193"
"43";"htag_telephone";"-0.382945966986932";"0.153543206576463";"0.82531619409771";"196"
"44";"80";"-0.067421782235557";"0.20521637451975";"0.824501942630404";"200"
"45";"htag_jeunesse";"0.201762072838183";"0.966013720945563";"0.82410101678102";"201"
"46";"htag_heuredhiver";"-0.483756334236311";"1.15810575232973";"0.823923286765314";"202"
"47";"htag_centenaire";"-0.423323017163572";"0.781229574189132";"0.823923286765314";"203"
"48";"htag_sunglasses";"-0.44988712208929";"0.947330139720993";"0.823923286765314";"204"
"49";"maintenant";"-0.476436521716576";"0.826135503483959";"0.823923286765314";"205"
"50";"htag_alcool";"-0.476436521716576";"0.826135503483959";"0.823923286765314";"206"
"51";"htag_lunettesdesoleil";"-0.44988712208929";"0.947330139720993";"0.823923286765314";"208"
"52";"htag_jetdeaudegeneve";"-0.476436521716576";"0.826135503483959";"0.823923286765314";"209"
"53";"htag_jetdeau";"-0.476436521716576";"0.826135503483959";"0.823923286765314";"210"
"54";"htag_heure";"-0.483756334236311";"1.15810575232973";"0.823923286765314";"211"
"55";"htag_assurancemaladie";"-0.476436521716576";"0.826135503483959";"0.823923286765314";"213"
"56";"htag_geneve";"-0.461831423346786";"0.492827455662332";"0.823832355129371";"214"
"57";"dès";"-0.494752699976558";"1.01564173827878";"0.823179300653055";"216"
"58";"htag_hiver";"-0.180925582675473";"0.913692143900359";"0.82278250805985";"230"
"59";"mais";"-0.356799400325571";"0.364280492165178";"0.822629577581219";"231"
"60";"htag_snow";"-0.521549100279408";"0.813810168835156";"0.822497313383484";"232"
"61";"htag_perenoel";"-0.433676189671277";"0.834623454831509";"0.821769860295941";"235"
"62";"donc";"-0.44695088948492";"0.774026136712992";"0.821769860295941";"236"
"63";"htag_rentreescolaire";"-0.481702676050199";"0.843747475985668";"0.821769860295941";"237"
"64";"madame";"-0.115628414378981";"0.613066326596559";"0.821488798875754";"240"
"65";"htag_lausanne";"-0.45347343193237";"0.624283411833269";"0.821488798875754";"241"
"66";"quelque";"-0.423878297638754";"0.112573655067497";"0.821100272794908";"243"
"67";"souvent";"-0.527538661427897";"1.10319141820006";"0.820951475572456";"245"
"68";"htag_instafood";"0.296282222291594";"0.749155044617524";"0.820852277424155";"246"
"69";"vos";"-0.430544521813116";"0.407792681253544";"0.820600148797223";"248"
"70";"loin";"-0.443222208712691";"0.760194533242366";"0.820281888071423";"253"
"71";"htag_look";"-0.157423892219176";"0.816361444760356";"0.820133090848971";"255"
"72";"htag_love";"-0.508823177683981";"0.790119561652001";"0.820133090848971";"256"
"73";"htag_bonheur";"-0.506282048886001";"0.737019553565362";"0.819860295941143";"257"
"74";"htag_educationsexuelle";"-0.492989833490158";"0.681729551096646";"0.819860295941143";"258"
"75";"moi";"-0.43446317643869";"-0.0317907957180309";"0.819310572869307";"259"
"76";"htag_vin";"-0.441880953336784";"0.681197338076273";"0.818996445399686";"262"
"77";"htag_montagne";"-0.51544924145968";"0.930899365050941";"0.818702984210961";"263"
"78";"ça";"-0.450854609009659";"0.529824554918979";"0.818645118624452";"265"
"79";"ne";"-0.276561935270707";"0.189689178459684";"0.818471521864925";"266"
"80";"htag_enfant";"-0.0753049223635343";"0.437412162897707";"0.818384723485162";"267"
"81";"htag_eighties";"-0.206653872724114";"0.75135365272543";"0.817793667851534";"268"
