"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"9";"***";"";""
"**";"classe";"1";"**";"";""
"****";"71";"1196";"5.94";"****";""
"25";"851";"2.94";"-47.508";",";"5.477253e-12"
" 1";"321";"0.31";"-24.861";"?";"6.162550e-07"
" 4";"319";"1.25";"-17.082";"!";"3.580197e-05"
" 0";"101";"0.00";" -6.962";"petit";"8.325127e-03"
" 0";" 70";"0.00";" -4.692";"jeune";"3.029599e-02"
" 0";" 61";"0.00";" -4.057";"vie";"4.399686e-02"
" 0";" 57";"0.00";" -3.777";"grand";"5.195063e-02"
" 0";" 46";"0.00";" -3.019";"genève";"8.228224e-02"
" 0";" 45";"0.00";" -2.951";"monde";"8.582264e-02"
" 0";" 44";"0.00";" -2.883";"temps";"8.952185e-02"
" 0";" 35";"0.00";" -2.275";"fête";"1.314345e-01"
" 0";" 35";"0.00";" -2.275";"aller";"1.314345e-01"
" 0";" 34";"0.00";" -2.209";"heure";"1.372465e-01"
" 0";" 34";"0.00";" -2.209";"romand";"1.372465e-01"
" 0";" 33";"0.00";" -2.142";"aimer";"1.433372e-01"
" 0";" 33";"0.00";" -2.142";"femme";"1.433372e-01"
" 3";"108";"2.78";" -2.121";":";"1.452697e-01"
" 0";" 32";"0.00";" -2.075";"homme";"1.497225e-01"
"*****";"*";"*";"*";"*";"*"
"19";"812";"2.34";"-58.584";"de";"1.947745e-14"
" 2";"343";"0.58";"-24.682";"pour";"6.761065e-07"
"17";"581";"2.93";"-18.338";"la";"1.849848e-05"
" 6";"357";"1.68";"-16.506";"un";"4.849058e-05"
"15";"490";"3.06";"-12.289";"être";"4.556165e-04"
" 0";"147";"0.00";"-10.577";"au";"1.144787e-03"
" 7";"312";"2.24";"-10.309";"des";"1.323909e-03"
" 0";"132";"0.00";" -9.364";"faire";"2.212681e-03"
" 1";"152";"0.66";" -8.689";"que";"3.201822e-03"
" 3";"197";"1.52";" -8.228";"qui";"4.125867e-03"
" 6";"260";"2.31";" -7.834";"du";"5.126550e-03"
" 3";"182";"1.65";" -7.069";"c";"7.843716e-03"
" 4";"200";"2.00";" -6.664";"pas";"9.835538e-03"
" 1";"115";"0.87";" -5.850";"on";"1.557922e-02"
" 5";"202";"2.48";" -5.214";"ne";"2.240080e-02"
" 3";"151";"1.99";" -4.828";"vous";"2.800033e-02"
" 0";" 70";"0.00";" -4.692";"aux";"3.029599e-02"
" 0";" 69";"0.00";" -4.621";"par";"3.157769e-02"
"10";"294";"3.40";" -4.487";"avoir";"3.416272e-02"
" 0";" 65";"0.00";" -4.338";"bon";"3.727107e-02"
" 0";" 63";"0.00";" -4.197";"ça";"4.049356e-02"
" 8";"248";"3.23";" -4.117";"une";"4.245632e-02"
" 2";"106";"1.89";" -3.416";"s";"6.457288e-02"
" 1";" 80";"1.25";" -3.372";"mais";"6.631015e-02"
" 1";" 76";"1.32";" -3.103";"y";"7.814628e-02"
" 2";"101";"1.98";" -3.092";"qu";"7.867138e-02"
" 0";" 47";"0.00";" -3.088";"htag_90s";"7.889322e-02"
" 0";" 40";"0.00";" -2.612";"je";"1.060716e-01"
" 1";" 68";"1.47";" -2.575";"tout";"1.085573e-01"
" 1";" 66";"1.52";" -2.445";"bien";"1.178703e-01"
" 0";" 37";"0.00";" -2.410";"alors";"1.205888e-01"
" 0";" 36";"0.00";" -2.343";"quoi";"1.258865e-01"
" 0";" 36";"0.00";" -2.343";"comme";"1.258865e-01"
" 0";" 34";"0.00";" -2.209";"falloir";"1.372465e-01"
" 0";" 34";"0.00";" -2.209";"pouvoir";"1.372465e-01"
" 0";" 33";"0.00";" -2.142";"dire";"1.433372e-01"
" 0";" 32";"0.00";" -2.075";"lui";"1.497225e-01"
" 3";"107";"2.80";" -2.065";"ou";"1.506864e-01"
" 0";" 31";"0.00";" -2.009";"entre";"1.564195e-01"
"*";"*";"*";"*";"*";"*"
"40";"916";"4.37";"-17.263";"*postReposts_0";"3.254263e-05"
" 0";" 36";"0.00";" -2.343";"*postComments_2";"1.258865e-01"
" 0";" 34";"0.00";" -2.209";"*postComments_4";"1.372465e-01"
"**";"classe";"2";"**";"";""
"****";"189";"1196";"15.8";"****";""
" 31";" 321";" 9.66";"-12.454";"?";"0.0004171982"
"  0";"  46";" 0.00";" -8.979";"samedi";"0.0027311387"
"  0";"  43";" 0.00";" -8.371";"clip";"0.0038115340"
"  0";"  41";" 0.00";" -7.968";"18h45";"0.0047603765"
"  0";"  24";" 0.00";" -4.597";"trouver";"0.0320333652"
"  0";"  22";" 0.00";" -4.206";"jeu";"0.0402699876"
"  1";"  33";" 3.03";" -4.161";"aimer";"0.0413692038"
"  1";"  33";" 3.03";" -4.161";"femme";"0.0413692038"
"  4";"  61";" 6.56";" -4.129";"vie";"0.0421463834"
"  0";"  21";" 0.00";" -4.012";"noël";"0.0451814858"
"  0";"  21";" 0.00";" -4.012";"ski";"0.0451814858"
"  0";"  21";" 0.00";" -4.012";"rue";"0.0451814858"
"  1";"  32";" 3.12";" -3.972";"question";"0.0462705096"
"  1";"  31";" 3.23";" -3.783";"amour";"0.0517631463"
"  0";"  19";" 0.00";" -3.624";"vacance";"0.0569653670"
"  3";"  49";" 6.12";" -3.598";"diffuser";"0.0578362076"
"  1";"  29";" 3.45";" -3.409";"beau";"0.0648276332"
"  9";"  96";" 9.38";" -3.241";"retrouver";"0.0718136252"
"  0";"  17";" 0.00";" -3.237";"donner";"0.0720067874"
"  1";"  28";" 3.57";" -3.224";"rencontre";"0.0725779860"
"  0";"  16";" 0.00";" -3.044";"proposer";"0.0810511088"
"  0";"  16";" 0.00";" -3.044";"partager";"0.0810511088"
"182";"1171";"15.54";" -2.855";".";"0.0910871060"
"  0";"  15";" 0.00";" -2.851";"valoir";"0.0913142656"
"  2";"  35";" 5.71";" -2.758";"enfant";"0.0967739315"
"  2";"  35";" 5.71";" -2.758";"passer";"0.0967739315"
"  8";"  84";" 9.52";" -2.677";"miracle";"0.1018109697"
"  0";"  14";" 0.00";" -2.659";"neige";"0.1029829954"
"  0";"  14";" 0.00";" -2.659";"compte";"0.1029829954"
"  0";"  14";" 0.00";" -2.659";"saison";"0.1029829954"
"  0";"  14";" 0.00";" -2.659";"automne";"0.1029829954"
"  1";"  24";" 4.17";" -2.492";"partir";"0.1144070674"
"  0";"  13";" 0.00";" -2.467";"armée";"0.1162793999"
"  0";"  13";" 0.00";" -2.467";"rêve";"0.1162793999"
"  0";"  13";" 0.00";" -2.467";"quotidien";"0.1162793999"
"  0";"  13";" 0.00";" -2.467";"canton";"0.1162793999"
"  0";"  12";" 0.00";" -2.275";"tête";"0.1314699471"
"  0";"  12";" 0.00";" -2.275";"haut";"0.1314699471"
"  0";"  12";" 0.00";" -2.275";"coeur";"0.1314699471"
"  0";"  12";" 0.00";" -2.275";"simple";"0.1314699471"
"  0";"  12";" 0.00";" -2.275";"seul";"0.1314699471"
"  0";"  12";" 0.00";" -2.275";"long";"0.1314699471"
"  1";"  22";" 4.55";" -2.135";"mode";"0.1440067617"
"  0";"  11";" 0.00";" -2.084";"droit";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"fille";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"terre";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"chat";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"permettre";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"liberté";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"florilège";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"bonheur";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"vélomoteur";"0.1488776742"
"  0";"  11";" 0.00";" -2.084";"profiter";"0.1488776742"
"*****";"*";"*";"*";"*";"*"
"94";"792";"11.87";"-27.272";"htag_rtsarchives";"1.767794e-07"
" 4";"107";" 3.74";"-12.855";"ou";"3.366080e-04"
" 0";" 43";" 0.00";" -8.371";"htag_miraclesuisse";"3.811534e-03"
" 0";" 42";" 0.00";" -8.170";"htag_madeinswitzerland";"4.259556e-03"
" 0";" 38";" 0.00";" -7.366";"htag_suissitude";"6.646434e-03"
"13";"152";" 8.55";" -6.879";"que";"8.721332e-03"
" 2";" 57";" 3.51";" -6.799";"plein";"9.121857e-03"
"17";"182";" 9.34";" -6.737";"c";"9.442899e-03"
" 2";" 52";" 3.85";" -5.841";"leur";"1.565668e-02"
" 0";" 29";" 0.00";" -5.578";"votre";"1.818586e-02"
" 5";" 73";" 6.85";" -4.684";"autres";"3.044466e-02"
"15";"151";" 9.93";" -4.474";"vous";"3.441839e-02"
" 4";" 63";" 6.35";" -4.467";"ça";"3.455990e-02"
" 9";"101";" 8.91";" -3.938";"qu";"4.720759e-02"
" 5";" 68";" 7.35";" -3.869";"htag_suisse";"4.918857e-02"
" 0";" 20";" 0.00";" -3.818";"htag_noel";"5.071796e-02"
" 0";" 19";" 0.00";" -3.624";"htag_eighties";"5.696537e-02"
" 0";" 19";" 0.00";" -3.624";"pourquoi";"5.696537e-02"
" 0";" 19";" 0.00";" -3.624";"htag_amour";"5.696537e-02"
" 5";" 66";" 7.58";" -3.553";"bien";"5.942416e-02"
" 0";" 18";" 0.00";" -3.430";"htag_look";"6.402314e-02"
" 0";" 18";" 0.00";" -3.430";"htag_love";"6.402314e-02"
" 0";" 18";" 0.00";" -3.430";"htag_ski";"6.402314e-02"
" 3";" 47";" 6.38";" -3.263";"htag_90s";"7.087987e-02"
" 0";" 17";" 0.00";" -3.237";"t";"7.200679e-02"
" 0";" 17";" 0.00";" -3.237";"htag_microtrottoir";"7.200679e-02"
" 0";" 17";" 0.00";" -3.237";"htag_hiver";"7.200679e-02"
" 0";" 16";" 0.00";" -3.044";"htag_fashion";"8.105111e-02"
" 0";" 16";" 0.00";" -3.044";"quel";"8.105111e-02"
" 0";" 16";" 0.00";" -3.044";"htag_jeunesse";"8.105111e-02"
" 0";" 15";" 0.00";" -2.851";"htag_instafood";"9.131427e-02"
" 0";" 15";" 0.00";" -2.851";"htag_neige";"9.131427e-02"
"12";"115";"10.43";" -2.755";"on";"9.692755e-02"
" 0";" 14";" 0.00";" -2.659";"htag_vacances";"1.029830e-01"
" 0";" 14";" 0.00";" -2.659";"htag_voiture";"1.029830e-01"
" 0";" 13";" 0.00";" -2.467";"htag_ecole";"1.162794e-01"
" 1";" 23";" 4.35";" -2.313";"htag_vintage";"1.283247e-01"
" 0";" 12";" 0.00";" -2.275";"htag_commeunlundi";"1.314699e-01"
" 7";" 72";" 9.72";" -2.129";"tous";"1.445513e-01"
" 0";" 11";" 0.00";" -2.084";"me";"1.488777e-01"
" 0";" 11";" 0.00";" -2.084";"surtout";"1.488777e-01"
" 0";" 11";" 0.00";" -2.084";"htag_snow";"1.488777e-01"
" 0";" 11";" 0.00";" -2.084";"htag_skiing";"1.488777e-01"
"*";"*";"*";"*";"*";"*"
"2";"42";"4.76";"-3.988";"*postComments_11";"0.04582808"
"0";"18";"0.00";"-3.430";"*postLikes_1000";"0.06402314"
"0";"13";"0.00";"-2.467";"*postLikes_1900";"0.11627940"
"3";"40";"7.50";"-2.144";"*postComments_9";"0.14312101"
"**";"classe";"3";"**";"";""
"****";"103";"1196";"8.61";"****";""
"0";" 79";"0.00";"-7.971";"archive";"0.004752817"
"9";"216";"4.17";"-6.619";"suisse";"0.010090687"
"3";"110";"2.73";"-5.330";"émission";"0.020956897"
"0";" 49";"0.00";"-4.815";"diffuser";"0.028215864"
"1";" 68";"1.47";"-4.672";"rts";"0.030657022"
"0";" 46";"0.00";"-4.508";"samedi";"0.033731686"
"3";"101";"2.97";"-4.461";"petit";"0.034669310"
"0";" 45";"0.00";"-4.406";"lien";"0.035804002"
"0";" 43";"0.00";"-4.203";"clip";"0.040346085"
"0";" 41";"0.00";"-4.001";"18h45";"0.045477859"
"3";" 91";"3.30";"-3.536";"année";"0.060060552"
"0";" 35";"0.00";"-3.398";"fête";"0.065287692"
"2";" 70";"2.86";"-3.129";"jeune";"0.076922669"
"0";" 32";"0.00";"-3.098";"question";"0.078366618"
"0";" 31";"0.00";"-2.999";"amour";"0.083313248"
"0";" 29";"0.00";"-2.801";"beau";"0.094219830"
"0";" 28";"0.00";"-2.702";"rencontre";"0.100231021"
"1";" 47";"2.13";"-2.614";"bio";"0.105946232"
"1";" 46";"2.17";"-2.520";"genève";"0.112445873"
"0";" 25";"0.00";"-2.406";"occasion";"0.120855575"
"0";" 25";"0.00";"-2.406";"connaître";"0.120855575"
"0";" 24";"0.00";"-2.308";"trouver";"0.128711295"
"0";" 24";"0.00";"-2.308";"journée";"0.128711295"
"0";" 22";"0.00";"-2.112";"jeu";"0.146144063"
"0";" 22";"0.00";"-2.112";"âge";"0.146144063"
"0";" 22";"0.00";"-2.112";"mode";"0.146144063"
"0";" 21";"0.00";"-2.014";"ski";"0.155820494"
"0";" 21";"0.00";"-2.014";"jean";"0.155820494"
"0";" 21";"0.00";"-2.014";"rue";"0.155820494"
"0";" 21";"0.00";"-2.014";"réponse";"0.155820494"
"*****";"*";"*";"*";"*";"*"
"18";"334";"5.39";"-6.116";"d";"0.01339854"
" 0";" 47";"0.00";"-4.610";"notre";"0.03178109"
" 0";" 46";"0.00";"-4.508";"1";"0.03373169"
" 0";" 43";"0.00";"-4.203";"htag_miraclesuisse";"0.04034608"
" 0";" 42";"0.00";"-4.102";"htag_madeinswitzerland";"0.04283346"
" 0";" 38";"0.00";"-3.698";"htag_suissitude";"0.05446206"
" 1";" 57";"1.75";"-3.576";"plein";"0.05860825"
"31";"462";"6.71";"-3.461";"l";"0.06285060"
"19";"312";"6.09";"-3.412";"des";"0.06471726"
" 2";" 72";"2.78";"-3.313";"tous";"0.06871706"
" 7";"147";"4.76";"-3.157";"au";"0.07561701"
" 2";" 68";"2.94";"-2.946";"htag_suisse";"0.08608981"
"18";"292";"6.16";"-2.941";"dans";"0.08637300"
" 0";" 29";"0.00";"-2.801";"aujourd_hui";"0.09421983"
"33";"462";"7.14";"-2.065";"à";"0.15075545"
" 0";" 21";"0.00";"-2.014";"rien";"0.15582049"
" 0";" 21";"0.00";"-2.014";"chez";"0.15582049"
"*";"*";"*";"*";"*";"*"
"1";"50";"2";"-2.899";"*postLikes_1100";"0.08865498"
"0";"24";"0";"-2.308";"*postComments_14";"0.12871129"
"**";"classe";"4";"**";"";""
"****";"94";"1196";"7.86";"****";""
"0";" 96";"0.00";"-8.903";"retrouver";"0.002846398"
"1";" 79";"1.27";"-5.078";"archive";"0.024227243"
"3";"110";"2.73";"-4.406";"émission";"0.035808548"
"0";" 47";"0.00";"-4.173";"bio";"0.041071409"
"0";" 46";"0.00";"-4.081";"samedi";"0.043375020"
"1";" 68";"1.47";"-4.064";"rts";"0.043809454"
"0";" 45";"0.00";"-3.989";"lien";"0.045810574"
"0";" 44";"0.00";"-3.897";"temps";"0.048386048"
"0";" 43";"0.00";"-3.805";"clip";"0.051109955"
"0";" 41";"0.00";"-3.621";"18h45";"0.057040049"
"1";" 57";"1.75";"-3.081";"grand";"0.079234059"
"0";" 35";"0.00";"-3.075";"passer";"0.079481005"
"0";" 34";"0.00";"-2.985";"premier";"0.084037185"
"0";" 32";"0.00";"-2.805";"question";"0.093992958"
"2";" 70";"2.86";"-2.569";"jeune";"0.108962525"
"0";" 28";"0.00";"-2.446";"rencontre";"0.117851768"
"0";" 28";"0.00";"-2.446";"télévision";"0.117851768"
"1";" 49";"2.04";"-2.389";"diffuser";"0.122211189"
"3";" 84";"3.57";"-2.294";"miracle";"0.129876762"
"0";" 25";"0.00";"-2.178";"occasion";"0.139995063"
"1";" 46";"2.17";"-2.135";"genève";"0.143923540"
"0";" 24";"0.00";"-2.089";"journée";"0.148352586"
"*****";"*";"*";"*";"*";"*"
" 2";"147";"1.36";"-9.775";"an";"0.001768995"
" 0";" 46";"0.00";"-4.081";"1";"0.043375020"
" 1";" 68";"1.47";"-4.064";"nous";"0.043809454"
" 2";" 87";"2.30";"-4.006";"ses";"0.045334415"
"15";"292";"5.14";"-3.954";"dans";"0.046757025"
" 0";" 43";"0.00";"-3.805";"htag_miraclesuisse";"0.051109955"
" 0";" 42";"0.00";"-3.713";"htag_madeinswitzerland";"0.053991384"
"28";"462";"6.06";"-3.364";"à";"0.066635879"
" 0";" 38";"0.00";"-3.348";"htag_suissitude";"0.067297112"
" 1";" 56";"1.79";"-2.993";"htag_archives";"0.083630796"
" 0";" 34";"0.00";"-2.985";"falloir";"0.084037185"
" 2";" 73";"2.74";"-2.814";"autres";"0.093441314"
" 0";" 31";"0.00";"-2.715";"encore";"0.099431025"
" 0";" 28";"0.00";"-2.446";"htag_2000s";"0.117851768"
" 2";" 68";"2.94";"-2.408";"htag_suisse";"0.120687763"
" 6";"133";"4.51";"-2.317";"plus";"0.128004758"
" 1";" 45";"2.22";"-2.052";"toujours";"0.152012199"
"*";"*";"*";"*";"*";"*"
"0";"33";"0";"-2.895";"*postComments_7";"0.08886834"
"0";"27";"0";"-2.356";"*postComments_5";"0.12477952"
"**";"classe";"5";"**";"";""
"****";"121";"1196";"10.12";"****";""
" 0";" 57";"0.00";"-6.737";"grand";"0.009443932"
" 0";" 49";"0.00";"-5.751";"diffuser";"0.016479599"
