"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9"
".";-1,681;-2,855;-0,372;0,525;-0,972;0,171;3,06;-0,435;3,99
",";-47,508;6,454;-0,271;9,676;0;0,884;5,086;11,096;-27,878
"?";-24,861;-12,454;1,026;2,696;0,582;-0,712;2,604;39,982;-7,179
"!";-17,082;0,081;0,127;1,434;18,294;0;0,033;-0,479;-2,67
"suisse";86,137;3,338;-6,619;0;-2,918;15,004;-0,074;-3,571;-19,905
":";-2,121;-0,087;1,77;-0,87;-0,415;28,886;2,101;0,018;-9,74
"émission";323,387;-0,144;-5,33;-4,406;-1,877;-0,05;-1,491;-2,627;-13,67
"petit";-6,962;-0,712;-4,461;21,726;0,92;0,195;-10,888;-0,503;8,367
"année";-1,229;-1,715;-3,536;5,617;1,882;-4,128;-7,454;13,384;0,314
"retrouver";416,231;-3,241;-0,01;-8,903;-1,716;-0,585;-6,271;-2,828;-11,979
"miracle";314,135;-2,677;-1,702;-2,294;-4,257;0,929;-0,531;-3,384;-14,898
"archive";543,265;-0,024;-7,971;-5,078;-1,335;-3,305;-2,814;-6,841;-20,794
"jeune";-4,692;0,1;-3,129;-2,569;-0,723;2,199;-0,353;43,564;-5,848
"rts";642,364;-0,884;-4,672;-4,064;-2,581;-4,55;-6,43;-8,499;-17,724
"vie";-4,057;-4,129;3,081;-1,863;4,429;-2,126;7,57;0,059;-0,117
"grand";-3,777;1,24;-0,853;-3,081;-6,737;0,862;-0,85;1,528;8,91
"temps";-2,883;-1,547;-0,187;-3,897;-0,547;193,293;-1,812;-0,546;-4,81
"monde";-2,951;0,137;0,005;-0,753;-5,263;0,73;9,24;-4,253;3,822
"genève";-3,019;0,509;-2,52;-2,135;0,03;-0,216;-3,641;56,281;-7,149
"diffuser";612,519;-3,598;-4,815;-2,389;-5,751;-0,315;-6,124;-9,23;-12,56
"fête";-2,275;6,616;-3,398;-1,246;3,873;-2,275;0,02;0,614;-0,675
"bio";361,962;-1,955;-2,614;-4,173;-1,849;-1,271;-3,764;-3,002;-7,399
"aimer";-2,142;-4,161;-0,281;2,492;0,15;0,001;-0,765;-0,265;8,283
"samedi";689,572;-8,979;-4,508;-4,081;-5,385;-3,019;-3,641;-6,361;-11,761
"lien";308,837;-1,68;-4,406;-3,989;-1,655;-1,155;-3,518;-0,633;-6,9
"heure";-2,209;-0,032;-1,43;-1,169;-0,69;-2,209;-0,129;3,369;7,564
"clip";672,233;-8,371;-4,203;-3,805;-5,021;-2,815;-3,275;-8,058;-10,965
"aller";-2,275;-0,062;-1,517;-0,229;-0,769;-2,275;-0,171;25,733;-0,153
"romand";-2,209;16,933;-1,43;0,737;-3,939;2,129;0,041;-0,338;-2,629
"premier";0;25,695;-1,43;-2,985;-1,982;0;-0,129;-0,01;-1,403
"femme";-2,142;-4,161;-0,281;0,851;-1,874;9,113;29,232;-1,01;-2,426
"enfant";-0,612;-2,758;0,363;-1,246;-4,058;-0,003;1,565;4,899;0,815
"18h45";672,709;-7,968;-4,001;-3,621;-4,779;-2,679;-5,088;-7,67;-10,437
"passer";-0,612;-2,758;0;-3,075;50,242;1,948;-2,322;0,094;-4,473
"homme";-2,075;-1,021;-0,233;-1,018;-1,768;0,696;7,033;16,27;-5,725
"beau";-0,33;-3,409;-2,801;3,612;-3,345;0,049;17,586;-3,222;2,397
"rencontre";-0,287;-3,224;-2,702;-2,446;4,034;-0,287;0;-1,472;16,584
"amour";-0,419;-3,783;-2,999;9,524;-1,662;2,766;-0,035;-0,777;4,985
"prendre";0,001;-1,149;-1,343;-0,152;46,602;-2,142;-4,067;-6,131;2,394
"jour";-1,546;-1,027;2,019;-0,461;-0,954;-0,137;-2,935;-2,343;23,04
"souvenir";2,537;5,897;-1,258;-1,018;-3,701;-2,075;-3,941;0,003;4,451
"question";-0,465;-3,972;-3,098;-2,805;-3,701;0,006;-0,682;100,134;-5,725
"occasion";-0,171;2,855;-2,406;-2,178;-0,126;-1,611;0,75;8,441;-2,219
"lausanne";-1,942;7,108;5,07;-0,871;-1,557;0,91;-3,688;5,13;-7,565
"partir";-0,137;-2,492;-0,615;-0,461;-0,086;161,762;-1,095;-2,343;-6,021
"télévision";-1,809;15,772;-0,926;-2,446;-0,279;1,172;1,536;-3,044;-0,537
"suivre";-1,414;0,095;0,007;-0,34;-0,765;0,399;-0,889;15,724;-3,264
"noël";0,493;-4,012;-0,403;-0,283;4,407;-1,349;11,455;1,194;-5,255
"trouver";-1,546;-4,597;-2,308;-0,461;-0,086;-1,546;8,737;22,754;-2,009
"raconter";-0,208;10,256;-0,767;0,497;0,059;-0,208;0,61;-4,801;-1,127
"nombreux";-0,078;-0,759;0,719;-1,912;0,305;-0,078;-2,686;0,954;2,067
"jeu";-1,414;-4,206;-2,112;-0,34;-2,523;0,399;-0,889;2,479;17,149
"fin";-1,546;-1,027;-0,615;0,008;-2,757;-1,546;-2,935;13,137;4,881
"âge";-1,414;2,216;-2,112;-1,912;-2,523;-1,414;36,216;0,144;-3,264
"vacance";-0,016;-3,624;103,873;-1,647;-2,173;-1,218;-2,314;0,004;-2,552
"journée";-1,546;-0,201;-2,308;-2,089;-0,086;-1,546;120,123;-4,424;-6,021
"ski";-1,349;-4,012;-2,014;102,076;-0,674;-0,053;-0,789;-0,55;-1,406
"public";0,195;5,035;-0,012;-0,525;-2,874;1,681;-1,2;-0,215;0,001
"jean";-1,349;101,371;-2,014;-1,823;-2,406;-0,053;-2,562;-3,861;-5,255
"découvrir";7,204;3,081;-0,337;-1,735;2,185;-0,032;-0,692;-0,001;-5
"vivre";-1,48;-0,89;-0,542;0,023;1,365;-0,106;-0,099;-2,171;8,349
"vaudois";-1,611;2,855;-0,69;14,302;-0,126;-1,611;-0,195;0,435;-3,99
"mode";-1,414;-2,135;-2,112;0,047;-0,765;0,399;-2,686;20,822;0,127
"connaître";-1,611;1,29;-2,406;-0,525;-2,874;1,681;-1,2;26,535;-3,99
"école";-1,349;-1,958;-0,403;-1,823;-2,406;0,493;-0,031;35,823;-1,406
"voiture";-1,218;-1,612;-0,275;31,266;-2,173;14,36;0,523;-1,501;-4,746
"voir";-1,546;0,014;-0,615;-0,461;9,774;-0,137;-0,144;-2,343;1,376
"soleil";-0,444;-1,322;3,564;4,171;-0,793;-0,444;-0,844;4,126;-1,731
"pays";0,015;0,201;-0,073;13,612;-0,199;0,015;-1,821;0,259;-3,734
"devenir";-1,284;-0,01;1,055;13,768;-0,586;-1,284;-0,01;-3,674;0,356
"rue";-1,349;-4,012;-2,014;0,082;12,67;0,493;-0,031;8,57;-5,255
"passion";-1,218;0,4;87,75;-1,647;-0,5;-0,016;-2,314;-3,488;-4,746
"musique";-0,765;-0,508;-1,142;-1,034;-1,364;-0,765;12,161;0,017;1,416
"histoire";1,251;2,908;-1,528;6,579;7,964;-1,023;-1,944;-2,93;-3,987
"festival";-0,894;52,037;-1,335;-0,01;-1,594;-0,894;-1,698;-2,559;-1,418
"proposer";1,251;-3,044;-0,115;-0,058;-1,825;-1,023;12,186;6,166;-3,987
"parler";-1,349;-1,958;0,023;-1,823;-0,674;-1,349;23,125;2,905;-1,406
"lancer";-1,284;-0,515;-0,337;0,129;0;-1,284;7,926;-0,001;0,001
"évoquer";-0,032;3,081;17,996;-0,23;-0,586;-1,284;-0,01;-1,665;-2,787
"venir";0;-1,276;-1,625;-1,471;0,051;-1,088;-0,419;0,901;8,13
"réponse";-1,349;-1,958;-2,014;-1,823;-2,406;-1,349;-0,031;81,776;-5,255
"place";-0,959;0,201;0,43;13,612;-0,199;-0,959;-0,259;-0,045;-1,637
"danse";-1,023;-1,112;-1,528;-1,383;7,964;1,251;3,469;0,149;-1,861
"voyage";-1,284;-1,784;0,05;-1,735;0;149,495;-2,438;-3,674;-2,787
"travail";-1,088;-0,211;-1,625;0,363;-0,34;4,235;10,913;-0,166;-2,089
"secret";-0,572;-1,702;0,072;-0,774;-1,021;0,435;-1,087;-1,638;19,29
"prêt";-1,284;-0,01;-0,337;-1,735;-0,586;42,265;0,393;-0,001;-2,787
"plutôt";0;-1,276;-1,625;17,923;-1,941;-1,088;0,02;8,909;-4,239
"partager";0,003;-3,044;46,761;-1,383;-0,267;-1,023;-1,944;-2,93;1,358
"métier";-1,218;-0,404;72,986;0,19;-2,173;-1,218;-2,314;-0,34;-2,552
"mot";-1,218;0;-0,275;-1,647;0,004;3,357;4,925;0,493;-2,552
"mettre";-1,088;-1,276;15,599;-1,471;18,295;1,049;-2,067;-3,115;-2,089
"ville";-0,894;12,451;-1,335;-1,208;1,993;-0,894;-0,188;0,41;-3,482
"présenter";-1,088;17,877;-0,163;-1,471;-1,941;1,049;0,02;-1,18;-0,691
"meilleur";-0,959;-0,07;-1,431;-0,03;-1,71;-0,959;38,628;-0,874;-0,393
"genevois";-1,088;0,044;-1,625;2,281;-0,34;-1,088;-2,067;0,073;5,007
"eau";-0,959;-0,953;0,43;0,628;22,315;-0,959;-0,259;-0,874;-1,637
"début";-1,218;0,4;-1,819;9,081;2,539;-0,016;-2,314;0,004;-1,033
"cinéma";-1,153;97,37;-1,722;-1,559;-2,057;-1,153;-2,19;-3,301;-4,493
"valoir";0,015;-2,851;-1,431;0,628;4,575;-0,959;-1,821;-0,874;6,958
"retour";-0,959;-0,953;-0,073;-1,296;66,757;-0,959;-0,259;-2,744;-1,637
"plaisir";-1,088;0,044;-1,625;-0,093;-1,941;1,049;-2,067;0,901;5,007
"matin";-1,153;-0,302;111,082;-1,559;-2,057;-0,005;-0,507;-3,301;-4,493
"laisser";-0,444;-1,322;-0,664;0,402;2,637;-0,444;0,095;0,957;-0,132
"français";0;47,704;-1,625;-1,471;-0,34;0;-0,419;-3,115;-4,239
"fois";0,037;0,337;0,579;-1,208;16,698;0,037;-0,188;-2,559;-3,482
"famille";-1,153;-0,302;0,145;-0,134;0,02;-1,153;9,794;-1,339;0,072
"donner";-1,088;-3,237;-0,163;0,363;-0,34;38,352;-0,419;0,901;-2,089
"complet";193,203;-1,112;-1,528;-1,383;-0,267;-1,023;-1,944;-2,93;-3,987
