"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"2";3;4;7;9;10;12;15;17;19;21;23;23;23;23;23;23;23;23;23
"3";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"4";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"5";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"6";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"7";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"8";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"9";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"10";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;36;36
"11";3;4;7;9;10;12;15;17;19;21;22;25;26;28;28;28;28;28;28
"12";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"13";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"14";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"15";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"16";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;35;35;35
"17";3;4;7;9;10;12;15;17;19;21;22;25;26;29;30;30;30;30;30
"18";3;4;7;9;10;12;15;17;19;21;22;25;26;29;31;31;31;31;38
"19";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"20";3;4;7;9;10;12;15;16;16;16;16;16;16;16;16;16;16;16;16
"21";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
"22";3;4;7;9;10;12;15;17;19;20;20;20;20;20;20;33;34;37;37
