de;26;60;31;50;39;44;41;56;28;43;43;72;31;78;3;29;49;69
la;21;37;19;28;27;30;26;46;23;25;31;61;22;69;2;26;41;54
le;60;34;18;32;25;32;15;42;21;24;33;52;28;60;0;24;25;51
htag_rtsarchives;61;53;24;50;34;34;46;29;28;34;32;61;15;42;68;54;60;37
et;67;39;16;28;17;26;22;29;14;23;27;56;21;49;0;21;34;46
les;52;29;14;22;17;26;18;26;19;29;27;38;18;41;1;28;30;37
être;19;27;19;35;27;25;27;27;22;28;26;38;20;43;1;29;27;32
l;59;22;21;24;21;20;18;35;15;25;28;34;15;44;1;22;22;42
en;36;35;19;20;19;27;28;28;12;28;26;35;24;45;0;14;25;44
à;55;33;14;23;17;21;23;24;19;24;21;31;20;46;0;17;26;42
un;6;27;16;22;14;18;22;23;14;19;18;33;11;31;0;19;16;35
pour;3;25;10;24;19;22;15;26;11;14;14;32;12;20;0;29;25;32
des;8;22;10;14;13;16;11;19;13;21;19;31;10;31;0;12;24;23
d;52;31;11;10;12;20;11;24;11;21;14;21;10;35;1;13;19;22
avoir;10;26;6;15;10;10;17;18;8;13;19;29;11;22;0;13;25;31
du;7;14;10;16;11;18;18;24;8;10;20;24;14;30;0;14;8;27
dans;63;13;7;12;9;17;11;19;6;10;12;22;7;24;0;14;14;29
une;10;14;9;13;4;13;11;16;17;20;12;23;6;24;0;8;15;28
sur;56;12;9;9;5;7;10;9;6;11;17;15;7;24;0;3;13;20
user_utilisateurice;15;13;7;12;5;11;14;12;2;2;9;15;4;24;19;9;7;9
il;9;14;9;16;10;12;12;9;5;5;9;21;6;19;1;10;11;13
vous;3;12;9;9;9;4;7;9;6;8;8;16;2;8;0;18;20;4
pas;4;14;4;16;9;6;16;4;6;11;9;25;10;9;1;15;15;11
qui;4;18;7;12;6;4;9;20;7;9;16;21;12;14;0;9;9;20
ne;5;18;5;7;7;6;14;7;5;9;12;27;11;12;2;13;14;13
c;3;11;8;13;13;9;9;11;10;10;4;19;7;12;0;12;15;7
ce;44;9;3;13;10;11;10;14;4;5;7;13;5;12;0;3;11;13
au;2;9;12;3;6;12;9;10;10;6;5;13;8;16;0;6;4;13
avec;11;3;4;13;3;7;11;15;4;5;9;11;7;19;0;2;11;13
que;1;11;3;8;11;2;7;9;8;9;10;14;4;8;0;10;11;12
son;10;6;4;9;4;7;9;8;7;4;8;13;9;18;0;3;2;14
an;15;6;3;8;6;7;8;4;3;3;8;11;9;21;1;2;11;9
plus;6;10;1;5;2;5;5;7;2;7;4;11;5;12;1;7;12;17
faire;0;17;4;10;4;7;2;9;7;10;3;11;10;7;2;7;6;13
on;1;10;9;9;6;6;6;10;5;8;4;9;2;9;0;4;12;8
se;5;5;2;6;5;12;5;10;2;10;8;10;3;10;0;15;4;13
qu;2;4;2;6;7;9;7;6;3;6;4;13;3;8;0;8;11;7
ou;4;9;7;4;2;7;1;4;3;7;3;11;0;7;0;10;16;7
s;2;9;6;2;7;4;2;8;1;10;2;8;3;14;0;3;10;10
y;1;6;6;4;5;3;5;4;2;3;4;9;2;3;0;6;6;6
ses;6;4;3;8;3;3;4;3;2;5;6;7;3;14;0;2;6;9
aux;0;4;4;2;3;6;6;12;2;4;5;5;2;8;1;3;6;8
par;2;7;5;3;5;2;6;4;4;9;3;2;6;7;0;4;3;4
sa;5;7;5;5;2;1;4;3;0;0;4;12;4;10;0;1;1;18
mais;1;5;5;4;6;0;3;10;0;3;7;8;3;4;0;4;7;8
nous;8;1;0;1;3;3;1;10;3;4;5;10;1;6;0;4;3;9
cette;5;1;4;5;3;5;1;6;2;1;6;3;1;8;0;3;8;12
bon;0;16;0;3;1;6;1;6;7;4;4;2;3;2;0;5;3;2
