"";"";"";"";"camp";""
"1";"camp";"-0.54593858518151";"0.45451014917489";"1.02390735596612";"57"
"2";"tomber";"-0.505640198392809";"0.164699083033566";"1.0235792365008";"58"
"3";"emji_main_qui_écrit";"4.53484668802739";"0.621348996700319";"1.02264272886022";"59"
"4";"humeur";"-0.547297718264966";"0.486311395418526";"1.01456620493795";"71"
"5";"diligence";"-0.547297718264966";"0.486311395418526";"1.01456620493795";"73"
"6";"cueillette";"-0.549428348118139";"0.0864091978034229";"0.995053350485033";"83"
"7";"existence";"-0.620737591415575";"0.312553275047003";"0.982345557026293";"96"
"8";"pied";"-0.54644695509695";"0.577196730729234";"0.955583313136586";"122"
"9";"marathon";"-0.54644695509695";"0.577196730729234";"0.955583313136586";"123"
"10";"soigner";"-0.540502052847689";"0.327305164200349";"0.952199581150531";"125"
"11";"habitant";"-0.545660475267626";"0.383752158268318";"0.952107297550911";"127"
"12";"homme";"-0.421292556324264";"0.402113483671132";"0.949800207560419";"129"
"13";"froid";"-0.497969373099009";"-0.00311341175442055";"0.946498505440693";"133"
"14";"ami";"-0.547196774300526";"0.146633189402655";"0.940937564085833";"143"
"15";"valaisans";"-0.57227038010299";"0.142023224042234";"0.940937564085833";"145"
"16";"fleur";"-0.566063831456255";"0.220420024785489";"0.940937564085833";"146"
"17";"grand";"-0.394139980760511";"0.0726295359399536";"0.934317070290895";"159"
"18";"aimer";"-0.468306538799476";"-0.00476021837606673";"0.926148262769005";"172"
"19";"ménager";"-0.543894665592903";"0.849852736661358";"0.925457844727406";"173"
"20";"facile";"-0.63815031401911";"0.817295157739149";"0.92240906802886";"175"
"21";"jeune";"-0.432005599044085";"0.437607600218683";"0.909096304305947";"204"
"22";"société";"-0.540502052847689";"0.327305164200349";"0.908094856354518";"209"
"23";"plante";"-0.540502052847689";"0.327305164200349";"0.908094856354518";"210"
"24";"reprendre";"-0.540502052847689";"0.327305164200349";"0.908094856354518";"211"
"25";"rappeler";"-0.548179979324305";"0.266970053948029";"0.907773572711398";"212"
"26";"chemin";"-0.433046585142443";"-0.209965589132855";"0.907773572711398";"213"
"27";"donner";"-0.36115886119118";"0.316903764069606";"0.907226706935874";"214"
"28";"cadeau";"-0.551283228365248";"0.369469070133398";"0.905603199164787";"216"
"29";"façon";"-0.511311695447615";"-0.285209315686242";"0.905603199164787";"217"
"30";"ados";"-0.543894665592903";"0.849852736661357";"0.904205273526104";"219"
"31";"exister";"-0.435685283944277";"0.19646030055904";"0.90353194503999";"221"
"32";"plutôt";"-0.275109224275725";"0.674312868655366";"0.899922630921531";"222"
"33";"travail";"-0.486448329556843";"0.259318786918727";"0.899574003989634";"230"
"34";"profiter";"-0.512867497895614";"0.362094051188472";"0.892372465308202";"238"
"35";"occuper";"-0.335282472534601";"0.523916801915744";"0.890362733583152";"239"
"36";"pierre";"-0.334797813570998";"0.449267148707028";"0.890362733583152";"240"
"37";"artiste";"-0.345578989088558";"0.491431054640077";"0.890362733583152";"241"
"38";"décennie";"-0.335588339646032";"0.340203786013037";"0.890362733583152";"242"
"39";"alcool";"-0.334313154607396";"0.374617495498313";"0.890362733583152";"243"
"40";"secours";"-0.548007928216023";"0.353010662880158";"0.890010688740158";"248"
"41";"humilité";"-0.546163367374278";"0.60749184249947";"0.890010688740158";"249"
"42";"main";"-0.487163575379229";"0.764613494915585";"0.889269002032104";"251"
"43";"connaître";"-0.384748091844885";"0.11761011467411";"0.888981897499953";"252"
"44";"servette";"-0.0569524481740852";"-2.09041322579907";"0.888728972078774";"257"
"45";"compétition";"-0.0569524481740852";"-2.09041322579907";"0.888728972078774";"261"
"46";"décéder";"-0.0569524481740852";"-2.09041322579907";"0.888728972078774";"262"
"47";"répondre";"-0.473510344843625";"0.584003323616697";"0.888564912346116";"264"
"48";"piste";"-0.493662589036148";"0.299353654722664";"0.887143061329754";"268"
"49";"sauter";"-0.540502052847689";"0.327305164200349";"0.886097180534064";"272"
"50";"récréation";"-0.540502052847689";"0.327305164200349";"0.886097180534064";"273"
"51";"chose";"-0.564701666811665";"0.632350815543914";"0.884671911606605";"277"
"52";"technique";"-0.492391309924954";"0.338344708169874";"0.884268598097156";"278"
"53";"véritable";"-0.544162299315406";"0.68910384774649";"0.883834523387834";"279"
"54";"paraître";"-0.21286056588384";"-0.103248702745816";"0.883831105476736";"280"
"55";"oeuvre";"-0.309570486818561";"0.380294975254068";"0.883831105476736";"281"
"56";"américain";"-0.310249009367604";"0.48480448974627";"0.883831105476736";"283"
"57";"ordre";"-0.310249009367604";"0.48480448974627";"0.883831105476736";"284"
"58";"magnifique";"-0.251837595311279";"0.393542428017498";"0.88342437405619";"285"
"59";"salaire";"-0.251837595311279";"0.393542428017498";"0.88342437405619";"286"
"60";"épineux";"-0.543894665592903";"0.849852736661358";"0.882990299346868";"288"
"61";"célébrer";"-0.543894665592903";"0.849852736661358";"0.882990299346868";"290"
"62";"plage";"-0.385269714803454";"-0.639198276730741";"0.881342866198102";"292"
"63";"htag_liberté";"-0.57160899256896";"0.265090300446178";"0.881342866198102";"293"
"64";"tarauder";"-0.547583787276394";"0.340890377422734";"0.881342866198102";"295"
