"";"";"";"";"htag_suissitude";""
"1";"htag_suissitude";"3.89279645723708";"0.627171941102478";"2.88189862970782";"5"
"2";"htag_changementdheure";"-0.558309788768444";"0.804372690475423";"0.891678882630886";"73"
"3";"htag_automobile";"-0.324851862881686";"0.507620005178461";"0.88631414550207";"82"
"4";"htag_lausannecity";"-0.611747895425959";"0.331648077263115";"0.876885992906558";"96"
"5";"htag_kids";"-0.498946444839181";"0.454384770514036";"0.872066473549223";"104"
"6";"htag_vintage";"-0.51184930164391";"-0.000188253076171938";"0.87007591432693";"107"
"7";"comment";"-0.514128145351172";"0.226658415806275";"0.86586847907154";"116"
"8";"m";"-0.468335938463587";"0.343864480154634";"0.864577444537185";"119"
"9";"htag_courseapied";"-0.476215823146474";"-0.0557639271510029";"0.863507583249751";"122"
"10";"moi";"-0.529420456381363";"0.523185468655174";"0.862669182337002";"124"
"11";"htag_swissattitude";"-0.561913569562329";"0.793002678928939";"0.861954226957418";"125"
"12";"attention";"-0.536682400379682";"0.793079410309688";"0.859670484593857";"128"
"13";"loin";"-0.489330480204465";"0.167999127803861";"0.858111984737643";"136"
"14";"htag_train";"-0.625900759305381";"0.497017624542481";"0.857319875899831";"141"
"15";"ou";"-0.31943522358917";"0.506928638664632";"0.853616509904867";"149"
"16";"encore";"-0.325155516865299";"0.158826797726892";"0.852289470423339";"152"
"17";"htag_archives";"-0.405721344433134";"0.230744744127547";"0.85096243094181";"158"
"18";"htag_alcool";"-0.373215157364388";"0.469845787255559";"0.848097465859595";"164"
"19";"htag_fusee";"-0.34805908115675";"0.371463340078446";"0.848097465859595";"165"
"20";"90";"-0.536048322922669";"0.563552024534685";"0.847660262929634";"167"
"21";"htag_90s";"-0.544523070222786";"0.714620286688443";"0.844841589922356";"176"
"22";"htag_cff";"-0.586511565354794";"0.370349767308345";"0.844373525609103";"178"
"23";"htag_2000s";"-0.303564953840924";"0.121229553332569";"0.84422950582041";"179"
"24";"du";"-0.283608285147755";"-0.246800270272541";"0.843951753370788";"181"
"25";"quoi";"-0.522244037953163";"0.560877449137664";"0.843560842515764";"183"
"26";"htag_rtsxarchives";"-0.122132418637188";"0.312508592735699";"0.843529981132473";"184"
"27";"eux";"-0.544322879548908";"0.592654514397569";"0.843504263313063";"185"
"28";"puis";"-0.454566276081608";"0.497322813896772";"0.843149357405212";"186"
"29";"devoir";"-0.148671376935618";"0.510912753179371";"0.842038347606723";"188"
"30";"surtout";"-0.537704769056286";"0.349633757435249";"0.840680446741903";"190"
"31";"1980";"-0.569130691113989";"0.447306691660039";"0.840680446741903";"191"
"32";"qui";"-0.347551795902012";"-0.018246119865481";"0.838803045925012";"196"
"33";"entre";"-0.276954271949864";"0.10263069292833";"0.838751610286193";"197"
"34";"des";"-0.3095319984346";"0.0865207462391623";"0.838695031083492";"198"
"35";"même";"-0.183198233108795";"-0.0381390704100991";"0.838520149911507";"199"
"36";"30";"0.111513070267005";"0.113168796458036";"0.838031511342727";"200"
"37";"htag_danse";"-0.422976110321241";"0.209733149644296";"0.837959501448381";"202"
"38";"très";"-0.142162421027693";"-0.209797593390359";"0.836894783724829";"203"
"39";"100";"-0.349650326222671";"0.18231870385638";"0.836617031275206";"205"
"40";"plusieurs";"-0.432571956956706";"0.450423126155914";"0.836617031275206";"206"
"41";"1970";"-0.415551001801142";"-0.0646218886609843";"0.836411288719931";"213"
"42";"se";"-0.260586291411841";"-0.032371724627315";"0.835305422485323";"215"
"43";"htag_travel";"-0.444280567002219";"0.349384252139396";"0.835259130410386";"216"
"44";"htag_green";"-0.565658129055327";"0.42568761137746";"0.835259130410386";"217"
"45";"htag_language";"-0.565658129055327";"0.42568761137746";"0.835259130410386";"219"
"46";"htag_cadeaudenoel";"-0.541632923762761";"0.501487688354017";"0.835259130410386";"220"
"47";"celles";"-0.581394246162706";"0.461565367389945";"0.835207694771567";"221"
"48";"quand";"-0.368500869635923";"0.319911067233814";"0.835176833388276";"222"
"49";"user_utilisateurice";"-0.0595725629037606";"-0.0567881400639803";"0.835022526471819";"223"
"50";"deux";"-0.225372310849513";"-0.0415339819695283";"0.834832214608189";"224"
