"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,494688224414978;19,3072790509916;19,3072790509916
"facteur 2";0,323914606911857;12,6421236562391;31,9494027072307
"facteur 3";0,291314200898823;11,3697563246462;43,3191590318769
"facteur 4";0,258422034809857;10,0860018345889;53,4051608664658
"facteur 5";0,24666269403395;9,6270443284048;63,0322051948706
"facteur 6";0,22198677171089;8,66396314996086;71,6961683448315
"facteur 7";0,200738155318305;7,83464693443078;79,5308152792623
"facteur 8";0,194437564171459;7,58873998646932;87,1195552657316
"facteur 9";0,17681999860225;6,90114073130992;94,0206959970415
"facteur 10";0,153200835428387;5,97930400295849;100
