"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
".";-6,299;-7,008;-0,022;0,179;2,127;0,271;-2,353;3,274;3,204;0,096;-0,737
",";-43,313;0,012;0,309;8,941;14,374;-0,056;13,374;-103,378;3,401;2,371;13,861
"?";-27,953;-9,002;0,588;-0,259;-5,943;0,938;-2,607;15,212;0,089;66,757;-14,86
"!";-20,783;7,77;9,271;-0,784;-0,639;5,952;-2,804;1,122;0,149;-1,482;0
"suisse";70,525;-2,845;0,003;-1,035;1,902;-2,697;6,915;-31,506;-1,892;-0,475;1,498
":";-0,03;-0,627;-0,05;-2,502;56,673;-4,785;1,478;-6,864;-4,043;-0,535;0,888
"émission";286,496;-4,639;-4,837;-2,032;0,006;-4,181;-0,38;-14,332;-6,63;-4,395;1,882
"petit";-6,576;-1,241;5,509;47,342;-1,844;0,298;-1,798;0;1,151;-4,257;-0,036
"année";-1,592;-0,5;-3,095;16,017;-4,666;-0,321;-0,17;-0,558;6,99;3,358;-0,911
"retrouver";382,312;-2,201;-3,983;-0,484;-0,016;-3,418;-6,574;-4,921;-6,202;-5,185;-3,184
"archive";538,6;-4,544;-3,282;-2,395;-0,625;-2,793;-2,088;-14,566;-9,8;-14,884;-0,005
"rts";644,11;-4,146;-4,984;-4,086;-2,997;-4,492;-0,722;-11,272;-11,08;-13,944;-0,766
"miracle";307,49;-3,988;-0,02;-2,048;2,99;-4,372;-3,222;-13,281;-8,601;-2,739;-2,211
"jeune";-4,758;-1,125;-1,721;0,042;13,804;-1,411;-3,905;-7,583;-0,149;32,361;-0,497
"vie";-4,504;-4,271;-1,552;5,17;6,903;0,019;-3,697;-0,446;14,213;0,217;-4,757
"monde";-3,833;-1,742;-0,168;0,337;17,539;14,501;26,018;-3,854;-5,612;-8,127;-0,021
"grand";-4,42;-0,898;-1,497;39,74;20,057;-0,217;-0,538;-6,9;-1,936;-0,074;0,092
"genève";-3,336;0,524;-0,809;-0,469;-0,073;12,62;-2,738;-6,922;-2,867;5,417;8,991
"temps";-3,418;-0,317;-0,06;-0,506;93,939;-0,661;-2,806;-7,094;-0,139;0;-2,846
"bio";366,69;-1,954;-3,094;-0,819;-2,617;-1,023;-3,351;-8,474;-2,671;-4,479;-2,49
"lien";312,719;-1,883;-3,031;-0,778;-1,248;-0,976;-3,283;-8,3;-2,536;-2,76;-2,362
"diffuser";543,254;-3,793;-1,223;-2,485;-4,197;-2,732;-3,283;-6,055;-8,18;-6,226;-5,717
"aller";-2,926;-0,113;-2,217;-1,818;-2,599;15,742;1,648;0,876;-3,833;7,9;-0,19
"samedi";639,59;-3,556;-2,842;-2,33;-5,927;-2,561;-3,077;-7,781;-7,669;-7,951;-7,445
"fête";-1,956;7,086;-0,109;-1,215;-3,092;-1,336;-0,168;-2,036;2,388;-0,757;11,598
"aimer";-2,519;-0,692;-1,909;-1,565;2,161;37,35;0,709;-1,548;0,763;-0,059;-2,913
"heure";-2,438;-2,312;1,08;33,217;-0,041;-0,205;-0,413;-1,418;-1,367;6,015;-1,265
"clip";597,166;-3,32;-2,653;-2,175;-5,534;-2,391;-2,873;-7,265;-7,16;-7,423;-6,951
"passer";-1,334;-1,196;7,236;-1,971;-0,027;0,561;1,244;-6,581;4,648;2,509;-2,429
"femme";-2,6;-2,466;-0,395;-0,179;23,048;-1,776;14,29;-3,274;-1,622;5,003;-5,163
"jour";-3,008;-1,066;-0,004;6,726;-1,249;0,007;121,345;-6,241;0,8;-6,377;-3,827
"18h45";583,075;-3,242;-2,59;-2,124;-5,404;-2,335;-2,806;-7,094;-6,991;-7,248;-6,787
"romand";-2,277;-0,52;-1,726;0,38;0,277;-0,146;-1,869;-2,647;-2,587;-0,001;38,538
"premier";-0,107;-2,62;-0,48;-0,236;0,015;-0,341;25,432;-5,733;-1,887;-2,045;18,063
"enfant";-0,922;-0,044;-2,032;-1,666;-2,244;0,062;-0,556;-5,564;-0,094;66,58;-1,635
"homme";-2,438;-2,312;-1,848;-0,127;7,449;-1,666;-2,001;-5,06;-1,367;44,27;-0,344
"rencontre";-0,922;-2,543;-2,032;1,481;0,556;11,916;4,868;-5,564;10,589;-0,771;-5,324
"beau";-0,224;-1,628;-0,038;1,07;6,32;23,615;-0,075;-3,563;-0,379;-1,657;-0,33
"amour";-0,137;-0,101;-1,181;0,01;4,262;0;-1,279;-1,305;2,283;0,616;-1,193
"prendre";-0,08;-2,543;-2,032;-1,666;-4,239;-0,305;-0,556;-5,564;107,666;-5,686;0,07
"souvenir";1,29;-0,752;-0,395;4,5;-0,791;-1,776;-0,507;-0,072;0,075;-1,767;5,875
"question";-0,604;-2,159;-1,726;-0,082;-3,6;0,234;-1,869;-4,725;-2,587;105,668;-2,467
"occasion";-0,005;-1,103;-0,882;0,158;-0,269;-0,795;0,016;-2,414;-0,001;0,46;9,53
"lausanne";-1,956;-0,31;89,091;-1,215;-3,092;-0,051;-1,605;-4,059;-0,052;2,14;-0,602
"télévision";-1,876;-1,779;-1,422;-1,166;0,877;-1,282;-0,134;-1,887;-1,839;0,149;35,908
"suivre";-1,956;3,449;-0,109;-1,215;0,718;-0,051;9,114;-2,036;-4;2,14;-0,032
"partir";-0,271;-0,218;-1,361;-0,002;84,136;-0,019;-1,474;-1,738;-1,693;-1,807;-3,567
"nombreux";-0,137;0,336;-1,181;5,134;-0,013;-1,064;-1,279;4,564;0,037;-3,304;0,058
"fin";0,066;0,095;-0,644;0,53;3,13;-0,581;0,202;-1,764;-0,188;-0,22;0,241
"âge";-1,479;-1,402;-1,121;-0,919;0,5;0,004;-1,214;-3,069;-0,15;4,985;9,428
"trouver";-1,4;-0,043;-1,061;-0,87;-2,213;5,296;-0,004;3,058;-0,995;9,449;-2,779
"noël";0,341;-1,402;-1,121;-0,919;-0,614;-1,01;-1,214;-3,069;8,96;12,726;-1,061
"ski";-0,018;-0,007;0,018;2,37;-1,964;13,78;-1,019;1,748;-0,015;-2,634;-0,683
"raconter";0,03;-1,855;-1,482;-0,017;4,624;12,219;0,2;-4,059;-1,986;-2,112;4,888
"journée";0,027;0,047;0,19;-0,577;-1,468;0,29;-0,762;-0,296;-0,281;-0,32;8,58
"jeu";-1,637;0,257;-1,241;-1,017;-0,036;8,973;-1,344;-1,447;7,158;1,724;-3,251
"jean";-1,796;-1,704;-1,361;-1,116;-0,108;-1,227;-1,474;-3,728;-1,693;-1,807;98,687
"histoire";0,713;-1,178;-0,941;2,37;-1,964;0,056;-1,019;-0,763;-0,736;-2,634;26,251
"vacance";0,007;0,018;2,486;0,301;-1,591;-0,688;0,075;3,234;1,022;-2,134;-1,999
"public";2,526;-1,327;-1,061;-0,87;5,473;-0,956;-1,149;-2,905;-0,995;-2,968;21,618
"découvrir";6,318;0,546;-1,061;-0,87;-2,213;-0,956;-1,149;-0,104;-0,092;-1,077;10,535
"connaître";-1,876;-1,779;-1,422;-0,008;2,563;-1,282;-1,54;-1,887;-3,837;26,476;1,248
"voir";-1,717;-0,176;-0,038;-1,067;-0,91;-1,173;-1,409;-3,563;48,074;0,331;-1,465
"vaudois";-1,876;-1,779;-0,082;-0,008;-1,118;54,902;-1,54;-3,893;-0,567;0,149;2,98
"mode";-1,637;-0,137;-1,241;10,38;-0,809;0,939;-1,344;-0,317;-1,407;20,153;-3,251
"mettre";-1,876;0,095;11,138;-1,166;-1,118;-1,282;33,12;-3,893;1,114;-1,959;-0,506
"devenir";-1,717;-1,628;-0,038;-1,067;0,188;14,97;-0,075;-0,404;0,413;-0,444;0,487
"vivre";-1,637;-1,553;-0,022;1,224;1,511;0,939;-0,051;1,844;0,554;-3,472;-0,252
"rue";-0,694;-0,659;0,554;-0,432;-1,098;49,141;-0,57;-1,441;-0,046;-0,062;-0,034
"pays";0,007;-0,955;-0,763;-0,625;-0,132;3,019;0,075;0,031;0,038;0,908;-0,348
"passion";-1,558;0,336;8,272;0,01;-0,013;0;3,021;-1,305;-3,186;-3,304;5,016
"école";-1,321;-1,253;4,924;2,076;-0,433;1,686;-1,084;-2,741;-2,701;21,807;-2,623
"voiture";-0,694;-0,659;-0,526;-0,432;18,866;-0,474;-0,57;0,555;-1,42;-0,062;-0,034
"soleil";-0,694;3,432;-0,526;0,903;0,001;-0,474;-0,57;0,555;-1,42;2,831;-1,379
"musique";-0,928;0,047;-0,704;-0,577;-0,076;-0,634;0,128;-1,926;8,195;-0,32;1,475
"festival";-1,085;-1,029;0,075;-0,674;-1,715;-0,741;-0,89;-2,251;-2,219;-2,301;78,5
"venir";-0,137;-0,101;8,272;19,646;-0,013;-1,064;0,611;-0,237;-0,218;-3,304;-1,193
"place";0,007;0,018;-0,763;-0,625;-0,132;-0,688;6,962;-2,089;-2,059;0,908;3,544
"parler";-1,558;-1,478;3,555;-0,968;-0,71;0;-0,03;0,029;-3,186;21,986;-1,193
"lancer";-1,321;-1,253;0,005;-0,821;-2,088;-0,902;0;6,793;0,249;-0,938;3,96
"fois";0,007;-0,955;0,124;-0,625;-0,132;3,019;6,962;-2,089;3,334;-2,134;-0,348
"sport";6,832;-0,806;-0,644;-0,528;-1,344;-0,581;18,51;-1,764;0,204;-1,803;0,241
"proposer";2,536;0,167;-0,585;-0,48;0,887;-0,528;10,52;-1,603;-1,579;0,305;-1,533
"champion";-1,479;-1,402;-0,002;0,023;-0,614;41,542;3,387;-3,069;-0,15;-3,136;1,041
"évoquer";-0,039;-1,253;42,399;-0,821;-0,433;0,03;-1,084;-2,741;-0,864;-0,07;1,608
"équipe";-1,479;-0,069;-1,121;-0,919;-0,001;-1,01;33,214;-1,165;-0,15;0,053;0,113
"ville";-1,321;0,682;1,313;0,072;-2,088;47,882;-1,084;-2,741;-2,701;0,194;-0,031
"réponse";-1,085;-1,029;-0,822;-0,674;-1,715;-0,741;0,039;-0,517;-2,219;60,701;-2,154
"rester";-1,242;-1,178;-0,941;-0,772;0,049;-0,848;10,624;-2,578;-0,015;11,975;-0,683
"prêt";-1,479;-0,069;-1,121;12,145;19,657;-1,01;-1,214;-3,069;-1,13;-0,19;0,113
"plutôt";-0,039;-0,022;-1,001;-0,821;-2,088;0,03;-1,084;29,677;-2,701;0,194;-0,806
"métier";-1,321;-0,022;1,313;14,347;-2,088;0,03;-1,084;-2,741;-2,701;1,313;3,96
"genevois";-0,1;-1,402;-0,002;-0,919;-2,338;138,462;3,387;-3,069;-3,024;-1,218;-1,061
"danse";-1,163;-1,103;-0,882;17,158;1,336;-0,795;-0,955;-2,414;9,089;-0,674;-0,566
"voyage";-1,4;-0,043;-1,061;-0,87;71,621;-0,956;-0,004;-2,905;-0,092;-2,968;-0,932
"travail";-1,321;-1,253;29,575;-0,821;0,017;-0,902;-1,084;-2,741;-2,701;10,628;-0,031
"secret";-1,321;-0,022;-1,001;-0,821;-2,088;-0,902;-1,084;-0,894;82,227;-2,801;-2,623
"présenter";-1,479;-1,402;-1,121;-0,919;0,5;-1,01;-0,015;-1,165;-0,15;-3,136;42,089
"partager";-0,039;-0,022;1,313;2,076;-2,088;-0,902;-1,084;-0,894;11,257;-0,07;-0,806
"mot";-1,4;-1,327;4,411;-0,87;2,478;-0,956;-1,149;-1,028;3,166;-0,124;0,192
"début";-0,067;-1,327;-1,061;13,183;-0,521;-0,956;-1,149;0,135;-0,995;1,037;1,3
"donner";-1,321;-1,253;-1,001;2,076;31,814;0,03;-1,084;-2,741;-0,864;0,194;-0,806
"cinéma";-0,1;-1,402;-0,002;-0,919;-2,338;-1,01;-0,015;-3,069;-3,024;-1,218;72,895
"nouveau";0,066;-0,806;-0,644;4,766;7,537;-0,581;0,202;-1,764;-0,188;-1,803;0,241
"meilleur";-0,539;0,63;-0,409;-0,335;7,516;-0,368;-0,443;0,002;1,359;-1,143;-1,071
