"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"2";3;4;7;8;10;12;14;16;18;20;22;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
"3";3;4;7;8;10;12;14;16;19;19;19;19;19;19;30;30;30;36;39;39;39;39;39;39;39;39;39;56;56
"4";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"5";3;4;7;8;10;12;14;16;19;19;19;19;19;19;30;30;30;36;39;39;39;39;39;39;39;39;39;56;56
"6";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;48;48;48;48;48;48
"7";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;53;53;53;53
"8";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"9";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"10";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"11";3;4;7;8;10;12;14;16;19;19;19;19;19;19;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31
"12";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;55;55;55
"13";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"14";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"15";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;55;55;55
"16";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"17";3;4;7;8;10;12;14;16;19;19;19;19;19;19;30;30;30;36;38;38;38;38;38;38;38;38;38;38;38
"18";3;4;7;8;10;12;14;16;18;20;22;24;27;27;27;27;27;27;27;27;27;27;27;27;27;27;54;54;54
"19";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"20";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;52;52;52;52
"21";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"22";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;49;49;49;49;49;59
"23";3;4;7;8;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;43;44;47;49;49;49;49;49;59
"24";3;4;7;8;10;12;14;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17
"25";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"26";3;4;7;8;10;12;14;16;19;19;19;19;19;19;30;30;30;36;39;39;39;39;39;39;39;39;39;57;57
"27";3;4;7;8;10;12;14;16;19;19;19;19;19;19;30;30;30;36;39;39;39;39;39;39;39;39;39;56;56
"28";3;4;7;8;10;12;14;16;18;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
"29";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;41;41;41;41;41;50;53;53;53;53
"30";3;4;7;8;10;12;14;16;18;20;22;24;26;29;29;32;34;34;34;40;40;40;40;40;40;40;40;40;40
