"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11"
".";1;1;1;0,672;0,145;0,603;1;0,07;0,073;0,756;1
",";1;0,914;0,578;0,003;0;1;0;1;0,065;0,124;0
"?";1;1;0,443;1;1;0,333;1;0;0,766;0;1
"!";1;0,005;0,002;1;1;0,015;1;0,289;0,7;1;0,998
"suisse";0;1;0,959;1;0,168;1;0,009;1;1;1;0,221
":";1;1;1;1;0;1;0,224;1;1;1;0,346
"émission";0;1;1;1;0,94;1;1;1;1;1;0,17
"petit";1;1;0,019;0;1;0,585;1;0,991;0,283;1;1
"année";1;1;1;0;1;1;1;1;0,008;0,067;1
"retrouver";0;1;1;1;1;1;1;1;1;1;1
"archive";0;1;1;1;1;1;1;1;1;1;1
"rts";0;1;1;1;1;1;1;1;1;1;1
"miracle";0;1;1;1;0,084;1;1;1;1;1;1
"jeune";1;1;1;0,837;0;1;1;1;1;0;1
"vie";1;1;1;0,023;0,009;0,891;1;1;0;0,642;1
"monde";1;1;1;0,562;0;0;0;1;1;1;1
"grand";1;1;1;0;0;1;1;1;1;1;0,762
"genève";1;0,469;1;1;1;0;1;1;1;0,02;0,003
"temps";1;1;1;1;0;1;1;1;1;1;1
"bio";0;1;1;1;1;1;1;1;1;1;1
"lien";0;1;1;1;1;1;1;1;1;1;1
"diffuser";0;1;1;1;1;1;1;1;1;1;1
"aller";1;1;1;1;1;0;0,199;0,349;1;0,005;1
"samedi";0;1;1;1;1;1;1;1;1;1;1
"fête";1;0,008;1;1;1;1;1;1;0,122;1;0,001
"aimer";1;1;1;1;0,142;0;0,4;1;0,382;1;1
"heure";1;1;0,299;0;1;1;1;1;1;0,014;1
"clip";0;1;1;1;1;1;1;1;1;1;1
"passer";1;1;0,007;1;1;0,454;0,265;1;0,031;0,113;1
"femme";1;1;1;1;0;1;0;1;1;0,025;1
"jour";1;1;1;0,009;1;0,933;0;1;0,371;1;1
"18h45";0;1;1;1;1;1;1;1;1;1;1
"romand";1;1;1;0,537;0,599;1;1;1;1;1;0
"premier";1;1;1;1;0,903;1;0;1;1;1;0
"enfant";1;1;1;1;1;0,804;1;1;1;0;1
"homme";1;1;1;1;0,006;1;1;1;1;0;1
"rencontre";1;1;1;0,224;0,456;0,001;0,027;1;0,001;1;1
"beau";1;1;1;0,301;0,012;0;1;1;1;1;1
"amour";1;1;1;0,921;0,039;0,995;1;1;0,131;0,432;1
"prendre";1;1;1;1;1;1;1;1;0;1;0,792
"souvenir";0,256;1;1;0,034;1;1;1;1;0,784;1;0,015
"question";1;1;1;1;1;0,629;1;1;1;0;1
"occasion";1;1;1;0,691;1;1;0,901;1;1;0,498;0,002
"lausanne";1;1;0;1;1;1;1;1;1;0,144;1
"télévision";1;1;1;1;0,349;1;1;1;1;0,7;0
"suivre";1;0,063;1;1;0,397;1;0,003;1;1;0,144;1
"partir";1;1;1;1;0;1;1;1;1;1;1
"nombreux";1;0,562;1;0,023;1;1;1;0,033;0,847;1;0,81
"fin";0,798;0,758;1;0,467;0,077;1;0,653;1;1;1;0,624
"âge";1;1;1;1;0,48;0,953;1;1;1;0,026;0,002
"trouver";1;1;1;1;1;0,021;1;0,08;1;0,002;1
"noël";0,559;1;1;1;1;1;1;1;0,003;0;1
"ski";1;1;0,892;0,124;1;0;1;0,186;1;1;1
"raconter";0,861;1;1;1;0,032;0;0,655;1;1;1;0,027
"journée";0,869;0,828;0,663;1;1;0,59;1;1;1;1;0,003
"jeu";1;0,612;1;1;1;0,003;1;1;0,007;0,189;1
"jean";1;1;1;1;1;1;1;1;1;1;0
