de;26;60;50;44;97;41;56;51;115;118;122
la;21;37;28;30;67;26;46;36;92;86;96
le;60;34;32;32;72;15;42;39;85;65;95
htag_rtsarchives;61;53;50;34;61;46;29;145;93;121;66
et;67;39;28;26;61;22;29;37;83;75;74
les;52;29;22;26;50;18;26;39;65;70;64
être;19;27;35;25;57;27;27;41;64;68;70
l;59;22;24;20;53;18;35;30;62;63;63
en;36;35;20;27;60;28;28;26;61;72;72
à;55;33;23;21;54;23;24;21;52;70;70
un;6;27;22;18;52;22;23;28;51;45;46
pour;3;25;24;22;47;15;26;40;46;55;38
des;8;22;14;16;38;11;19;17;50;56;46
d;52;31;10;20;27;11;24;20;35;49;49
avoir;10;26;15;10;43;17;18;22;48;45;36
du;7;14;16;18;35;18;24;15;44;22;49
dans;63;13;12;17;48;11;19;19;34;32;36
une;10;14;13;13;34;11;16;14;35;40;36
sur;56;12;9;7;25;10;9;7;32;31;33
user_utilisateurice;15;13;12;11;13;14;12;32;24;10;37
il;9;14;16;12;19;12;9;16;30;27;26
vous;3;12;9;4;6;7;9;26;24;37;13
pas;4;14;16;6;20;16;4;19;34;37;23
qui;4;18;12;4;24;9;20;12;37;27;28
ne;5;18;7;6;21;14;7;19;39;38;25
c;3;11;13;9;23;9;11;15;23;28;22
ce;44;9;13;11;16;10;14;7;20;21;19
au;2;9;3;12;19;9;10;10;18;15;29
avec;11;3;13;7;17;11;15;5;20;18;28
que;1;11;8;2;19;7;9;16;24;25;15
son;10;6;9;7;17;9;8;5;21;13;28
an;15;6;8;7;15;8;4;4;19;20;32
plus;6;10;5;5;27;5;7;11;15;23;19
faire;0;17;10;7;16;2;9;12;14;24;17
on;1;10;9;6;12;6;10;7;13;24;14
se;5;5;6;12;16;5;10;19;18;18;17
qu;2;4;6;9;11;7;6;10;17;21;11
ou;4;9;4;7;10;1;4;19;14;26;8
s;2;9;2;4;12;2;8;5;10;25;19
y;1;6;4;3;6;5;4;8;13;11;5
ses;6;4;8;3;10;4;3;4;13;13;17
aux;0;4;2;6;10;6;12;5;10;13;10
par;2;7;3;2;7;6;4;4;5;14;13
sa;5;7;5;1;18;4;3;1;16;2;15
mais;1;5;4;0;12;3;10;5;15;17;7
nous;8;1;1;3;12;1;10;4;15;8;7
cette;5;1;5;5;14;1;6;5;9;14;10
bon;0;16;3;6;3;1;6;8;6;9;5
tout;1;4;3;3;10;6;2;6;10;8;9
bien;1;2;3;3;7;2;3;7;15;16;6
htag_suisse;34;1;4;0;6;0;3;11;3;7;5
autres;47;4;0;1;2;3;1;2;7;3;8
leur;3;5;4;0;8;3;3;1;8;9;0
tous;43;2;3;3;1;1;5;2;3;4;4
htag_archives;1;3;9;3;10;4;3;11;5;8;5
ça;0;5;5;1;7;3;1;6;11;13;2
ces;4;6;1;2;6;4;1;2;8;17;9
si;1;5;1;3;6;5;1;3;10;10;5
elle;2;5;1;2;7;3;3;3;8;10;10
plein;44;0;0;2;1;0;3;1;5;0;3
notre;23;2;0;1;4;0;4;0;4;3;6
htag_80s;1;4;1;2;4;2;2;13;6;9;6
htag_90s;0;5;4;2;5;1;1;13;5;7;2
sans;2;3;0;1;4;3;3;5;4;6;4
1;41;3;0;1;0;0;2;0;0;2;3
toujours;7;1;7;2;5;3;1;1;3;5;5
je;0;3;1;1;4;4;0;2;10;6;6
ils;2;5;0;1;5;4;0;4;4;13;3
quand;1;6;6;2;4;4;3;1;4;4;5
après;5;2;0;4;7;2;2;3;7;5;5
quoi;0;3;0;4;3;1;2;4;3;10;1
htag_rtsxarchives;3;1;3;3;4;1;2;5;4;12;2
depuis;1;2;4;3;3;3;4;2;3;5;5
cet;20;1;0;0;3;2;2;2;6;2;3
htag_miraclesuisse;38;0;0;0;0;0;0;6;0;1;0
htag_70s;1;3;2;1;3;1;1;9;4;5;3
falloir;0;3;4;2;2;3;2;4;8;5;1
htag_madeinswitzerland;37;0;0;0;0;0;0;5;0;2;0
votre;0;5;4;1;0;3;2;5;5;3;0
aussi;2;4;2;1;4;1;2;4;9;5;2
alors;0;2;3;0;1;0;1;4;5;7;6
htag_suissitude;35;0;0;0;0;0;0;4;0;1;0
dire;0;1;1;1;2;3;3;5;7;4;4
ceux;0;6;2;1;1;1;0;2;4;3;2
pouvoir;0;3;1;2;4;1;1;1;1;8;4
entre;1;1;5;1;2;3;0;1;1;8;6
comme;0;2;4;4;4;0;3;0;5;4;4
savoir;0;3;2;1;1;1;2;5;4;4;5
lui;0;4;2;1;6;0;1;4;6;2;5
j;0;1;1;0;3;6;3;3;5;3;3
htag_60s;1;2;2;1;4;3;2;7;5;1;4
encore;1;1;6;0;6;3;2;2;3;7;2
avant;0;4;1;3;2;0;3;5;2;3;6
quelques;0;3;4;1;3;1;2;5;6;2;4
comment;0;2;1;1;1;1;3;5;3;11;2
très;1;1;0;1;1;2;0;1;4;3;7
htag_2000s;1;0;2;2;2;0;1;9;2;5;3
mieux;0;0;1;2;1;1;4;6;3;7;2
peu;0;5;1;3;0;2;1;2;5;4;2
htag_humour;1;0;2;1;0;4;0;5;2;5;8
aujourd_hui;2;0;0;1;5;1;1;3;3;5;7
80;2;0;0;1;1;2;0;3;3;3;4
leurs;0;0;0;0;1;2;0;0;8;4;4
deux;1;2;3;0;1;3;0;2;2;4;8
vouloir;0;0;2;1;2;2;2;2;3;5;1
trop;0;0;5;0;3;3;0;2;1;2;3
même;1;2;0;1;2;2;0;0;4;5;8
htag_vintage;0;2;0;0;1;1;3;9;3;1;2
htag_kids;0;1;0;1;1;1;0;5;3;10;3
nos;1;0;1;1;4;1;2;1;2;1;6
déjà;0;2;0;1;0;2;2;1;4;5;5
voici;0;1;3;2;2;0;0;3;5;0;2
vos;0;5;2;0;2;0;0;3;2;4;1
toute;0;1;1;2;2;0;1;3;2;5;1
tard;4;0;1;0;9;0;0;1;0;3;4
sous;0;0;0;1;5;1;0;3;2;1;6
htag_eighties;1;1;1;1;0;2;1;5;4;2;0
où;0;1;2;0;4;2;0;1;1;3;2
moi;0;2;1;2;0;4;0;1;3;2;2
htag_retro;0;2;0;1;1;1;3;5;3;1;2
htag_noel;2;0;0;0;1;0;3;0;5;9;1
contre;0;2;1;1;2;0;1;1;2;4;1
t;0;0;0;1;0;0;2;1;5;7;1
mon;0;0;2;1;1;1;2;0;4;2;5
moins;0;0;1;0;1;2;3;1;2;4;1
lors;2;4;0;1;0;1;3;0;1;0;8
30;2;0;2;1;6;0;0;1;2;3;3
tu;0;1;1;0;3;1;2;2;3;3;2
rien;0;1;0;3;4;3;1;5;0;1;0
pourquoi;1;0;2;0;3;2;0;2;0;5;0
monsieur;1;0;2;2;0;1;0;2;6;3;1
htag_look;1;1;2;2;1;0;0;5;0;4;0
htag_fashion;1;1;1;2;1;0;0;3;0;6;0
chez;1;0;1;0;1;1;2;0;3;8;2
htag_instafood;2;3;1;3;3;1;0;2;3;2;0
htag_geneve;0;1;2;0;1;4;1;4;0;1;1
devoir;1;1;0;0;1;1;0;2;1;6;2
certains;0;2;1;1;3;0;0;1;3;3;1
htag_valais;1;0;0;3;2;3;0;4;2;2;0
htag_ski;2;0;0;1;0;2;0;8;1;1;0
htag_lausanne;0;0;7;0;0;1;0;4;0;2;0
htag_amour;1;1;0;1;2;2;0;4;2;3;0
grâce;0;0;0;0;2;0;2;1;7;2;5
40;0;0;0;0;2;2;0;1;0;1;6
quel;0;0;0;1;4;0;2;2;2;6;1
madame;1;1;2;1;1;0;0;1;1;3;3
jamais;1;1;3;0;0;0;1;2;2;1;3
htag_vacances;2;1;1;0;1;0;1;3;4;1;0
htag_love;0;1;0;0;1;2;0;4;1;3;0
htag_football;4;0;0;0;0;0;8;1;1;0;1
24;2;0;1;4;1;0;0;1;3;0;2
1970;0;0;0;0;3;2;1;0;2;6;2
personne;1;2;0;1;4;1;2;0;1;3;2
htag_microtrottoir;0;0;0;0;1;2;0;2;2;4;0
htag_hiver;1;0;1;1;0;4;0;4;3;1;0
2;2;3;2;0;1;0;4;0;0;1;2
1990;0;0;0;1;2;1;0;0;2;5;5
htag_switzerland;0;0;1;0;2;2;1;4;2;1;2
htag_neige;1;1;0;1;0;4;0;4;2;1;0
htag_femme;0;0;0;1;2;0;1;0;0;8;1
elles;0;0;0;0;4;0;1;1;0;3;0
devant;0;0;0;0;2;0;5;0;1;2;4
attention;0;4;0;1;0;2;1;0;2;1;2
60;0;0;0;2;1;0;0;1;2;3;2
3;0;1;0;1;2;1;1;0;1;0;3
non;0;1;0;1;6;1;0;3;0;1;1
htag_jeunesse;2;1;0;0;2;1;0;1;1;1;0
durant;0;0;2;0;0;0;3;1;3;2;3
quelque;0;2;1;0;0;1;1;0;3;5;1
htag_enfants;0;0;0;0;2;0;0;0;3;7;0
dès;0;0;1;1;1;0;3;0;2;2;0
chaque;0;1;2;1;0;1;2;0;2;0;0
50;2;0;0;0;3;0;0;0;4;1;1
2000;0;0;2;1;1;0;2;1;3;3;1
1987;1;1;0;0;2;0;1;1;0;2;3
1972;0;1;0;1;2;0;0;0;0;4;2
toutes;4;0;1;1;1;0;0;0;0;3;0
htag_voiture;1;1;0;0;3;0;0;2;0;2;1
htag_vaud;0;0;1;0;0;4;1;2;2;2;2
htag_sport;6;0;0;0;0;0;0;2;0;0;2
htag_seventies;0;0;0;0;3;0;1;4;0;3;0
htag_insolite;0;2;1;0;0;1;0;1;2;2;3
htag_enfant;1;0;0;0;0;2;0;3;0;6;0
htag_ecole;0;0;1;0;0;0;0;4;1;8;0
htag_culte;1;0;3;0;1;0;0;1;2;0;3
htag_christmas;2;0;0;0;2;0;3;0;2;5;0
20;0;0;2;0;2;2;1;0;0;5;1
1968;0;0;1;0;2;0;2;0;1;2;4
1966;0;0;0;0;2;1;1;0;4;2;0
000;0;0;2;1;0;0;2;0;3;2;1
ni;0;0;1;0;3;0;0;0;1;0;1
htag_rtssportxarchives;4;0;1;0;0;1;1;1;1;0;1
70;1;0;0;1;1;0;0;2;2;2;4
1985;1;0;0;0;1;2;1;0;3;2;1
