"";"";"";"";"18h45";""
"1";"18h45";"-4.91083635101811";"-0.594202482565793";"2.82897753998569";"5"
"2";"semaine";"0.706345633296633";"0.175164811376764";"1.09835981681429";"53"
"3";"amour";"0.534815869184437";"0.686167657878818";"1.09155087325774";"57"
"4";"piste";"0.202645704152748";"0.630285684197499";"1.08832168121458";"59"
"5";"noël";"0.00621969586982531";"0.187098129537028";"1.0802958918046";"62"
"6";"essayer";"0.367252503817623";"0.861147303203319";"1.0751723303165";"67"
"7";"vie";"0.409584734820827";"0.572056982603369";"1.07500716287379";"68"
"8";"transport";"-0.257484631457897";"-0.31506091879184";"1.07176448777409";"70"
"9";"garantir";"0.380820759333159";"0.901856253344828";"1.06349600334625";"72"
"10";"roulette";"0.3234287483715";"0.79560609340593";"1.06349600334625";"73"
"11";"chance";"0.814588856541396";"1.20099500272737";"1.06243758340726";"74"
"12";"trouver";"0.526384252315119";"-0.0424331245134496";"1.06086006579119";"75"
"13";"franc";"0.806165185563537";"-0.00917231032276493";"1.055463472408";"76"
"14";"aimer";"0.566354285189336";"0.167005946885949";"1.049554522876";"77"
"15";"passage";"0.217060022797243";"0.306234259710186";"1.04477140856572";"79"
"16";"parcourir";"0.363569369315864";"0.611057804644051";"1.04447141055754";"80"
"17";"discothèque";"0.896146096997724";"0.320938569916203";"1.03826246301735";"85"
"18";"émotion";"0.0222871402614059";"0.245163910638903";"1.0367051699861";"88"
"19";"information";"-1.4527990417001";"-0.211717973563433";"1.03178048358208";"91"
"20";"ambiance";"0.602544707391885";"-0.149967753047826";"1.02988611413714";"93"
"21";"mode";"0.490321075146096";"0.842715416556115";"1.02829511346452";"95"
"22";"succès";"0.222813390417202";"0.337602907476511";"1.0268962463477";"96"
"23";"différence";"0.3549357359718";"0.783089052486626";"1.0257636695977";"99"
"24";"genevois";"0.538853490785047";"0.553139963965033";"1.02409851211407";"100"
"25";"petit";"0.466181325958557";"-0.019016531400117";"1.02263222971451";"101"
"26";"parler";"0.358950668446142";"0.577236752783493";"1.01642328217433";"102"
"27";"téléphone";"0.191462371060135";"0.630849058147177";"1.01620418250543";"103"
"28";"repos";"0.303467971957342";"0.769499377718478";"1.01389520907165";"106"
"29";"cueillette";"0.679213612979739";"0.683805833147331";"1.00798288877551";"108"
"30";"ski";"0.538301047990261";"0.808561828069657";"1.00319303293696";"113"
"31";"passer";"0.271332336258982";"0.0800523801596126";"1.00250876781717";"114"
"32";"déclarer";"0.937023141207548";"1.01952827088581";"0.999596427602881";"115"
"33";"méthode";"0.773009145520699";"0.841254849448605";"0.992659395009124";"119"
"34";"nuit";"0.453297136475936";"0.582191896100205";"0.992659395009124";"120"
"35";"soleil";"0.82346663943437";"1.05074517705173";"0.991365021580551";"122"
"36";"commencer";"0.597437278068717";"0.163289964163758";"0.985139220219682";"126"
"37";"solution";"0.859156456406677";"0.19412049300241";"0.985139220219682";"127"
"38";"rêver";"0.324490908458827";"-0.274258571629438";"0.98492349131492";"128"
"39";"peur";"0.20832800201607";"0.498717447765068";"0.982981931172061";"130"
"40";"prendre";"-0.0658329331378738";"-0.0600268543165071";"0.982550473362536";"131"
"41";"lavaux";"0.508120459569151";"-0.344476935961994";"0.977359496591698";"134"
"42";"police";"0.543002061935522";"-0.557636901418599";"0.977359496591698";"135"
"43";"?";"0.607251264936458";"0.223843469283524";"0.976826915858066";"136"
"44";"souci";"0.387020001816649";"0.457110547023676";"0.975188724487529";"137"
"45";"mettre";"0.279362090249741";"0.284363546977643";"0.974066260029939";"138"
"46";"sport";"-0.893040611106511";"0.16594295565151";"0.969013484588713";"142"
"47";"fabuleux";"0.3549357359718";"0.783089052486626";"0.96873371116535";"144"
"48";"chien";"0.592595850059673";"0.0134634889618471";"0.968110119800022";"145"
"49";"particulier";"-0.150133649658633";"0.25348770864444";"0.965123622774721";"148"
"50";"demander";"0.393494063493529";"0.514652209781738";"0.965123622774721";"149"
"51";"look";"0.641176725528442";"0.971464911236155";"0.96450340217353";"150"
"52";"accompagner";"0.572539705288025";"0.764687660349767";"0.962336000833498";"151"
"53";"partager";"0.146622462874889";"0.401986800249494";"0.962153979570105";"152"
"54";"canton";"-0.106619243547938";"0.16407740016331";"0.960836010792574";"153"
"55";"fin";"0.508388327568176";"0.644638042408509";"0.958513554302244";"154"
"56";"histoire";"-0.331006024036583";"-0.0614099571897759";"0.955473125050753";"156"
"57";"vin";"0.709586154438694";"0.509519988761621";"0.954377626706258";"157"
"58";"public";"0.573870262129759";"-0.248203805409264";"0.954094482518758";"158"
"59";"soie";"0.822405639506894";"1.13560286759853";"0.953868641321585";"160"
"60";"piquer";"0.822405639506894";"1.13560286759853";"0.953868641321585";"161"
