"";"X";"V1"
"1";1;20
"2";2;20
"3";3;20
"4";4;13
"5";5;13
"6";6;0
"7";7;15
"8";8;0
"9";9;15
"10";10;16
"11";11;0
"12";12;21
"13";13;18
"14";14;0
"15";15;18
"16";16;13
"17";17;14
"18";18;9
"19";19;11
"20";20;0
"21";21;16
"22";22;20
"23";23;1
"24";24;18
"25";25;0
"26";26;12
"27";27;0
"28";28;0
"29";29;13
"30";30;12
"31";31;0
"32";32;1
"33";33;5
"34";34;0
"35";35;0
"36";36;0
"37";37;0
"38";38;0
"39";39;18
"40";40;10
"41";41;18
"42";42;22
"43";43;19
"44";44;18
"45";45;19
"46";46;0
"47";47;11
"48";48;14
"49";49;19
"50";50;0
"51";51;18
"52";52;0
"53";53;9
"54";54;0
"55";55;11
"56";56;20
"57";57;18
"58";58;0
"59";59;6
"60";60;0
"61";61;2
"62";62;8
"63";63;0
"64";64;0
"65";65;0
"66";66;0
"67";67;18
"68";68;0
"69";69;0
"70";70;18
"71";71;8
"72";72;17
"73";73;0
"74";74;15
"75";75;0
"76";76;7
"77";77;0
"78";78;11
"79";79;5
"80";80;18
"81";81;0
"82";82;18
"83";83;5
"84";84;0
"85";85;0
"86";86;5
"87";87;18
"88";88;5
"89";89;21
"90";90;18
"91";91;18
"92";92;18
"93";93;16
"94";94;0
"95";95;6
"96";96;0
"97";97;18
"98";98;6
"99";99;21
"100";100;5
"101";101;0
"102";102;0
"103";103;14
"104";104;0
"105";105;6
"106";106;0
"107";107;18
"108";108;5
"109";109;9
"110";110;4
"111";111;21
"112";112;6
"113";113;0
"114";114;5
"115";115;0
"116";116;7
"117";117;3
"118";118;9
"119";119;6
"120";120;0
"121";121;0
"122";122;17
"123";123;1
"124";124;6
"125";125;17
"126";126;11
"127";127;0
"128";128;3
"129";129;13
"130";130;12
"131";131;0
"132";132;9
"133";133;20
"134";134;5
"135";135;20
"136";136;0
"137";137;1
"138";138;0
"139";139;18
"140";140;0
"141";141;6
"142";142;13
"143";143;20
"144";144;0
"145";145;6
"146";146;0
"147";147;4
"148";148;0
"149";149;18
"150";150;13
"151";151;17
"152";152;15
"153";153;9
"154";154;7
"155";155;4
"156";156;0
"157";157;0
"158";158;20
"159";159;0
"160";160;0
"161";161;4
"162";162;0
"163";163;21
"164";164;13
"165";165;7
