"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
".";0,189;0,242;0,251;-3,195;-1,386;0,408;0,171;-3,843;0,361;0,233;-1,683;-2,41;0,342;0,206;0,418;0,171;0,296;0,352;-1,859;0,418;0,389;0,26
",";3,15;0,035;-0,468;-0,01;-0,002;0,509;-0,008;0,457;0,13;0,009;-0,143;0,132;-7,369;-0,041;5,339;0,237;-0,424;2,322;-16,603;0;-3,208;7,45
"?";0;-0,243;-0,055;-3,054;16,102;0,481;7,184;0;-0,99;-0,124;-1,521;-0,577;1,643;5,084;-0,988;-1,181;-2,603;-4,993;52,877;-0,003;-6,805;-12,041
"!";-2,185;6,519;1,417;-1,052;-0,026;0,68;0,457;2,714;-1,337;-0,791;-0,473;-0,263;-3,787;-0,208;0,006;1,308;13,54;-4,201;-6,658;-1,364;15,77;-1,643
"suisse";5,522;0,297;-0,002;-3,296;-0,261;-10,475;-2,247;-1,129;-3,159;0,017;-0,05;0,126;-2,782;2,298;-1,672;2,188;-7,609;6,5;-3,574;-0,011;-0,503;135,045
":";-0,258;14,046;-0,144;-0,01;-1,114;-4,869;-1,087;-1,345;-4,093;-2,027;-3,485;-1,01;-0,913;-0,416;-0,775;-1,087;9,09;3,729;-5,319;-1,78;-1,436;184,552
"émission";-2,49;-1,305;-1,406;-2,841;-2,707;-3,28;-0,552;-2,49;1,097;-3,078;-2,26;-1,509;-0,223;-2,724;-0,107;-0,552;-0,643;19,207;-2,041;-0,107;-0,034;244,459
"petit";2,594;-0,61;-4,046;-0,361;0,332;-0,458;0,2;5,204;-3,665;-3,756;-1,536;0,708;-3,384;-0,288;66,466;-0,916;1,165;-0,756;-2,831;0,458;-1,122;-0,099
"année";-3,119;-0,67;-4,153;-3,56;-2,125;-0,069;-0,084;-3,119;-0,222;-1,855;8,187;-0,128;-1,878;0,49;0,022;10,159;-0,358;4,318;-0,428;22,79;-4,245;6,258
"retrouver";-1,927;-0,732;-0,803;-0,526;-1,749;-2,176;-0,228;-1,927;-0,524;-2,382;-3,311;-2,658;-1,583;0,009;-4,268;-0,228;-0,187;51,631;-3,123;-4,268;-3,978;316,98
"archive";-1,53;-0,371;-2,037;-1,746;-2,93;-3,312;-1,387;-1,53;-2,93;-0,324;0,211;0,006;-2,779;-1,674;-1,491;-1,387;-2,406;8,939;-2,48;-1,491;-0,249;400,223
"rts";-1,249;-1,604;-1,663;-1,426;-2,393;-2,704;-1,133;-1,249;-0,679;-1,544;0,003;-0,225;-2,269;-1,367;-2,767;-1,133;0,032;1,955;-2,025;-2,767;-0,822;454,586
"miracle";-0,941;-1,208;-1,253;-1,074;-1,803;-2,037;-0,853;-0,941;-1,803;-0,006;-1,617;-1,298;-1,71;-1,03;-2,085;-0,853;-1,48;-1,756;-1,525;-2,085;-1,943;653,089
"jeune";-1,53;-1,964;-0,42;-1,746;-1,105;-3,312;-1,387;-1,53;0,073;0,056;15,421;-0,471;-0,981;-0,194;-0,361;2,618;-2,406;-0,124;3,943;0,408;2,014;15,303
"vie";-1,601;-2,056;-2,132;0,083;-1,218;0;0,388;-0,154;0,706;0,03;-0,958;-0,54;-2,909;-1,752;82,004;-0,085;-0,029;2,398;-0,833;-0,446;-0,319;-2,209
