"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;6;9;10;13;14;14;14;14;14;25;26;28;31;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;95;95;95
"2";3;4;6;9;10;13;14;14;14;14;14;25;26;28;31;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;95;95;95
"3";3;4;6;9;10;13;14;14;14;14;14;25;26;28;31;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;95;95;95
"4";3;4;6;9;10;13;14;14;14;14;14;25;26;28;31;32;32;32;32;32;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;78;78;78;78;78;78;78;78;78;78;78
"5";3;4;6;9;10;13;14;14;14;14;14;25;26;28;31;32;32;32;32;32;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;78;78;78;78;78;78;78;78;78;78;78
"6";3;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;49;51;51;51;57;57;57;57;57;66;66;66;66;66;66;66;66;66;66;66;88;88;88;88;88;88
"7";3;4;6;9;10;13;15;17;18;20;22;22;22;22;22;22;22;22;39;39;39;39;47;47;47;47;54;54;54;54;54;64;64;64;64;72;72;72;72;72;72;84;84;84;84;84;84;84;84
"8";3;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;49;51;51;51;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;56;92;92;92;98
"9";3;4;6;9;10;13;15;17;18;20;22;22;22;22;22;22;22;22;39;39;39;39;47;47;47;47;54;54;54;54;54;64;64;64;64;72;72;72;72;72;72;84;84;84;84;84;84;84;84
"10";3;4;6;9;10;13;15;17;18;20;22;22;22;22;22;22;22;22;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;86;86;86;86;86;86;86
"11";3;4;6;9;10;13;15;17;18;20;23;23;23;23;23;23;34;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37
"12";3;4;6;9;10;13;15;17;18;20;23;23;23;23;23;23;34;36;36;40;40;45;45;45;45;45;45;45;59;59;63;63;63;63;63;63;63;76;76;76;83;83;83;83;83;83;83;97;97
"13";3;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;49;51;51;51;57;57;57;57;57;66;66;66;66;66;66;66;66;66;66;66;89;89;89;89;89;89
"14";3;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;49;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50
"15";3;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;49;51;51;51;57;57;57;57;57;66;66;66;66;66;66;66;66;66;66;66;89;89;89;89;89;89
"16";3;4;6;9;10;13;14;14;14;14;14;25;26;28;31;32;32;32;32;32;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;78;78;78;78;78;78;78;78;78;78;78
"17";3;4;6;9;10;13;14;14;14;14;14;25;26;28;31;32;32;32;32;32;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;79;79;79;79;79;79;79;79;79;79;79
"18";3;4;6;9;10;13;14;14;14;14;14;25;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70
"19";3;4;6;9;10;13;15;17;18;20;23;23;23;23;23;23;34;36;36;40;40;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;74;74;74;74;74;74;74;74;74;74;74;74;74
