"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18";"classe 19";"classe 20";"classe 21";"classe 22"
".";0,664;0,623;0,616;1;1;0,523;0,679;1;0,548;0,629;1;1;0,558;0,65;0,518;0,679;0,586;0,553;1;0,518;0,533;0,61
",";0,076;0,851;1;1;1;0,475;1;0,499;0,718;0,924;1;0,716;1;1;0,021;0,626;1;0,128;1;0,988;1;0,006
"?";1;1;1;1;0;0,488;0,007;1;1;1;1;1;0,2;0,024;1;1;1;1;0;1;1;1
"!";1;0,011;0,234;1;1;0,41;0,499;0,099;1;1;1;1;1;1;0,939;0,253;0;1;1;1;0;1
"suisse";0,019;0,586;1;1;1;1;1;1;1;0,896;1;0,722;1;0,13;1;0,139;1;0,011;1;1;1;0
":";1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,003;0,053;1;1;1;0
"émission";1;1;1;1;1;1;1;1;0,295;1;1;1;1;1;1;1;1;0;1;1;1;0
"petit";0,107;1;1;1;0,565;1;0,654;0,023;1;1;1;0,4;1;1;0;1;0,28;1;1;0,499;1;1
"année";1;1;1;1;1;1;1;1;1;1;0,004;1;1;0,484;0,883;0,001;1;0,038;1;0;1;0,012
"retrouver";1;1;1;1;1;1;1;1;1;1;1;1;1;0,926;1;1;1;0;1;1;1;0
"archive";1;1;1;1;1;1;1;1;1;1;0,646;0,936;1;1;1;1;1;0,003;1;1;1;0
"rts";1;1;1;1;1;1;1;1;1;1;0,958;1;1;1;1;1;0,859;0,162;1;1;1;0
"miracle";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"jeune";1;1;1;1;1;1;1;1;0,787;0,813;0;1;1;1;1;0,106;1;1;0,047;0,523;0,156;0
"vie";1;1;1;0,773;1;1;0,534;1;0,401;0,862;1;1;1;1;0;1;1;0,122;1;1;1;1
"monde";0,34;0,556;0,021;1;0,983;1;1;1;0,439;0,52;0,862;1;1;1;0,602;1;1;0,019;1;1;1;0,026
"grand";0,697;0,977;1;1;0;1;1;0,216;1;1;1;0,166;1;1;0,11;0,155;1;1;1;0,313;0,075;0,166
"genève";0,056;1;0,621;1;1;1;1;1;1;1;0,895;0;1;1;1;1;1;0,129;1;0,011;0,554;1
"temps";1;0;1;1;1;1;1;1;1;0,52;0,862;0,627;0,923;1;1;1;1;1;0,797;1;1;1
"bio";1;1;1;0,906;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"lien";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1
"diffuser";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,841;1;1;1;1;1;0
"aller";0,002;0,786;1;1;1;1;1;1;1;0,757;1;0,841;0,003;0,089;1;1;0,252;1;1;0,513;1;0,841
"samedi";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"fête";1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0,112
"aimer";0,407;0,183;1;1;1;0;1;1;1;1;1;1;0;1;0,711;1;1;0,162;1;1;1;1
"heure";1;1;1;1;0,085;1;1;0;1;1;1;0;0,302;0,049;1;1;1;1;1;0,492;0,117;1
