"";"";"";"";"klaunzer";""
"1";"klaunzer";"4.02506602110073";"0.00395282766092151";"0.984876675168438";"67"
"2";"anthony";"3.67049773616452";"0.22361892635686";"0.968563529643278";"76"
"3";"gillieron";"3.60558856161181";"-0.0598728385443988";"0.954564515498373";"82"
"4";"flauraud";"4.14169921967717";"0.156323351633192";"0.954564515498373";"83"
"5";"emji_urne_électorale";"-0.36825133727923";"-0.966423723445213";"0.938718144797627";"91"
"6";"particule";"-0.157486876671403";"-0.825691775499756";"0.906426070162371";"125"
"7";"franc";"-0.224557665283092";"-0.501406223697395";"0.902338617508094";"132"
"8";"immunitaire";"-0.157486876671404";"-0.825691775499756";"0.891073973105001";"152"
"9";"alimentation";"-0.157486876671404";"-0.825691775499756";"0.891073973105001";"153"
"10";"chercheur";"-0.0416122596781239";"-0.721858818747724";"0.890229265794354";"155"
"11";"ukraine";"-0.289176938648472";"-0.780876602655078";"0.890136897966562";"156"
"12";"oms";"-0.316579181432767";"-0.896887609971526";"0.890074144251497";"157"
"13";"résultat";"-0.190003808222361";"0.103379088454325";"0.889764606263705";"159"
"14";"yverdon";"-0.483459383123447";"-0.364879398209258";"0.888785225249941";"164"
"15";"candidat";"-0.348577534506266";"-0.975267102852939";"0.882067757346319";"176"
"16";"nombre";"-0.0745410974159244";"-0.492596674205814";"0.881988786379047";"177"
"17";"aliment";"-0.223693788352167";"-0.840750053443915";"0.880439686244245";"181"
"18";"pénal";"0.120382297086706";"-0.855865989073843";"0.880259181176193";"184"
"19";"delémont";"-0.474957324460613";"-0.549606437118689";"0.879351015052559";"187"
"20";"poste";"-0.415060599160094";"-0.238589301266114";"0.878154463878795";"191"
"21";"centimètre";"-0.506460466482636";"-0.308529120656132";"0.877645383179056";"194"
"22";"verbier";"-0.506460466482636";"-0.308529120656132";"0.877645383179056";"195"
"23";"desservir";"-0.506460466482636";"-0.308529120656132";"0.877645383179056";"196"
"24";"civil";"-0.581273628972475";"-1.2246516094369";"0.877455711838017";"199"
"25";"précoce";"-0.207340246644436";"-0.75181139623638";"0.876752024111785";"201"
"26";"statistique";"0.0296222195932945";"-0.562827068148853";"0.876056797560618";"202"
"27";"génétique";"-0.157486876671403";"-0.825691775499756";"0.875729632124774";"203"
"28";"anxiété";"-0.157486876671403";"-0.825691775499756";"0.875729632124774";"204"
"29";"recherche";"-0.308753011784268";"-0.579168592553378";"0.875621047044774";"205"
"30";"musée";"-0.230182916967923";"-0.0318142152886491";"0.874148097485557";"209"
"31";"chat";"-0.312902048168084";"-0.499605679306398";"0.873980989278025";"210"
"32";"epstein";"-0.603314094567515";"-1.12761750453369";"0.873939388500622";"211"
"33";"médecin";"-0.0876526218688943";"-0.838216869357356";"0.873382361142182";"220"
"34";"bulletin";"-0.381381765773634";"-1.01462911775897";"0.873154614513351";"222"
"35";"perturbation";"-0.0973579763496576";"-0.276134740243609";"0.871788134740367";"225"
"36";"vétérinaire";"-0.304094079795167";"-0.547794410193089";"0.870723436878032";"226"
"37";"effet";"-0.0885762203255082";"-0.00614911128541098";"0.870633184344006";"227"
"38";"h";"-0.321920494173265";"-0.462228912628511";"0.870226342842968";"228"
"39";"ouragan";"-0.669561871980512";"-1.79914321747226";"0.868800634844529";"236"
"40";"murat";"-1.15284092052136";"4.05385872919051";"0.868616604286867";"239"
"41";"autorité";"-0.256134753059565";"-1.06609589058269";"0.868496737640114";"243"
"42";"milliard";"-0.1444798418537";"-0.460017311464883";"0.868398023931023";"244"
"43";"décéder";"-0.49810965598731";"-0.0352419905095026";"0.866939881428169";"249"
"44";"chaud";"-0.480373427138379";"-0.338259447366891";"0.866616946579858";"251"
"45";"lausanne";"-0.226733917584557";"-0.299305444441805";"0.866601434425573";"252"
"46";"plaine";"-0.506460466482637";"-0.308529120656132";"0.866411057986612";"253"
"47";"horaire";"-0.0980106075028559";"-0.354347084663838";"0.865259633079861";"256"
"48";"norme";"-0.299061825381753";"-0.560324423494416";"0.864450180665318";"257"
"49";"près_de";"-0.444951326011554";"-0.502174836986048";"0.864283777555708";"260"
"50";"tempête";"-0.565098593896248";"0.111165078434708";"0.864183653650773";"261"
"51";"emji_cerveau";"-0.200746060751162";"-0.842542728477075";"0.863924882713371";"262"
"52";"culture";"-0.187966616517069";"0.000644020037235475";"0.86376835097467";"263"
"53";"office";"-0.214520235118225";"-0.561419712356782";"0.863555411402203";"264"
"54";"cure";"-0.487115129186685";"0.229814079275275";"0.863378431823762";"265"
"55";"alpiniste";"-0.521577623194865";"0.271563746347768";"0.863378431823762";"266"
"56";"électoral";"-0.395640896003089";"-1.02981527938255";"0.862993448358308";"267"
"57";"népalais";"-0.524601054537311";"0.387582319748547";"0.861901251677011";"273"
"58";"partir";"-0.15119361060998";"-0.569190067892485";"0.861431656460908";"275"
"59";"commerçant";"-0.297764151728579";"-0.546371734342201";"0.861057249464286";"277"
"60";"droite";"-0.441023566453443";"-0.739119285489975";"0.860618678556754";"281"
