"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"10";"***";"";""
"**";"classe";"1";"**";"";""
"****";"89";"691";"12.88";"****";""
" 0";" 60";"0.00";"-9.714";"unir";"0.001828799"
" 1";" 62";"1.61";"-7.706";"politique";"0.005505121"
" 0";" 46";"0.00";"-7.286";"trump";"0.006950668"
" 0";" 45";"0.00";"-7.116";"donald";"0.007638807"
" 3";" 82";"3.66";"-7.051";"monde";"0.007923374"
" 0";" 44";"0.00";"-6.947";"gouvernement";"0.008394290"
" 0";" 43";"0.00";"-6.779";"vie";"0.009223705"
" 1";" 53";"1.89";"-6.182";"femme";"0.012904226"
" 2";" 65";"3.08";"-6.145";"américain";"0.013180595"
" 0";" 38";"0.00";"-5.945";"etats";"0.014760224"
" 1";" 50";"2.00";"-5.686";"homme";"0.017100624"
" 1";" 50";"2.00";"-5.686";"mort";"0.017100624"
" 0";" 35";"0.00";"-5.450";"accuser";"0.019562808"
" 0";" 34";"0.00";"-5.287";"emji_ballon_de_football";"0.021488836"
" 0";" 32";"0.00";"-4.961";"armée";"0.025930880"
" 0";" 32";"0.00";"-4.961";"parlement";"0.025930880"
" 2";" 57";"3.51";"-4.862";"ministre";"0.027454390"
" 0";" 31";"0.00";"-4.798";"victoire";"0.028487482"
" 0";" 31";"0.00";"-4.798";"ap";"0.028487482"
" 0";" 31";"0.00";"-4.798";"emji_drapeau_états_unis";"0.028487482"
" 1";" 44";"2.27";"-4.712";"français";"0.029954912"
" 4";" 78";"5.13";"-4.708";"état";"0.030015576"
" 6";" 98";"6.12";"-4.647";"afp";"0.031105902"
" 0";" 30";"0.00";"-4.637";"emji_drapeau_territoires_palestiniens";"0.031298560"
" 0";" 29";"0.00";"-4.475";"frapper";"0.034390359"
" 0";" 29";"0.00";"-4.475";"guerre";"0.034390359"
" 0";" 29";"0.00";"-4.475";"palestinien";"0.034390359"
" 0";" 29";"0.00";"-4.475";"emji_balance_à_poids";"0.034390359"
" 3";" 65";"4.62";"-4.367";"user_utilisateurice";"0.036633533"
" 0";" 28";"0.00";"-4.314";"joueur";"0.037792054"
" 4";" 75";"5.33";"-4.270";"photo";"0.038791530"
" 2";" 53";"3.77";"-4.242";"christian";"0.039432052"
" 1";" 40";"2.50";"-4.077";"lancer";"0.043477791"
" 1";" 40";"2.50";"-4.077";"gaza";"0.043477791"
"10";"131";"7.63";"-3.965";"emji_main_avec_index_pointant_à_droite";"0.046457191"
" 2";" 51";"3.92";"-3.938";"international";"0.047203091"
" 0";" 25";"0.00";"-3.835";"remporter";"0.050200401"
" 0";" 25";"0.00";"-3.835";"cessez_le_feu";"0.050200401"
" 3";" 61";"4.92";"-3.780";"mondial";"0.051875873"
" 0";" 24";"0.00";"-3.676";"israël";"0.055206325"
" 0";" 24";"0.00";"-3.676";"artiste";"0.055206325"
" 0";" 24";"0.00";"-3.676";"élection";"0.055206325"
" 0";" 24";"0.00";"-3.676";"tuer";"0.055206325"
" 0";" 24";"0.00";"-3.676";"évoquer";"0.055206325"
" 6";" 90";"6.67";"-3.560";"pays";"0.059188088"
" 0";" 23";"0.00";"-3.517";"israélien";"0.060727294"
" 0";" 23";"0.00";"-3.517";"battre";"0.060727294"
" 0";" 23";"0.00";"-3.517";"reuters";"0.060727294"
" 0";" 23";"0.00";"-3.517";"emji_urne_électorale";"0.060727294"
" 2";" 48";"4.17";"-3.490";"marquer";"0.061737708"
"12";"145";"8.28";"-3.467";"!";"0.062621687"
" 0";" 22";"0.00";"-3.359";"deuxième";"0.066820399"
" 0";" 22";"0.00";"-3.359";"udc";"0.066820399"
" 0";" 22";"0.00";"-3.359";"prison";"0.066820399"
" 0";" 22";"0.00";"-3.359";"paix";"0.066820399"
" 0";" 22";"0.00";"-3.359";"réponse";"0.066820399"
" 0";" 22";"0.00";"-3.359";"provoquer";"0.066820399"
" 0";" 22";"0.00";"-3.359";"négociation";"0.066820399"
" 0";" 22";"0.00";"-3.359";"discussion";"0.066820399"
" 2";" 47";"4.26";"-3.343";"?";"0.067492188"
" 2";" 47";"4.26";"-3.343";"enfant";"0.067492188"
" 2";" 47";"4.26";"-3.343";"jeudi";"0.067492188"
" 1";" 35";"2.86";"-3.301";"voix";"0.069257145"
" 1";" 35";"2.86";"-3.301";"affirmer";"0.069257145"
" 0";" 21";"0.00";"-3.202";"poste";"0.073550025"
" 0";" 21";"0.00";"-3.202";"oeuvre";"0.073550025"
" 0";" 21";"0.00";"-3.202";"ukraine";"0.073550025"
" 0";" 21";"0.00";"-3.202";"onu";"0.073550025"
" 0";" 21";"0.00";"-3.202";"position";"0.073550025"
" 1";" 34";"2.94";"-3.148";"revenir";"0.076024710"
" 1";" 34";"2.94";"-3.148";"affaire";"0.076024710"
" 0";" 20";"0.00";"-3.045";"match";"0.080989004"
" 0";" 20";"0.00";"-3.045";"martin";"0.080989004"
" 0";" 20";"0.00";"-3.045";"forme";"0.080989004"
" 0";" 20";"0.00";"-3.045";"chercheur";"0.080989004"
" 0";" 20";"0.00";"-3.045";"refuser";"0.080989004"
"13";"150";"8.67";"-3.031";"premier";"0.081693463"
" 1";" 33";"3.03";"-2.996";"sport";"0.083459910"
" 1";" 33";"3.03";"-2.996";"conseiller";"0.083459910"
" 2";" 44";"4.55";"-2.909";"groupe";"0.088084980"
" 2";" 44";"4.55";"-2.909";"ancien";"0.088084980"
" 0";" 19";"0.00";"-2.888";"maladie";"0.089220022"
" 0";" 19";"0.00";"-2.888";"humanitaire";"0.089220022"
" 0";" 19";"0.00";"-2.888";"scientifique";"0.089220022"
" 0";" 19";"0.00";"-2.888";"interroger";"0.089220022"
" 1";" 32";"3.12";"-2.845";"précédent";"0.091630885"
" 2";" 43";"4.65";"-2.767";"montrer";"0.096227635"
" 0";" 18";"0.00";"-2.732";"partager";"0.098337333"
" 0";" 18";"0.00";"-2.732";"arriver";"0.098337333"
" 0";" 18";"0.00";"-2.732";"représenter";"0.098337333"
" 0";" 18";"0.00";"-2.732";"mars";"0.098337333"
" 0";" 18";"0.00";"-2.732";"parler";"0.098337333"
" 0";" 18";"0.00";"-2.732";"football";"0.098337333"
" 0";" 18";"0.00";"-2.732";"texte";"0.098337333"
" 0";" 18";"0.00";"-2.732";"élire";"0.098337333"
" 0";" 18";"0.00";"-2.732";"intérêt";"0.098337333"
" 0";" 18";"0.00";"-2.732";"opposer";"0.098337333"
" 0";" 18";"0.00";"-2.732";"emji_drapeau_israël";"0.098337333"
" 1";" 31";"3.23";"-2.696";"accord";"0.100613244"
" 1";" 31";"3.23";"-2.696";"sortir";"0.100613244"
" 1";" 31";"3.23";"-2.696";"pari";"0.100613244"
" 1";" 31";"3.23";"-2.696";"susciter";"0.100613244"
" 7";" 92";"7.61";"-2.628";"cliquer";"0.104993735"
" 2";" 42";"4.76";"-2.626";"violence";"0.105104868"
" 2";" 42";"4.76";"-2.626";"htag_sportxinfo";"0.105104868"
" 0";" 17";"0.00";"-2.577";"humain";"0.108448868"
" 0";" 17";"0.00";"-2.577";"confédération";"0.108448868"
" 0";" 17";"0.00";"-2.577";"défendre";"0.108448868"
" 0";" 17";"0.00";"-2.577";"régime";"0.108448868"
" 0";" 17";"0.00";"-2.577";"réalité";"0.108448868"
" 0";" 17";"0.00";"-2.577";"qualifié";"0.108448868"
" 0";" 17";"0.00";"-2.577";"qualifier";"0.108448868"
" 0";" 17";"0.00";"-2.577";"collectif";"0.108448868"
" 2";" 41";"4.88";"-2.487";"dénoncer";"0.114781326"
" 0";" 16";"0.00";"-2.422";"marque";"0.119678877"
" 0";" 16";"0.00";"-2.422";"terminer";"0.119678877"
" 0";" 16";"0.00";"-2.422";"vivre";"0.119678877"
" 0";" 16";"0.00";"-2.422";"choisir";"0.119678877"
" 0";" 16";"0.00";"-2.422";"instagram";"0.119678877"
" 0";" 16";"0.00";"-2.422";"idée";"0.119678877"
" 0";" 16";"0.00";"-2.422";"récemment";"0.119678877"
" 0";" 16";"0.00";"-2.422";"presse";"0.119678877"
" 0";" 16";"0.00";"-2.422";"emji_globe_tourné_sur_l_afrique_et_l_europe";"0.119678877"
" 0";" 16";"0.00";"-2.422";"arme";"0.119678877"
" 1";" 29";"3.45";"-2.400";"résultat";"0.121357570"
" 1";" 29";"3.45";"-2.400";"attaque";"0.121357570"
" 1";" 29";"3.45";"-2.400";"gauche";"0.121357570"
" 1";" 29";"3.45";"-2.400";"débat";"0.121357570"
" 1";" 29";"3.45";"-2.400";"soutien";"0.121357570"
" 0";" 15";"0.00";"-2.267";"bâle";"0.132171263"
" 0";" 15";"0.00";"-2.267";"hamas";"0.132171263"
" 0";" 15";"0.00";"-2.267";"alessandro";"0.132171263"
" 0";" 15";"0.00";"-2.267";"insister";"0.132171263"
" 0";" 15";"0.00";"-2.267";"former";"0.132171263"
" 0";" 15";"0.00";"-2.267";"réaction";"0.132171263"
" 0";" 15";"0.00";"-2.267";"patient";"0.132171263"
" 0";" 15";"0.00";"-2.267";"message";"0.132171263"
" 0";" 15";"0.00";"-2.267";"espagne";"0.132171263"
" 0";" 15";"0.00";"-2.267";"libérer";"0.132171263"
" 1";" 28";"3.57";"-2.253";"seulement";"0.133317111"
" 1";" 28";"3.57";"-2.253";"petit";"0.133317111"
" 1";" 28";"3.57";"-2.253";"intervenir";"0.133317111"
" 2";" 39";"5.13";"-2.213";"cours";"0.136818504"
" 0";" 14";"0.00";"-2.113";"the";"0.146093867"
" 0";" 14";"0.00";"-2.113";"musique";"0.146093867"
" 0";" 14";"0.00";"-2.113";"riche";"0.146093867"
" 0";" 14";"0.00";"-2.113";"motion";"0.146093867"
" 0";" 14";"0.00";"-2.113";"procès";"0.146093867"
" 0";" 14";"0.00";"-2.113";"discours";"0.146093867"
" 0";" 14";"0.00";"-2.113";"russie";"0.146093867"
" 0";" 14";"0.00";"-2.113";"mandat";"0.146093867"
" 0";" 14";"0.00";"-2.113";"htag_repack";"0.146093867"
" 0";" 14";"0.00";"-2.113";"della";"0.146093867"
" 0";" 14";"0.00";"-2.113";"canada";"0.146093867"
" 0";" 14";"0.00";"-2.113";"blanc";"0.146093867"
" 0";" 14";"0.00";"-2.113";"tenter";"0.146093867"
" 0";" 14";"0.00";"-2.113";"république";"0.146093867"
" 0";" 14";"0.00";"-2.113";"affronter";"0.146093867"
" 0";" 14";"0.00";"-2.113";"socialiste";"0.146093867"
" 0";" 14";"0.00";"-2.113";"peuple";"0.146093867"
