"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16"
",";0,095;1;0,017;0,388;0,271;0,381;0,01;0,009;0,145;1;0,061;0,021;1;0,275;0,001;1
".";0,001;0,004;0,005;0;0,038;0,006;0,155;0,001;0,004;1;0,003;0,025;0,607;1;0,01;1
"emji_main_qui_écrit";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"suisse";1;1;0,007;0;1;1;1;0,171;1;1;0,051;0;0,2;0;1;1
"emji_appareil_photo";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"rts";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"keystone";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"info";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
"rtsinfo";1;1;1;1;1;1;1;1;0,957;0,051;1;1;1;1;1;0
":";1;1;0;1;1;0,371;1;0,074;0,117;1;1;0,788;1;0,224;0;1
"emji_drapeau_suisse";0;1;0,129;0,042;1;0;1;1;1;1;0,008;0;0;0,798;1;1
"premier";0,716;1;1;1;1;0,019;1;1;1;1;1;0,231;0;0,006;0,186;1
"année";0,236;1;0,469;0;1;1;0,117;1;1;1;0,714;0,236;0,705;1;0;1
"!";1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1
"mettre";1;1;0,522;0,935;0,197;1;1;0,003;0,16;1;0,08;0,169;1;1;1;1
"ats";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
"emji_appareil_photo_avec_flash";1;1;1;1;1;1;1;1;0,241;1;1;1;1;1;1;0
"emji_main_avec_index_pointant_à_droite";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0,001
"monde";1;1;1;1;1;1;0,445;1;1;1;1;1;0;0;1;1
"grand";0,543;1;1;1;0,656;0,031;1;1;1;1;0,194;0,002;0,006;0,077;0,056;1
"dernier";1;0,135;0,28;0,269;0,565;1;0,423;1;0,736;1;1;1;0;0,001;1;1
"afp";1;0,886;1;1;0,314;1;0,677;1;1;0;1;1;1;1;0,008;0,19
"genève";0;1;1;0,534;1;0,841;1;1;0,057;1;0,233;0;1;1;1;1
"lien";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"également";0,272;1;1;1;0,134;1;1;0;0,332;1;1;1;1;1;0,225;0,622
"nouveau";0,177;1;1;0,017;1;0,02;0,402;1;0,043;1;1;0,086;1;1;0,226;1
"emji_chaînons";1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1
"rester";1;0,898;0,001;1;1;1;1;0,049;1;1;1;0,831;1;1;0,145;0,758
"jour";0,168;0,129;0,519;0,267;0,065;1;1;0,859;1;1;1;0,035;1;0,996;1;1
"pays";1;0,061;1;1;0;0,708;1;1;1;1;0,83;1;1;0;1;1
"notamment";0,797;0,246;1;0,45;0,779;1;1;0,008;0;1;1;1;1;1;1;1
"emji_caméscope";1;1;0,272;1;1;1;1;0,215;0,872;0;1;0,158;1;1;0,138;1
"souligner";1;1;0,003;1;1;1;0,001;0;1;1;1;0,565;1;1;1;1
