de;208;256;211;262;290;230;150;264;150;60;184;198;142;195;267;102
la;149;205;177;205;225;193;106;198;112;108;154;160;118;160;213;83
le;135;182;135;163;207;186;103;143;90;130;124;146;108;143;198;62
les;136;135;144;175;168;136;76;216;113;35;112;132;51;94;167;73
l;106;172;138;145;181;170;109;179;96;38;115;128;70;113;172;60
avoir;99;235;116;132;222;187;85;117;59;25;94;116;126;151;150;45
être;133;166;155;154;168;154;92;183;89;26;107;144;89;123;159;72
et;142;151;134;161;176;134;97;187;100;34;116;130;90;118;217;73
à;134;170;124;168;186;140;79;168;95;31;108;136;99;135;137;57
des;112;159;147;152;172;135;68;195;102;18;93;115;26;72;146;60
en;106;103;123;125;148;100;60;141;71;129;87;100;91;98;124;52
d;85;132;100;141;126;119;75;142;65;26;92;88;48;63;118;46
un;84;119;80;124;117;90;73;120;60;21;69;83;56;92;127;40
une;79;106;98;106;117;102;70;114;71;19;75;85;49;57;120;39
pour;56;65;73;106;112;98;61;129;51;111;76;82;45;87;122;52
du;65;92;51;57;89;103;65;62;37;18;75;70;92;91;94;24
dans;60;95;68;61;91;66;51;71;34;23;52;57;33;48;84;22
sur;47;50;49;52;69;53;19;73;45;121;43;44;35;33;84;25
par;49;67;57;87;71;83;41;55;31;9;40;45;22;29;65;19
que;32;53;62;65;69;43;25;84;40;15;51;35;23;39;57;28
plus;49;38;56;65;32;27;15;49;36;93;32;37;27;43;64;27
au;45;56;29;40;61;63;26;47;14;8;35;34;36;55;53;13
avec;57;33;36;42;50;39;31;46;27;4;21;24;38;44;74;19
qui;20;41;36;54;53;40;29;54;23;6;36;32;37;44;60;11
ce;37;24;22;31;43;38;22;36;25;9;42;38;37;29;48;11
cette;18;19;46;62;47;38;22;41;25;16;36;32;27;14;56;10
s;37;36;24;46;51;38;20;34;22;8;24;33;28;23;47;14
il;17;22;24;34;51;33;28;29;18;7;23;27;27;39;45;18
son;14;19;14;25;60;39;31;29;8;9;16;13;36;49;51;6
ne;12;30;41;43;49;41;13;49;22;5;20;26;22;33;27;10
aux;23;17;16;30;46;18;11;39;20;2;29;31;8;22;40;6
an;10;20;38;25;35;21;27;22;12;2;8;14;31;30;35;2
sa;6;19;20;14;44;22;29;16;3;3;13;8;42;23;39;7
se;22;31;23;21;22;23;17;30;16;6;24;17;26;24;33;10
